,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-26,272.5708,272.5708,272.5708,272.5708,0.0,0.0,2017-02-24,HG,HGG17
2015-02-27,277.9404,277.9404,277.9404,277.9404,0.0,0.0,2017-02-24,HG,HGG17
2015-03-02,280.4975,280.4975,280.4975,280.4975,0.0,0.0,2017-02-24,HG,HGG17
2015-03-03,287.005,287.005,287.005,287.005,0.0,0.0,2017-02-24,HG,HGG17
2015-03-04,287.1198,287.1198,287.1198,287.1198,0.0,0.0,2017-02-24,HG,HGG17
2015-03-05,291.3979,291.3979,291.3979,291.3979,0.0,0.0,2017-02-24,HG,HGG17
2015-03-06,294.5159,294.5159,294.5159,294.5159,0.0,0.0,2017-02-24,HG,HGG17
2015-03-09,291.6002,291.6002,291.6002,291.6002,0.0,0.0,2017-02-24,HG,HGG17
2015-03-10,286.1473,286.1473,286.1473,286.1473,0.0,0.0,2017-02-24,HG,HGG17
2015-03-11,286.7196,286.7196,286.7196,286.7196,0.0,0.0,2017-02-24,HG,HGG17
2015-03-12,281.7594,281.7594,281.7594,281.7594,0.0,0.0,2017-02-24,HG,HGG17
2015-03-13,287.2537,287.2537,287.2537,287.2537,0.0,0.0,2017-02-24,HG,HGG17
2015-03-16,286.8803,286.8803,286.8803,286.8803,0.0,0.0,2017-02-24,HG,HGG17
2015-03-17,289.5483,289.5483,289.5483,289.5483,0.0,0.0,2017-02-24,HG,HGG17
2015-03-18,291.7489,291.7489,291.7489,291.7489,0.0,0.0,2017-02-24,HG,HGG17
2015-03-19,296.1251,296.1251,296.1251,296.1251,0.0,0.0,2017-02-24,HG,HGG17
2015-03-20,296.5989,296.5989,296.5989,296.5989,0.0,0.0,2017-02-24,HG,HGG17
2015-03-23,297.9039,297.9039,297.9039,297.9039,0.0,0.0,2017-02-24,HG,HGG17
2015-03-24,297.7847,297.7847,297.7847,297.7847,0.0,0.0,2017-02-24,HG,HGG17
2015-03-25,290.6081,290.6081,290.6081,290.6081,0.0,0.0,2017-02-24,HG,HGG17
2015-03-26,287.7311,287.7311,287.7311,287.7311,0.0,0.0,2017-02-24,HG,HGG17
2015-03-27,286.5802,286.5802,286.5802,286.5802,0.0,0.0,2017-02-24,HG,HGG17
2015-03-30,284.1443,284.1443,284.1443,284.1443,0.0,0.0,2017-02-24,HG,HGG17
2015-03-31,279.9105,279.9105,279.9105,279.9105,0.0,0.0,2017-02-24,HG,HGG17
2015-04-01,275.6279,275.6279,275.6279,275.6279,0.0,0.0,2017-02-24,HG,HGG17
2015-04-02,280.6168,280.6168,280.6168,280.6168,0.0,0.0,2017-02-24,HG,HGG17
2015-04-06,277.053,277.053,277.053,277.053,0.0,0.0,2017-02-24,HG,HGG17
2015-04-07,278.5491,278.5491,278.5491,278.5491,0.0,0.0,2017-02-24,HG,HGG17
2015-04-08,276.2093,276.2093,276.2093,276.2093,0.0,0.0,2017-02-24,HG,HGG17
2015-04-09,281.0706,281.0706,281.0706,281.0706,0.0,0.0,2017-02-24,HG,HGG17
2015-04-10,276.0675,276.0675,276.0675,276.0675,0.0,0.0,2017-02-24,HG,HGG17
2015-04-13,271.7332,271.7332,271.7332,271.7332,0.0,0.0,2017-02-24,HG,HGG17
2015-04-14,266.5974,266.5974,266.5974,266.5974,0.0,0.0,2017-02-24,HG,HGG17
2015-04-15,265.4244,265.4244,265.4244,265.4244,0.0,0.0,2017-02-24,HG,HGG17
2015-04-16,261.3369,261.3369,261.3369,261.3369,0.0,0.0,2017-02-24,HG,HGG17
2015-04-17,262.4084,262.4084,262.4084,262.4084,0.0,0.0,2017-02-24,HG,HGG17
2015-04-20,269.231,269.231,269.231,269.231,0.0,0.0,2017-02-24,HG,HGG17
2015-04-21,267.9656,267.9656,267.9656,267.9656,0.0,0.0,2017-02-24,HG,HGG17
2015-04-22,261.9364,261.9364,261.9364,261.9364,0.0,0.0,2017-02-24,HG,HGG17
2015-04-23,261.7269,261.7269,261.7269,261.7269,0.0,0.0,2017-02-24,HG,HGG17
2015-04-24,256.1259,256.1259,256.1259,256.1259,0.0,0.0,2017-02-24,HG,HGG17
2015-04-27,251.8742,251.8742,251.8742,251.8742,0.0,0.0,2017-02-24,HG,HGG17
2015-04-28,254.2418,254.2418,254.2418,254.2418,0.0,0.0,2017-02-24,HG,HGG17
2015-04-29,251.8265,251.8265,251.8265,251.8265,0.0,0.0,2017-02-24,HG,HGG17
2015-04-30,254.0678,254.0678,254.0678,254.0678,0.0,0.0,2017-02-24,HG,HGG17
2015-05-01,257.1674,257.1674,257.1674,257.1674,0.0,0.0,2017-02-24,HG,HGG17
2015-05-04,256.1644,256.1644,256.1644,256.1644,0.0,0.0,2017-02-24,HG,HGG17
2015-05-05,260.2886,260.2886,260.2886,260.2886,0.0,0.0,2017-02-24,HG,HGG17
2015-05-06,266.3013,266.3013,266.3013,266.3013,0.0,0.0,2017-02-24,HG,HGG17
2015-05-07,261.9872,261.9872,261.9872,261.9872,0.0,0.0,2017-02-24,HG,HGG17
2015-05-08,255.6471,255.6471,255.6471,255.6471,0.0,0.0,2017-02-24,HG,HGG17
2015-05-11,254.8546,254.8546,254.8546,254.8546,0.0,0.0,2017-02-24,HG,HGG17
2015-05-12,256.3837,256.3837,256.3837,256.3837,0.0,0.0,2017-02-24,HG,HGG17
2015-05-13,260.8191,260.8191,260.8191,260.8191,0.0,0.0,2017-02-24,HG,HGG17
2015-05-14,258.9934,258.9934,258.9934,258.9934,0.0,0.0,2017-02-24,HG,HGG17
2015-05-15,265.3646,265.3646,265.3646,265.3646,0.0,0.0,2017-02-24,HG,HGG17
2015-05-18,265.5769,265.5769,265.5769,265.5769,0.0,0.0,2017-02-24,HG,HGG17
2015-05-19,260.4247,260.4247,260.4247,260.4247,0.0,0.0,2017-02-24,HG,HGG17
2015-05-20,255.5808,255.5808,255.5808,255.5808,0.0,0.0,2017-02-24,HG,HGG17
2015-05-21,256.9354,256.9354,256.9354,256.9354,0.0,0.0,2017-02-24,HG,HGG17
2015-05-22,253.0814,253.0814,253.0814,253.0814,0.0,0.0,2017-02-24,HG,HGG17
2015-05-26,249.3611,249.3611,249.3611,249.3611,0.0,0.0,2017-02-24,HG,HGG17
2015-05-27,250.558,250.558,250.558,250.558,0.0,0.0,2017-02-24,HG,HGG17
2015-05-28,250.0569,250.0569,250.0569,250.0569,0.0,0.0,2017-02-24,HG,HGG17
2015-05-29,245.931,245.931,245.931,245.931,0.0,0.0,2017-02-24,HG,HGG17
2015-06-01,239.8811,239.8811,239.8811,239.8811,0.0,0.0,2017-02-24,HG,HGG17
2015-06-02,238.2259,238.2259,238.2259,238.2259,0.0,0.0,2017-02-24,HG,HGG17
2015-06-03,237.6303,237.6303,237.6303,237.6303,0.0,0.0,2017-02-24,HG,HGG17
2015-06-04,239.1749,239.1749,239.1749,239.1749,0.0,0.0,2017-02-24,HG,HGG17
2015-06-05,238.4095,238.4095,238.4095,238.4095,0.0,0.0,2017-02-24,HG,HGG17
2015-06-08,243.9644,243.9644,243.9644,243.9644,0.0,0.0,2017-02-24,HG,HGG17
2015-06-09,243.8424,243.8424,243.8424,243.8424,0.0,0.0,2017-02-24,HG,HGG17
