,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-04-27,268.5156,268.5156,268.5156,268.5156,0.0,0.0,2019-04-26,HG,HGJ19
2017-04-28,270.8785,270.8785,270.8785,270.8785,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-01,267.4654,267.4654,267.4654,267.4654,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-02,265.1652,265.1652,265.1652,265.1652,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-03,269.7791,269.7791,269.7791,269.7791,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-04,265.7864,265.7864,265.7864,265.7864,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-05,269.4277,269.4277,269.4277,269.4277,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-08,269.0236,269.0236,269.0236,269.0236,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-09,272.763,272.763,272.763,272.763,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-10,273.0903,273.0903,273.0903,273.0903,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-11,273.3907,273.3907,273.3907,273.3907,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-12,271.5043,271.5043,271.5043,271.5043,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-15,265.8842,265.8842,265.8842,265.8842,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-16,266.6553,266.6553,266.6553,266.6553,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-17,260.5489,260.5489,260.5489,260.5489,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-18,259.3764,259.3764,259.3764,259.3764,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-19,255.0967,255.0967,255.0967,255.0967,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-22,256.0406,256.0406,256.0406,256.0406,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-23,258.5242,258.5242,258.5242,258.5242,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-24,254.3361,254.3361,254.3361,254.3361,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-25,258.1766,258.1766,258.1766,258.1766,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-26,252.7291,252.7291,252.7291,252.7291,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-30,254.3971,254.3971,254.3971,254.3971,0.0,0.0,2019-04-26,HG,HGJ19
2017-05-31,255.9489,255.9489,255.9489,255.9489,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-01,250.318,250.318,250.318,250.318,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-02,244.5857,244.5857,244.5857,244.5857,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-05,241.8953,241.8953,241.8953,241.8953,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-06,241.1454,241.1454,241.1454,241.1454,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-07,237.6488,237.6488,237.6488,237.6488,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-08,237.2448,237.2448,237.2448,237.2448,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-09,242.0371,242.0371,242.0371,242.0371,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-12,247.0231,247.0231,247.0231,247.0231,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-13,244.1576,244.1576,244.1576,244.1576,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-14,245.4028,245.4028,245.4028,245.4028,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-15,247.4396,247.4396,247.4396,247.4396,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-16,245.0642,245.0642,245.0642,245.0642,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-19,245.6278,245.6278,245.6278,245.6278,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-20,249.6807,249.6807,249.6807,249.6807,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-21,244.5123,244.5123,244.5123,244.5123,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-22,242.3606,242.3606,242.3606,242.3606,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-23,238.701,238.701,238.701,238.701,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-26,235.5501,235.5501,235.5501,235.5501,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-27,230.1089,230.1089,230.1089,230.1089,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-28,234.4349,234.4349,234.4349,234.4349,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-29,229.3477,229.3477,229.3477,229.3477,0.0,0.0,2019-04-26,HG,HGJ19
2017-06-30,231.343,231.343,231.343,231.343,0.0,0.0,2019-04-26,HG,HGJ19
2017-07-03,236.5714,236.5714,236.5714,236.5714,0.0,0.0,2019-04-26,HG,HGJ19
