,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-29,271.9301,271.9301,271.9301,271.9301,0.0,0.0,2019-06-26,HG,HGM19
2017-06-30,271.5222,271.5222,271.5222,271.5222,0.0,0.0,2019-06-26,HG,HGM19
2017-07-03,268.9156,268.9156,268.9156,268.9156,0.0,0.0,2019-06-26,HG,HGM19
2017-07-05,268.1357,268.1357,268.1357,268.1357,0.0,0.0,2019-06-26,HG,HGM19
2017-07-06,269.4764,269.4764,269.4764,269.4764,0.0,0.0,2019-06-26,HG,HGM19
2017-07-07,274.1114,274.1114,274.1114,274.1114,0.0,0.0,2019-06-26,HG,HGM19
2017-07-10,275.6738,275.6738,275.6738,275.6738,0.0,0.0,2019-06-26,HG,HGM19
2017-07-11,271.5663,271.5663,271.5663,271.5663,0.0,0.0,2019-06-26,HG,HGM19
2017-07-12,271.2676,271.2676,271.2676,271.2676,0.0,0.0,2019-06-26,HG,HGM19
2017-07-13,269.8841,269.8841,269.8841,269.8841,0.0,0.0,2019-06-26,HG,HGM19
2017-07-14,266.8884,266.8884,266.8884,266.8884,0.0,0.0,2019-06-26,HG,HGM19
2017-07-17,271.9326,271.9326,271.9326,271.9326,0.0,0.0,2019-06-26,HG,HGM19
2017-07-18,268.5334,268.5334,268.5334,268.5334,0.0,0.0,2019-06-26,HG,HGM19
2017-07-19,268.426,268.426,268.426,268.426,0.0,0.0,2019-06-26,HG,HGM19
2017-07-20,265.1512,265.1512,265.1512,265.1512,0.0,0.0,2019-06-26,HG,HGM19
2017-07-21,269.6588,269.6588,269.6588,269.6588,0.0,0.0,2019-06-26,HG,HGM19
2017-07-24,271.5464,271.5464,271.5464,271.5464,0.0,0.0,2019-06-26,HG,HGM19
2017-07-25,272.714,272.714,272.714,272.714,0.0,0.0,2019-06-26,HG,HGM19
2017-07-26,269.6596,269.6596,269.6596,269.6596,0.0,0.0,2019-06-26,HG,HGM19
2017-07-27,273.8393,273.8393,273.8393,273.8393,0.0,0.0,2019-06-26,HG,HGM19
2017-07-28,271.7307,271.7307,271.7307,271.7307,0.0,0.0,2019-06-26,HG,HGM19
2017-07-31,270.372,270.372,270.372,270.372,0.0,0.0,2019-06-26,HG,HGM19
2017-08-01,272.562,272.562,272.562,272.562,0.0,0.0,2019-06-26,HG,HGM19
2017-08-02,275.4512,275.4512,275.4512,275.4512,0.0,0.0,2019-06-26,HG,HGM19
2017-08-03,269.3362,269.3362,269.3362,269.3362,0.0,0.0,2019-06-26,HG,HGM19
2017-08-04,269.6055,269.6055,269.6055,269.6055,0.0,0.0,2019-06-26,HG,HGM19
2017-08-07,274.701,274.701,274.701,274.701,0.0,0.0,2019-06-26,HG,HGM19
2017-08-08,275.8547,275.8547,275.8547,275.8547,0.0,0.0,2019-06-26,HG,HGM19
2017-08-09,272.8755,272.8755,272.8755,272.8755,0.0,0.0,2019-06-26,HG,HGM19
2017-08-10,270.8835,270.8835,270.8835,270.8835,0.0,0.0,2019-06-26,HG,HGM19
2017-08-11,276.7888,276.7888,276.7888,276.7888,0.0,0.0,2019-06-26,HG,HGM19
2017-08-14,279.9165,279.9165,279.9165,279.9165,0.0,0.0,2019-06-26,HG,HGM19
2017-08-15,282.3238,282.3238,282.3238,282.3238,0.0,0.0,2019-06-26,HG,HGM19
2017-08-16,277.4396,277.4396,277.4396,277.4396,0.0,0.0,2019-06-26,HG,HGM19
2017-08-17,271.4746,271.4746,271.4746,271.4746,0.0,0.0,2019-06-26,HG,HGM19
2017-08-18,271.6375,271.6375,271.6375,271.6375,0.0,0.0,2019-06-26,HG,HGM19
2017-08-21,265.7701,265.7701,265.7701,265.7701,0.0,0.0,2019-06-26,HG,HGM19
2017-08-22,261.8367,261.8367,261.8367,261.8367,0.0,0.0,2019-06-26,HG,HGM19
2017-08-23,264.9526,264.9526,264.9526,264.9526,0.0,0.0,2019-06-26,HG,HGM19
2017-08-24,264.8466,264.8466,264.8466,264.8466,0.0,0.0,2019-06-26,HG,HGM19
2017-08-25,267.2037,267.2037,267.2037,267.2037,0.0,0.0,2019-06-26,HG,HGM19
2017-08-28,261.9932,261.9932,261.9932,261.9932,0.0,0.0,2019-06-26,HG,HGM19
2017-08-29,260.9452,260.9452,260.9452,260.9452,0.0,0.0,2019-06-26,HG,HGM19
2017-08-30,260.5538,260.5538,260.5538,260.5538,0.0,0.0,2019-06-26,HG,HGM19
2017-08-31,262.7425,262.7425,262.7425,262.7425,1.0,1.0,2019-06-26,HG,HGM19
2017-09-01,265.0021,265.0021,265.0021,265.0021,0.0,1.0,2019-06-26,HG,HGM19
2017-09-05,259.0131,259.0131,259.0131,259.0131,0.0,1.0,2019-06-26,HG,HGM19
2017-09-06,255.6977,255.6977,255.6977,255.6977,0.0,1.0,2019-06-26,HG,HGM19
2017-09-07,259.7633,259.7633,259.7633,259.7633,0.0,1.0,2019-06-26,HG,HGM19
2017-09-08,262.283,262.283,262.283,262.283,0.0,1.0,2019-06-26,HG,HGM19
2017-09-11,262.2043,262.2043,262.2043,262.2043,0.0,1.0,2019-06-26,HG,HGM19
2017-09-12,265.4294,265.4294,265.4294,265.4294,0.0,1.0,2019-06-26,HG,HGM19
2017-09-13,261.8461,261.8461,261.8461,261.8461,0.0,1.0,2019-06-26,HG,HGM19
2017-09-14,256.3997,256.3997,256.3997,256.3997,0.0,1.0,2019-06-26,HG,HGM19
2017-09-15,251.6307,251.6307,251.6307,251.6307,0.0,1.0,2019-06-26,HG,HGM19
2017-09-18,246.9,246.9,246.9,246.9,0.0,1.0,2019-06-26,HG,HGM19
2017-09-19,243.0237,243.0237,243.0237,243.0237,0.0,1.0,2019-06-26,HG,HGM19
2017-09-20,244.093,244.093,244.093,244.093,0.0,1.0,2019-06-26,HG,HGM19
2017-09-21,248.9016,248.9016,248.9016,248.9016,0.0,1.0,2019-06-26,HG,HGM19
2017-09-22,252.9587,252.9587,252.9587,252.9587,0.0,1.0,2019-06-26,HG,HGM19
2017-09-25,250.9603,250.9603,250.9603,250.9603,0.0,1.0,2019-06-26,HG,HGM19
2017-09-26,250.5839,250.5839,250.5839,250.5839,0.0,1.0,2019-06-26,HG,HGM19
2017-09-27,251.9872,251.9872,251.9872,251.9872,0.0,1.0,2019-06-26,HG,HGM19
2017-09-28,251.1556,251.1556,251.1556,251.1556,0.0,1.0,2019-06-26,HG,HGM19
2017-09-29,248.9957,248.9957,248.9957,248.9957,0.0,1.0,2019-06-26,HG,HGM19
2017-10-02,250.166,250.166,250.166,250.166,0.0,1.0,2019-06-26,HG,HGM19
2017-10-03,247.4642,247.4642,247.4642,247.4642,0.0,1.0,2019-06-26,HG,HGM19
2017-10-04,250.6317,250.6317,250.6317,250.6317,0.0,1.0,2019-06-26,HG,HGM19
2017-10-05,247.4236,247.4236,247.4236,247.4236,0.0,1.0,2019-06-26,HG,HGM19
2017-10-06,247.5968,247.5968,247.5968,247.5968,0.0,1.0,2019-06-26,HG,HGM19
2017-10-09,250.766,250.766,250.766,250.766,0.0,1.0,2019-06-26,HG,HGM19
2017-10-10,255.0039,255.0039,255.0039,255.0039,0.0,1.0,2019-06-26,HG,HGM19
2017-10-11,256.8399,256.8399,256.8399,256.8399,0.0,1.0,2019-06-26,HG,HGM19
2017-10-12,260.5641,260.5641,260.5641,260.5641,0.0,1.0,2019-06-26,HG,HGM19
2017-10-13,263.0134,263.0134,263.0134,263.0134,0.0,1.0,2019-06-26,HG,HGM19
2017-10-16,257.5953,257.5953,257.5953,257.5953,0.0,1.0,2019-06-26,HG,HGM19
2017-10-17,255.6376,255.6376,255.6376,255.6376,0.0,1.0,2019-06-26,HG,HGM19
2017-10-18,259.3955,259.3955,259.3955,259.3955,0.0,1.0,2019-06-26,HG,HGM19
2017-10-19,253.7666,253.7666,253.7666,253.7666,0.0,1.0,2019-06-26,HG,HGM19
2017-10-20,257.7,257.7,257.7,257.7,0.0,1.0,2019-06-26,HG,HGM19
2017-10-23,253.1902,253.1902,253.1902,253.1902,0.0,1.0,2019-06-26,HG,HGM19
2017-10-24,248.5821,248.5821,248.5821,248.5821,0.0,1.0,2019-06-26,HG,HGM19
2017-10-25,247.5381,247.5381,247.5381,247.5381,0.0,1.0,2019-06-26,HG,HGM19
2017-10-26,244.8647,244.8647,244.8647,244.8647,0.0,1.0,2019-06-26,HG,HGM19
2017-10-27,241.9998,241.9998,241.9998,241.9998,0.0,1.0,2019-06-26,HG,HGM19
2017-10-30,243.355,243.355,243.355,243.355,2.0,1.0,2019-06-26,HG,HGM19
2017-10-31,244.5231,244.5231,244.5231,244.5231,0.0,1.0,2019-06-26,HG,HGM19
2017-11-01,243.7162,243.7162,243.7162,243.7162,0.0,1.0,2019-06-26,HG,HGM19
2017-11-02,243.18,243.18,243.18,243.18,0.0,1.0,2019-06-26,HG,HGM19
2017-11-03,243.3989,243.3989,243.3989,243.3989,0.0,1.0,2019-06-26,HG,HGM19
2017-11-06,245.0053,245.0053,245.0053,245.0053,12.0,6.0,2019-06-26,HG,HGM19
2017-11-07,243.1433,243.1433,243.1433,243.1433,0.0,5.0,2019-06-26,HG,HGM19
2017-11-08,244.6022,244.6022,244.6022,244.6022,0.0,6.0,2019-06-26,HG,HGM19
2017-11-09,239.7102,239.7102,239.7102,239.7102,0.0,6.0,2019-06-26,HG,HGM19
2017-11-10,240.2376,240.2376,240.2376,240.2376,0.0,6.0,2019-06-26,HG,HGM19
2017-11-13,234.9283,234.9283,234.9283,234.9283,0.0,6.0,2019-06-26,HG,HGM19
2017-11-14,237.8179,237.8179,237.8179,237.8179,0.0,6.0,2019-06-26,HG,HGM19
2017-11-15,238.1746,238.1746,238.1746,238.1746,0.0,5.0,2019-06-26,HG,HGM19
2017-11-16,236.6741,236.6741,236.6741,236.6741,0.0,7.0,2019-06-26,HG,HGM19
2017-11-17,234.3547,234.3547,234.3547,234.3547,0.0,5.0,2019-06-26,HG,HGM19
2017-11-20,239.3933,239.3933,239.3933,239.3933,7.0,8.0,2019-06-26,HG,HGM19
2017-11-21,241.5,241.5,241.5,241.5,0.0,9.0,2019-06-26,HG,HGM19
2017-11-22,244.3497,244.3497,244.3497,244.3497,0.0,8.0,2019-06-26,HG,HGM19
2017-11-24,246.6955,246.6955,246.6955,246.6955,0.0,7.0,2019-06-26,HG,HGM19
2017-11-27,243.8585,243.8585,243.8585,243.8585,0.0,11.0,2019-06-26,HG,HGM19
2017-11-28,239.7373,239.7373,239.7373,239.7373,2.0,12.0,2019-06-26,HG,HGM19
2017-11-29,239.2578,239.2578,239.2578,239.2578,0.0,12.0,2019-06-26,HG,HGM19
2017-11-30,236.0996,236.0996,236.0996,236.0996,2.0,13.0,2019-06-26,HG,HGM19
2017-12-01,236.501,236.501,236.501,236.501,0.0,13.0,2019-06-26,HG,HGM19
2017-12-04,240.5452,240.5452,240.5452,240.5452,0.0,13.0,2019-06-26,HG,HGM19
2017-12-05,243.6482,243.6482,243.6482,243.6482,0.0,13.0,2019-06-26,HG,HGM19
2017-12-06,240.4077,240.4077,240.4077,240.4077,0.0,14.0,2019-06-26,HG,HGM19
2017-12-07,238.7729,238.7729,238.7729,238.7729,0.0,12.0,2019-06-26,HG,HGM19
2017-12-08,235.2152,235.2152,235.2152,235.2152,0.0,10.0,2019-06-26,HG,HGM19
