,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-30,288.7373,288.7373,288.7373,288.7373,0.0,0.0,2018-09-26,HG,HGN23
2018-07-31,284.8105,284.8105,284.8105,284.8105,0.0,0.0,2018-09-26,HG,HGN23
2018-08-01,290.5637,290.5637,290.5637,290.5637,0.0,0.0,2018-09-26,HG,HGN23
2018-08-02,285.9728,285.9728,285.9728,285.9728,0.0,0.0,2018-09-26,HG,HGN23
2018-08-03,292.2642,292.2642,292.2642,292.2642,0.0,0.0,2018-09-26,HG,HGN23
2018-08-06,291.3582,291.3582,291.3582,291.3582,0.0,0.0,2018-09-26,HG,HGN23
2018-08-07,290.4841,290.4841,290.4841,290.4841,0.0,0.0,2018-09-26,HG,HGN23
2018-08-08,294.8704,294.8704,294.8704,294.8704,0.0,0.0,2018-09-26,HG,HGN23
2018-08-09,293.1307,293.1307,293.1307,293.1307,0.0,0.0,2018-09-26,HG,HGN23
2018-08-10,293.6876,293.6876,293.6876,293.6876,0.0,0.0,2018-09-26,HG,HGN23
2018-08-13,298.3866,298.3866,298.3866,298.3866,0.0,0.0,2018-09-26,HG,HGN23
2018-08-14,299.2221,299.2221,299.2221,299.2221,0.0,0.0,2018-09-26,HG,HGN23
2018-08-15,295.3322,295.3322,295.3322,295.3322,0.0,0.0,2018-09-26,HG,HGN23
2018-08-16,291.6405,291.6405,291.6405,291.6405,0.0,0.0,2018-09-26,HG,HGN23
2018-08-17,295.0527,295.0527,295.0527,295.0527,0.0,0.0,2018-09-26,HG,HGN23
2018-08-20,295.7018,295.7018,295.7018,295.7018,0.0,0.0,2018-09-26,HG,HGN23
2018-08-21,296.9437,296.9437,296.9437,296.9437,0.0,0.0,2018-09-26,HG,HGN23
2018-08-22,294.9245,294.9245,294.9245,294.9245,0.0,0.0,2018-09-26,HG,HGN23
2018-08-23,288.4951,288.4951,288.4951,288.4951,0.0,0.0,2018-09-26,HG,HGN23
2018-08-24,292.8225,292.8225,292.8225,292.8225,0.0,0.0,2018-09-26,HG,HGN23
2018-08-27,291.0948,291.0948,291.0948,291.0948,0.0,0.0,2018-09-26,HG,HGN23
