,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-08-30,215.8497,215.8497,215.8497,215.8497,0.0,0.0,2018-08-29,HG,HGQ18
2016-08-31,219.4544,219.4544,219.4544,219.4544,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-01,222.2195,222.2195,222.2195,222.2195,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-02,223.6861,223.6861,223.6861,223.6861,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-06,224.9611,224.9611,224.9611,224.9611,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-07,221.0243,221.0243,221.0243,221.0243,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-08,220.2949,220.2949,220.2949,220.2949,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-09,220.2508,220.2508,220.2508,220.2508,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-12,216.2643,216.2643,216.2643,216.2643,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-13,214.7072,214.7072,214.7072,214.7072,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-14,212.1092,212.1092,212.1092,212.1092,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-15,215.609,215.609,215.609,215.609,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-16,217.0751,217.0751,217.0751,217.0751,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-19,221.7856,221.7856,221.7856,221.7856,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-20,226.2878,226.2878,226.2878,226.2878,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-21,229.4785,229.4785,229.4785,229.4785,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-22,231.5668,231.5668,231.5668,231.5668,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-23,229.2048,229.2048,229.2048,229.2048,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-26,230.2362,230.2362,230.2362,230.2362,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-27,234.5416,234.5416,234.5416,234.5416,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-28,232.2196,232.2196,232.2196,232.2196,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-29,234.4257,234.4257,234.4257,234.4257,0.0,0.0,2018-08-29,HG,HGQ18
2016-09-30,236.1839,236.1839,236.1839,236.1839,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-03,240.1282,240.1282,240.1282,240.1282,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-04,237.4868,237.4868,237.4868,237.4868,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-05,232.3096,232.3096,232.3096,232.3096,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-06,231.9611,231.9611,231.9611,231.9611,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-07,228.6209,228.6209,228.6209,228.6209,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-10,231.5244,231.5244,231.5244,231.5244,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-11,231.7559,231.7559,231.7559,231.7559,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-12,234.4906,234.4906,234.4906,234.4906,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-13,229.6601,229.6601,229.6601,229.6601,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-14,232.8294,232.8294,232.8294,232.8294,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-17,233.6909,233.6909,233.6909,233.6909,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-18,228.9937,228.9937,228.9937,228.9937,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-19,227.551,227.551,227.551,227.551,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-20,232.6254,232.6254,232.6254,232.6254,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-21,229.2989,229.2989,229.2989,229.2989,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-24,227.8314,227.8314,227.8314,227.8314,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-25,223.7077,223.7077,223.7077,223.7077,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-26,221.1351,221.1351,221.1351,221.1351,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-27,224.3637,224.3637,224.3637,224.3637,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-28,220.5944,220.5944,220.5944,220.5944,0.0,0.0,2018-08-29,HG,HGQ18
2016-10-31,223.5945,223.5945,223.5945,223.5945,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-01,218.5413,218.5413,218.5413,218.5413,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-02,218.4539,218.4539,218.4539,218.4539,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-03,215.2645,215.2645,215.2645,215.2645,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-04,214.6833,214.6833,214.6833,214.6833,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-07,218.0968,218.0968,218.0968,218.0968,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-08,217.6388,217.6388,217.6388,217.6388,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-09,218.7923,218.7923,218.7923,218.7923,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-10,215.6854,215.6854,215.6854,215.6854,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-11,212.256,212.256,212.256,212.256,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-14,211.4919,211.4919,211.4919,211.4919,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-15,212.4436,212.4436,212.4436,212.4436,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-16,215.4391,215.4391,215.4391,215.4391,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-17,213.6725,213.6725,213.6725,213.6725,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-18,218.2024,218.2024,218.2024,218.2024,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-21,217.2859,217.2859,217.2859,217.2859,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-22,221.9793,221.9793,221.9793,221.9793,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-23,224.1325,224.1325,224.1325,224.1325,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-25,219.3137,219.3137,219.3137,219.3137,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-28,218.261,218.261,218.261,218.261,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-29,217.4316,217.4316,217.4316,217.4316,0.0,0.0,2018-08-29,HG,HGQ18
2016-11-30,219.8233,219.8233,219.8233,219.8233,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-01,222.9668,222.9668,222.9668,222.9668,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-02,222.0749,222.0749,222.0749,222.0749,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-05,218.766,218.766,218.766,218.766,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-06,216.9502,216.9502,216.9502,216.9502,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-07,221.9401,221.9401,221.9401,221.9401,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-08,223.7822,223.7822,223.7822,223.7822,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-09,228.4592,228.4592,228.4592,228.4592,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-12,228.048,228.048,228.048,228.048,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-13,232.8826,232.8826,232.8826,232.8826,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-14,231.3922,231.3922,231.3922,231.3922,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-15,227.9213,227.9213,227.9213,227.9213,0.0,0.0,2018-08-29,HG,HGQ18
2016-12-16,232.5481,232.5481,232.5481,232.5481,176.0,162.0,2018-08-29,HG,HGQ18
2016-12-19,234.8736,234.8736,234.8736,234.8736,0.0,194.0,2018-08-29,HG,HGQ18
2016-12-20,231.7968,231.7968,231.7968,231.7968,0.0,172.0,2018-08-29,HG,HGQ18
2016-12-21,234.9261,234.9261,234.9261,234.9261,0.0,158.0,2018-08-29,HG,HGQ18
2016-12-22,235.9598,235.9598,235.9598,235.9598,97.0,267.0,2018-08-29,HG,HGQ18
2016-12-23,235.4879,235.4879,235.4879,235.4879,52.0,278.0,2018-08-29,HG,HGQ18
2016-12-27,232.3559,232.3559,232.3559,232.3559,0.0,210.0,2018-08-29,HG,HGQ18
2016-12-28,231.0315,231.0315,231.0315,231.0315,0.0,241.0,2018-08-29,HG,HGQ18
2016-12-29,230.8005,230.8005,230.8005,230.8005,0.0,296.0,2018-08-29,HG,HGQ18
2016-12-30,234.2856,234.2856,234.2856,234.2856,0.0,272.0,2018-08-29,HG,HGQ18
2017-01-03,235.5507,235.5507,235.5507,235.5507,0.0,238.0,2018-08-29,HG,HGQ18
2017-01-04,234.7734,234.7734,234.7734,234.7734,67.0,311.0,2018-08-29,HG,HGQ18
2017-01-05,239.3984,239.3984,239.3984,239.3984,0.0,275.0,2018-08-29,HG,HGQ18
2017-01-06,238.8717,238.8717,238.8717,238.8717,0.0,334.0,2018-08-29,HG,HGQ18
2017-01-09,241.3799,241.3799,241.3799,241.3799,43.0,429.0,2018-08-29,HG,HGQ18
2017-01-10,236.0695,236.0695,236.0695,236.0695,148.0,530.0,2018-08-29,HG,HGQ18
2017-01-11,240.5076,240.5076,240.5076,240.5076,76.0,615.0,2018-08-29,HG,HGQ18
2017-01-12,235.3126,235.3126,235.3126,235.3126,59.0,560.0,2018-08-29,HG,HGQ18
2017-01-13,230.7711,230.7711,230.7711,230.7711,73.0,652.0,2018-08-29,HG,HGQ18
2017-01-17,226.8249,226.8249,226.8249,226.8249,37.0,639.0,2018-08-29,HG,HGQ18
2017-01-18,229.5468,229.5468,229.5468,229.5468,0.0,784.0,2018-08-29,HG,HGQ18
2017-01-19,229.6157,229.6157,229.6157,229.6157,101.0,804.0,2018-08-29,HG,HGQ18
2017-01-20,232.9222,232.9222,232.9222,232.9222,0.0,877.0,2018-08-29,HG,HGQ18
2017-01-23,229.5448,229.5448,229.5448,229.5448,18.0,766.0,2018-08-29,HG,HGQ18
2017-01-24,234.3193,234.3193,234.3193,234.3193,161.0,818.0,2018-08-29,HG,HGQ18
2017-01-25,230.2421,230.2421,230.2421,230.2421,39.0,946.0,2018-08-29,HG,HGQ18
2017-01-26,230.7026,230.7026,230.7026,230.7026,49.0,921.0,2018-08-29,HG,HGQ18
2017-01-27,228.9262,228.9262,228.9262,228.9262,127.0,983.0,2018-08-29,HG,HGQ18
2017-01-30,229.1551,229.1551,229.1551,229.1551,0.0,1053.0,2018-08-29,HG,HGQ18
2017-01-31,232.5466,232.5466,232.5466,232.5466,39.0,1081.0,2018-08-29,HG,HGQ18
2017-02-01,236.8487,236.8487,236.8487,236.8487,88.0,1379.0,2018-08-29,HG,HGQ18
2017-02-02,237.6777,237.6777,237.6777,237.6777,92.0,1626.0,2018-08-29,HG,HGQ18
2017-02-03,242.4313,242.4313,242.4313,242.4313,40.0,1522.0,2018-08-29,HG,HGQ18
2017-02-06,243.0859,243.0859,243.0859,243.0859,0.0,1450.0,2018-08-29,HG,HGQ18
2017-02-07,248.0205,248.0205,248.0205,248.0205,0.0,1194.0,2018-08-29,HG,HGQ18
2017-02-08,251.9392,251.9392,251.9392,251.9392,36.0,1290.0,2018-08-29,HG,HGQ18
2017-02-09,249.6466,249.6466,249.6466,249.6466,0.0,1319.0,2018-08-29,HG,HGQ18
2017-02-10,246.5011,246.5011,246.5011,246.5011,1.0,1364.0,2018-08-29,HG,HGQ18
2017-02-13,249.8042,249.8042,249.8042,249.8042,0.0,1379.0,2018-08-29,HG,HGQ18
2017-02-14,249.6543,249.6543,249.6543,249.6543,0.0,1687.0,2018-08-29,HG,HGQ18
2017-02-15,252.7001,252.7001,252.7001,252.7001,0.0,1746.0,2018-08-29,HG,HGQ18
2017-02-16,248.6064,248.6064,248.6064,248.6064,0.0,1306.0,2018-08-29,HG,HGQ18
2017-02-17,250.7941,250.7941,250.7941,250.7941,0.0,1408.0,2018-08-29,HG,HGQ18
2017-02-21,250.0417,250.0417,250.0417,250.0417,0.0,1379.0,2018-08-29,HG,HGQ18
2017-02-22,253.7673,253.7673,253.7673,253.7673,0.0,1291.0,2018-08-29,HG,HGQ18
2017-02-23,252.0671,252.0671,252.0671,252.0671,0.0,1188.0,2018-08-29,HG,HGQ18
2017-02-24,247.3534,247.3534,247.3534,247.3534,0.0,1364.0,2018-08-29,HG,HGQ18
2017-02-27,250.198,250.198,250.198,250.198,0.0,1335.0,2018-08-29,HG,HGQ18
2017-02-28,250.7234,250.7234,250.7234,250.7234,0.0,1687.0,2018-08-29,HG,HGQ18
2017-03-01,255.9384,255.9384,255.9384,255.9384,0.0,1452.0,2018-08-29,HG,HGQ18
2017-03-02,253.7117,253.7117,253.7117,253.7117,0.0,1320.0,2018-08-29,HG,HGQ18
2017-03-03,250.3881,250.3881,250.3881,250.3881,0.0,1511.0,2018-08-29,HG,HGQ18
2017-03-06,251.2394,251.2394,251.2394,251.2394,0.0,1188.0,2018-08-29,HG,HGQ18
2017-03-07,254.003,254.003,254.003,254.003,2.0,1381.0,2018-08-29,HG,HGQ18
2017-03-08,258.5497,258.5497,258.5497,258.5497,0.0,1469.0,2018-08-29,HG,HGQ18
2017-03-09,258.0843,258.0843,258.0843,258.0843,0.0,1351.0,2018-08-29,HG,HGQ18
2017-03-10,261.9556,261.9556,261.9556,261.9556,0.0,1263.0,2018-08-29,HG,HGQ18
2017-03-13,257.4238,257.4238,257.4238,257.4238,2.0,1396.0,2018-08-29,HG,HGQ18
2017-03-14,258.2218,258.2218,258.2218,258.2218,0.0,1660.0,2018-08-29,HG,HGQ18
2017-03-15,255.5879,255.5879,255.5879,255.5879,0.0,1219.0,2018-08-29,HG,HGQ18
2017-03-16,250.8084,250.8084,250.8084,250.8084,0.0,1381.0,2018-08-29,HG,HGQ18
2017-03-17,245.7421,245.7421,245.7421,245.7421,0.0,1631.0,2018-08-29,HG,HGQ18
