,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-10-30,320.7014,320.7014,320.7014,320.7014,0.0,0.0,2019-10-29,HG,HGV19
2017-10-31,321.9842,321.9842,321.9842,321.9842,0.0,0.0,2019-10-29,HG,HGV19
2017-11-01,316.8968,316.8968,316.8968,316.8968,0.0,0.0,2019-10-29,HG,HGV19
2017-11-02,310.8758,310.8758,310.8758,310.8758,0.0,0.0,2019-10-29,HG,HGV19
2017-11-03,313.798,313.798,313.798,313.798,0.0,0.0,2019-10-29,HG,HGV19
2017-11-06,307.3024,307.3024,307.3024,307.3024,0.0,0.0,2019-10-29,HG,HGV19
2017-11-07,309.1155,309.1155,309.1155,309.1155,0.0,0.0,2019-10-29,HG,HGV19
2017-11-08,309.0846,309.0846,309.0846,309.0846,0.0,0.0,2019-10-29,HG,HGV19
2017-11-09,304.4483,304.4483,304.4483,304.4483,0.0,0.0,2019-10-29,HG,HGV19
2017-11-10,302.4389,302.4389,302.4389,302.4389,0.0,0.0,2019-10-29,HG,HGV19
2017-11-13,304.1628,304.1628,304.1628,304.1628,0.0,0.0,2019-10-29,HG,HGV19
2017-11-14,304.9536,304.9536,304.9536,304.9536,0.0,0.0,2019-10-29,HG,HGV19
2017-11-15,311.1442,311.1442,311.1442,311.1442,0.0,0.0,2019-10-29,HG,HGV19
2017-11-16,307.286,307.286,307.286,307.286,0.0,0.0,2019-10-29,HG,HGV19
2017-11-17,311.3114,311.3114,311.3114,311.3114,30.0,26.0,2019-10-29,HG,HGV19
2017-11-20,308.0426,308.0426,308.0426,308.0426,0.0,36.0,2019-10-29,HG,HGV19
2017-11-21,305.0854,305.0854,305.0854,305.0854,0.0,29.0,2019-10-29,HG,HGV19
2017-11-22,304.9023,304.9023,304.9023,304.9023,0.0,32.0,2019-10-29,HG,HGV19
2017-11-24,299.2311,299.2311,299.2311,299.2311,0.0,30.0,2019-10-29,HG,HGV19
2017-11-27,304.1385,304.1385,304.1385,304.1385,0.0,30.0,2019-10-29,HG,HGV19
2017-11-28,302.4962,302.4962,302.4962,302.4962,0.0,36.0,2019-10-29,HG,HGV19
2017-11-29,300.4997,300.4997,300.4997,300.4997,0.0,35.0,2019-10-29,HG,HGV19
2017-11-30,298.6967,298.6967,298.6967,298.6967,0.0,26.0,2019-10-29,HG,HGV19
2017-12-01,294.276,294.276,294.276,294.276,0.0,33.0,2019-10-29,HG,HGV19
2017-12-04,292.8635,292.8635,292.8635,292.8635,0.0,36.0,2019-10-29,HG,HGV19
2017-12-05,297.2857,297.2857,297.2857,297.2857,0.0,33.0,2019-10-29,HG,HGV19
