,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-11-29,308.6686,308.6686,308.6686,308.6686,0.0,0.0,2019-11-26,HG,HGX19
2017-11-30,310.5515,310.5515,310.5515,310.5515,0.0,0.0,2019-11-26,HG,HGX19
2017-12-01,312.508,312.508,312.508,312.508,0.0,0.0,2019-11-26,HG,HGX19
2017-12-04,314.3518,314.3518,314.3518,314.3518,0.0,0.0,2019-11-26,HG,HGX19
2017-12-05,313.2201,313.2201,313.2201,313.2201,0.0,0.0,2019-11-26,HG,HGX19
2017-12-06,317.6365,317.6365,317.6365,317.6365,0.0,0.0,2019-11-26,HG,HGX19
2017-12-07,311.2202,311.2202,311.2202,311.2202,0.0,0.0,2019-11-26,HG,HGX19
2017-12-08,316.3242,316.3242,316.3242,316.3242,0.0,0.0,2019-11-26,HG,HGX19
2017-12-11,323.0619,323.0619,323.0619,323.0619,0.0,0.0,2019-11-26,HG,HGX19
2017-12-12,317.1499,317.1499,317.1499,317.1499,0.0,0.0,2019-11-26,HG,HGX19
2017-12-13,318.9894,318.9894,318.9894,318.9894,0.0,0.0,2019-11-26,HG,HGX19
2017-12-14,320.6162,320.6162,320.6162,320.6162,37.0,48.0,2019-11-26,HG,HGX19
2017-12-15,324.7521,324.7521,324.7521,324.7521,0.0,35.0,2019-11-26,HG,HGX19
2017-12-18,319.686,319.686,319.686,319.686,0.0,39.0,2019-11-26,HG,HGX19
2017-12-19,316.3932,316.3932,316.3932,316.3932,128.0,141.0,2019-11-26,HG,HGX19
2017-12-20,313.1976,313.1976,313.1976,313.1976,0.0,170.0,2019-11-26,HG,HGX19
2017-12-21,312.2267,312.2267,312.2267,312.2267,0.0,138.0,2019-11-26,HG,HGX19
2017-12-22,314.0688,314.0688,314.0688,314.0688,0.0,179.0,2019-11-26,HG,HGX19
2017-12-26,307.7874,307.7874,307.7874,307.7874,0.0,170.0,2019-11-26,HG,HGX19
2017-12-27,311.3885,311.3885,311.3885,311.3885,0.0,152.0,2019-11-26,HG,HGX19
2017-12-28,317.2737,317.2737,317.2737,317.2737,20.0,176.0,2019-11-26,HG,HGX19
2017-12-29,317.3689,317.3689,317.3689,317.3689,0.0,197.0,2019-11-26,HG,HGX19
2018-01-02,321.1456,321.1456,321.1456,321.1456,29.0,228.0,2019-11-26,HG,HGX19
2018-01-03,318.4159,318.4159,318.4159,318.4159,0.0,178.0,2019-11-26,HG,HGX19
2018-01-04,320.9632,320.9632,320.9632,320.9632,0.0,232.0,2019-11-26,HG,HGX19
2018-01-05,317.7536,317.7536,317.7536,317.7536,0.0,236.0,2019-11-26,HG,HGX19
2018-01-08,316.5779,316.5779,316.5779,316.5779,0.0,207.0,2019-11-26,HG,HGX19
2018-01-09,313.1905,313.1905,313.1905,313.1905,0.0,207.0,2019-11-26,HG,HGX19
2018-01-10,319.0158,319.0158,319.0158,319.0158,0.0,186.0,2019-11-26,HG,HGX19
2018-01-11,312.8588,312.8588,312.8588,312.8588,0.0,172.0,2019-11-26,HG,HGX19
2018-01-12,308.3849,308.3849,308.3849,308.3849,0.0,228.0,2019-11-26,HG,HGX19
2018-01-16,313.0107,313.0107,313.0107,313.0107,0.0,195.0,2019-11-26,HG,HGX19
2018-01-17,317.1111,317.1111,317.1111,317.1111,0.0,193.0,2019-11-26,HG,HGX19
2018-01-18,317.3331,317.3331,317.3331,317.3331,0.0,236.0,2019-11-26,HG,HGX19
2018-01-19,318.4755,318.4755,318.4755,318.4755,88.0,251.0,2019-11-26,HG,HGX19
2018-01-22,317.0742,317.0742,317.0742,317.0742,0.0,324.0,2019-11-26,HG,HGX19
2018-01-23,311.9059,311.9059,311.9059,311.9059,0.0,313.0,2019-11-26,HG,HGX19
2018-01-24,317.0212,317.0212,317.0212,317.0212,0.0,333.0,2019-11-26,HG,HGX19
2018-01-25,324.1225,324.1225,324.1225,324.1225,0.0,327.0,2019-11-26,HG,HGX19
2018-01-26,327.9147,327.9147,327.9147,327.9147,0.0,304.0,2019-11-26,HG,HGX19
2018-01-29,323.1599,323.1599,323.1599,323.1599,0.0,283.0,2019-11-26,HG,HGX19
2018-01-30,319.0558,319.0558,319.0558,319.0558,0.0,295.0,2019-11-26,HG,HGX19
2018-01-31,319.9492,319.9492,319.9492,319.9492,13.0,321.0,2019-11-26,HG,HGX19
2018-02-01,321.6769,321.6769,321.6769,321.6769,0.0,327.0,2019-11-26,HG,HGX19
2018-02-02,315.4364,315.4364,315.4364,315.4364,0.0,340.0,2019-11-26,HG,HGX19
2018-02-05,316.3196,316.3196,316.3196,316.3196,0.0,349.0,2019-11-26,HG,HGX19
2018-02-06,319.293,319.293,319.293,319.293,0.0,248.0,2019-11-26,HG,HGX19
2018-02-07,323.6035,323.6035,323.6035,323.6035,0.0,318.0,2019-11-26,HG,HGX19
2018-02-08,324.186,324.186,324.186,324.186,0.0,303.0,2019-11-26,HG,HGX19
2018-02-09,325.8393,325.8393,325.8393,325.8393,0.0,346.0,2019-11-26,HG,HGX19
2018-02-12,325.9696,325.9696,325.9696,325.9696,0.0,321.0,2019-11-26,HG,HGX19
2018-02-13,325.2851,325.2851,325.2851,325.2851,0.0,303.0,2019-11-26,HG,HGX19
2018-02-14,318.2915,318.2915,318.2915,318.2915,0.0,254.0,2019-11-26,HG,HGX19
2018-02-15,318.3233,318.3233,318.3233,318.3233,22.0,312.0,2019-11-26,HG,HGX19
2018-02-16,311.7658,311.7658,311.7658,311.7658,12.0,349.0,2019-11-26,HG,HGX19
2018-02-20,314.7899,314.7899,314.7899,314.7899,0.0,285.0,2019-11-26,HG,HGX19
2018-02-21,316.2694,316.2694,316.2694,316.2694,0.0,298.0,2019-11-26,HG,HGX19
2018-02-22,309.9756,309.9756,309.9756,309.9756,0.0,400.0,2019-11-26,HG,HGX19
2018-02-23,315.9271,315.9271,315.9271,315.9271,1.0,366.0,2019-11-26,HG,HGX19
2018-02-26,310.6827,310.6827,310.6827,310.6827,0.0,386.0,2019-11-26,HG,HGX19
2018-02-27,312.3915,312.3915,312.3915,312.3915,0.0,298.0,2019-11-26,HG,HGX19
2018-02-28,312.0166,312.0166,312.0166,312.0166,0.0,349.0,2019-11-26,HG,HGX19
2018-03-01,306.3067,306.3067,306.3067,306.3067,0.0,336.0,2019-11-26,HG,HGX19
