,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.8426,1.8426,1.8426,1.8426,0.0,0.0,2019-12-31,HO,HOF20
2015-12-01,1.8573,1.8573,1.8573,1.8573,0.0,0.0,2019-12-31,HO,HOF20
2015-12-02,1.877,1.877,1.877,1.877,0.0,0.0,2019-12-31,HO,HOF20
2015-12-03,1.8515,1.8515,1.8515,1.8515,0.0,0.0,2019-12-31,HO,HOF20
2015-12-04,1.8439,1.8439,1.8439,1.8439,0.0,0.0,2019-12-31,HO,HOF20
2015-12-07,1.8764,1.8764,1.8764,1.8764,0.0,0.0,2019-12-31,HO,HOF20
2015-12-08,1.8475,1.8475,1.8475,1.8475,0.0,0.0,2019-12-31,HO,HOF20
2015-12-09,1.8279,1.8279,1.8279,1.8279,0.0,0.0,2019-12-31,HO,HOF20
2015-12-10,1.8423,1.8423,1.8423,1.8423,0.0,0.0,2019-12-31,HO,HOF20
2015-12-11,1.8733,1.8733,1.8733,1.8733,0.0,0.0,2019-12-31,HO,HOF20
2015-12-14,1.8881,1.8881,1.8881,1.8881,0.0,0.0,2019-12-31,HO,HOF20
2015-12-15,1.8602,1.8602,1.8602,1.8602,0.0,0.0,2019-12-31,HO,HOF20
2015-12-16,1.8209,1.8209,1.8209,1.8209,0.0,0.0,2019-12-31,HO,HOF20
2015-12-17,1.8529,1.8529,1.8529,1.8529,0.0,0.0,2019-12-31,HO,HOF20
2015-12-18,1.8638,1.8638,1.8638,1.8638,0.0,0.0,2019-12-31,HO,HOF20
2015-12-21,1.9016,1.9016,1.9016,1.9016,0.0,0.0,2019-12-31,HO,HOF20
2015-12-22,1.9115,1.9115,1.9115,1.9115,0.0,0.0,2019-12-31,HO,HOF20
2015-12-23,1.8972,1.8972,1.8972,1.8972,0.0,0.0,2019-12-31,HO,HOF20
2015-12-24,1.8758,1.8758,1.8758,1.8758,0.0,0.0,2019-12-31,HO,HOF20
2015-12-28,1.8752,1.8752,1.8752,1.8752,0.0,0.0,2019-12-31,HO,HOF20
2015-12-29,1.8317,1.8317,1.8317,1.8317,0.0,0.0,2019-12-31,HO,HOF20
2015-12-30,1.8617,1.8617,1.8617,1.8617,0.0,0.0,2019-12-31,HO,HOF20
2015-12-31,1.8987,1.8987,1.8987,1.8987,0.0,0.0,2019-12-31,HO,HOF20
2016-01-04,1.9327,1.9327,1.9327,1.9327,0.0,0.0,2019-12-31,HO,HOF20
2016-01-05,1.9522,1.9522,1.9522,1.9522,0.0,0.0,2019-12-31,HO,HOF20
2016-01-06,1.9657,1.9657,1.9657,1.9657,0.0,0.0,2019-12-31,HO,HOF20
2016-01-07,1.9252,1.9252,1.9252,1.9252,0.0,0.0,2019-12-31,HO,HOF20
2016-01-08,1.8927,1.8927,1.8927,1.8927,0.0,0.0,2019-12-31,HO,HOF20
2016-01-11,1.8721,1.8721,1.8721,1.8721,0.0,0.0,2019-12-31,HO,HOF20
2016-01-12,1.8569,1.8569,1.8569,1.8569,0.0,0.0,2019-12-31,HO,HOF20
2016-01-13,1.884,1.884,1.884,1.884,0.0,0.0,2019-12-31,HO,HOF20
2016-01-14,1.8695,1.8695,1.8695,1.8695,0.0,0.0,2019-12-31,HO,HOF20
2016-01-15,1.8261,1.8261,1.8261,1.8261,0.0,0.0,2019-12-31,HO,HOF20
