,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7829,1.7829,1.7829,1.7829,0.0,0.0,2019-01-31,HO,HOG19
2015-12-01,1.7357,1.7357,1.7357,1.7357,0.0,0.0,2019-01-31,HO,HOG19
2015-12-02,1.7782,1.7782,1.7782,1.7782,0.0,0.0,2019-01-31,HO,HOG19
2015-12-03,1.8209,1.8209,1.8209,1.8209,0.0,0.0,2019-01-31,HO,HOG19
2015-12-04,1.8524,1.8524,1.8524,1.8524,0.0,0.0,2019-01-31,HO,HOG19
2015-12-07,1.9028,1.9028,1.9028,1.9028,0.0,0.0,2019-01-31,HO,HOG19
2015-12-08,1.9291,1.9291,1.9291,1.9291,0.0,0.0,2019-01-31,HO,HOG19
2015-12-09,1.9038,1.9038,1.9038,1.9038,0.0,0.0,2019-01-31,HO,HOG19
2015-12-10,1.8766,1.8766,1.8766,1.8766,0.0,0.0,2019-01-31,HO,HOG19
2015-12-11,1.886,1.886,1.886,1.886,0.0,0.0,2019-01-31,HO,HOG19
2015-12-14,1.9333,1.9333,1.9333,1.9333,0.0,0.0,2019-01-31,HO,HOG19
2015-12-15,1.9503,1.9503,1.9503,1.9503,0.0,0.0,2019-01-31,HO,HOG19
2015-12-16,1.9392,1.9392,1.9392,1.9392,0.0,0.0,2019-01-31,HO,HOG19
2015-12-17,1.9378,1.9378,1.9378,1.9378,0.0,0.0,2019-01-31,HO,HOG19
2015-12-18,1.9632,1.9632,1.9632,1.9632,0.0,0.0,2019-01-31,HO,HOG19
2015-12-21,1.9108,1.9108,1.9108,1.9108,0.0,0.0,2019-01-31,HO,HOG19
2015-12-22,1.893,1.893,1.893,1.893,0.0,0.0,2019-01-31,HO,HOG19
2015-12-23,1.9377,1.9377,1.9377,1.9377,0.0,0.0,2019-01-31,HO,HOG19
2015-12-24,1.9406,1.9406,1.9406,1.9406,0.0,0.0,2019-01-31,HO,HOG19
2015-12-28,1.9121,1.9121,1.9121,1.9121,0.0,0.0,2019-01-31,HO,HOG19
2015-12-29,1.9197,1.9197,1.9197,1.9197,0.0,0.0,2019-01-31,HO,HOG19
2015-12-30,1.9168,1.9168,1.9168,1.9168,0.0,0.0,2019-01-31,HO,HOG19
2015-12-31,1.9091,1.9091,1.9091,1.9091,0.0,0.0,2019-01-31,HO,HOG19
2016-01-04,1.8579,1.8579,1.8579,1.8579,0.0,0.0,2019-01-31,HO,HOG19
2016-01-05,1.8863,1.8863,1.8863,1.8863,0.0,0.0,2019-01-31,HO,HOG19
2016-01-06,1.9048,1.9048,1.9048,1.9048,0.0,0.0,2019-01-31,HO,HOG19
2016-01-07,1.8621,1.8621,1.8621,1.8621,0.0,0.0,2019-01-31,HO,HOG19
2016-01-08,1.8692,1.8692,1.8692,1.8692,0.0,0.0,2019-01-31,HO,HOG19
2016-01-11,1.8924,1.8924,1.8924,1.8924,0.0,0.0,2019-01-31,HO,HOG19
2016-01-12,1.8612,1.8612,1.8612,1.8612,0.0,0.0,2019-01-31,HO,HOG19
2016-01-13,1.856,1.856,1.856,1.856,0.0,0.0,2019-01-31,HO,HOG19
2016-01-14,1.8085,1.8085,1.8085,1.8085,0.0,0.0,2019-01-31,HO,HOG19
2016-01-15,1.7901,1.7901,1.7901,1.7901,0.0,0.0,2019-01-31,HO,HOG19
2016-01-19,1.7419,1.7419,1.7419,1.7419,0.0,0.0,2019-01-31,HO,HOG19
2016-01-20,1.7621,1.7621,1.7621,1.7621,0.0,0.0,2019-01-31,HO,HOG19
2016-01-21,1.7499,1.7499,1.7499,1.7499,0.0,0.0,2019-01-31,HO,HOG19
2016-01-22,1.7807,1.7807,1.7807,1.7807,0.0,0.0,2019-01-31,HO,HOG19
2016-01-25,1.7844,1.7844,1.7844,1.7844,0.0,0.0,2019-01-31,HO,HOG19
2016-01-26,1.8201,1.8201,1.8201,1.8201,0.0,0.0,2019-01-31,HO,HOG19
2016-01-27,1.8139,1.8139,1.8139,1.8139,0.0,0.0,2019-01-31,HO,HOG19
2016-01-28,1.8395,1.8395,1.8395,1.8395,0.0,0.0,2019-01-31,HO,HOG19
2016-01-29,1.8743,1.8743,1.8743,1.8743,0.0,0.0,2019-01-31,HO,HOG19
2016-02-01,1.894,1.894,1.894,1.894,0.0,0.0,2019-01-31,HO,HOG19
2016-02-02,1.9419,1.9419,1.9419,1.9419,0.0,0.0,2019-01-31,HO,HOG19
2016-02-03,1.906,1.906,1.906,1.906,0.0,0.0,2019-01-31,HO,HOG19
2016-02-04,1.9239,1.9239,1.9239,1.9239,0.0,0.0,2019-01-31,HO,HOG19
2016-02-05,1.9097,1.9097,1.9097,1.9097,0.0,0.0,2019-01-31,HO,HOG19
2016-02-08,1.9462,1.9462,1.9462,1.9462,0.0,0.0,2019-01-31,HO,HOG19
2016-02-09,1.9238,1.9238,1.9238,1.9238,1.0,1.0,2019-01-31,HO,HOG19
2016-02-10,1.8932,1.8932,1.8932,1.8932,0.0,1.0,2019-01-31,HO,HOG19
2016-02-11,1.8627,1.8627,1.8627,1.8627,0.0,1.0,2019-01-31,HO,HOG19
2016-02-12,1.8156,1.8156,1.8156,1.8156,0.0,1.0,2019-01-31,HO,HOG19
2016-02-16,1.8461,1.8461,1.8461,1.8461,0.0,1.0,2019-01-31,HO,HOG19
2016-02-17,1.8841,1.8841,1.8841,1.8841,0.0,1.0,2019-01-31,HO,HOG19
2016-02-18,1.8837,1.8837,1.8837,1.8837,0.0,1.0,2019-01-31,HO,HOG19
2016-02-19,1.872,1.872,1.872,1.872,0.0,1.0,2019-01-31,HO,HOG19
2016-02-22,1.902,1.902,1.902,1.902,0.0,1.0,2019-01-31,HO,HOG19
2016-02-23,1.867,1.867,1.867,1.867,0.0,1.0,2019-01-31,HO,HOG19
2016-02-24,1.8967,1.8967,1.8967,1.8967,0.0,1.0,2019-01-31,HO,HOG19
2016-02-25,1.8517,1.8517,1.8517,1.8517,0.0,1.0,2019-01-31,HO,HOG19
2016-02-26,1.8239,1.8239,1.8239,1.8239,0.0,1.0,2019-01-31,HO,HOG19
2016-02-29,1.8407,1.8407,1.8407,1.8407,0.0,1.0,2019-01-31,HO,HOG19
2016-03-01,1.8157,1.8157,1.8157,1.8157,0.0,1.0,2019-01-31,HO,HOG19
2016-03-02,1.8012,1.8012,1.8012,1.8012,0.0,1.0,2019-01-31,HO,HOG19
