,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7981,1.7981,1.7981,1.7981,0.0,0.0,2019-02-28,HO,HOH19
2015-12-01,1.776,1.776,1.776,1.776,0.0,0.0,2019-02-28,HO,HOH19
2015-12-02,1.8186,1.8186,1.8186,1.8186,0.0,0.0,2019-02-28,HO,HOH19
2015-12-03,1.8577,1.8577,1.8577,1.8577,0.0,0.0,2019-02-28,HO,HOH19
2015-12-04,1.8915,1.8915,1.8915,1.8915,0.0,0.0,2019-02-28,HO,HOH19
2015-12-07,1.8796,1.8796,1.8796,1.8796,0.0,0.0,2019-02-28,HO,HOH19
2015-12-08,1.921,1.921,1.921,1.921,0.0,0.0,2019-02-28,HO,HOH19
2015-12-09,1.8878,1.8878,1.8878,1.8878,0.0,0.0,2019-02-28,HO,HOH19
2015-12-10,1.8906,1.8906,1.8906,1.8906,0.0,0.0,2019-02-28,HO,HOH19
2015-12-11,1.8583,1.8583,1.8583,1.8583,0.0,0.0,2019-02-28,HO,HOH19
2015-12-14,1.8949,1.8949,1.8949,1.8949,0.0,0.0,2019-02-28,HO,HOH19
2015-12-15,1.8994,1.8994,1.8994,1.8994,0.0,0.0,2019-02-28,HO,HOH19
2015-12-16,1.8646,1.8646,1.8646,1.8646,0.0,0.0,2019-02-28,HO,HOH19
2015-12-17,1.9149,1.9149,1.9149,1.9149,0.0,0.0,2019-02-28,HO,HOH19
2015-12-18,1.9312,1.9312,1.9312,1.9312,0.0,0.0,2019-02-28,HO,HOH19
2015-12-21,1.9409,1.9409,1.9409,1.9409,0.0,0.0,2019-02-28,HO,HOH19
2015-12-22,1.9143,1.9143,1.9143,1.9143,0.0,0.0,2019-02-28,HO,HOH19
2015-12-23,1.872,1.872,1.872,1.872,0.0,0.0,2019-02-28,HO,HOH19
2015-12-24,1.8334,1.8334,1.8334,1.8334,0.0,0.0,2019-02-28,HO,HOH19
2015-12-28,1.864,1.864,1.864,1.864,0.0,0.0,2019-02-28,HO,HOH19
2015-12-29,1.9009,1.9009,1.9009,1.9009,0.0,0.0,2019-02-28,HO,HOH19
2015-12-30,1.922,1.922,1.922,1.922,0.0,0.0,2019-02-28,HO,HOH19
