,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.775,1.775,1.775,1.775,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-01,1.8066,1.8066,1.8066,1.8066,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-02,1.8155,1.8155,1.8155,1.8155,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-03,1.8569,1.8569,1.8569,1.8569,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-04,1.8725,1.8725,1.8725,1.8725,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-07,1.9124,1.9124,1.9124,1.9124,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-08,1.9466,1.9466,1.9466,1.9466,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-09,1.9415,1.9415,1.9415,1.9415,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-10,1.9533,1.9533,1.9533,1.9533,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-11,1.9189,1.9189,1.9189,1.9189,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-14,1.9145,1.9145,1.9145,1.9145,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-15,1.9082,1.9082,1.9082,1.9082,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-16,1.9519,1.9519,1.9519,1.9519,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-17,1.99,1.99,1.99,1.99,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-18,1.9605,1.9605,1.9605,1.9605,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-21,1.965,1.965,1.965,1.965,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-22,1.9636,1.9636,1.9636,1.9636,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-23,1.9856,1.9856,1.9856,1.9856,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-24,1.933,1.933,1.933,1.933,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-28,1.9069,1.9069,1.9069,1.9069,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-29,1.8937,1.8937,1.8937,1.8937,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-30,1.9253,1.9253,1.9253,1.9253,0.0,0.0,2019-03-29,HO,HOJ19
2015-12-31,1.948,1.948,1.948,1.948,0.0,0.0,2019-03-29,HO,HOJ19
2016-01-04,1.9443,1.9443,1.9443,1.9443,0.0,0.0,2019-03-29,HO,HOJ19
2016-01-05,1.9457,1.9457,1.9457,1.9457,0.0,0.0,2019-03-29,HO,HOJ19
2016-01-06,1.9406,1.9406,1.9406,1.9406,0.0,0.0,2019-03-29,HO,HOJ19
2016-01-07,1.9406,1.9406,1.9406,1.9406,0.0,0.0,2019-03-29,HO,HOJ19
