,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7474,1.7474,1.7474,1.7474,0.0,0.0,2019-04-30,HO,HOK19
2015-12-01,1.7633,1.7633,1.7633,1.7633,0.0,0.0,2019-04-30,HO,HOK19
2015-12-02,1.7626,1.7626,1.7626,1.7626,0.0,0.0,2019-04-30,HO,HOK19
2015-12-03,1.7818,1.7818,1.7818,1.7818,0.0,0.0,2019-04-30,HO,HOK19
2015-12-04,1.7797,1.7797,1.7797,1.7797,0.0,0.0,2019-04-30,HO,HOK19
2015-12-07,1.7334,1.7334,1.7334,1.7334,0.0,0.0,2019-04-30,HO,HOK19
2015-12-08,1.7563,1.7563,1.7563,1.7563,0.0,0.0,2019-04-30,HO,HOK19
2015-12-09,1.7862,1.7862,1.7862,1.7862,0.0,0.0,2019-04-30,HO,HOK19
2015-12-10,1.7455,1.7455,1.7455,1.7455,0.0,0.0,2019-04-30,HO,HOK19
2015-12-11,1.7094,1.7094,1.7094,1.7094,0.0,0.0,2019-04-30,HO,HOK19
2015-12-14,1.7024,1.7024,1.7024,1.7024,0.0,0.0,2019-04-30,HO,HOK19
2015-12-15,1.6954,1.6954,1.6954,1.6954,0.0,0.0,2019-04-30,HO,HOK19
2015-12-16,1.713,1.713,1.713,1.713,0.0,0.0,2019-04-30,HO,HOK19
2015-12-17,1.7142,1.7142,1.7142,1.7142,0.0,0.0,2019-04-30,HO,HOK19
2015-12-18,1.7085,1.7085,1.7085,1.7085,0.0,0.0,2019-04-30,HO,HOK19
2015-12-21,1.7229,1.7229,1.7229,1.7229,0.0,0.0,2019-04-30,HO,HOK19
2015-12-22,1.691,1.691,1.691,1.691,0.0,0.0,2019-04-30,HO,HOK19
2015-12-23,1.68,1.68,1.68,1.68,0.0,0.0,2019-04-30,HO,HOK19
2015-12-24,1.6375,1.6375,1.6375,1.6375,0.0,0.0,2019-04-30,HO,HOK19
2015-12-28,1.6213,1.6213,1.6213,1.6213,0.0,0.0,2019-04-30,HO,HOK19
2015-12-29,1.6461,1.6461,1.6461,1.6461,0.0,0.0,2019-04-30,HO,HOK19
2015-12-30,1.6471,1.6471,1.6471,1.6471,0.0,0.0,2019-04-30,HO,HOK19
2015-12-31,1.6453,1.6453,1.6453,1.6453,0.0,0.0,2019-04-30,HO,HOK19
2016-01-04,1.6415,1.6415,1.6415,1.6415,0.0,0.0,2019-04-30,HO,HOK19
2016-01-05,1.6619,1.6619,1.6619,1.6619,0.0,0.0,2019-04-30,HO,HOK19
