,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7259,1.7259,1.7259,1.7259,0.0,0.0,2019-05-31,HO,HOM19
2015-12-01,1.6935,1.6935,1.6935,1.6935,0.0,0.0,2019-05-31,HO,HOM19
2015-12-02,1.7072,1.7072,1.7072,1.7072,0.0,0.0,2019-05-31,HO,HOM19
2015-12-03,1.7041,1.7041,1.7041,1.7041,0.0,0.0,2019-05-31,HO,HOM19
2015-12-04,1.7317,1.7317,1.7317,1.7317,0.0,0.0,2019-05-31,HO,HOM19
2015-12-07,1.6912,1.6912,1.6912,1.6912,0.0,0.0,2019-05-31,HO,HOM19
2015-12-08,1.6591,1.6591,1.6591,1.6591,0.0,0.0,2019-05-31,HO,HOM19
2015-12-09,1.6508,1.6508,1.6508,1.6508,0.0,0.0,2019-05-31,HO,HOM19
2015-12-10,1.6188,1.6188,1.6188,1.6188,0.0,0.0,2019-05-31,HO,HOM19
2015-12-11,1.6462,1.6462,1.6462,1.6462,0.0,0.0,2019-05-31,HO,HOM19
2015-12-14,1.6753,1.6753,1.6753,1.6753,0.0,0.0,2019-05-31,HO,HOM19
2015-12-15,1.7152,1.7152,1.7152,1.7152,0.0,0.0,2019-05-31,HO,HOM19
2015-12-16,1.7147,1.7147,1.7147,1.7147,0.0,0.0,2019-05-31,HO,HOM19
2015-12-17,1.726,1.726,1.726,1.726,0.0,0.0,2019-05-31,HO,HOM19
2015-12-18,1.756,1.756,1.756,1.756,0.0,0.0,2019-05-31,HO,HOM19
2015-12-21,1.7304,1.7304,1.7304,1.7304,2.0,2.0,2019-05-31,HO,HOM19
2015-12-22,1.7384,1.7384,1.7384,1.7384,0.0,2.0,2019-05-31,HO,HOM19
2015-12-23,1.7732,1.7732,1.7732,1.7732,0.0,2.0,2019-05-31,HO,HOM19
2015-12-24,1.7299,1.7299,1.7299,1.7299,0.0,2.0,2019-05-31,HO,HOM19
2015-12-28,1.6946,1.6946,1.6946,1.6946,0.0,2.0,2019-05-31,HO,HOM19
2015-12-29,1.738,1.738,1.738,1.738,0.0,2.0,2019-05-31,HO,HOM19
2015-12-30,1.7493,1.7493,1.7493,1.7493,0.0,2.0,2019-05-31,HO,HOM19
2015-12-31,1.7792,1.7792,1.7792,1.7792,0.0,2.0,2019-05-31,HO,HOM19
2016-01-04,1.7829,1.7829,1.7829,1.7829,0.0,2.0,2019-05-31,HO,HOM19
2016-01-05,1.8211,1.8211,1.8211,1.8211,0.0,2.0,2019-05-31,HO,HOM19
2016-01-06,1.8098,1.8098,1.8098,1.8098,0.0,2.0,2019-05-31,HO,HOM19
2016-01-07,1.7649,1.7649,1.7649,1.7649,0.0,2.0,2019-05-31,HO,HOM19
2016-01-08,1.7901,1.7901,1.7901,1.7901,0.0,2.0,2019-05-31,HO,HOM19
2016-01-11,1.8021,1.8021,1.8021,1.8021,0.0,2.0,2019-05-31,HO,HOM19
2016-01-12,1.7605,1.7605,1.7605,1.7605,0.0,2.0,2019-05-31,HO,HOM19
2016-01-13,1.7258,1.7258,1.7258,1.7258,0.0,2.0,2019-05-31,HO,HOM19
2016-01-14,1.7488,1.7488,1.7488,1.7488,0.0,2.0,2019-05-31,HO,HOM19
2016-01-15,1.7387,1.7387,1.7387,1.7387,0.0,2.0,2019-05-31,HO,HOM19
2016-01-19,1.718,1.718,1.718,1.718,0.0,2.0,2019-05-31,HO,HOM19
2016-01-20,1.7427,1.7427,1.7427,1.7427,0.0,2.0,2019-05-31,HO,HOM19
2016-01-21,1.7261,1.7261,1.7261,1.7261,0.0,2.0,2019-05-31,HO,HOM19
2016-01-22,1.7342,1.7342,1.7342,1.7342,0.0,2.0,2019-05-31,HO,HOM19
2016-01-25,1.6995,1.6995,1.6995,1.6995,0.0,2.0,2019-05-31,HO,HOM19
2016-01-26,1.6747,1.6747,1.6747,1.6747,0.0,2.0,2019-05-31,HO,HOM19
2016-01-27,1.6576,1.6576,1.6576,1.6576,0.0,2.0,2019-05-31,HO,HOM19
2016-01-28,1.6664,1.6664,1.6664,1.6664,0.0,2.0,2019-05-31,HO,HOM19
2016-01-29,1.6829,1.6829,1.6829,1.6829,0.0,2.0,2019-05-31,HO,HOM19
2016-02-01,1.6757,1.6757,1.6757,1.6757,0.0,2.0,2019-05-31,HO,HOM19
2016-02-02,1.666,1.666,1.666,1.666,0.0,2.0,2019-05-31,HO,HOM19
2016-02-03,1.6234,1.6234,1.6234,1.6234,0.0,2.0,2019-05-31,HO,HOM19
2016-02-04,1.5911,1.5911,1.5911,1.5911,0.0,2.0,2019-05-31,HO,HOM19
2016-02-05,1.5975,1.5975,1.5975,1.5975,0.0,2.0,2019-05-31,HO,HOM19
2016-02-08,1.5973,1.5973,1.5973,1.5973,0.0,2.0,2019-05-31,HO,HOM19
2016-02-09,1.6173,1.6173,1.6173,1.6173,0.0,2.0,2019-05-31,HO,HOM19
2016-02-10,1.5798,1.5798,1.5798,1.5798,0.0,2.0,2019-05-31,HO,HOM19
2016-02-11,1.5999,1.5999,1.5999,1.5999,0.0,2.0,2019-05-31,HO,HOM19
2016-02-12,1.6367,1.6367,1.6367,1.6367,0.0,2.0,2019-05-31,HO,HOM19
2016-02-16,1.6058,1.6058,1.6058,1.6058,0.0,2.0,2019-05-31,HO,HOM19
2016-02-17,1.588,1.588,1.588,1.588,0.0,2.0,2019-05-31,HO,HOM19
2016-02-18,1.5485,1.5485,1.5485,1.5485,0.0,2.0,2019-05-31,HO,HOM19
2016-02-19,1.5631,1.5631,1.5631,1.5631,0.0,2.0,2019-05-31,HO,HOM19
2016-02-22,1.5901,1.5901,1.5901,1.5901,0.0,2.0,2019-05-31,HO,HOM19
2016-02-23,1.5901,1.5901,1.5901,1.5901,1.0,3.0,2019-05-31,HO,HOM19
2016-02-24,1.5639,1.5639,1.5639,1.5639,0.0,4.0,2019-05-31,HO,HOM19
2016-02-25,1.5586,1.5586,1.5586,1.5586,0.0,3.0,2019-05-31,HO,HOM19
2016-02-26,1.5711,1.5711,1.5711,1.5711,0.0,4.0,2019-05-31,HO,HOM19
2016-02-29,1.5856,1.5856,1.5856,1.5856,0.0,3.0,2019-05-31,HO,HOM19
2016-03-01,1.5518,1.5518,1.5518,1.5518,0.0,3.0,2019-05-31,HO,HOM19
2016-03-02,1.5641,1.5641,1.5641,1.5641,0.0,3.0,2019-05-31,HO,HOM19
2016-03-03,1.5887,1.5887,1.5887,1.5887,0.0,3.0,2019-05-31,HO,HOM19
2016-03-04,1.5903,1.5903,1.5903,1.5903,0.0,3.0,2019-05-31,HO,HOM19
2016-03-07,1.6175,1.6175,1.6175,1.6175,0.0,3.0,2019-05-31,HO,HOM19
2016-03-08,1.6434,1.6434,1.6434,1.6434,0.0,3.0,2019-05-31,HO,HOM19
2016-03-09,1.6133,1.6133,1.6133,1.6133,0.0,3.0,2019-05-31,HO,HOM19
2016-03-10,1.5838,1.5838,1.5838,1.5838,0.0,3.0,2019-05-31,HO,HOM19
2016-03-11,1.6247,1.6247,1.6247,1.6247,0.0,3.0,2019-05-31,HO,HOM19
2016-03-14,1.6661,1.6661,1.6661,1.6661,0.0,4.0,2019-05-31,HO,HOM19
2016-03-15,1.6488,1.6488,1.6488,1.6488,0.0,4.0,2019-05-31,HO,HOM19
2016-03-16,1.6533,1.6533,1.6533,1.6533,0.0,3.0,2019-05-31,HO,HOM19
2016-03-17,1.6135,1.6135,1.6135,1.6135,0.0,3.0,2019-05-31,HO,HOM19
2016-03-18,1.5998,1.5998,1.5998,1.5998,0.0,4.0,2019-05-31,HO,HOM19
2016-03-21,1.5657,1.5657,1.5657,1.5657,0.0,2.0,2019-05-31,HO,HOM19
2016-03-22,1.6008,1.6008,1.6008,1.6008,0.0,3.0,2019-05-31,HO,HOM19
