,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7449,1.7449,1.7449,1.7449,0.0,0.0,2019-06-28,HO,HON19
2015-12-01,1.7747,1.7747,1.7747,1.7747,0.0,0.0,2019-06-28,HO,HON19
2015-12-02,1.7798,1.7798,1.7798,1.7798,0.0,0.0,2019-06-28,HO,HON19
2015-12-03,1.7472,1.7472,1.7472,1.7472,0.0,0.0,2019-06-28,HO,HON19
2015-12-04,1.7731,1.7731,1.7731,1.7731,0.0,0.0,2019-06-28,HO,HON19
2015-12-07,1.7653,1.7653,1.7653,1.7653,0.0,0.0,2019-06-28,HO,HON19
2015-12-08,1.7409,1.7409,1.7409,1.7409,0.0,0.0,2019-06-28,HO,HON19
2015-12-09,1.7076,1.7076,1.7076,1.7076,0.0,0.0,2019-06-28,HO,HON19
2015-12-10,1.7079,1.7079,1.7079,1.7079,0.0,0.0,2019-06-28,HO,HON19
2015-12-11,1.6813,1.6813,1.6813,1.6813,0.0,0.0,2019-06-28,HO,HON19
2015-12-14,1.6584,1.6584,1.6584,1.6584,0.0,0.0,2019-06-28,HO,HON19
2015-12-15,1.668,1.668,1.668,1.668,0.0,0.0,2019-06-28,HO,HON19
2015-12-16,1.6944,1.6944,1.6944,1.6944,0.0,0.0,2019-06-28,HO,HON19
2015-12-17,1.7154,1.7154,1.7154,1.7154,0.0,0.0,2019-06-28,HO,HON19
2015-12-18,1.7125,1.7125,1.7125,1.7125,0.0,0.0,2019-06-28,HO,HON19
2015-12-21,1.7428,1.7428,1.7428,1.7428,0.0,0.0,2019-06-28,HO,HON19
2015-12-22,1.7431,1.7431,1.7431,1.7431,0.0,0.0,2019-06-28,HO,HON19
2015-12-23,1.7276,1.7276,1.7276,1.7276,0.0,0.0,2019-06-28,HO,HON19
2015-12-24,1.7692,1.7692,1.7692,1.7692,0.0,0.0,2019-06-28,HO,HON19
2015-12-28,1.7543,1.7543,1.7543,1.7543,0.0,0.0,2019-06-28,HO,HON19
2015-12-29,1.7508,1.7508,1.7508,1.7508,0.0,0.0,2019-06-28,HO,HON19
2015-12-30,1.7778,1.7778,1.7778,1.7778,0.0,0.0,2019-06-28,HO,HON19
2015-12-31,1.7339,1.7339,1.7339,1.7339,0.0,0.0,2019-06-28,HO,HON19
2016-01-04,1.7656,1.7656,1.7656,1.7656,0.0,0.0,2019-06-28,HO,HON19
2016-01-05,1.7833,1.7833,1.7833,1.7833,0.0,0.0,2019-06-28,HO,HON19
2016-01-06,1.8279,1.8279,1.8279,1.8279,0.0,0.0,2019-06-28,HO,HON19
2016-01-07,1.8564,1.8564,1.8564,1.8564,0.0,0.0,2019-06-28,HO,HON19
2016-01-08,1.8657,1.8657,1.8657,1.8657,0.0,0.0,2019-06-28,HO,HON19
2016-01-11,1.8586,1.8586,1.8586,1.8586,0.0,0.0,2019-06-28,HO,HON19
2016-01-12,1.8395,1.8395,1.8395,1.8395,0.0,0.0,2019-06-28,HO,HON19
