,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7495,1.7495,1.7495,1.7495,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-01,1.7722,1.7722,1.7722,1.7722,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-02,1.7364,1.7364,1.7364,1.7364,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-03,1.7628,1.7628,1.7628,1.7628,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-04,1.7998,1.7998,1.7998,1.7998,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-07,1.7955,1.7955,1.7955,1.7955,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-08,1.789,1.789,1.789,1.789,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-09,1.8242,1.8242,1.8242,1.8242,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-10,1.8709,1.8709,1.8709,1.8709,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-11,1.8823,1.8823,1.8823,1.8823,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-14,1.8456,1.8456,1.8456,1.8456,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-15,1.8068,1.8068,1.8068,1.8068,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-16,1.8361,1.8361,1.8361,1.8361,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-17,1.869,1.869,1.869,1.869,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-18,1.8497,1.8497,1.8497,1.8497,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-21,1.8417,1.8417,1.8417,1.8417,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-22,1.7969,1.7969,1.7969,1.7969,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-23,1.8025,1.8025,1.8025,1.8025,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-24,1.7805,1.7805,1.7805,1.7805,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-28,1.7832,1.7832,1.7832,1.7832,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-29,1.8189,1.8189,1.8189,1.8189,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-30,1.8335,1.8335,1.8335,1.8335,0.0,0.0,2019-07-31,HO,HOQ19
2015-12-31,1.8001,1.8001,1.8001,1.8001,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-04,1.8037,1.8037,1.8037,1.8037,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-05,1.7794,1.7794,1.7794,1.7794,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-06,1.8164,1.8164,1.8164,1.8164,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-07,1.783,1.783,1.783,1.783,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-08,1.811,1.811,1.811,1.811,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-11,1.7949,1.7949,1.7949,1.7949,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-12,1.7825,1.7825,1.7825,1.7825,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-13,1.7748,1.7748,1.7748,1.7748,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-14,1.7297,1.7297,1.7297,1.7297,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-15,1.6916,1.6916,1.6916,1.6916,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-19,1.7007,1.7007,1.7007,1.7007,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-20,1.7119,1.7119,1.7119,1.7119,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-21,1.7398,1.7398,1.7398,1.7398,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-22,1.7809,1.7809,1.7809,1.7809,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-25,1.7916,1.7916,1.7916,1.7916,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-26,1.7776,1.7776,1.7776,1.7776,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-27,1.7991,1.7991,1.7991,1.7991,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-28,1.8198,1.8198,1.8198,1.8198,0.0,0.0,2019-07-31,HO,HOQ19
2016-01-29,1.8473,1.8473,1.8473,1.8473,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-01,1.8538,1.8538,1.8538,1.8538,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-02,1.8193,1.8193,1.8193,1.8193,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-03,1.8373,1.8373,1.8373,1.8373,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-04,1.7921,1.7921,1.7921,1.7921,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-05,1.7503,1.7503,1.7503,1.7503,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-08,1.7302,1.7302,1.7302,1.7302,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-09,1.7487,1.7487,1.7487,1.7487,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-10,1.7172,1.7172,1.7172,1.7172,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-11,1.746,1.746,1.746,1.746,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-12,1.7886,1.7886,1.7886,1.7886,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-16,1.7698,1.7698,1.7698,1.7698,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-17,1.7512,1.7512,1.7512,1.7512,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-18,1.7544,1.7544,1.7544,1.7544,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-19,1.7962,1.7962,1.7962,1.7962,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-22,1.7583,1.7583,1.7583,1.7583,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-23,1.7205,1.7205,1.7205,1.7205,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-24,1.757,1.757,1.757,1.757,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-25,1.7131,1.7131,1.7131,1.7131,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-26,1.7122,1.7122,1.7122,1.7122,0.0,0.0,2019-07-31,HO,HOQ19
2016-02-29,1.7288,1.7288,1.7288,1.7288,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-01,1.7134,1.7134,1.7134,1.7134,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-02,1.7567,1.7567,1.7567,1.7567,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-03,1.7753,1.7753,1.7753,1.7753,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-04,1.7432,1.7432,1.7432,1.7432,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-07,1.724,1.724,1.724,1.724,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-08,1.6854,1.6854,1.6854,1.6854,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-09,1.6744,1.6744,1.6744,1.6744,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-10,1.6809,1.6809,1.6809,1.6809,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-11,1.659,1.659,1.659,1.659,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-14,1.6424,1.6424,1.6424,1.6424,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-15,1.6549,1.6549,1.6549,1.6549,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-16,1.6225,1.6225,1.6225,1.6225,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-17,1.6593,1.6593,1.6593,1.6593,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-18,1.685,1.685,1.685,1.685,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-21,1.684,1.684,1.684,1.684,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-22,1.6892,1.6892,1.6892,1.6892,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-23,1.7172,1.7172,1.7172,1.7172,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-24,1.7194,1.7194,1.7194,1.7194,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-28,1.7252,1.7252,1.7252,1.7252,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-29,1.7571,1.7571,1.7571,1.7571,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-30,1.7748,1.7748,1.7748,1.7748,0.0,0.0,2019-07-31,HO,HOQ19
2016-03-31,1.7847,1.7847,1.7847,1.7847,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-01,1.7835,1.7835,1.7835,1.7835,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-04,1.8193,1.8193,1.8193,1.8193,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-05,1.8593,1.8593,1.8593,1.8593,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-06,1.8429,1.8429,1.8429,1.8429,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-07,1.8488,1.8488,1.8488,1.8488,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-08,1.8072,1.8072,1.8072,1.8072,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-11,1.8302,1.8302,1.8302,1.8302,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-12,1.8218,1.8218,1.8218,1.8218,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-13,1.8655,1.8655,1.8655,1.8655,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-14,1.8735,1.8735,1.8735,1.8735,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-15,1.8701,1.8701,1.8701,1.8701,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-18,1.8695,1.8695,1.8695,1.8695,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-19,1.8674,1.8674,1.8674,1.8674,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-20,1.8853,1.8853,1.8853,1.8853,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-21,1.891,1.891,1.891,1.891,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-22,1.8432,1.8432,1.8432,1.8432,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-25,1.8509,1.8509,1.8509,1.8509,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-26,1.8457,1.8457,1.8457,1.8457,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-27,1.8588,1.8588,1.8588,1.8588,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-28,1.8116,1.8116,1.8116,1.8116,0.0,0.0,2019-07-31,HO,HOQ19
2016-04-29,1.8411,1.8411,1.8411,1.8411,1.0,1.0,2019-07-31,HO,HOQ19
2016-05-02,1.8776,1.8776,1.8776,1.8776,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-03,1.8444,1.8444,1.8444,1.8444,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-04,1.8201,1.8201,1.8201,1.8201,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-05,1.8421,1.8421,1.8421,1.8421,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-06,1.8299,1.8299,1.8299,1.8299,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-09,1.8169,1.8169,1.8169,1.8169,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-10,1.7758,1.7758,1.7758,1.7758,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-11,1.7724,1.7724,1.7724,1.7724,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-12,1.7554,1.7554,1.7554,1.7554,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-13,1.7914,1.7914,1.7914,1.7914,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-16,1.805,1.805,1.805,1.805,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-17,1.7857,1.7857,1.7857,1.7857,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-18,1.8121,1.8121,1.8121,1.8121,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-19,1.8386,1.8386,1.8386,1.8386,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-20,1.8417,1.8417,1.8417,1.8417,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-23,1.813,1.813,1.813,1.813,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-24,1.8534,1.8534,1.8534,1.8534,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-25,1.876,1.876,1.876,1.876,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-26,1.8554,1.8554,1.8554,1.8554,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-27,1.8394,1.8394,1.8394,1.8394,0.0,1.0,2019-07-31,HO,HOQ19
2016-05-31,1.8519,1.8519,1.8519,1.8519,0.0,1.0,2019-07-31,HO,HOQ19
2016-06-01,1.8865,1.8865,1.8865,1.8865,0.0,1.0,2019-07-31,HO,HOQ19
2016-06-02,1.888,1.888,1.888,1.888,0.0,1.0,2019-07-31,HO,HOQ19
