,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.8075,1.8075,1.8075,1.8075,0.0,0.0,2019-08-30,HO,HOU19
2015-12-01,1.7629,1.7629,1.7629,1.7629,0.0,0.0,2019-08-30,HO,HOU19
2015-12-02,1.7287,1.7287,1.7287,1.7287,0.0,0.0,2019-08-30,HO,HOU19
2015-12-03,1.7638,1.7638,1.7638,1.7638,0.0,0.0,2019-08-30,HO,HOU19
2015-12-04,1.7268,1.7268,1.7268,1.7268,0.0,0.0,2019-08-30,HO,HOU19
2015-12-07,1.7413,1.7413,1.7413,1.7413,0.0,0.0,2019-08-30,HO,HOU19
2015-12-08,1.7197,1.7197,1.7197,1.7197,0.0,0.0,2019-08-30,HO,HOU19
2015-12-09,1.6932,1.6932,1.6932,1.6932,0.0,0.0,2019-08-30,HO,HOU19
2015-12-10,1.6515,1.6515,1.6515,1.6515,0.0,0.0,2019-08-30,HO,HOU19
2015-12-11,1.6566,1.6566,1.6566,1.6566,0.0,0.0,2019-08-30,HO,HOU19
2015-12-14,1.6619,1.6619,1.6619,1.6619,0.0,0.0,2019-08-30,HO,HOU19
2015-12-15,1.6474,1.6474,1.6474,1.6474,0.0,0.0,2019-08-30,HO,HOU19
2015-12-16,1.6693,1.6693,1.6693,1.6693,0.0,0.0,2019-08-30,HO,HOU19
2015-12-17,1.6316,1.6316,1.6316,1.6316,0.0,0.0,2019-08-30,HO,HOU19
2015-12-18,1.6401,1.6401,1.6401,1.6401,0.0,0.0,2019-08-30,HO,HOU19
2015-12-21,1.6667,1.6667,1.6667,1.6667,0.0,0.0,2019-08-30,HO,HOU19
2015-12-22,1.625,1.625,1.625,1.625,0.0,0.0,2019-08-30,HO,HOU19
2015-12-23,1.6593,1.6593,1.6593,1.6593,0.0,0.0,2019-08-30,HO,HOU19
2015-12-24,1.6844,1.6844,1.6844,1.6844,0.0,0.0,2019-08-30,HO,HOU19
2015-12-28,1.7108,1.7108,1.7108,1.7108,0.0,0.0,2019-08-30,HO,HOU19
2015-12-29,1.6959,1.6959,1.6959,1.6959,0.0,0.0,2019-08-30,HO,HOU19
2015-12-30,1.6588,1.6588,1.6588,1.6588,0.0,0.0,2019-08-30,HO,HOU19
2015-12-31,1.6258,1.6258,1.6258,1.6258,0.0,0.0,2019-08-30,HO,HOU19
2016-01-04,1.6069,1.6069,1.6069,1.6069,0.0,0.0,2019-08-30,HO,HOU19
2016-01-05,1.6186,1.6186,1.6186,1.6186,0.0,0.0,2019-08-30,HO,HOU19
2016-01-06,1.611,1.611,1.611,1.611,0.0,0.0,2019-08-30,HO,HOU19
2016-01-07,1.6411,1.6411,1.6411,1.6411,0.0,0.0,2019-08-30,HO,HOU19
2016-01-08,1.6554,1.6554,1.6554,1.6554,0.0,0.0,2019-08-30,HO,HOU19
2016-01-11,1.6566,1.6566,1.6566,1.6566,0.0,0.0,2019-08-30,HO,HOU19
2016-01-12,1.6969,1.6969,1.6969,1.6969,0.0,0.0,2019-08-30,HO,HOU19
2016-01-13,1.6682,1.6682,1.6682,1.6682,0.0,0.0,2019-08-30,HO,HOU19
2016-01-14,1.6504,1.6504,1.6504,1.6504,0.0,0.0,2019-08-30,HO,HOU19
2016-01-15,1.6801,1.6801,1.6801,1.6801,0.0,0.0,2019-08-30,HO,HOU19
2016-01-19,1.7087,1.7087,1.7087,1.7087,0.0,0.0,2019-08-30,HO,HOU19
2016-01-20,1.6935,1.6935,1.6935,1.6935,0.0,0.0,2019-08-30,HO,HOU19
2016-01-21,1.674,1.674,1.674,1.674,0.0,0.0,2019-08-30,HO,HOU19
2016-01-22,1.6601,1.6601,1.6601,1.6601,0.0,0.0,2019-08-30,HO,HOU19
2016-01-25,1.6624,1.6624,1.6624,1.6624,0.0,0.0,2019-08-30,HO,HOU19
2016-01-26,1.6448,1.6448,1.6448,1.6448,0.0,0.0,2019-08-30,HO,HOU19
2016-01-27,1.6129,1.6129,1.6129,1.6129,0.0,0.0,2019-08-30,HO,HOU19
2016-01-28,1.6537,1.6537,1.6537,1.6537,0.0,0.0,2019-08-30,HO,HOU19
2016-01-29,1.6818,1.6818,1.6818,1.6818,0.0,0.0,2019-08-30,HO,HOU19
2016-02-01,1.7087,1.7087,1.7087,1.7087,0.0,0.0,2019-08-30,HO,HOU19
2016-02-02,1.708,1.708,1.708,1.708,0.0,0.0,2019-08-30,HO,HOU19
2016-02-03,1.7263,1.7263,1.7263,1.7263,0.0,0.0,2019-08-30,HO,HOU19
2016-02-04,1.7123,1.7123,1.7123,1.7123,0.0,0.0,2019-08-30,HO,HOU19
2016-02-05,1.6876,1.6876,1.6876,1.6876,0.0,0.0,2019-08-30,HO,HOU19
2016-02-08,1.6572,1.6572,1.6572,1.6572,0.0,0.0,2019-08-30,HO,HOU19
2016-02-09,1.6219,1.6219,1.6219,1.6219,0.0,0.0,2019-08-30,HO,HOU19
2016-02-10,1.6576,1.6576,1.6576,1.6576,0.0,0.0,2019-08-30,HO,HOU19
2016-02-11,1.642,1.642,1.642,1.642,0.0,0.0,2019-08-30,HO,HOU19
2016-02-12,1.6087,1.6087,1.6087,1.6087,0.0,0.0,2019-08-30,HO,HOU19
2016-02-16,1.6174,1.6174,1.6174,1.6174,0.0,0.0,2019-08-30,HO,HOU19
2016-02-17,1.6535,1.6535,1.6535,1.6535,0.0,0.0,2019-08-30,HO,HOU19
2016-02-18,1.6538,1.6538,1.6538,1.6538,0.0,0.0,2019-08-30,HO,HOU19
2016-02-19,1.6267,1.6267,1.6267,1.6267,0.0,0.0,2019-08-30,HO,HOU19
2016-02-22,1.6599,1.6599,1.6599,1.6599,0.0,0.0,2019-08-30,HO,HOU19
2016-02-23,1.6448,1.6448,1.6448,1.6448,0.0,0.0,2019-08-30,HO,HOU19
2016-02-24,1.6083,1.6083,1.6083,1.6083,0.0,0.0,2019-08-30,HO,HOU19
2016-02-25,1.6332,1.6332,1.6332,1.6332,0.0,0.0,2019-08-30,HO,HOU19
2016-02-26,1.6703,1.6703,1.6703,1.6703,0.0,0.0,2019-08-30,HO,HOU19
2016-02-29,1.7092,1.7092,1.7092,1.7092,0.0,0.0,2019-08-30,HO,HOU19
2016-03-01,1.6983,1.6983,1.6983,1.6983,0.0,0.0,2019-08-30,HO,HOU19
2016-03-02,1.6876,1.6876,1.6876,1.6876,0.0,0.0,2019-08-30,HO,HOU19
2016-03-03,1.6592,1.6592,1.6592,1.6592,0.0,0.0,2019-08-30,HO,HOU19
2016-03-04,1.6323,1.6323,1.6323,1.6323,0.0,0.0,2019-08-30,HO,HOU19
2016-03-07,1.6222,1.6222,1.6222,1.6222,0.0,0.0,2019-08-30,HO,HOU19
2016-03-08,1.5891,1.5891,1.5891,1.5891,0.0,0.0,2019-08-30,HO,HOU19
2016-03-09,1.5881,1.5881,1.5881,1.5881,0.0,0.0,2019-08-30,HO,HOU19
2016-03-10,1.5924,1.5924,1.5924,1.5924,0.0,0.0,2019-08-30,HO,HOU19
2016-03-11,1.6223,1.6223,1.6223,1.6223,0.0,0.0,2019-08-30,HO,HOU19
2016-03-14,1.6395,1.6395,1.6395,1.6395,0.0,0.0,2019-08-30,HO,HOU19
2016-03-15,1.6805,1.6805,1.6805,1.6805,0.0,0.0,2019-08-30,HO,HOU19
2016-03-16,1.6642,1.6642,1.6642,1.6642,0.0,0.0,2019-08-30,HO,HOU19
2016-03-17,1.7046,1.7046,1.7046,1.7046,0.0,0.0,2019-08-30,HO,HOU19
2016-03-18,1.6794,1.6794,1.6794,1.6794,0.0,0.0,2019-08-30,HO,HOU19
2016-03-21,1.6801,1.6801,1.6801,1.6801,0.0,0.0,2019-08-30,HO,HOU19
2016-03-22,1.6707,1.6707,1.6707,1.6707,0.0,0.0,2019-08-30,HO,HOU19
2016-03-23,1.6338,1.6338,1.6338,1.6338,0.0,0.0,2019-08-30,HO,HOU19
2016-03-24,1.6434,1.6434,1.6434,1.6434,0.0,0.0,2019-08-30,HO,HOU19
2016-03-28,1.6304,1.6304,1.6304,1.6304,0.0,0.0,2019-08-30,HO,HOU19
2016-03-29,1.6475,1.6475,1.6475,1.6475,0.0,0.0,2019-08-30,HO,HOU19
2016-03-30,1.6485,1.6485,1.6485,1.6485,0.0,0.0,2019-08-30,HO,HOU19
2016-03-31,1.6821,1.6821,1.6821,1.6821,0.0,0.0,2019-08-30,HO,HOU19
2016-04-01,1.6466,1.6466,1.6466,1.6466,0.0,0.0,2019-08-30,HO,HOU19
2016-04-04,1.6216,1.6216,1.6216,1.6216,0.0,0.0,2019-08-30,HO,HOU19
2016-04-05,1.6294,1.6294,1.6294,1.6294,0.0,0.0,2019-08-30,HO,HOU19
2016-04-06,1.6118,1.6118,1.6118,1.6118,0.0,0.0,2019-08-30,HO,HOU19
2016-04-07,1.6129,1.6129,1.6129,1.6129,0.0,0.0,2019-08-30,HO,HOU19
