,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.8443,1.8443,1.8443,1.8443,0.0,0.0,2019-09-30,HO,HOV19
2015-12-01,1.8557,1.8557,1.8557,1.8557,0.0,0.0,2019-09-30,HO,HOV19
2015-12-02,1.8629,1.8629,1.8629,1.8629,0.0,0.0,2019-09-30,HO,HOV19
2015-12-03,1.8771,1.8771,1.8771,1.8771,0.0,0.0,2019-09-30,HO,HOV19
2015-12-04,1.8418,1.8418,1.8418,1.8418,0.0,0.0,2019-09-30,HO,HOV19
2015-12-07,1.874,1.874,1.874,1.874,0.0,0.0,2019-09-30,HO,HOV19
2015-12-08,1.8493,1.8493,1.8493,1.8493,0.0,0.0,2019-09-30,HO,HOV19
2015-12-09,1.8656,1.8656,1.8656,1.8656,0.0,0.0,2019-09-30,HO,HOV19
2015-12-10,1.8645,1.8645,1.8645,1.8645,0.0,0.0,2019-09-30,HO,HOV19
2015-12-11,1.8567,1.8567,1.8567,1.8567,0.0,0.0,2019-09-30,HO,HOV19
2015-12-14,1.8177,1.8177,1.8177,1.8177,0.0,0.0,2019-09-30,HO,HOV19
2015-12-15,1.8521,1.8521,1.8521,1.8521,0.0,0.0,2019-09-30,HO,HOV19
2015-12-16,1.8873,1.8873,1.8873,1.8873,0.0,0.0,2019-09-30,HO,HOV19
2015-12-17,1.8582,1.8582,1.8582,1.8582,0.0,0.0,2019-09-30,HO,HOV19
2015-12-18,1.871,1.871,1.871,1.871,0.0,0.0,2019-09-30,HO,HOV19
2015-12-21,1.8654,1.8654,1.8654,1.8654,0.0,0.0,2019-09-30,HO,HOV19
2015-12-22,1.8811,1.8811,1.8811,1.8811,0.0,0.0,2019-09-30,HO,HOV19
2015-12-23,1.9189,1.9189,1.9189,1.9189,0.0,0.0,2019-09-30,HO,HOV19
2015-12-24,1.9481,1.9481,1.9481,1.9481,0.0,0.0,2019-09-30,HO,HOV19
2015-12-28,1.92,1.92,1.92,1.92,0.0,0.0,2019-09-30,HO,HOV19
2015-12-29,1.9354,1.9354,1.9354,1.9354,0.0,0.0,2019-09-30,HO,HOV19
2015-12-30,1.9025,1.9025,1.9025,1.9025,0.0,0.0,2019-09-30,HO,HOV19
2015-12-31,1.8839,1.8839,1.8839,1.8839,0.0,0.0,2019-09-30,HO,HOV19
2016-01-04,1.9152,1.9152,1.9152,1.9152,0.0,0.0,2019-09-30,HO,HOV19
