,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.802,1.802,1.802,1.802,0.0,0.0,2019-10-31,HO,HOX19
2015-12-01,1.7764,1.7764,1.7764,1.7764,0.0,0.0,2019-10-31,HO,HOX19
2015-12-02,1.7508,1.7508,1.7508,1.7508,0.0,0.0,2019-10-31,HO,HOX19
2015-12-03,1.7207,1.7207,1.7207,1.7207,0.0,0.0,2019-10-31,HO,HOX19
2015-12-04,1.7601,1.7601,1.7601,1.7601,0.0,0.0,2019-10-31,HO,HOX19
2015-12-07,1.7615,1.7615,1.7615,1.7615,0.0,0.0,2019-10-31,HO,HOX19
2015-12-08,1.7789,1.7789,1.7789,1.7789,0.0,0.0,2019-10-31,HO,HOX19
2015-12-09,1.7465,1.7465,1.7465,1.7465,0.0,0.0,2019-10-31,HO,HOX19
2015-12-10,1.7453,1.7453,1.7453,1.7453,0.0,0.0,2019-10-31,HO,HOX19
2015-12-11,1.7549,1.7549,1.7549,1.7549,0.0,0.0,2019-10-31,HO,HOX19
2015-12-14,1.7823,1.7823,1.7823,1.7823,0.0,0.0,2019-10-31,HO,HOX19
2015-12-15,1.8169,1.8169,1.8169,1.8169,0.0,0.0,2019-10-31,HO,HOX19
2015-12-16,1.8476,1.8476,1.8476,1.8476,0.0,0.0,2019-10-31,HO,HOX19
2015-12-17,1.8391,1.8391,1.8391,1.8391,0.0,0.0,2019-10-31,HO,HOX19
2015-12-18,1.8362,1.8362,1.8362,1.8362,0.0,0.0,2019-10-31,HO,HOX19
2015-12-21,1.8204,1.8204,1.8204,1.8204,0.0,0.0,2019-10-31,HO,HOX19
2015-12-22,1.8415,1.8415,1.8415,1.8415,0.0,0.0,2019-10-31,HO,HOX19
2015-12-23,1.829,1.829,1.829,1.829,0.0,0.0,2019-10-31,HO,HOX19
2015-12-24,1.8566,1.8566,1.8566,1.8566,0.0,0.0,2019-10-31,HO,HOX19
2015-12-28,1.8462,1.8462,1.8462,1.8462,0.0,0.0,2019-10-31,HO,HOX19
2015-12-29,1.8368,1.8368,1.8368,1.8368,0.0,0.0,2019-10-31,HO,HOX19
2015-12-30,1.8098,1.8098,1.8098,1.8098,0.0,0.0,2019-10-31,HO,HOX19
2015-12-31,1.835,1.835,1.835,1.835,0.0,0.0,2019-10-31,HO,HOX19
2016-01-04,1.8411,1.8411,1.8411,1.8411,0.0,0.0,2019-10-31,HO,HOX19
2016-01-05,1.8124,1.8124,1.8124,1.8124,0.0,0.0,2019-10-31,HO,HOX19
2016-01-06,1.8305,1.8305,1.8305,1.8305,0.0,0.0,2019-10-31,HO,HOX19
2016-01-07,1.8025,1.8025,1.8025,1.8025,0.0,0.0,2019-10-31,HO,HOX19
2016-01-08,1.8467,1.8467,1.8467,1.8467,0.0,0.0,2019-10-31,HO,HOX19
2016-01-11,1.8834,1.8834,1.8834,1.8834,0.0,0.0,2019-10-31,HO,HOX19
2016-01-12,1.8625,1.8625,1.8625,1.8625,0.0,0.0,2019-10-31,HO,HOX19
2016-01-13,1.8448,1.8448,1.8448,1.8448,0.0,0.0,2019-10-31,HO,HOX19
2016-01-14,1.8395,1.8395,1.8395,1.8395,0.0,0.0,2019-10-31,HO,HOX19
2016-01-15,1.8796,1.8796,1.8796,1.8796,0.0,0.0,2019-10-31,HO,HOX19
2016-01-19,1.9129,1.9129,1.9129,1.9129,0.0,0.0,2019-10-31,HO,HOX19
2016-01-20,1.9257,1.9257,1.9257,1.9257,0.0,0.0,2019-10-31,HO,HOX19
2016-01-21,1.922,1.922,1.922,1.922,0.0,0.0,2019-10-31,HO,HOX19
2016-01-22,1.957,1.957,1.957,1.957,0.0,0.0,2019-10-31,HO,HOX19
2016-01-25,1.9263,1.9263,1.9263,1.9263,0.0,0.0,2019-10-31,HO,HOX19
2016-01-26,1.8976,1.8976,1.8976,1.8976,0.0,0.0,2019-10-31,HO,HOX19
2016-01-27,1.8574,1.8574,1.8574,1.8574,0.0,0.0,2019-10-31,HO,HOX19
2016-01-28,1.857,1.857,1.857,1.857,0.0,0.0,2019-10-31,HO,HOX19
2016-01-29,1.8635,1.8635,1.8635,1.8635,0.0,0.0,2019-10-31,HO,HOX19
2016-02-01,1.8887,1.8887,1.8887,1.8887,0.0,0.0,2019-10-31,HO,HOX19
2016-02-02,1.8536,1.8536,1.8536,1.8536,0.0,0.0,2019-10-31,HO,HOX19
2016-02-03,1.8504,1.8504,1.8504,1.8504,0.0,0.0,2019-10-31,HO,HOX19
2016-02-04,1.8896,1.8896,1.8896,1.8896,0.0,0.0,2019-10-31,HO,HOX19
2016-02-05,1.9332,1.9332,1.9332,1.9332,0.0,0.0,2019-10-31,HO,HOX19
2016-02-08,1.9303,1.9303,1.9303,1.9303,0.0,0.0,2019-10-31,HO,HOX19
2016-02-09,1.9334,1.9334,1.9334,1.9334,0.0,0.0,2019-10-31,HO,HOX19
2016-02-10,1.98,1.98,1.98,1.98,0.0,0.0,2019-10-31,HO,HOX19
2016-02-11,2.0206,2.0206,2.0206,2.0206,0.0,0.0,2019-10-31,HO,HOX19
2016-02-12,2.0529,2.0529,2.0529,2.0529,0.0,0.0,2019-10-31,HO,HOX19
2016-02-16,2.0451,2.0451,2.0451,2.0451,0.0,0.0,2019-10-31,HO,HOX19
2016-02-17,2.0291,2.0291,2.0291,2.0291,0.0,0.0,2019-10-31,HO,HOX19
2016-02-18,2.0498,2.0498,2.0498,2.0498,0.0,0.0,2019-10-31,HO,HOX19
2016-02-19,2.0748,2.0748,2.0748,2.0748,0.0,0.0,2019-10-31,HO,HOX19
2016-02-22,2.0391,2.0391,2.0391,2.0391,0.0,0.0,2019-10-31,HO,HOX19
2016-02-23,2.0475,2.0475,2.0475,2.0475,0.0,0.0,2019-10-31,HO,HOX19
2016-02-24,2.0168,2.0168,2.0168,2.0168,0.0,0.0,2019-10-31,HO,HOX19
2016-02-25,2.0424,2.0424,2.0424,2.0424,0.0,0.0,2019-10-31,HO,HOX19
2016-02-26,2.0453,2.0453,2.0453,2.0453,0.0,0.0,2019-10-31,HO,HOX19
2016-02-29,2.0052,2.0052,2.0052,2.0052,0.0,0.0,2019-10-31,HO,HOX19
2016-03-01,2.017,2.017,2.017,2.017,0.0,0.0,2019-10-31,HO,HOX19
2016-03-02,1.9954,1.9954,1.9954,1.9954,0.0,0.0,2019-10-31,HO,HOX19
2016-03-03,2.0154,2.0154,2.0154,2.0154,0.0,0.0,2019-10-31,HO,HOX19
2016-03-04,2.0277,2.0277,2.0277,2.0277,0.0,0.0,2019-10-31,HO,HOX19
2016-03-07,2.0263,2.0263,2.0263,2.0263,0.0,0.0,2019-10-31,HO,HOX19
2016-03-08,2.0715,2.0715,2.0715,2.0715,0.0,0.0,2019-10-31,HO,HOX19
2016-03-09,2.0719,2.0719,2.0719,2.0719,0.0,0.0,2019-10-31,HO,HOX19
2016-03-10,2.0245,2.0245,2.0245,2.0245,0.0,0.0,2019-10-31,HO,HOX19
2016-03-11,2.0067,2.0067,2.0067,2.0067,0.0,0.0,2019-10-31,HO,HOX19
2016-03-14,2.0003,2.0003,2.0003,2.0003,0.0,0.0,2019-10-31,HO,HOX19
2016-03-15,1.9877,1.9877,1.9877,1.9877,0.0,0.0,2019-10-31,HO,HOX19
2016-03-16,2.0052,2.0052,2.0052,2.0052,0.0,0.0,2019-10-31,HO,HOX19
2016-03-17,2.0,2.0,2.0,2.0,0.0,0.0,2019-10-31,HO,HOX19
2016-03-18,2.0472,2.0472,2.0472,2.0472,0.0,0.0,2019-10-31,HO,HOX19
2016-03-21,2.0912,2.0912,2.0912,2.0912,0.0,0.0,2019-10-31,HO,HOX19
2016-03-22,2.0713,2.0713,2.0713,2.0713,0.0,0.0,2019-10-31,HO,HOX19
2016-03-23,2.097,2.097,2.097,2.097,0.0,0.0,2019-10-31,HO,HOX19
2016-03-24,2.0939,2.0939,2.0939,2.0939,0.0,0.0,2019-10-31,HO,HOX19
2016-03-28,2.1251,2.1251,2.1251,2.1251,0.0,0.0,2019-10-31,HO,HOX19
2016-03-29,2.1208,2.1208,2.1208,2.1208,0.0,0.0,2019-10-31,HO,HOX19
2016-03-30,2.1308,2.1308,2.1308,2.1308,0.0,0.0,2019-10-31,HO,HOX19
2016-03-31,2.1395,2.1395,2.1395,2.1395,0.0,0.0,2019-10-31,HO,HOX19
2016-04-01,2.1314,2.1314,2.1314,2.1314,0.0,0.0,2019-10-31,HO,HOX19
2016-04-04,2.118,2.118,2.118,2.118,0.0,0.0,2019-10-31,HO,HOX19
2016-04-05,2.1229,2.1229,2.1229,2.1229,0.0,0.0,2019-10-31,HO,HOX19
2016-04-06,2.0919,2.0919,2.0919,2.0919,0.0,0.0,2019-10-31,HO,HOX19
2016-04-07,2.0639,2.0639,2.0639,2.0639,0.0,0.0,2019-10-31,HO,HOX19
2016-04-08,2.0699,2.0699,2.0699,2.0699,0.0,0.0,2019-10-31,HO,HOX19
2016-04-11,2.0384,2.0384,2.0384,2.0384,0.0,0.0,2019-10-31,HO,HOX19
2016-04-12,2.0663,2.0663,2.0663,2.0663,0.0,0.0,2019-10-31,HO,HOX19
2016-04-13,2.0405,2.0405,2.0405,2.0405,0.0,0.0,2019-10-31,HO,HOX19
2016-04-14,2.0185,2.0185,2.0185,2.0185,0.0,0.0,2019-10-31,HO,HOX19
2016-04-15,2.0248,2.0248,2.0248,2.0248,0.0,0.0,2019-10-31,HO,HOX19
2016-04-18,2.0546,2.0546,2.0546,2.0546,0.0,0.0,2019-10-31,HO,HOX19
2016-04-19,2.0232,2.0232,2.0232,2.0232,0.0,0.0,2019-10-31,HO,HOX19
2016-04-20,2.0548,2.0548,2.0548,2.0548,0.0,0.0,2019-10-31,HO,HOX19
2016-04-21,2.0264,2.0264,2.0264,2.0264,0.0,0.0,2019-10-31,HO,HOX19
2016-04-22,2.012,2.012,2.012,2.012,0.0,0.0,2019-10-31,HO,HOX19
2016-04-25,1.9824,1.9824,1.9824,1.9824,0.0,0.0,2019-10-31,HO,HOX19
2016-04-26,1.942,1.942,1.942,1.942,0.0,0.0,2019-10-31,HO,HOX19
2016-04-27,1.9321,1.9321,1.9321,1.9321,0.0,0.0,2019-10-31,HO,HOX19
2016-04-28,1.9375,1.9375,1.9375,1.9375,0.0,0.0,2019-10-31,HO,HOX19
2016-04-29,1.973,1.973,1.973,1.973,0.0,0.0,2019-10-31,HO,HOX19
2016-05-02,1.9975,1.9975,1.9975,1.9975,0.0,0.0,2019-10-31,HO,HOX19
2016-05-03,2.0382,2.0382,2.0382,2.0382,0.0,0.0,2019-10-31,HO,HOX19
2016-05-04,2.0288,2.0288,2.0288,2.0288,0.0,0.0,2019-10-31,HO,HOX19
2016-05-05,2.0594,2.0594,2.0594,2.0594,0.0,0.0,2019-10-31,HO,HOX19
2016-05-06,2.0277,2.0277,2.0277,2.0277,0.0,0.0,2019-10-31,HO,HOX19
2016-05-09,2.0678,2.0678,2.0678,2.0678,0.0,0.0,2019-10-31,HO,HOX19
2016-05-10,2.0583,2.0583,2.0583,2.0583,0.0,0.0,2019-10-31,HO,HOX19
2016-05-11,2.0398,2.0398,2.0398,2.0398,0.0,0.0,2019-10-31,HO,HOX19
2016-05-12,2.0655,2.0655,2.0655,2.0655,0.0,0.0,2019-10-31,HO,HOX19
2016-05-13,2.0992,2.0992,2.0992,2.0992,0.0,0.0,2019-10-31,HO,HOX19
2016-05-16,2.107,2.107,2.107,2.107,0.0,0.0,2019-10-31,HO,HOX19
2016-05-17,2.1329,2.1329,2.1329,2.1329,0.0,0.0,2019-10-31,HO,HOX19
2016-05-18,2.0975,2.0975,2.0975,2.0975,0.0,0.0,2019-10-31,HO,HOX19
2016-05-19,2.0564,2.0564,2.0564,2.0564,0.0,0.0,2019-10-31,HO,HOX19
2016-05-20,2.1076,2.1076,2.1076,2.1076,0.0,0.0,2019-10-31,HO,HOX19
2016-05-23,2.1215,2.1215,2.1215,2.1215,0.0,0.0,2019-10-31,HO,HOX19
2016-05-24,2.1427,2.1427,2.1427,2.1427,0.0,0.0,2019-10-31,HO,HOX19
2016-05-25,2.1429,2.1429,2.1429,2.1429,0.0,0.0,2019-10-31,HO,HOX19
2016-05-26,2.153,2.153,2.153,2.153,0.0,0.0,2019-10-31,HO,HOX19
2016-05-27,2.1254,2.1254,2.1254,2.1254,0.0,0.0,2019-10-31,HO,HOX19
2016-05-31,2.1409,2.1409,2.1409,2.1409,0.0,0.0,2019-10-31,HO,HOX19
2016-06-01,2.1358,2.1358,2.1358,2.1358,0.0,0.0,2019-10-31,HO,HOX19
2016-06-02,2.1247,2.1247,2.1247,2.1247,0.0,0.0,2019-10-31,HO,HOX19
2016-06-03,2.0724,2.0724,2.0724,2.0724,0.0,0.0,2019-10-31,HO,HOX19
2016-06-06,2.0987,2.0987,2.0987,2.0987,0.0,0.0,2019-10-31,HO,HOX19
2016-06-07,2.0647,2.0647,2.0647,2.0647,0.0,0.0,2019-10-31,HO,HOX19
2016-06-08,2.086,2.086,2.086,2.086,0.0,0.0,2019-10-31,HO,HOX19
2016-06-09,2.1258,2.1258,2.1258,2.1258,0.0,0.0,2019-10-31,HO,HOX19
2016-06-10,2.1147,2.1147,2.1147,2.1147,0.0,0.0,2019-10-31,HO,HOX19
2016-06-13,2.1665,2.1665,2.1665,2.1665,0.0,0.0,2019-10-31,HO,HOX19
2016-06-14,2.1611,2.1611,2.1611,2.1611,0.0,0.0,2019-10-31,HO,HOX19
2016-06-15,2.2145,2.2145,2.2145,2.2145,0.0,0.0,2019-10-31,HO,HOX19
2016-06-16,2.1877,2.1877,2.1877,2.1877,0.0,0.0,2019-10-31,HO,HOX19
2016-06-17,2.2229,2.2229,2.2229,2.2229,0.0,0.0,2019-10-31,HO,HOX19
2016-06-20,2.174,2.174,2.174,2.174,0.0,0.0,2019-10-31,HO,HOX19
2016-06-21,2.209,2.209,2.209,2.209,0.0,0.0,2019-10-31,HO,HOX19
2016-06-22,2.1684,2.1684,2.1684,2.1684,0.0,0.0,2019-10-31,HO,HOX19
2016-06-23,2.138,2.138,2.138,2.138,0.0,0.0,2019-10-31,HO,HOX19
2016-06-24,2.0893,2.0893,2.0893,2.0893,0.0,0.0,2019-10-31,HO,HOX19
2016-06-27,2.1409,2.1409,2.1409,2.1409,0.0,0.0,2019-10-31,HO,HOX19
2016-06-28,2.1308,2.1308,2.1308,2.1308,0.0,0.0,2019-10-31,HO,HOX19
2016-06-29,2.079,2.079,2.079,2.079,0.0,0.0,2019-10-31,HO,HOX19
2016-06-30,2.0832,2.0832,2.0832,2.0832,0.0,0.0,2019-10-31,HO,HOX19
2016-07-01,2.1178,2.1178,2.1178,2.1178,0.0,0.0,2019-10-31,HO,HOX19
2016-07-05,2.0837,2.0837,2.0837,2.0837,0.0,0.0,2019-10-31,HO,HOX19
2016-07-06,2.1335,2.1335,2.1335,2.1335,0.0,0.0,2019-10-31,HO,HOX19
2016-07-07,2.0802,2.0802,2.0802,2.0802,0.0,0.0,2019-10-31,HO,HOX19
2016-07-08,2.0561,2.0561,2.0561,2.0561,0.0,0.0,2019-10-31,HO,HOX19
2016-07-11,2.0832,2.0832,2.0832,2.0832,0.0,0.0,2019-10-31,HO,HOX19
2016-07-12,2.0392,2.0392,2.0392,2.0392,0.0,0.0,2019-10-31,HO,HOX19
2016-07-13,2.0637,2.0637,2.0637,2.0637,0.0,0.0,2019-10-31,HO,HOX19
2016-07-14,2.1087,2.1087,2.1087,2.1087,0.0,0.0,2019-10-31,HO,HOX19
2016-07-15,2.138,2.138,2.138,2.138,0.0,0.0,2019-10-31,HO,HOX19
2016-07-18,2.1115,2.1115,2.1115,2.1115,0.0,0.0,2019-10-31,HO,HOX19
2016-07-19,2.1518,2.1518,2.1518,2.1518,0.0,0.0,2019-10-31,HO,HOX19
2016-07-20,2.1914,2.1914,2.1914,2.1914,0.0,0.0,2019-10-31,HO,HOX19
2016-07-21,2.1504,2.1504,2.1504,2.1504,0.0,0.0,2019-10-31,HO,HOX19
2016-07-22,2.1521,2.1521,2.1521,2.1521,0.0,0.0,2019-10-31,HO,HOX19
2016-07-25,2.1975,2.1975,2.1975,2.1975,0.0,0.0,2019-10-31,HO,HOX19
2016-07-26,2.1916,2.1916,2.1916,2.1916,0.0,0.0,2019-10-31,HO,HOX19
2016-07-27,2.1445,2.1445,2.1445,2.1445,0.0,0.0,2019-10-31,HO,HOX19
2016-07-28,2.1261,2.1261,2.1261,2.1261,0.0,0.0,2019-10-31,HO,HOX19
2016-07-29,2.0789,2.0789,2.0789,2.0789,0.0,0.0,2019-10-31,HO,HOX19
2016-08-01,2.0851,2.0851,2.0851,2.0851,0.0,0.0,2019-10-31,HO,HOX19
2016-08-02,2.1076,2.1076,2.1076,2.1076,0.0,0.0,2019-10-31,HO,HOX19
2016-08-03,2.1226,2.1226,2.1226,2.1226,0.0,0.0,2019-10-31,HO,HOX19
2016-08-04,2.0835,2.0835,2.0835,2.0835,0.0,0.0,2019-10-31,HO,HOX19
2016-08-05,2.041,2.041,2.041,2.041,0.0,0.0,2019-10-31,HO,HOX19
2016-08-08,2.0786,2.0786,2.0786,2.0786,0.0,0.0,2019-10-31,HO,HOX19
2016-08-09,2.1125,2.1125,2.1125,2.1125,0.0,0.0,2019-10-31,HO,HOX19
2016-08-10,2.1028,2.1028,2.1028,2.1028,0.0,0.0,2019-10-31,HO,HOX19
2016-08-11,2.1089,2.1089,2.1089,2.1089,0.0,0.0,2019-10-31,HO,HOX19
2016-08-12,2.0568,2.0568,2.0568,2.0568,0.0,0.0,2019-10-31,HO,HOX19
2016-08-15,2.0759,2.0759,2.0759,2.0759,0.0,0.0,2019-10-31,HO,HOX19
2016-08-16,2.106,2.106,2.106,2.106,0.0,0.0,2019-10-31,HO,HOX19
2016-08-17,2.0814,2.0814,2.0814,2.0814,0.0,0.0,2019-10-31,HO,HOX19
2016-08-18,2.0529,2.0529,2.0529,2.0529,0.0,0.0,2019-10-31,HO,HOX19
2016-08-19,2.1026,2.1026,2.1026,2.1026,0.0,0.0,2019-10-31,HO,HOX19
2016-08-22,2.1039,2.1039,2.1039,2.1039,0.0,0.0,2019-10-31,HO,HOX19
2016-08-23,2.1428,2.1428,2.1428,2.1428,0.0,0.0,2019-10-31,HO,HOX19
2016-08-24,2.1164,2.1164,2.1164,2.1164,0.0,0.0,2019-10-31,HO,HOX19
2016-08-25,2.0874,2.0874,2.0874,2.0874,0.0,0.0,2019-10-31,HO,HOX19
2016-08-26,2.131,2.131,2.131,2.131,0.0,0.0,2019-10-31,HO,HOX19
2016-08-29,2.1342,2.1342,2.1342,2.1342,0.0,0.0,2019-10-31,HO,HOX19
2016-08-30,2.083,2.083,2.083,2.083,0.0,0.0,2019-10-31,HO,HOX19
2016-08-31,2.1324,2.1324,2.1324,2.1324,0.0,0.0,2019-10-31,HO,HOX19
2016-09-01,2.1744,2.1744,2.1744,2.1744,0.0,0.0,2019-10-31,HO,HOX19
2016-09-02,2.1701,2.1701,2.1701,2.1701,0.0,0.0,2019-10-31,HO,HOX19
2016-09-06,2.2165,2.2165,2.2165,2.2165,0.0,0.0,2019-10-31,HO,HOX19
2016-09-07,2.1919,2.1919,2.1919,2.1919,0.0,0.0,2019-10-31,HO,HOX19
2016-09-08,2.1595,2.1595,2.1595,2.1595,0.0,0.0,2019-10-31,HO,HOX19
2016-09-09,2.18,2.18,2.18,2.18,0.0,0.0,2019-10-31,HO,HOX19
2016-09-12,2.2184,2.2184,2.2184,2.2184,0.0,0.0,2019-10-31,HO,HOX19
2016-09-13,2.1774,2.1774,2.1774,2.1774,0.0,0.0,2019-10-31,HO,HOX19
2016-09-14,2.1386,2.1386,2.1386,2.1386,0.0,0.0,2019-10-31,HO,HOX19
2016-09-15,2.1343,2.1343,2.1343,2.1343,0.0,0.0,2019-10-31,HO,HOX19
2016-09-16,2.0844,2.0844,2.0844,2.0844,0.0,0.0,2019-10-31,HO,HOX19
2016-09-19,2.0548,2.0548,2.0548,2.0548,0.0,0.0,2019-10-31,HO,HOX19
2016-09-20,2.0375,2.0375,2.0375,2.0375,0.0,0.0,2019-10-31,HO,HOX19
2016-09-21,2.0732,2.0732,2.0732,2.0732,0.0,0.0,2019-10-31,HO,HOX19
2016-09-22,2.1159,2.1159,2.1159,2.1159,0.0,0.0,2019-10-31,HO,HOX19
2016-09-23,2.0738,2.0738,2.0738,2.0738,0.0,0.0,2019-10-31,HO,HOX19
2016-09-26,2.0707,2.0707,2.0707,2.0707,0.0,0.0,2019-10-31,HO,HOX19
2016-09-27,2.0562,2.0562,2.0562,2.0562,0.0,0.0,2019-10-31,HO,HOX19
2016-09-28,2.0903,2.0903,2.0903,2.0903,0.0,0.0,2019-10-31,HO,HOX19
2016-09-29,2.106,2.106,2.106,2.106,0.0,0.0,2019-10-31,HO,HOX19
2016-09-30,2.082,2.082,2.082,2.082,0.0,0.0,2019-10-31,HO,HOX19
2016-10-03,2.0368,2.0368,2.0368,2.0368,0.0,0.0,2019-10-31,HO,HOX19
2016-10-04,2.0631,2.0631,2.0631,2.0631,0.0,0.0,2019-10-31,HO,HOX19
2016-10-05,2.0398,2.0398,2.0398,2.0398,0.0,0.0,2019-10-31,HO,HOX19
2016-10-06,2.0657,2.0657,2.0657,2.0657,0.0,0.0,2019-10-31,HO,HOX19
2016-10-07,2.0446,2.0446,2.0446,2.0446,0.0,0.0,2019-10-31,HO,HOX19
2016-10-10,2.0691,2.0691,2.0691,2.0691,0.0,0.0,2019-10-31,HO,HOX19
2016-10-11,2.0521,2.0521,2.0521,2.0521,0.0,0.0,2019-10-31,HO,HOX19
2016-10-12,2.0109,2.0109,2.0109,2.0109,0.0,0.0,2019-10-31,HO,HOX19
2016-10-13,2.0,2.0,2.0,2.0,0.0,0.0,2019-10-31,HO,HOX19
2016-10-14,2.0344,2.0344,2.0344,2.0344,0.0,0.0,2019-10-31,HO,HOX19
2016-10-17,1.9925,1.9925,1.9925,1.9925,0.0,0.0,2019-10-31,HO,HOX19
2016-10-18,2.011,2.011,2.011,2.011,0.0,0.0,2019-10-31,HO,HOX19
2016-10-19,1.9997,1.9997,1.9997,1.9997,0.0,0.0,2019-10-31,HO,HOX19
2016-10-20,1.9937,1.9937,1.9937,1.9937,0.0,0.0,2019-10-31,HO,HOX19
2016-10-21,2.0001,2.0001,2.0001,2.0001,0.0,0.0,2019-10-31,HO,HOX19
2016-10-24,2.0265,2.0265,2.0265,2.0265,0.0,0.0,2019-10-31,HO,HOX19
2016-10-25,2.0431,2.0431,2.0431,2.0431,0.0,0.0,2019-10-31,HO,HOX19
2016-10-26,2.0737,2.0737,2.0737,2.0737,0.0,0.0,2019-10-31,HO,HOX19
2016-10-27,2.0374,2.0374,2.0374,2.0374,0.0,0.0,2019-10-31,HO,HOX19
2016-10-28,1.9995,1.9995,1.9995,1.9995,0.0,0.0,2019-10-31,HO,HOX19
2016-10-31,1.9709,1.9709,1.9709,1.9709,0.0,0.0,2019-10-31,HO,HOX19
2016-11-01,2.017,2.017,2.017,2.017,0.0,0.0,2019-10-31,HO,HOX19
2016-11-02,1.9692,1.9692,1.9692,1.9692,0.0,0.0,2019-10-31,HO,HOX19
2016-11-03,1.9259,1.9259,1.9259,1.9259,0.0,0.0,2019-10-31,HO,HOX19
2016-11-04,1.9288,1.9288,1.9288,1.9288,0.0,0.0,2019-10-31,HO,HOX19
2016-11-07,1.8866,1.8866,1.8866,1.8866,0.0,0.0,2019-10-31,HO,HOX19
2016-11-08,1.8804,1.8804,1.8804,1.8804,0.0,0.0,2019-10-31,HO,HOX19
2016-11-09,1.8492,1.8492,1.8492,1.8492,0.0,0.0,2019-10-31,HO,HOX19
2016-11-10,1.8747,1.8747,1.8747,1.8747,0.0,0.0,2019-10-31,HO,HOX19
2016-11-11,1.8535,1.8535,1.8535,1.8535,0.0,0.0,2019-10-31,HO,HOX19
2016-11-14,1.8324,1.8324,1.8324,1.8324,0.0,0.0,2019-10-31,HO,HOX19
2016-11-15,1.8458,1.8458,1.8458,1.8458,0.0,0.0,2019-10-31,HO,HOX19
