,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.8109,1.8109,1.8109,1.8109,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-01,1.7879,1.7879,1.7879,1.7879,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-02,1.7854,1.7854,1.7854,1.7854,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-03,1.8008,1.8008,1.8008,1.8008,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-04,1.7666,1.7666,1.7666,1.7666,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-07,1.7744,1.7744,1.7744,1.7744,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-08,1.7811,1.7811,1.7811,1.7811,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-09,1.7733,1.7733,1.7733,1.7733,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-10,1.7893,1.7893,1.7893,1.7893,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-11,1.7762,1.7762,1.7762,1.7762,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-14,1.8062,1.8062,1.8062,1.8062,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-15,1.7773,1.7773,1.7773,1.7773,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-16,1.7935,1.7935,1.7935,1.7935,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-17,1.7969,1.7969,1.7969,1.7969,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-18,1.8088,1.8088,1.8088,1.8088,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-21,1.8005,1.8005,1.8005,1.8005,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-22,1.8444,1.8444,1.8444,1.8444,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-23,1.8416,1.8416,1.8416,1.8416,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-24,1.8484,1.8484,1.8484,1.8484,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-28,1.8249,1.8249,1.8249,1.8249,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-29,1.8612,1.8612,1.8612,1.8612,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-30,1.8798,1.8798,1.8798,1.8798,0.0,0.0,2019-11-29,HO,HOZ19
2015-12-31,1.8477,1.8477,1.8477,1.8477,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-04,1.8551,1.8551,1.8551,1.8551,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-05,1.8883,1.8883,1.8883,1.8883,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-06,1.9072,1.9072,1.9072,1.9072,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-07,1.911,1.911,1.911,1.911,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-08,1.8965,1.8965,1.8965,1.8965,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-11,1.8942,1.8942,1.8942,1.8942,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-12,1.9292,1.9292,1.9292,1.9292,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-13,1.9292,1.9292,1.9292,1.9292,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-14,1.9724,1.9724,1.9724,1.9724,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-15,1.9614,1.9614,1.9614,1.9614,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-19,1.992,1.992,1.992,1.992,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-20,1.9432,1.9432,1.9432,1.9432,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-21,1.9572,1.9572,1.9572,1.9572,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-22,1.9171,1.9171,1.9171,1.9171,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-25,1.9374,1.9374,1.9374,1.9374,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-26,1.9143,1.9143,1.9143,1.9143,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-27,1.9109,1.9109,1.9109,1.9109,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-28,1.8717,1.8717,1.8717,1.8717,0.0,0.0,2019-11-29,HO,HOZ19
2016-01-29,1.8608,1.8608,1.8608,1.8608,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-01,1.8253,1.8253,1.8253,1.8253,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-02,1.8488,1.8488,1.8488,1.8488,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-03,1.8185,1.8185,1.8185,1.8185,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-04,1.8476,1.8476,1.8476,1.8476,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-05,1.8269,1.8269,1.8269,1.8269,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-08,1.8547,1.8547,1.8547,1.8547,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-09,1.8951,1.8951,1.8951,1.8951,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-10,1.8953,1.8953,1.8953,1.8953,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-11,1.8773,1.8773,1.8773,1.8773,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-12,1.8536,1.8536,1.8536,1.8536,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-16,1.8686,1.8686,1.8686,1.8686,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-17,1.8785,1.8785,1.8785,1.8785,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-18,1.8776,1.8776,1.8776,1.8776,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-19,1.838,1.838,1.838,1.838,0.0,0.0,2019-11-29,HO,HOZ19
2016-02-22,1.8145,1.8145,1.8145,1.8145,5.0,5.0,2019-11-29,HO,HOZ19
2016-02-23,1.7789,1.7789,1.7789,1.7789,119.0,126.0,2019-11-29,HO,HOZ19
2016-02-24,1.8008,1.8008,1.8008,1.8008,0.0,105.0,2019-11-29,HO,HOZ19
2016-02-25,1.7729,1.7729,1.7729,1.7729,0.0,90.0,2019-11-29,HO,HOZ19
2016-02-26,1.8,1.8,1.8,1.8,0.0,113.0,2019-11-29,HO,HOZ19
2016-02-29,1.8011,1.8011,1.8011,1.8011,0.0,100.0,2019-11-29,HO,HOZ19
2016-03-01,1.7642,1.7642,1.7642,1.7642,0.0,86.0,2019-11-29,HO,HOZ19
2016-03-02,1.7254,1.7254,1.7254,1.7254,0.0,101.0,2019-11-29,HO,HOZ19
2016-03-03,1.729,1.729,1.729,1.729,0.0,104.0,2019-11-29,HO,HOZ19
2016-03-04,1.7053,1.7053,1.7053,1.7053,0.0,103.0,2019-11-29,HO,HOZ19
