,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-19,1.0647,1.0647,1.0647,1.0647,0.0,0.0,2018-09-26,JY,JYM23
2018-06-20,1.0624,1.0624,1.0624,1.0624,0.0,0.0,2018-09-26,JY,JYM23
2018-06-21,1.0652,1.0652,1.0652,1.0652,0.0,0.0,2018-09-26,JY,JYM23
2018-06-22,1.0615,1.0615,1.0615,1.0615,0.0,0.0,2018-09-26,JY,JYM23
2018-06-25,1.0576,1.0576,1.0576,1.0576,0.0,0.0,2018-09-26,JY,JYM23
2018-06-26,1.0509,1.0509,1.0509,1.0509,0.0,0.0,2018-09-26,JY,JYM23
2018-06-27,1.0512,1.0512,1.0512,1.0512,0.0,0.0,2018-09-26,JY,JYM23
2018-06-28,1.0517,1.0517,1.0517,1.0517,0.0,0.0,2018-09-26,JY,JYM23
2018-06-29,1.0533,1.0533,1.0533,1.0533,0.0,0.0,2018-09-26,JY,JYM23
2018-07-02,1.0553,1.0553,1.0553,1.0553,0.0,0.0,2018-09-26,JY,JYM23
2018-07-03,1.0612,1.0612,1.0612,1.0612,0.0,0.0,2018-09-26,JY,JYM23
2018-07-05,1.0549,1.0549,1.0549,1.0549,0.0,0.0,2018-09-26,JY,JYM23
2018-07-06,1.0582,1.0582,1.0582,1.0582,0.0,0.0,2018-09-26,JY,JYM23
2018-07-09,1.0551,1.0551,1.0551,1.0551,0.0,0.0,2018-09-26,JY,JYM23
2018-07-10,1.0576,1.0576,1.0576,1.0576,0.0,0.0,2018-09-26,JY,JYM23
2018-07-11,1.0574,1.0574,1.0574,1.0574,0.0,0.0,2018-09-26,JY,JYM23
2018-07-12,1.0589,1.0589,1.0589,1.0589,0.0,0.0,2018-09-26,JY,JYM23
2018-07-13,1.0624,1.0624,1.0624,1.0624,0.0,0.0,2018-09-26,JY,JYM23
2018-07-16,1.0653,1.0653,1.0653,1.0653,0.0,0.0,2018-09-26,JY,JYM23
2018-07-17,1.0717,1.0717,1.0717,1.0717,0.0,0.0,2018-09-26,JY,JYM23
2018-07-18,1.0744,1.0744,1.0744,1.0744,0.0,0.0,2018-09-26,JY,JYM23
2018-07-19,1.0784,1.0784,1.0784,1.0784,0.0,0.0,2018-09-26,JY,JYM23
2018-07-20,1.0769,1.0769,1.0769,1.0769,0.0,0.0,2018-09-26,JY,JYM23
2018-07-23,1.0719,1.0719,1.0719,1.0719,0.0,0.0,2018-09-26,JY,JYM23
2018-07-24,1.0683,1.0683,1.0683,1.0683,0.0,0.0,2018-09-26,JY,JYM23
