,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-04-01,169.7568,169.7568,169.7568,169.7568,0.0,0.0,2018-03-19,KC,KCH18
2015-04-02,167.1425,167.1425,167.1425,167.1425,0.0,0.0,2018-03-19,KC,KCH18
2015-04-06,171.2041,171.2041,171.2041,171.2041,0.0,0.0,2018-03-19,KC,KCH18
2015-04-07,175.9807,175.9807,175.9807,175.9807,0.0,0.0,2018-03-19,KC,KCH18
2015-04-08,173.0946,173.0946,173.0946,173.0946,0.0,0.0,2018-03-19,KC,KCH18
2015-04-09,174.0812,174.0812,174.0812,174.0812,0.0,0.0,2018-03-19,KC,KCH18
2015-04-10,170.5648,170.5648,170.5648,170.5648,0.0,0.0,2018-03-19,KC,KCH18
2015-04-13,170.2066,170.2066,170.2066,170.2066,0.0,0.0,2018-03-19,KC,KCH18
2015-04-14,172.5384,172.5384,172.5384,172.5384,0.0,0.0,2018-03-19,KC,KCH18
2015-04-15,167.9661,167.9661,167.9661,167.9661,0.0,0.0,2018-03-19,KC,KCH18
2015-04-16,170.2168,170.2168,170.2168,170.2168,0.0,0.0,2018-03-19,KC,KCH18
2015-04-17,174.7956,174.7956,174.7956,174.7956,0.0,0.0,2018-03-19,KC,KCH18
2015-04-20,177.0155,177.0155,177.0155,177.0155,0.0,0.0,2018-03-19,KC,KCH18
2015-04-21,179.9363,179.9363,179.9363,179.9363,0.0,0.0,2018-03-19,KC,KCH18
2015-04-22,174.9701,174.9701,174.9701,174.9701,0.0,0.0,2018-03-19,KC,KCH18
2015-04-23,174.9876,174.9876,174.9876,174.9876,0.0,0.0,2018-03-19,KC,KCH18
2015-04-24,170.4029,170.4029,170.4029,170.4029,0.0,0.0,2018-03-19,KC,KCH18
2015-04-27,173.0441,173.0441,173.0441,173.0441,0.0,0.0,2018-03-19,KC,KCH18
2015-04-28,175.0687,175.0687,175.0687,175.0687,0.0,0.0,2018-03-19,KC,KCH18
2015-04-29,174.0358,174.0358,174.0358,174.0358,0.0,0.0,2018-03-19,KC,KCH18
2015-04-30,174.5753,174.5753,174.5753,174.5753,0.0,0.0,2018-03-19,KC,KCH18
2015-05-01,177.6653,177.6653,177.6653,177.6653,0.0,0.0,2018-03-19,KC,KCH18
2015-05-04,180.8988,180.8988,180.8988,180.8988,0.0,0.0,2018-03-19,KC,KCH18
2015-05-05,179.4878,179.4878,179.4878,179.4878,0.0,0.0,2018-03-19,KC,KCH18
2015-05-06,178.2852,178.2852,178.2852,178.2852,0.0,0.0,2018-03-19,KC,KCH18
2015-05-07,175.8783,175.8783,175.8783,175.8783,0.0,0.0,2018-03-19,KC,KCH18
2015-05-08,180.4335,180.4335,180.4335,180.4335,0.0,0.0,2018-03-19,KC,KCH18
2015-05-11,183.7896,183.7896,183.7896,183.7896,0.0,0.0,2018-03-19,KC,KCH18
2015-05-12,185.2599,185.2599,185.2599,185.2599,0.0,0.0,2018-03-19,KC,KCH18
2015-05-13,183.5555,183.5555,183.5555,183.5555,0.0,0.0,2018-03-19,KC,KCH18
2015-05-14,181.0775,181.0775,181.0775,181.0775,0.0,0.0,2018-03-19,KC,KCH18
2015-05-15,183.341,183.341,183.341,183.341,0.0,0.0,2018-03-19,KC,KCH18
2015-05-18,178.8308,178.8308,178.8308,178.8308,0.0,0.0,2018-03-19,KC,KCH18
2015-05-19,174.1633,174.1633,174.1633,174.1633,0.0,0.0,2018-03-19,KC,KCH18
2015-05-20,173.4318,173.4318,173.4318,173.4318,0.0,0.0,2018-03-19,KC,KCH18
2015-05-21,172.3739,172.3739,172.3739,172.3739,0.0,0.0,2018-03-19,KC,KCH18
2015-05-22,172.7014,172.7014,172.7014,172.7014,0.0,0.0,2018-03-19,KC,KCH18
2015-05-26,172.7014,172.7014,172.7014,172.7014,0.0,0.0,2018-03-19,KC,KCH18
2015-05-27,174.0485,174.0485,174.0485,174.0485,0.0,0.0,2018-03-19,KC,KCH18
2015-05-28,169.8887,169.8887,169.8887,169.8887,0.0,0.0,2018-03-19,KC,KCH18
2015-05-29,172.6409,172.6409,172.6409,172.6409,0.0,0.0,2018-03-19,KC,KCH18
2015-06-01,169.3435,169.3435,169.3435,169.3435,0.0,0.0,2018-03-19,KC,KCH18
2015-06-02,170.8845,170.8845,170.8845,170.8845,0.0,0.0,2018-03-19,KC,KCH18
2015-06-03,166.4244,166.4244,166.4244,166.4244,0.0,0.0,2018-03-19,KC,KCH18
2015-06-04,162.9794,162.9794,162.9794,162.9794,0.0,0.0,2018-03-19,KC,KCH18
2015-06-05,160.9585,160.9585,160.9585,160.9585,0.0,0.0,2018-03-19,KC,KCH18
2015-06-08,156.8541,156.8541,156.8541,156.8541,0.0,0.0,2018-03-19,KC,KCH18
2015-06-09,159.1442,159.1442,159.1442,159.1442,0.0,0.0,2018-03-19,KC,KCH18
2015-06-10,162.9955,162.9955,162.9955,162.9955,0.0,0.0,2018-03-19,KC,KCH18
2015-06-11,166.1576,166.1576,166.1576,166.1576,0.0,0.0,2018-03-19,KC,KCH18
2015-06-12,169.4475,169.4475,169.4475,169.4475,0.0,0.0,2018-03-19,KC,KCH18
2015-06-15,166.4652,166.4652,166.4652,166.4652,0.0,0.0,2018-03-19,KC,KCH18
2015-06-16,169.8777,169.8777,169.8777,169.8777,0.0,0.0,2018-03-19,KC,KCH18
2015-06-17,167.4824,167.4824,167.4824,167.4824,0.0,0.0,2018-03-19,KC,KCH18
2015-06-18,170.4803,170.4803,170.4803,170.4803,0.0,0.0,2018-03-19,KC,KCH18
2015-06-19,172.3385,172.3385,172.3385,172.3385,0.0,0.0,2018-03-19,KC,KCH18
2015-06-22,176.0438,176.0438,176.0438,176.0438,0.0,0.0,2018-03-19,KC,KCH18
2015-06-23,176.748,176.748,176.748,176.748,0.0,0.0,2018-03-19,KC,KCH18
2015-06-24,176.5182,176.5182,176.5182,176.5182,0.0,0.0,2018-03-19,KC,KCH18
2015-06-25,172.017,172.017,172.017,172.017,0.0,0.0,2018-03-19,KC,KCH18
2015-06-26,172.7911,172.7911,172.7911,172.7911,0.0,0.0,2018-03-19,KC,KCH18
2015-06-29,168.9897,168.9897,168.9897,168.9897,0.0,0.0,2018-03-19,KC,KCH18
2015-06-30,171.1021,171.1021,171.1021,171.1021,0.0,0.0,2018-03-19,KC,KCH18
2015-07-01,174.9861,174.9861,174.9861,174.9861,0.0,0.0,2018-03-19,KC,KCH18
2015-07-02,175.3886,175.3886,175.3886,175.3886,0.0,0.0,2018-03-19,KC,KCH18
2015-07-06,179.1595,179.1595,179.1595,179.1595,0.0,0.0,2018-03-19,KC,KCH18
