,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-01,146.3088,146.3088,146.3088,146.3088,0.0,0.0,2019-05-20,KC,KCK19
2016-06-02,149.1911,149.1911,149.1911,149.1911,0.0,0.0,2019-05-20,KC,KCK19
2016-06-03,145.4166,145.4166,145.4166,145.4166,0.0,0.0,2019-05-20,KC,KCK19
2016-06-06,143.9479,143.9479,143.9479,143.9479,0.0,0.0,2019-05-20,KC,KCK19
2016-06-07,143.8327,143.8327,143.8327,143.8327,0.0,0.0,2019-05-20,KC,KCK19
2016-06-08,144.5231,144.5231,144.5231,144.5231,0.0,0.0,2019-05-20,KC,KCK19
2016-06-09,140.5921,140.5921,140.5921,140.5921,0.0,0.0,2019-05-20,KC,KCK19
2016-06-10,137.0773,137.0773,137.0773,137.0773,0.0,0.0,2019-05-20,KC,KCK19
2016-06-13,137.7079,137.7079,137.7079,137.7079,0.0,0.0,2019-05-20,KC,KCK19
2016-06-14,139.7047,139.7047,139.7047,139.7047,0.0,0.0,2019-05-20,KC,KCK19
2016-06-15,140.0959,140.0959,140.0959,140.0959,0.0,0.0,2019-05-20,KC,KCK19
2016-06-16,137.8544,137.8544,137.8544,137.8544,0.0,0.0,2019-05-20,KC,KCK19
2016-06-17,133.9945,133.9945,133.9945,133.9945,1.0,1.0,2019-05-20,KC,KCK19
2016-06-20,133.9677,133.9677,133.9677,133.9677,0.0,1.0,2019-05-20,KC,KCK19
2016-06-21,130.2568,130.2568,130.2568,130.2568,0.0,1.0,2019-05-20,KC,KCK19
2016-06-22,133.422,133.422,133.422,133.422,0.0,1.0,2019-05-20,KC,KCK19
2016-06-23,133.1552,133.1552,133.1552,133.1552,0.0,1.0,2019-05-20,KC,KCK19
2016-06-24,135.2724,135.2724,135.2724,135.2724,0.0,1.0,2019-05-20,KC,KCK19
2016-06-27,132.851,132.851,132.851,132.851,0.0,1.0,2019-05-20,KC,KCK19
2016-06-28,133.9005,133.9005,133.9005,133.9005,0.0,1.0,2019-05-20,KC,KCK19
2016-06-29,136.1634,136.1634,136.1634,136.1634,0.0,1.0,2019-05-20,KC,KCK19
2016-06-30,139.1862,139.1862,139.1862,139.1862,0.0,1.0,2019-05-20,KC,KCK19
2016-07-01,137.5577,137.5577,137.5577,137.5577,0.0,1.0,2019-05-20,KC,KCK19
2016-07-05,138.892,138.892,138.892,138.892,0.0,1.0,2019-05-20,KC,KCK19
2016-07-06,139.9892,139.9892,139.9892,139.9892,0.0,1.0,2019-05-20,KC,KCK19
2016-07-07,141.8091,141.8091,141.8091,141.8091,0.0,1.0,2019-05-20,KC,KCK19
2016-07-08,144.7304,144.7304,144.7304,144.7304,0.0,1.0,2019-05-20,KC,KCK19
2016-07-11,143.6304,143.6304,143.6304,143.6304,0.0,1.0,2019-05-20,KC,KCK19
2016-07-12,144.4491,144.4491,144.4491,144.4491,0.0,1.0,2019-05-20,KC,KCK19
2016-07-13,145.2725,145.2725,145.2725,145.2725,0.0,1.0,2019-05-20,KC,KCK19
2016-07-14,143.3549,143.3549,143.3549,143.3549,0.0,1.0,2019-05-20,KC,KCK19
2016-07-15,145.6199,145.6199,145.6199,145.6199,0.0,1.0,2019-05-20,KC,KCK19
2016-07-18,145.6636,145.6636,145.6636,145.6636,0.0,1.0,2019-05-20,KC,KCK19
2016-07-19,149.5965,149.5965,149.5965,149.5965,0.0,1.0,2019-05-20,KC,KCK19
2016-07-20,149.2973,149.2973,149.2973,149.2973,0.0,1.0,2019-05-20,KC,KCK19
2016-07-21,152.6416,152.6416,152.6416,152.6416,0.0,1.0,2019-05-20,KC,KCK19
2016-07-22,155.0381,155.0381,155.0381,155.0381,0.0,1.0,2019-05-20,KC,KCK19
2016-07-25,156.3559,156.3559,156.3559,156.3559,0.0,1.0,2019-05-20,KC,KCK19
2016-07-26,158.0445,158.0445,158.0445,158.0445,0.0,1.0,2019-05-20,KC,KCK19
2016-07-27,161.2844,161.2844,161.2844,161.2844,0.0,1.0,2019-05-20,KC,KCK19
2016-07-28,157.7845,157.7845,157.7845,157.7845,0.0,1.0,2019-05-20,KC,KCK19
2016-07-29,161.3347,161.3347,161.3347,161.3347,0.0,1.0,2019-05-20,KC,KCK19
2016-08-01,165.1906,165.1906,165.1906,165.1906,0.0,1.0,2019-05-20,KC,KCK19
2016-08-02,161.8703,161.8703,161.8703,161.8703,0.0,1.0,2019-05-20,KC,KCK19
2016-08-03,164.0555,164.0555,164.0555,164.0555,0.0,1.0,2019-05-20,KC,KCK19
2016-08-04,166.9757,166.9757,166.9757,166.9757,0.0,1.0,2019-05-20,KC,KCK19
2016-08-05,167.2763,167.2763,167.2763,167.2763,0.0,1.0,2019-05-20,KC,KCK19
2016-08-08,166.4065,166.4065,166.4065,166.4065,0.0,1.0,2019-05-20,KC,KCK19
2016-08-09,168.4699,168.4699,168.4699,168.4699,0.0,1.0,2019-05-20,KC,KCK19
2016-08-10,166.1282,166.1282,166.1282,166.1282,0.0,1.0,2019-05-20,KC,KCK19
2016-08-11,166.2611,166.2611,166.2611,166.2611,0.0,1.0,2019-05-20,KC,KCK19
2016-08-12,168.6719,168.6719,168.6719,168.6719,0.0,1.0,2019-05-20,KC,KCK19
2016-08-15,170.0719,170.0719,170.0719,170.0719,0.0,1.0,2019-05-20,KC,KCK19
2016-08-16,165.582,165.582,165.582,165.582,0.0,1.0,2019-05-20,KC,KCK19
2016-08-17,166.0125,166.0125,166.0125,166.0125,0.0,1.0,2019-05-20,KC,KCK19
2016-08-18,170.528,170.528,170.528,170.528,0.0,1.0,2019-05-20,KC,KCK19
2016-08-19,172.7619,172.7619,172.7619,172.7619,0.0,1.0,2019-05-20,KC,KCK19
2016-08-22,176.6663,176.6663,176.6663,176.6663,0.0,1.0,2019-05-20,KC,KCK19
2016-08-23,175.1293,175.1293,175.1293,175.1293,0.0,1.0,2019-05-20,KC,KCK19
2016-08-24,178.9296,178.9296,178.9296,178.9296,0.0,1.0,2019-05-20,KC,KCK19
2016-08-25,182.6692,182.6692,182.6692,182.6692,0.0,1.0,2019-05-20,KC,KCK19
2016-08-26,178.4678,178.4678,178.4678,178.4678,0.0,1.0,2019-05-20,KC,KCK19
2016-08-29,181.8587,181.8587,181.8587,181.8587,0.0,1.0,2019-05-20,KC,KCK19
2016-08-30,178.5671,178.5671,178.5671,178.5671,0.0,1.0,2019-05-20,KC,KCK19
2016-08-31,182.442,182.442,182.442,182.442,0.0,1.0,2019-05-20,KC,KCK19
2016-09-01,182.3873,182.3873,182.3873,182.3873,0.0,1.0,2019-05-20,KC,KCK19
2016-09-02,178.6484,178.6484,178.6484,178.6484,0.0,1.0,2019-05-20,KC,KCK19
2016-09-06,180.0061,180.0061,180.0061,180.0061,0.0,1.0,2019-05-20,KC,KCK19
2016-09-07,184.0742,184.0742,184.0742,184.0742,0.0,1.0,2019-05-20,KC,KCK19
2016-09-08,188.6392,188.6392,188.6392,188.6392,0.0,1.0,2019-05-20,KC,KCK19
2016-09-09,189.356,189.356,189.356,189.356,0.0,1.0,2019-05-20,KC,KCK19
2016-09-12,194.5633,194.5633,194.5633,194.5633,0.0,1.0,2019-05-20,KC,KCK19
2016-09-13,198.9993,198.9993,198.9993,198.9993,0.0,1.0,2019-05-20,KC,KCK19
2016-09-14,203.7355,203.7355,203.7355,203.7355,0.0,1.0,2019-05-20,KC,KCK19
2016-09-15,202.126,202.126,202.126,202.126,1.0,1.0,2019-05-20,KC,KCK19
2016-09-16,203.9249,203.9249,203.9249,203.9249,0.0,1.0,2019-05-20,KC,KCK19
2016-09-19,199.2346,199.2346,199.2346,199.2346,0.0,1.0,2019-05-20,KC,KCK19
2016-09-20,196.4055,196.4055,196.4055,196.4055,0.0,1.0,2019-05-20,KC,KCK19
2016-09-21,192.5756,192.5756,192.5756,192.5756,0.0,1.0,2019-05-20,KC,KCK19
2016-09-22,194.6747,194.6747,194.6747,194.6747,0.0,1.0,2019-05-20,KC,KCK19
2016-09-23,192.6501,192.6501,192.6501,192.6501,0.0,1.0,2019-05-20,KC,KCK19
2016-09-26,197.1003,197.1003,197.1003,197.1003,0.0,1.0,2019-05-20,KC,KCK19
2016-09-27,191.818,191.818,191.818,191.818,0.0,1.0,2019-05-20,KC,KCK19
2016-09-28,189.6888,189.6888,189.6888,189.6888,0.0,1.0,2019-05-20,KC,KCK19
2016-09-29,192.2875,192.2875,192.2875,192.2875,0.0,1.0,2019-05-20,KC,KCK19
2016-09-30,195.3449,195.3449,195.3449,195.3449,0.0,1.0,2019-05-20,KC,KCK19
2016-10-03,195.677,195.677,195.677,195.677,0.0,1.0,2019-05-20,KC,KCK19
2016-10-04,194.7965,194.7965,194.7965,194.7965,0.0,1.0,2019-05-20,KC,KCK19
2016-10-05,194.7186,194.7186,194.7186,194.7186,0.0,1.0,2019-05-20,KC,KCK19
2016-10-06,194.5628,194.5628,194.5628,194.5628,0.0,1.0,2019-05-20,KC,KCK19
2016-10-07,195.7107,195.7107,195.7107,195.7107,0.0,1.0,2019-05-20,KC,KCK19
2016-10-10,196.1021,196.1021,196.1021,196.1021,0.0,1.0,2019-05-20,KC,KCK19
2016-10-11,200.0241,200.0241,200.0241,200.0241,0.0,1.0,2019-05-20,KC,KCK19
2016-10-12,195.8236,195.8236,195.8236,195.8236,0.0,1.0,2019-05-20,KC,KCK19
2016-10-13,190.4972,190.4972,190.4972,190.4972,0.0,1.0,2019-05-20,KC,KCK19
2016-10-14,187.1444,187.1444,187.1444,187.1444,0.0,1.0,2019-05-20,KC,KCK19
2016-10-17,182.0354,182.0354,182.0354,182.0354,0.0,1.0,2019-05-20,KC,KCK19
