,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-08-03,153.5402,153.5402,153.5402,153.5402,0.0,0.0,2018-07-19,KC,KCN18
2015-08-04,152.1123,152.1123,152.1123,152.1123,0.0,0.0,2018-07-19,KC,KCN18
2015-08-05,152.6751,152.6751,152.6751,152.6751,0.0,0.0,2018-07-19,KC,KCN18
2015-08-06,151.7896,151.7896,151.7896,151.7896,0.0,0.0,2018-07-19,KC,KCN18
2015-08-07,152.0476,152.0476,152.0476,152.0476,0.0,0.0,2018-07-19,KC,KCN18
2015-08-10,155.1038,155.1038,155.1038,155.1038,0.0,0.0,2018-07-19,KC,KCN18
2015-08-11,156.9495,156.9495,156.9495,156.9495,0.0,0.0,2018-07-19,KC,KCN18
2015-08-12,153.7791,153.7791,153.7791,153.7791,0.0,0.0,2018-07-19,KC,KCN18
2015-08-13,153.4408,153.4408,153.4408,153.4408,0.0,0.0,2018-07-19,KC,KCN18
2015-08-14,149.9577,149.9577,149.9577,149.9577,0.0,0.0,2018-07-19,KC,KCN18
2015-08-17,154.0216,154.0216,154.0216,154.0216,0.0,0.0,2018-07-19,KC,KCN18
2015-08-18,156.2549,156.2549,156.2549,156.2549,0.0,0.0,2018-07-19,KC,KCN18
2015-08-19,156.2393,156.2393,156.2393,156.2393,0.0,0.0,2018-07-19,KC,KCN18
2015-08-20,153.1458,153.1458,153.1458,153.1458,0.0,0.0,2018-07-19,KC,KCN18
2015-08-21,150.8027,150.8027,150.8027,150.8027,0.0,0.0,2018-07-19,KC,KCN18
2015-08-24,152.3258,152.3258,152.3258,152.3258,0.0,0.0,2018-07-19,KC,KCN18
2015-08-25,156.3167,156.3167,156.3167,156.3167,0.0,0.0,2018-07-19,KC,KCN18
2015-08-26,156.4886,156.4886,156.4886,156.4886,0.0,0.0,2018-07-19,KC,KCN18
2015-08-27,152.9989,152.9989,152.9989,152.9989,0.0,0.0,2018-07-19,KC,KCN18
2015-08-28,154.8808,154.8808,154.8808,154.8808,0.0,0.0,2018-07-19,KC,KCN18
2015-08-31,158.3192,158.3192,158.3192,158.3192,0.0,0.0,2018-07-19,KC,KCN18
2015-09-01,155.6436,155.6436,155.6436,155.6436,0.0,0.0,2018-07-19,KC,KCN18
2015-09-02,158.6942,158.6942,158.6942,158.6942,0.0,0.0,2018-07-19,KC,KCN18
2015-09-03,156.5042,156.5042,156.5042,156.5042,0.0,0.0,2018-07-19,KC,KCN18
2015-09-04,158.1475,158.1475,158.1475,158.1475,0.0,0.0,2018-07-19,KC,KCN18
2015-09-08,159.2703,159.2703,159.2703,159.2703,0.0,0.0,2018-07-19,KC,KCN18
2015-09-09,159.6048,159.6048,159.6048,159.6048,0.0,0.0,2018-07-19,KC,KCN18
2015-09-10,161.935,161.935,161.935,161.935,0.0,0.0,2018-07-19,KC,KCN18
2015-09-11,165.2385,165.2385,165.2385,165.2385,0.0,0.0,2018-07-19,KC,KCN18
2015-09-14,165.2385,165.2385,165.2385,165.2385,0.0,0.0,2018-07-19,KC,KCN18
2015-09-15,164.8254,164.8254,164.8254,164.8254,1.0,1.0,2018-07-19,KC,KCN18
2015-09-16,167.5121,167.5121,167.5121,167.5121,0.0,1.0,2018-07-19,KC,KCN18
2015-09-17,163.4751,163.4751,163.4751,163.4751,0.0,1.0,2018-07-19,KC,KCN18
2015-09-18,167.2677,167.2677,167.2677,167.2677,0.0,1.0,2018-07-19,KC,KCN18
2015-09-21,171.0312,171.0312,171.0312,171.0312,0.0,1.0,2018-07-19,KC,KCN18
2015-09-22,173.819,173.819,173.819,173.819,0.0,1.0,2018-07-19,KC,KCN18
2015-09-23,173.5409,173.5409,173.5409,173.5409,0.0,1.0,2018-07-19,KC,KCN18
2015-09-24,176.1961,176.1961,176.1961,176.1961,0.0,1.0,2018-07-19,KC,KCN18
2015-09-25,180.1605,180.1605,180.1605,180.1605,0.0,1.0,2018-07-19,KC,KCN18
2015-09-28,179.6921,179.6921,179.6921,179.6921,0.0,1.0,2018-07-19,KC,KCN18
2015-09-29,183.0523,183.0523,183.0523,183.0523,0.0,1.0,2018-07-19,KC,KCN18
2015-09-30,178.6041,178.6041,178.6041,178.6041,0.0,1.0,2018-07-19,KC,KCN18
2015-10-01,179.8007,179.8007,179.8007,179.8007,0.0,1.0,2018-07-19,KC,KCN18
2015-10-02,179.2074,179.2074,179.2074,179.2074,0.0,1.0,2018-07-19,KC,KCN18
2015-10-05,182.1106,182.1106,182.1106,182.1106,0.0,1.0,2018-07-19,KC,KCN18
2015-10-06,180.763,180.763,180.763,180.763,0.0,1.0,2018-07-19,KC,KCN18
2015-10-07,178.2865,178.2865,178.2865,178.2865,0.0,1.0,2018-07-19,KC,KCN18
2015-10-08,180.6399,180.6399,180.6399,180.6399,0.0,1.0,2018-07-19,KC,KCN18
2015-10-09,178.3819,178.3819,178.3819,178.3819,0.0,1.0,2018-07-19,KC,KCN18
2015-10-12,178.4533,178.4533,178.4533,178.4533,1.0,1.0,2018-07-19,KC,KCN18
2015-10-13,181.6833,181.6833,181.6833,181.6833,0.0,1.0,2018-07-19,KC,KCN18
2015-10-14,184.8264,184.8264,184.8264,184.8264,0.0,1.0,2018-07-19,KC,KCN18
2015-10-15,183.126,183.126,183.126,183.126,0.0,1.0,2018-07-19,KC,KCN18
2015-10-16,179.0606,179.0606,179.0606,179.0606,0.0,1.0,2018-07-19,KC,KCN18
2015-10-19,179.7589,179.7589,179.7589,179.7589,0.0,1.0,2018-07-19,KC,KCN18
2015-10-20,182.9586,182.9586,182.9586,182.9586,0.0,1.0,2018-07-19,KC,KCN18
2015-10-21,182.0255,182.0255,182.0255,182.0255,0.0,1.0,2018-07-19,KC,KCN18
2015-10-22,184.9197,184.9197,184.9197,184.9197,0.0,1.0,2018-07-19,KC,KCN18
2015-10-23,189.931,189.931,189.931,189.931,0.0,1.0,2018-07-19,KC,KCN18
2015-10-26,184.8408,184.8408,184.8408,184.8408,0.0,1.0,2018-07-19,KC,KCN18
2015-10-27,180.5155,180.5155,180.5155,180.5155,0.0,1.0,2018-07-19,KC,KCN18
2015-10-28,181.9777,181.9777,181.9777,181.9777,0.0,1.0,2018-07-19,KC,KCN18
2015-10-29,182.3417,182.3417,182.3417,182.3417,0.0,1.0,2018-07-19,KC,KCN18
2015-10-30,178.3484,178.3484,178.3484,178.3484,0.0,1.0,2018-07-19,KC,KCN18
2015-11-02,182.8606,182.8606,182.8606,182.8606,0.0,1.0,2018-07-19,KC,KCN18
2015-11-03,182.1657,182.1657,182.1657,182.1657,0.0,1.0,2018-07-19,KC,KCN18
2015-11-04,182.6029,182.6029,182.6029,182.6029,0.0,1.0,2018-07-19,KC,KCN18
2015-11-05,179.5717,179.5717,179.5717,179.5717,0.0,1.0,2018-07-19,KC,KCN18
2015-11-06,182.786,182.786,182.786,182.786,0.0,1.0,2018-07-19,KC,KCN18
2015-11-09,182.8591,182.8591,182.8591,182.8591,0.0,1.0,2018-07-19,KC,KCN18
2015-11-10,184.2854,184.2854,184.2854,184.2854,0.0,1.0,2018-07-19,KC,KCN18
2015-11-11,185.2437,185.2437,185.2437,185.2437,0.0,1.0,2018-07-19,KC,KCN18
2015-11-12,181.5018,181.5018,181.5018,181.5018,0.0,1.0,2018-07-19,KC,KCN18
2015-11-13,177.3636,177.3636,177.3636,177.3636,3.0,5.0,2018-07-19,KC,KCN18
2015-11-16,174.8628,174.8628,174.8628,174.8628,0.0,6.0,2018-07-19,KC,KCN18
2015-11-17,176.8213,176.8213,176.8213,176.8213,0.0,6.0,2018-07-19,KC,KCN18
