,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-01,151.4316,151.4316,151.4316,151.4316,0.0,0.0,2018-09-18,KC,KCU18
2015-10-02,154.3088,154.3088,154.3088,154.3088,0.0,0.0,2018-09-18,KC,KCU18
2015-10-05,158.29,158.29,158.29,158.29,0.0,0.0,2018-09-18,KC,KCU18
2015-10-06,162.2947,162.2947,162.2947,162.2947,0.0,0.0,2018-09-18,KC,KCU18
2015-10-07,166.5468,166.5468,166.5468,166.5468,0.0,0.0,2018-09-18,KC,KCU18
2015-10-08,162.6496,162.6496,162.6496,162.6496,0.0,0.0,2018-09-18,KC,KCU18
2015-10-09,158.3231,158.3231,158.3231,158.3231,0.0,0.0,2018-09-18,KC,KCU18
2015-10-12,160.0647,160.0647,160.0647,160.0647,0.0,0.0,2018-09-18,KC,KCU18
2015-10-13,158.7522,158.7522,158.7522,158.7522,0.0,0.0,2018-09-18,KC,KCU18
2015-10-14,162.7686,162.7686,162.7686,162.7686,0.0,0.0,2018-09-18,KC,KCU18
2015-10-15,161.971,161.971,161.971,161.971,0.0,0.0,2018-09-18,KC,KCU18
2015-10-16,164.4977,164.4977,164.4977,164.4977,0.0,0.0,2018-09-18,KC,KCU18
2015-10-19,162.0138,162.0138,162.0138,162.0138,0.0,0.0,2018-09-18,KC,KCU18
2015-10-20,165.5943,165.5943,165.5943,165.5943,0.0,0.0,2018-09-18,KC,KCU18
2015-10-21,168.6909,168.6909,168.6909,168.6909,0.0,0.0,2018-09-18,KC,KCU18
2015-10-22,169.838,169.838,169.838,169.838,0.0,0.0,2018-09-18,KC,KCU18
2015-10-23,174.1859,174.1859,174.1859,174.1859,0.0,0.0,2018-09-18,KC,KCU18
2015-10-26,173.3672,173.3672,173.3672,173.3672,0.0,0.0,2018-09-18,KC,KCU18
2015-10-27,174.3381,174.3381,174.3381,174.3381,0.0,0.0,2018-09-18,KC,KCU18
2015-10-28,176.6742,176.6742,176.6742,176.6742,0.0,0.0,2018-09-18,KC,KCU18
2015-10-29,174.9251,174.9251,174.9251,174.9251,0.0,0.0,2018-09-18,KC,KCU18
2015-10-30,170.6219,170.6219,170.6219,170.6219,0.0,0.0,2018-09-18,KC,KCU18
2015-11-02,169.7688,169.7688,169.7688,169.7688,0.0,0.0,2018-09-18,KC,KCU18
2015-11-03,169.7348,169.7348,169.7348,169.7348,0.0,0.0,2018-09-18,KC,KCU18
2015-11-04,166.7135,166.7135,166.7135,166.7135,0.0,0.0,2018-09-18,KC,KCU18
2015-11-05,165.9133,165.9133,165.9133,165.9133,0.0,0.0,2018-09-18,KC,KCU18
2015-11-06,169.2316,169.2316,169.2316,169.2316,0.0,0.0,2018-09-18,KC,KCU18
2015-11-09,168.9778,168.9778,168.9778,168.9778,0.0,0.0,2018-09-18,KC,KCU18
2015-11-10,171.3773,171.3773,171.3773,171.3773,0.0,0.0,2018-09-18,KC,KCU18
2015-11-11,169.3722,169.3722,169.3722,169.3722,0.0,0.0,2018-09-18,KC,KCU18
2015-11-12,169.2028,169.2028,169.2028,169.2028,0.0,0.0,2018-09-18,KC,KCU18
2015-11-13,169.3043,169.3043,169.3043,169.3043,3.0,2.0,2018-09-18,KC,KCU18
2015-11-16,166.9171,166.9171,166.9171,166.9171,0.0,2.0,2018-09-18,KC,KCU18
2015-11-17,166.8169,166.8169,166.8169,166.8169,0.0,2.0,2018-09-18,KC,KCU18
2015-11-18,168.7353,168.7353,168.7353,168.7353,0.0,2.0,2018-09-18,KC,KCU18
2015-11-19,167.9085,167.9085,167.9085,167.9085,0.0,2.0,2018-09-18,KC,KCU18
2015-11-20,164.2313,164.2313,164.2313,164.2313,0.0,2.0,2018-09-18,KC,KCU18
2015-11-23,165.89,165.89,165.89,165.89,0.0,2.0,2018-09-18,KC,KCU18
2015-11-24,166.9683,166.9683,166.9683,166.9683,0.0,2.0,2018-09-18,KC,KCU18
2015-11-25,170.7418,170.7418,170.7418,170.7418,0.0,2.0,2018-09-18,KC,KCU18
2015-11-27,174.942,174.942,174.942,174.942,0.0,2.0,2018-09-18,KC,KCU18
2015-11-30,172.7377,172.7377,172.7377,172.7377,0.0,2.0,2018-09-18,KC,KCU18
