,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-01-03,163.7594,163.7594,163.7594,163.7594,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-04,161.1556,161.1556,161.1556,161.1556,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-05,162.6543,162.6543,162.6543,162.6543,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-06,160.0844,160.0844,160.0844,160.0844,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-09,157.9713,157.9713,157.9713,157.9713,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-10,159.9459,159.9459,159.9459,159.9459,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-11,158.1225,158.1225,158.1225,158.1225,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-12,160.5892,160.5892,160.5892,160.5892,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-13,161.4564,161.4564,161.4564,161.4564,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-17,157.6945,157.6945,157.6945,157.6945,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-18,156.0545,156.0545,156.0545,156.0545,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-19,153.8853,153.8853,153.8853,153.8853,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-20,156.963,156.963,156.963,156.963,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-23,153.808,153.808,153.808,153.808,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-24,154.2233,154.2233,154.2233,154.2233,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-25,153.9765,153.9765,153.9765,153.9765,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-26,155.1313,155.1313,155.1313,155.1313,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-27,158.87,158.87,158.87,158.87,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-30,157.9168,157.9168,157.9168,157.9168,0.0,0.0,2019-12-18,KC,KCZ19
2017-01-31,156.8588,156.8588,156.8588,156.8588,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-01,158.3019,158.3019,158.3019,158.3019,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-02,158.5552,158.5552,158.5552,158.5552,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-03,157.4295,157.4295,157.4295,157.4295,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-06,159.6965,159.6965,159.6965,159.6965,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-07,160.0638,160.0638,160.0638,160.0638,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-08,162.8169,162.8169,162.8169,162.8169,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-09,162.1331,162.1331,162.1331,162.1331,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-10,162.6033,162.6033,162.6033,162.6033,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-13,160.0829,160.0829,160.0829,160.0829,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-14,162.0519,162.0519,162.0519,162.0519,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-15,160.5934,160.5934,160.5934,160.5934,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-16,157.51,157.51,157.51,157.51,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-17,157.9353,157.9353,157.9353,157.9353,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-21,155.7716,155.7716,155.7716,155.7716,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-22,156.7685,156.7685,156.7685,156.7685,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-23,155.9376,155.9376,155.9376,155.9376,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-24,156.8576,156.8576,156.8576,156.8576,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-27,154.3165,154.3165,154.3165,154.3165,0.0,0.0,2019-12-18,KC,KCZ19
2017-02-28,157.9121,157.9121,157.9121,157.9121,0.0,0.0,2019-12-18,KC,KCZ19
2017-03-01,160.2808,160.2808,160.2808,160.2808,0.0,0.0,2019-12-18,KC,KCZ19
2017-03-02,163.5666,163.5666,163.5666,163.5666,0.0,0.0,2019-12-18,KC,KCZ19
2017-03-03,160.4915,160.4915,160.4915,160.4915,8.0,8.0,2019-12-18,KC,KCZ19
2017-03-06,162.947,162.947,162.947,162.947,0.0,10.0,2019-12-18,KC,KCZ19
2017-03-07,162.6537,162.6537,162.6537,162.6537,0.0,9.0,2019-12-18,KC,KCZ19
2017-03-08,163.4182,163.4182,163.4182,163.4182,0.0,11.0,2019-12-18,KC,KCZ19
2017-03-09,165.7061,165.7061,165.7061,165.7061,0.0,8.0,2019-12-18,KC,KCZ19
2017-03-10,164.2479,164.2479,164.2479,164.2479,0.0,8.0,2019-12-18,KC,KCZ19
2017-03-13,163.0817,163.0817,163.0817,163.0817,0.0,7.0,2019-12-18,KC,KCZ19
2017-03-14,166.2129,166.2129,166.2129,166.2129,0.0,8.0,2019-12-18,KC,KCZ19
2017-03-15,169.6203,169.6203,169.6203,169.6203,2.0,12.0,2019-12-18,KC,KCZ19
2017-03-16,167.8902,167.8902,167.8902,167.8902,0.0,9.0,2019-12-18,KC,KCZ19
2017-03-17,169.0654,169.0654,169.0654,169.0654,0.0,9.0,2019-12-18,KC,KCZ19
