,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-13,283.1658,283.1658,283.1658,283.1658,0.0,0.0,2017-01-13,LB,LBF17
2015-11-16,280.1359,280.1359,280.1359,280.1359,0.0,0.0,2017-01-13,LB,LBF17
2015-11-17,286.7191,286.7191,286.7191,286.7191,0.0,0.0,2017-01-13,LB,LBF17
2015-11-18,286.5471,286.5471,286.5471,286.5471,0.0,0.0,2017-01-13,LB,LBF17
2015-11-19,288.5529,288.5529,288.5529,288.5529,0.0,0.0,2017-01-13,LB,LBF17
2015-11-20,287.3987,287.3987,287.3987,287.3987,0.0,0.0,2017-01-13,LB,LBF17
2015-11-23,284.0649,284.0649,284.0649,284.0649,0.0,0.0,2017-01-13,LB,LBF17
2015-11-24,283.4968,283.4968,283.4968,283.4968,0.0,0.0,2017-01-13,LB,LBF17
2015-11-25,278.9325,278.9325,278.9325,278.9325,0.0,0.0,2017-01-13,LB,LBF17
2015-11-27,282.8933,282.8933,282.8933,282.8933,0.0,0.0,2017-01-13,LB,LBF17
2015-11-30,287.9288,287.9288,287.9288,287.9288,0.0,0.0,2017-01-13,LB,LBF17
2015-12-01,289.8579,289.8579,289.8579,289.8579,0.0,0.0,2017-01-13,LB,LBF17
2015-12-02,293.5681,293.5681,293.5681,293.5681,0.0,0.0,2017-01-13,LB,LBF17
2015-12-03,296.7386,296.7386,296.7386,296.7386,0.0,0.0,2017-01-13,LB,LBF17
2015-12-04,300.8633,300.8633,300.8633,300.8633,0.0,0.0,2017-01-13,LB,LBF17
2015-12-07,295.2973,295.2973,295.2973,295.2973,0.0,0.0,2017-01-13,LB,LBF17
2015-12-08,292.5215,292.5215,292.5215,292.5215,0.0,0.0,2017-01-13,LB,LBF17
2015-12-09,292.8433,292.8433,292.8433,292.8433,0.0,0.0,2017-01-13,LB,LBF17
2015-12-10,299.2566,299.2566,299.2566,299.2566,0.0,0.0,2017-01-13,LB,LBF17
2015-12-11,294.9174,294.9174,294.9174,294.9174,0.0,0.0,2017-01-13,LB,LBF17
2015-12-14,297.9845,297.9845,297.9845,297.9845,0.0,0.0,2017-01-13,LB,LBF17
2015-12-15,295.541,295.541,295.541,295.541,0.0,0.0,2017-01-13,LB,LBF17
2015-12-16,292.8811,292.8811,292.8811,292.8811,0.0,0.0,2017-01-13,LB,LBF17
2015-12-17,293.4083,293.4083,293.4083,293.4083,0.0,0.0,2017-01-13,LB,LBF17
2015-12-18,300.2741,300.2741,300.2741,300.2741,0.0,0.0,2017-01-13,LB,LBF17
2015-12-21,307.2705,307.2705,307.2705,307.2705,0.0,0.0,2017-01-13,LB,LBF17
2015-12-22,312.8936,312.8936,312.8936,312.8936,0.0,0.0,2017-01-13,LB,LBF17
2015-12-23,320.3092,320.3092,320.3092,320.3092,0.0,0.0,2017-01-13,LB,LBF17
2015-12-24,314.3194,314.3194,314.3194,314.3194,0.0,0.0,2017-01-13,LB,LBF17
2015-12-28,311.3019,311.3019,311.3019,311.3019,0.0,0.0,2017-01-13,LB,LBF17
2015-12-29,311.7377,311.7377,311.7377,311.7377,0.0,0.0,2017-01-13,LB,LBF17
2015-12-30,308.7138,308.7138,308.7138,308.7138,0.0,0.0,2017-01-13,LB,LBF17
2015-12-31,305.0092,305.0092,305.0092,305.0092,0.0,0.0,2017-01-13,LB,LBF17
