,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-15,280.5057,280.5057,280.5057,280.5057,0.0,0.0,2017-03-15,LB,LBH17
2016-01-19,287.6586,287.6586,287.6586,287.6586,0.0,0.0,2017-03-15,LB,LBH17
2016-01-20,285.3286,285.3286,285.3286,285.3286,0.0,0.0,2017-03-15,LB,LBH17
2016-01-21,280.5921,280.5921,280.5921,280.5921,0.0,0.0,2017-03-15,LB,LBH17
2016-01-22,275.5976,275.5976,275.5976,275.5976,0.0,0.0,2017-03-15,LB,LBH17
2016-01-25,275.6803,275.6803,275.6803,275.6803,5.0,4.0,2017-03-15,LB,LBH17
2016-01-26,281.3042,281.3042,281.3042,281.3042,0.0,5.0,2017-03-15,LB,LBH17
2016-01-27,284.8486,284.8486,284.8486,284.8486,0.0,6.0,2017-03-15,LB,LBH17
2016-01-28,289.748,289.748,289.748,289.748,0.0,6.0,2017-03-15,LB,LBH17
2016-01-29,283.0258,283.0258,283.0258,283.0258,0.0,5.0,2017-03-15,LB,LBH17
2016-02-01,278.7804,278.7804,278.7804,278.7804,0.0,4.0,2017-03-15,LB,LBH17
2016-02-02,278.6689,278.6689,278.6689,278.6689,0.0,5.0,2017-03-15,LB,LBH17
2016-02-03,280.3409,280.3409,280.3409,280.3409,0.0,5.0,2017-03-15,LB,LBH17
2016-02-04,273.4725,273.4725,273.4725,273.4725,0.0,6.0,2017-03-15,LB,LBH17
2016-02-05,279.5162,279.5162,279.5162,279.5162,0.0,4.0,2017-03-15,LB,LBH17
2016-02-08,282.8704,282.8704,282.8704,282.8704,0.0,5.0,2017-03-15,LB,LBH17
2016-02-09,285.4162,285.4162,285.4162,285.4162,0.0,6.0,2017-03-15,LB,LBH17
2016-02-10,285.4733,285.4733,285.4733,285.4733,0.0,5.0,2017-03-15,LB,LBH17
2016-02-11,287.7285,287.7285,287.7285,287.7285,0.0,4.0,2017-03-15,LB,LBH17
2016-02-12,294.2599,294.2599,294.2599,294.2599,0.0,6.0,2017-03-15,LB,LBH17
2016-02-16,289.6106,289.6106,289.6106,289.6106,0.0,4.0,2017-03-15,LB,LBH17
2016-02-17,296.04,296.04,296.04,296.04,0.0,5.0,2017-03-15,LB,LBH17
2016-02-18,302.8785,302.8785,302.8785,302.8785,0.0,4.0,2017-03-15,LB,LBH17
2016-02-19,297.5176,297.5176,297.5176,297.5176,0.0,6.0,2017-03-15,LB,LBH17
2016-02-22,290.0202,290.0202,290.0202,290.0202,1.0,7.0,2017-03-15,LB,LBH17
2016-02-23,284.4808,284.4808,284.4808,284.4808,0.0,6.0,2017-03-15,LB,LBH17
