,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-03-15,399.9359,399.9359,399.9359,399.9359,0.0,0.0,2019-05-15,LB,LBK19
2018-03-16,387.8178,387.8178,387.8178,387.8178,0.0,0.0,2019-05-15,LB,LBK19
2018-03-19,378.3163,378.3163,378.3163,378.3163,0.0,0.0,2019-05-15,LB,LBK19
2018-03-20,390.1198,390.1198,390.1198,390.1198,0.0,0.0,2019-05-15,LB,LBK19
2018-03-21,398.1563,398.1563,398.1563,398.1563,0.0,0.0,2019-05-15,LB,LBK19
2018-03-22,391.2682,391.2682,391.2682,391.2682,0.0,0.0,2019-05-15,LB,LBK19
2018-03-23,393.7723,393.7723,393.7723,393.7723,0.0,0.0,2019-05-15,LB,LBK19
2018-03-26,388.3776,388.3776,388.3776,388.3776,0.0,0.0,2019-05-15,LB,LBK19
2018-03-27,376.6486,376.6486,376.6486,376.6486,0.0,0.0,2019-05-15,LB,LBK19
2018-03-28,364.0685,364.0685,364.0685,364.0685,0.0,0.0,2019-05-15,LB,LBK19
2018-03-29,364.9787,364.9787,364.9787,364.9787,0.0,0.0,2019-05-15,LB,LBK19
2018-04-02,368.6285,368.6285,368.6285,368.6285,0.0,0.0,2019-05-15,LB,LBK19
2018-04-03,370.3242,370.3242,370.3242,370.3242,0.0,0.0,2019-05-15,LB,LBK19
2018-04-04,378.3973,378.3973,378.3973,378.3973,0.0,0.0,2019-05-15,LB,LBK19
2018-04-05,371.8889,371.8889,371.8889,371.8889,0.0,0.0,2019-05-15,LB,LBK19
2018-04-06,364.4883,364.4883,364.4883,364.4883,0.0,0.0,2019-05-15,LB,LBK19
2018-04-09,363.7958,363.7958,363.7958,363.7958,0.0,0.0,2019-05-15,LB,LBK19
2018-04-10,367.361,367.361,367.361,367.361,0.0,0.0,2019-05-15,LB,LBK19
2018-04-11,362.9159,362.9159,362.9159,362.9159,0.0,0.0,2019-05-15,LB,LBK19
2018-04-12,370.0291,370.0291,370.0291,370.0291,0.0,0.0,2019-05-15,LB,LBK19
2018-04-13,360.1123,360.1123,360.1123,360.1123,0.0,0.0,2019-05-15,LB,LBK19
2018-04-16,355.6109,355.6109,355.6109,355.6109,0.0,0.0,2019-05-15,LB,LBK19
2018-04-17,359.2026,359.2026,359.2026,359.2026,0.0,0.0,2019-05-15,LB,LBK19
2018-04-18,365.3809,365.3809,365.3809,365.3809,0.0,0.0,2019-05-15,LB,LBK19
2018-04-19,379.0827,379.0827,379.0827,379.0827,0.0,0.0,2019-05-15,LB,LBK19
2018-04-20,385.565,385.565,385.565,385.565,0.0,0.0,2019-05-15,LB,LBK19
2018-04-23,382.5961,382.5961,382.5961,382.5961,0.0,0.0,2019-05-15,LB,LBK19
2018-04-24,394.227,394.227,394.227,394.227,0.0,0.0,2019-05-15,LB,LBK19
2018-04-25,395.3308,395.3308,395.3308,395.3308,0.0,0.0,2019-05-15,LB,LBK19
2018-04-26,398.4934,398.4934,398.4934,398.4934,0.0,0.0,2019-05-15,LB,LBK19
2018-04-27,411.2053,411.2053,411.2053,411.2053,0.0,0.0,2019-05-15,LB,LBK19
2018-04-30,422.0611,422.0611,422.0611,422.0611,0.0,0.0,2019-05-15,LB,LBK19
2018-05-01,409.2726,409.2726,409.2726,409.2726,0.0,0.0,2019-05-15,LB,LBK19
2018-05-02,424.4157,424.4157,424.4157,424.4157,6.0,5.0,2019-05-15,LB,LBK19
2018-05-03,409.5187,409.5187,409.5187,409.5187,0.0,7.0,2019-05-15,LB,LBK19
2018-05-04,414.7605,414.7605,414.7605,414.7605,0.0,5.0,2019-05-15,LB,LBK19
2018-05-07,411.9816,411.9816,411.9816,411.9816,0.0,7.0,2019-05-15,LB,LBK19
2018-05-08,422.4871,422.4871,422.4871,422.4871,0.0,6.0,2019-05-15,LB,LBK19
2018-05-09,437.9079,437.9079,437.9079,437.9079,0.0,6.0,2019-05-15,LB,LBK19
2018-05-10,447.5419,447.5419,447.5419,447.5419,0.0,5.0,2019-05-15,LB,LBK19
2018-05-11,458.1934,458.1934,458.1934,458.1934,5.0,10.0,2019-05-15,LB,LBK19
2018-05-14,456.269,456.269,456.269,456.269,2.0,12.0,2019-05-15,LB,LBK19
