,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-05-15,357.2208,357.2208,357.2208,357.2208,0.0,0.0,2018-07-13,LB,LBN18
2017-05-16,352.2912,352.2912,352.2912,352.2912,0.0,0.0,2018-07-13,LB,LBN18
2017-05-17,350.4241,350.4241,350.4241,350.4241,0.0,0.0,2018-07-13,LB,LBN18
2017-05-18,356.6616,356.6616,356.6616,356.6616,0.0,0.0,2018-07-13,LB,LBN18
2017-05-19,364.4012,364.4012,364.4012,364.4012,0.0,0.0,2018-07-13,LB,LBN18
2017-05-22,362.5428,362.5428,362.5428,362.5428,0.0,0.0,2018-07-13,LB,LBN18
2017-05-23,359.2437,359.2437,359.2437,359.2437,0.0,0.0,2018-07-13,LB,LBN18
2017-05-24,355.1842,355.1842,355.1842,355.1842,0.0,0.0,2018-07-13,LB,LBN18
2017-05-25,359.0202,359.0202,359.0202,359.0202,0.0,0.0,2018-07-13,LB,LBN18
2017-05-26,359.451,359.451,359.451,359.451,0.0,0.0,2018-07-13,LB,LBN18
2017-05-30,353.7357,353.7357,353.7357,353.7357,0.0,0.0,2018-07-13,LB,LBN18
2017-05-31,359.5723,359.5723,359.5723,359.5723,0.0,0.0,2018-07-13,LB,LBN18
2017-06-01,358.5295,358.5295,358.5295,358.5295,0.0,0.0,2018-07-13,LB,LBN18
2017-06-02,351.6457,351.6457,351.6457,351.6457,0.0,0.0,2018-07-13,LB,LBN18
2017-06-05,353.3336,353.3336,353.3336,353.3336,0.0,0.0,2018-07-13,LB,LBN18
2017-06-06,354.0049,354.0049,354.0049,354.0049,0.0,0.0,2018-07-13,LB,LBN18
2017-06-07,350.7481,350.7481,350.7481,350.7481,0.0,0.0,2018-07-13,LB,LBN18
2017-06-08,347.6615,347.6615,347.6615,347.6615,0.0,0.0,2018-07-13,LB,LBN18
2017-06-09,353.6065,353.6065,353.6065,353.6065,0.0,0.0,2018-07-13,LB,LBN18
2017-06-12,361.6687,361.6687,361.6687,361.6687,0.0,0.0,2018-07-13,LB,LBN18
2017-06-13,363.7302,363.7302,363.7302,363.7302,0.0,0.0,2018-07-13,LB,LBN18
2017-06-14,358.2379,358.2379,358.2379,358.2379,0.0,0.0,2018-07-13,LB,LBN18
2017-06-15,356.7333,356.7333,356.7333,356.7333,0.0,0.0,2018-07-13,LB,LBN18
2017-06-16,349.5273,349.5273,349.5273,349.5273,0.0,0.0,2018-07-13,LB,LBN18
2017-06-19,348.4787,348.4787,348.4787,348.4787,0.0,0.0,2018-07-13,LB,LBN18
2017-06-20,349.3499,349.3499,349.3499,349.3499,0.0,0.0,2018-07-13,LB,LBN18
2017-06-21,351.5857,351.5857,351.5857,351.5857,0.0,0.0,2018-07-13,LB,LBN18
2017-06-22,351.8318,351.8318,351.8318,351.8318,0.0,0.0,2018-07-13,LB,LBN18
