,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-07-15,320.6149,320.6149,320.6149,320.6149,0.0,0.0,2016-09-15,LB,LBU16
2015-07-16,315.5812,315.5812,315.5812,315.5812,0.0,0.0,2016-09-15,LB,LBU16
2015-07-17,309.8692,309.8692,309.8692,309.8692,0.0,0.0,2016-09-15,LB,LBU16
2015-07-20,301.4408,301.4408,301.4408,301.4408,0.0,0.0,2016-09-15,LB,LBU16
2015-07-21,296.8589,296.8589,296.8589,296.8589,0.0,0.0,2016-09-15,LB,LBU16
2015-07-22,293.4747,293.4747,293.4747,293.4747,0.0,0.0,2016-09-15,LB,LBU16
2015-07-23,294.2964,294.2964,294.2964,294.2964,0.0,0.0,2016-09-15,LB,LBU16
2015-07-24,296.1799,296.1799,296.1799,296.1799,0.0,0.0,2016-09-15,LB,LBU16
2015-07-27,296.5946,296.5946,296.5946,296.5946,0.0,0.0,2016-09-15,LB,LBU16
2015-07-28,298.3445,298.3445,298.3445,298.3445,0.0,0.0,2016-09-15,LB,LBU16
2015-07-29,294.7644,294.7644,294.7644,294.7644,0.0,0.0,2016-09-15,LB,LBU16
2015-07-30,291.8462,291.8462,291.8462,291.8462,0.0,0.0,2016-09-15,LB,LBU16
2015-07-31,298.4711,298.4711,298.4711,298.4711,0.0,0.0,2016-09-15,LB,LBU16
2015-08-03,304.9778,304.9778,304.9778,304.9778,0.0,0.0,2016-09-15,LB,LBU16
2015-08-04,303.8494,303.8494,303.8494,303.8494,0.0,0.0,2016-09-15,LB,LBU16
2015-08-05,298.8663,298.8663,298.8663,298.8663,0.0,0.0,2016-09-15,LB,LBU16
2015-08-06,306.338,306.338,306.338,306.338,0.0,0.0,2016-09-15,LB,LBU16
2015-08-07,310.0753,310.0753,310.0753,310.0753,0.0,0.0,2016-09-15,LB,LBU16
2015-08-10,308.3079,308.3079,308.3079,308.3079,0.0,0.0,2016-09-15,LB,LBU16
2015-08-11,312.1001,312.1001,312.1001,312.1001,0.0,0.0,2016-09-15,LB,LBU16
2015-08-12,317.874,317.874,317.874,317.874,0.0,0.0,2016-09-15,LB,LBU16
2015-08-13,318.7958,318.7958,318.7958,318.7958,0.0,0.0,2016-09-15,LB,LBU16
2015-08-14,317.6481,317.6481,317.6481,317.6481,0.0,0.0,2016-09-15,LB,LBU16
2015-08-17,319.6175,319.6175,319.6175,319.6175,0.0,0.0,2016-09-15,LB,LBU16
2015-08-18,321.4074,321.4074,321.4074,321.4074,0.0,0.0,2016-09-15,LB,LBU16
2015-08-19,324.5893,324.5893,324.5893,324.5893,0.0,0.0,2016-09-15,LB,LBU16
2015-08-20,317.9028,317.9028,317.9028,317.9028,0.0,0.0,2016-09-15,LB,LBU16
2015-08-21,311.5447,311.5447,311.5447,311.5447,0.0,0.0,2016-09-15,LB,LBU16
2015-08-24,304.5973,304.5973,304.5973,304.5973,0.0,0.0,2016-09-15,LB,LBU16
2015-08-25,296.5559,296.5559,296.5559,296.5559,0.0,0.0,2016-09-15,LB,LBU16
2015-08-26,291.5441,291.5441,291.5441,291.5441,0.0,0.0,2016-09-15,LB,LBU16
2015-08-27,288.2497,288.2497,288.2497,288.2497,0.0,0.0,2016-09-15,LB,LBU16
2015-08-28,284.5889,284.5889,284.5889,284.5889,0.0,0.0,2016-09-15,LB,LBU16
2015-08-31,285.9834,285.9834,285.9834,285.9834,0.0,0.0,2016-09-15,LB,LBU16
2015-09-01,278.1189,278.1189,278.1189,278.1189,0.0,0.0,2016-09-15,LB,LBU16
2015-09-02,270.4984,270.4984,270.4984,270.4984,0.0,0.0,2016-09-15,LB,LBU16
2015-09-03,269.3353,269.3353,269.3353,269.3353,0.0,0.0,2016-09-15,LB,LBU16
2015-09-04,276.4727,276.4727,276.4727,276.4727,0.0,0.0,2016-09-15,LB,LBU16
2015-09-08,275.0903,275.0903,275.0903,275.0903,0.0,0.0,2016-09-15,LB,LBU16
2015-09-09,282.4902,282.4902,282.4902,282.4902,0.0,0.0,2016-09-15,LB,LBU16
2015-09-10,281.1342,281.1342,281.1342,281.1342,0.0,0.0,2016-09-15,LB,LBU16
2015-09-11,287.1786,287.1786,287.1786,287.1786,0.0,0.0,2016-09-15,LB,LBU16
2015-09-14,288.8442,288.8442,288.8442,288.8442,0.0,0.0,2016-09-15,LB,LBU16
2015-09-15,282.2874,282.2874,282.2874,282.2874,0.0,0.0,2016-09-15,LB,LBU16
2015-09-16,283.5012,283.5012,283.5012,283.5012,0.0,0.0,2016-09-15,LB,LBU16
2015-09-17,285.6275,285.6275,285.6275,285.6275,0.0,0.0,2016-09-15,LB,LBU16
2015-09-18,288.6837,288.6837,288.6837,288.6837,0.0,0.0,2016-09-15,LB,LBU16
2015-09-21,280.6583,280.6583,280.6583,280.6583,0.0,0.0,2016-09-15,LB,LBU16
2015-09-22,273.3612,273.3612,273.3612,273.3612,0.0,0.0,2016-09-15,LB,LBU16
2015-09-23,275.9855,275.9855,275.9855,275.9855,0.0,0.0,2016-09-15,LB,LBU16
2015-09-24,280.3737,280.3737,280.3737,280.3737,0.0,0.0,2016-09-15,LB,LBU16
2015-09-25,274.1774,274.1774,274.1774,274.1774,0.0,0.0,2016-09-15,LB,LBU16
2015-09-28,267.1859,267.1859,267.1859,267.1859,0.0,0.0,2016-09-15,LB,LBU16
2015-09-29,274.3999,274.3999,274.3999,274.3999,0.0,0.0,2016-09-15,LB,LBU16
2015-09-30,278.2141,278.2141,278.2141,278.2141,0.0,0.0,2016-09-15,LB,LBU16
2015-10-01,275.0425,275.0425,275.0425,275.0425,0.0,0.0,2016-09-15,LB,LBU16
2015-10-02,275.1525,275.1525,275.1525,275.1525,0.0,0.0,2016-09-15,LB,LBU16
2015-10-05,273.9693,273.9693,273.9693,273.9693,0.0,0.0,2016-09-15,LB,LBU16
2015-10-06,276.846,276.846,276.846,276.846,0.0,0.0,2016-09-15,LB,LBU16
2015-10-07,277.0675,277.0675,277.0675,277.0675,0.0,0.0,2016-09-15,LB,LBU16
2015-10-08,283.5786,283.5786,283.5786,283.5786,1.0,1.0,2016-09-15,LB,LBU16
2015-10-09,288.6263,288.6263,288.6263,288.6263,0.0,1.0,2016-09-15,LB,LBU16
2015-10-12,285.8266,285.8266,285.8266,285.8266,0.0,1.0,2016-09-15,LB,LBU16
2015-10-13,291.5717,291.5717,291.5717,291.5717,0.0,1.0,2016-09-15,LB,LBU16
2015-10-14,289.3849,289.3849,289.3849,289.3849,0.0,1.0,2016-09-15,LB,LBU16
2015-10-15,292.7996,292.7996,292.7996,292.7996,0.0,1.0,2016-09-15,LB,LBU16
2015-10-16,284.8355,284.8355,284.8355,284.8355,0.0,1.0,2016-09-15,LB,LBU16
2015-10-19,279.5091,279.5091,279.5091,279.5091,0.0,1.0,2016-09-15,LB,LBU16
2015-10-20,274.5059,274.5059,274.5059,274.5059,0.0,1.0,2016-09-15,LB,LBU16
2015-10-21,271.1295,271.1295,271.1295,271.1295,0.0,1.0,2016-09-15,LB,LBU16
2015-10-22,263.5379,263.5379,263.5379,263.5379,0.0,1.0,2016-09-15,LB,LBU16
2015-10-23,260.8498,260.8498,260.8498,260.8498,0.0,1.0,2016-09-15,LB,LBU16
2015-10-26,256.0762,256.0762,256.0762,256.0762,0.0,1.0,2016-09-15,LB,LBU16
2015-10-27,252.6192,252.6192,252.6192,252.6192,0.0,1.0,2016-09-15,LB,LBU16
2015-10-28,246.7837,246.7837,246.7837,246.7837,0.0,1.0,2016-09-15,LB,LBU16
2015-10-29,242.5143,242.5143,242.5143,242.5143,0.0,1.0,2016-09-15,LB,LBU16
2015-10-30,237.7853,237.7853,237.7853,237.7853,0.0,1.0,2016-09-15,LB,LBU16
2015-11-02,239.2833,239.2833,239.2833,239.2833,0.0,1.0,2016-09-15,LB,LBU16
2015-11-03,235.7419,235.7419,235.7419,235.7419,0.0,1.0,2016-09-15,LB,LBU16
2015-11-04,239.3252,239.3252,239.3252,239.3252,0.0,1.0,2016-09-15,LB,LBU16
2015-11-05,241.8142,241.8142,241.8142,241.8142,0.0,1.0,2016-09-15,LB,LBU16
2015-11-06,238.1386,238.1386,238.1386,238.1386,0.0,1.0,2016-09-15,LB,LBU16
2015-11-09,237.9957,237.9957,237.9957,237.9957,0.0,1.0,2016-09-15,LB,LBU16
2015-11-10,232.736,232.736,232.736,232.736,0.0,1.0,2016-09-15,LB,LBU16
2015-11-11,230.3155,230.3155,230.3155,230.3155,0.0,1.0,2016-09-15,LB,LBU16
2015-11-12,230.4076,230.4076,230.4076,230.4076,0.0,1.0,2016-09-15,LB,LBU16
2015-11-13,230.9836,230.9836,230.9836,230.9836,0.0,1.0,2016-09-15,LB,LBU16
2015-11-16,229.8749,229.8749,229.8749,229.8749,0.0,1.0,2016-09-15,LB,LBU16
2015-11-17,228.1049,228.1049,228.1049,228.1049,0.0,1.0,2016-09-15,LB,LBU16
2015-11-18,233.511,233.511,233.511,233.511,0.0,1.0,2016-09-15,LB,LBU16
2015-11-19,238.4848,238.4848,238.4848,238.4848,2.0,3.0,2016-09-15,LB,LBU16
2015-11-20,234.1444,234.1444,234.1444,234.1444,1.0,3.0,2016-09-15,LB,LBU16
2015-11-23,238.8975,238.8975,238.8975,238.8975,0.0,3.0,2016-09-15,LB,LBU16
2015-11-24,232.3756,232.3756,232.3756,232.3756,1.0,3.0,2016-09-15,LB,LBU16
2015-11-25,233.8396,233.8396,233.8396,233.8396,0.0,3.0,2016-09-15,LB,LBU16
2015-11-27,237.7447,237.7447,237.7447,237.7447,0.0,3.0,2016-09-15,LB,LBU16
2015-11-30,235.3197,235.3197,235.3197,235.3197,0.0,3.0,2016-09-15,LB,LBU16
2015-12-01,232.1194,232.1194,232.1194,232.1194,1.0,5.0,2016-09-15,LB,LBU16
2015-12-02,228.4983,228.4983,228.4983,228.4983,3.0,7.0,2016-09-15,LB,LBU16
2015-12-03,229.0467,229.0467,229.0467,229.0467,0.0,6.0,2016-09-15,LB,LBU16
2015-12-04,234.4522,234.4522,234.4522,234.4522,0.0,8.0,2016-09-15,LB,LBU16
2015-12-07,230.3493,230.3493,230.3493,230.3493,0.0,7.0,2016-09-15,LB,LBU16
2015-12-08,229.8886,229.8886,229.8886,229.8886,0.0,7.0,2016-09-15,LB,LBU16
2015-12-09,226.1184,226.1184,226.1184,226.1184,0.0,6.0,2016-09-15,LB,LBU16
2015-12-10,231.6809,231.6809,231.6809,231.6809,0.0,7.0,2016-09-15,LB,LBU16
2015-12-11,226.5376,226.5376,226.5376,226.5376,0.0,7.0,2016-09-15,LB,LBU16
2015-12-14,222.6412,222.6412,222.6412,222.6412,0.0,6.0,2016-09-15,LB,LBU16
2015-12-15,220.4148,220.4148,220.4148,220.4148,0.0,7.0,2016-09-15,LB,LBU16
2015-12-16,220.9438,220.9438,220.9438,220.9438,0.0,7.0,2016-09-15,LB,LBU16
2015-12-17,222.0927,222.0927,222.0927,222.0927,0.0,6.0,2016-09-15,LB,LBU16
2015-12-18,217.5176,217.5176,217.5176,217.5176,0.0,8.0,2016-09-15,LB,LBU16
2015-12-21,221.3024,221.3024,221.3024,221.3024,0.0,7.0,2016-09-15,LB,LBU16
2015-12-22,215.6149,215.6149,215.6149,215.6149,0.0,7.0,2016-09-15,LB,LBU16
2015-12-23,209.4914,209.4914,209.4914,209.4914,0.0,6.0,2016-09-15,LB,LBU16
2015-12-24,207.2289,207.2289,207.2289,207.2289,0.0,7.0,2016-09-15,LB,LBU16
2015-12-28,205.3846,205.3846,205.3846,205.3846,0.0,8.0,2016-09-15,LB,LBU16
2015-12-29,203.2281,203.2281,203.2281,203.2281,0.0,6.0,2016-09-15,LB,LBU16
2015-12-30,204.2849,204.2849,204.2849,204.2849,0.0,7.0,2016-09-15,LB,LBU16
2015-12-31,206.4912,206.4912,206.4912,206.4912,0.0,7.0,2016-09-15,LB,LBU16
2016-01-04,202.3201,202.3201,202.3201,202.3201,0.0,6.0,2016-09-15,LB,LBU16
2016-01-05,205.5775,205.5775,205.5775,205.5775,0.0,7.0,2016-09-15,LB,LBU16
2016-01-06,208.4556,208.4556,208.4556,208.4556,0.0,6.0,2016-09-15,LB,LBU16
2016-01-07,208.935,208.935,208.935,208.935,4.0,12.0,2016-09-15,LB,LBU16
2016-01-08,214.8688,214.8688,214.8688,214.8688,8.0,18.0,2016-09-15,LB,LBU16
2016-01-11,209.669,209.669,209.669,209.669,0.0,16.0,2016-09-15,LB,LBU16
