,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-15,376.7541,376.7541,376.7541,376.7541,0.0,0.0,2018-11-15,LB,LBX18
2017-09-18,385.4948,385.4948,385.4948,385.4948,0.0,0.0,2018-11-15,LB,LBX18
2017-09-19,385.0322,385.0322,385.0322,385.0322,0.0,0.0,2018-11-15,LB,LBX18
2017-09-20,375.4064,375.4064,375.4064,375.4064,0.0,0.0,2018-11-15,LB,LBX18
2017-09-21,373.3417,373.3417,373.3417,373.3417,0.0,0.0,2018-11-15,LB,LBX18
2017-09-22,384.5793,384.5793,384.5793,384.5793,0.0,0.0,2018-11-15,LB,LBX18
2017-09-25,387.6559,387.6559,387.6559,387.6559,0.0,0.0,2018-11-15,LB,LBX18
2017-09-26,378.3134,378.3134,378.3134,378.3134,0.0,0.0,2018-11-15,LB,LBX18
2017-09-27,376.7623,376.7623,376.7623,376.7623,0.0,0.0,2018-11-15,LB,LBX18
2017-09-28,381.4342,381.4342,381.4342,381.4342,0.0,0.0,2018-11-15,LB,LBX18
2017-09-29,394.1741,394.1741,394.1741,394.1741,0.0,0.0,2018-11-15,LB,LBX18
2017-10-02,381.4423,381.4423,381.4423,381.4423,0.0,0.0,2018-11-15,LB,LBX18
2017-10-03,382.434,382.434,382.434,382.434,0.0,0.0,2018-11-15,LB,LBX18
2017-10-04,377.3859,377.3859,377.3859,377.3859,0.0,0.0,2018-11-15,LB,LBX18
2017-10-05,368.1022,368.1022,368.1022,368.1022,0.0,0.0,2018-11-15,LB,LBX18
2017-10-06,370.0163,370.0163,370.0163,370.0163,0.0,0.0,2018-11-15,LB,LBX18
2017-10-09,357.4357,357.4357,357.4357,357.4357,0.0,0.0,2018-11-15,LB,LBX18
2017-10-10,367.8728,367.8728,367.8728,367.8728,0.0,0.0,2018-11-15,LB,LBX18
2017-10-11,366.7692,366.7692,366.7692,366.7692,0.0,0.0,2018-11-15,LB,LBX18
2017-10-12,363.9084,363.9084,363.9084,363.9084,0.0,0.0,2018-11-15,LB,LBX18
2017-10-13,359.1776,359.1776,359.1776,359.1776,0.0,0.0,2018-11-15,LB,LBX18
2017-10-16,354.6879,354.6879,354.6879,354.6879,0.0,0.0,2018-11-15,LB,LBX18
2017-10-17,342.7704,342.7704,342.7704,342.7704,0.0,0.0,2018-11-15,LB,LBX18
2017-10-18,349.2145,349.2145,349.2145,349.2145,0.0,0.0,2018-11-15,LB,LBX18
2017-10-19,345.5128,345.5128,345.5128,345.5128,0.0,0.0,2018-11-15,LB,LBX18
2017-10-20,345.7201,345.7201,345.7201,345.7201,0.0,0.0,2018-11-15,LB,LBX18
2017-10-23,340.9492,340.9492,340.9492,340.9492,0.0,0.0,2018-11-15,LB,LBX18
2017-10-24,333.7893,333.7893,333.7893,333.7893,0.0,0.0,2018-11-15,LB,LBX18
2017-10-25,337.2941,337.2941,337.2941,337.2941,0.0,0.0,2018-11-15,LB,LBX18
2017-10-26,340.5996,340.5996,340.5996,340.5996,0.0,0.0,2018-11-15,LB,LBX18
2017-10-27,344.9593,344.9593,344.9593,344.9593,1.0,1.0,2018-11-15,LB,LBX18
2017-10-30,354.2042,354.2042,354.2042,354.2042,0.0,1.0,2018-11-15,LB,LBX18
2017-10-31,348.714,348.714,348.714,348.714,0.0,1.0,2018-11-15,LB,LBX18
2017-11-01,341.9489,341.9489,341.9489,341.9489,0.0,1.0,2018-11-15,LB,LBX18
2017-11-02,342.0173,342.0173,342.0173,342.0173,0.0,1.0,2018-11-15,LB,LBX18
2017-11-03,341.5043,341.5043,341.5043,341.5043,0.0,1.0,2018-11-15,LB,LBX18
2017-11-06,346.2512,346.2512,346.2512,346.2512,2.0,4.0,2018-11-15,LB,LBX18
2017-11-07,345.5587,345.5587,345.5587,345.5587,0.0,4.0,2018-11-15,LB,LBX18
2017-11-08,344.2801,344.2801,344.2801,344.2801,0.0,4.0,2018-11-15,LB,LBX18
2017-11-09,333.332,333.332,333.332,333.332,0.0,3.0,2018-11-15,LB,LBX18
2017-11-10,326.2654,326.2654,326.2654,326.2654,1.0,4.0,2018-11-15,LB,LBX18
2017-11-13,330.6047,330.6047,330.6047,330.6047,0.0,4.0,2018-11-15,LB,LBX18
2017-11-14,328.6541,328.6541,328.6541,328.6541,1.0,5.0,2018-11-15,LB,LBX18
2017-11-15,334.6027,334.6027,334.6027,334.6027,0.0,7.0,2018-11-15,LB,LBX18
2017-11-16,337.7145,337.7145,337.7145,337.7145,0.0,5.0,2018-11-15,LB,LBX18
2017-11-17,326.6712,326.6712,326.6712,326.6712,0.0,5.0,2018-11-15,LB,LBX18
2017-11-20,334.2173,334.2173,334.2173,334.2173,1.0,7.0,2018-11-15,LB,LBX18
2017-11-21,331.0088,331.0088,331.0088,331.0088,0.0,7.0,2018-11-15,LB,LBX18
2017-11-22,330.4461,330.4461,330.4461,330.4461,0.0,7.0,2018-11-15,LB,LBX18
2017-11-24,322.0528,322.0528,322.0528,322.0528,0.0,8.0,2018-11-15,LB,LBX18
2017-11-27,319.5086,319.5086,319.5086,319.5086,0.0,6.0,2018-11-15,LB,LBX18
2017-11-28,316.8247,316.8247,316.8247,316.8247,0.0,7.0,2018-11-15,LB,LBX18
2017-11-29,317.7435,317.7435,317.7435,317.7435,0.0,8.0,2018-11-15,LB,LBX18
2017-11-30,325.2422,325.2422,325.2422,325.2422,0.0,7.0,2018-11-15,LB,LBX18
2017-12-01,321.7296,321.7296,321.7296,321.7296,0.0,8.0,2018-11-15,LB,LBX18
2017-12-04,318.9627,318.9627,318.9627,318.9627,0.0,6.0,2018-11-15,LB,LBX18
2017-12-05,326.6497,326.6497,326.6497,326.6497,0.0,8.0,2018-11-15,LB,LBX18
2017-12-06,328.5443,328.5443,328.5443,328.5443,0.0,8.0,2018-11-15,LB,LBX18
2017-12-07,336.0023,336.0023,336.0023,336.0023,0.0,6.0,2018-11-15,LB,LBX18
2017-12-08,339.9335,339.9335,339.9335,339.9335,0.0,8.0,2018-11-15,LB,LBX18
2017-12-11,337.384,337.384,337.384,337.384,0.0,8.0,2018-11-15,LB,LBX18
2017-12-12,329.523,329.523,329.523,329.523,0.0,7.0,2018-11-15,LB,LBX18
2017-12-13,327.9083,327.9083,327.9083,327.9083,1.0,7.0,2018-11-15,LB,LBX18
2017-12-14,327.5148,327.5148,327.5148,327.5148,0.0,8.0,2018-11-15,LB,LBX18
2017-12-15,324.8292,324.8292,324.8292,324.8292,0.0,6.0,2018-11-15,LB,LBX18
2017-12-18,327.3954,327.3954,327.3954,327.3954,0.0,6.0,2018-11-15,LB,LBX18
2017-12-19,332.2081,332.2081,332.2081,332.2081,0.0,7.0,2018-11-15,LB,LBX18
2017-12-20,339.9818,339.9818,339.9818,339.9818,0.0,7.0,2018-11-15,LB,LBX18
2017-12-21,335.0181,335.0181,335.0181,335.0181,2.0,10.0,2018-11-15,LB,LBX18
2017-12-22,345.8727,345.8727,345.8727,345.8727,0.0,9.0,2018-11-15,LB,LBX18
2017-12-26,348.951,348.951,348.951,348.951,0.0,10.0,2018-11-15,LB,LBX18
2017-12-27,358.9659,358.9659,358.9659,358.9659,0.0,7.0,2018-11-15,LB,LBX18
2017-12-28,366.4683,366.4683,366.4683,366.4683,0.0,10.0,2018-11-15,LB,LBX18
2017-12-29,367.8242,367.8242,367.8242,367.8242,0.0,11.0,2018-11-15,LB,LBX18
2018-01-02,375.6956,375.6956,375.6956,375.6956,0.0,10.0,2018-11-15,LB,LBX18
2018-01-03,381.7067,381.7067,381.7067,381.7067,0.0,9.0,2018-11-15,LB,LBX18
2018-01-04,377.088,377.088,377.088,377.088,0.0,8.0,2018-11-15,LB,LBX18
2018-01-05,371.6579,371.6579,371.6579,371.6579,0.0,10.0,2018-11-15,LB,LBX18
2018-01-08,359.2817,359.2817,359.2817,359.2817,0.0,8.0,2018-11-15,LB,LBX18
2018-01-09,362.3356,362.3356,362.3356,362.3356,0.0,7.0,2018-11-15,LB,LBX18
2018-01-10,356.6107,356.6107,356.6107,356.6107,2.0,10.0,2018-11-15,LB,LBX18
2018-01-11,365.205,365.205,365.205,365.205,0.0,9.0,2018-11-15,LB,LBX18
2018-01-12,368.2362,368.2362,368.2362,368.2362,1.0,7.0,2018-11-15,LB,LBX18
2018-01-16,379.2465,379.2465,379.2465,379.2465,0.0,10.0,2018-11-15,LB,LBX18
2018-01-17,373.5578,373.5578,373.5578,373.5578,0.0,9.0,2018-11-15,LB,LBX18
2018-01-18,384.7645,384.7645,384.7645,384.7645,0.0,9.0,2018-11-15,LB,LBX18
