,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-08-31,106.5233,106.5233,106.5233,106.5233,0.0,0.0,2019-02-28,LC,LCG19
2017-09-01,106.2463,106.2463,106.2463,106.2463,0.0,0.0,2019-02-28,LC,LCG19
2017-09-05,105.9382,105.9382,105.9382,105.9382,1.0,4.0,2019-02-28,LC,LCG19
2017-09-06,105.7899,105.7899,105.7899,105.7899,1.0,4.0,2019-02-28,LC,LCG19
2017-09-07,105.9697,105.9697,105.9697,105.9697,1.0,5.0,2019-02-28,LC,LCG19
2017-09-08,107.2095,107.2095,107.2095,107.2095,2.0,5.0,2019-02-28,LC,LCG19
2017-09-11,106.3411,106.3411,106.3411,106.3411,1.0,7.0,2019-02-28,LC,LCG19
2017-09-12,105.8838,105.8838,105.8838,105.8838,9.0,15.0,2019-02-28,LC,LCG19
2017-09-13,106.0003,106.0003,106.0003,106.0003,14.0,22.0,2019-02-28,LC,LCG19
2017-09-14,106.1805,106.1805,106.1805,106.1805,2.0,56.0,2019-02-28,LC,LCG19
2017-09-15,106.7645,106.7645,106.7645,106.7645,39.0,97.0,2019-02-28,LC,LCG19
2017-09-18,107.2129,107.2129,107.2129,107.2129,36.0,71.0,2019-02-28,LC,LCG19
2017-09-19,106.9449,106.9449,106.9449,106.9449,5.0,99.0,2019-02-28,LC,LCG19
2017-09-20,107.5438,107.5438,107.5438,107.5438,2.0,84.0,2019-02-28,LC,LCG19
2017-09-21,106.877,106.877,106.877,106.877,7.0,101.0,2019-02-28,LC,LCG19
2017-09-22,107.7961,107.7961,107.7961,107.7961,45.0,141.0,2019-02-28,LC,LCG19
2017-09-25,107.7314,107.7314,107.7314,107.7314,2.0,133.0,2019-02-28,LC,LCG19
2017-09-26,106.5033,106.5033,106.5033,106.5033,5.0,136.0,2019-02-28,LC,LCG19
2017-09-27,107.2595,107.2595,107.2595,107.2595,4.0,105.0,2019-02-28,LC,LCG19
2017-09-28,106.4336,106.4336,106.4336,106.4336,1.0,120.0,2019-02-28,LC,LCG19
2017-09-29,106.0079,106.0079,106.0079,106.0079,70.0,154.0,2019-02-28,LC,LCG19
2017-10-02,104.704,104.704,104.704,104.704,88.0,174.0,2019-02-28,LC,LCG19
2017-10-03,103.814,103.814,103.814,103.814,54.0,248.0,2019-02-28,LC,LCG19
2017-10-04,104.8002,104.8002,104.8002,104.8002,70.0,268.0,2019-02-28,LC,LCG19
2017-10-05,104.7792,104.7792,104.7792,104.7792,2.0,220.0,2019-02-28,LC,LCG19
2017-10-06,105.1983,105.1983,105.1983,105.1983,51.0,230.0,2019-02-28,LC,LCG19
2017-10-09,104.9774,104.9774,104.9774,104.9774,44.0,328.0,2019-02-28,LC,LCG19
2017-10-10,106.3106,106.3106,106.3106,106.3106,0.0,233.0,2019-02-28,LC,LCG19
2017-10-11,107.6714,107.6714,107.6714,107.6714,14.0,312.0,2019-02-28,LC,LCG19
2017-10-12,108.4036,108.4036,108.4036,108.4036,4.0,283.0,2019-02-28,LC,LCG19
2017-10-13,108.989,108.989,108.989,108.989,1.0,298.0,2019-02-28,LC,LCG19
2017-10-16,109.5993,109.5993,109.5993,109.5993,1.0,253.0,2019-02-28,LC,LCG19
2017-10-17,110.1802,110.1802,110.1802,110.1802,8.0,271.0,2019-02-28,LC,LCG19
2017-10-18,110.07,110.07,110.07,110.07,3.0,350.0,2019-02-28,LC,LCG19
2017-10-19,108.5841,108.5841,108.5841,108.5841,12.0,251.0,2019-02-28,LC,LCG19
2017-10-20,109.8545,109.8545,109.8545,109.8545,34.0,366.0,2019-02-28,LC,LCG19
2017-10-23,108.9537,108.9537,108.9537,108.9537,49.0,282.0,2019-02-28,LC,LCG19
2017-10-24,107.8424,107.8424,107.8424,107.8424,66.0,444.0,2019-02-28,LC,LCG19
2017-10-25,108.6081,108.6081,108.6081,108.6081,16.0,444.0,2019-02-28,LC,LCG19
2017-10-26,108.4452,108.4452,108.4452,108.4452,71.0,494.0,2019-02-28,LC,LCG19
2017-10-27,109.7899,109.7899,109.7899,109.7899,188.0,567.0,2019-02-28,LC,LCG19
2017-10-30,108.692,108.692,108.692,108.692,288.0,724.0,2019-02-28,LC,LCG19
2017-10-31,108.4203,108.4203,108.4203,108.4203,13.0,593.0,2019-02-28,LC,LCG19
2017-11-01,108.2035,108.2035,108.2035,108.2035,147.0,852.0,2019-02-28,LC,LCG19
2017-11-02,109.2747,109.2747,109.2747,109.2747,122.0,909.0,2019-02-28,LC,LCG19
2017-11-03,108.3896,108.3896,108.3896,108.3896,51.0,858.0,2019-02-28,LC,LCG19
2017-11-06,109.6252,109.6252,109.6252,109.6252,50.0,958.0,2019-02-28,LC,LCG19
2017-11-07,109.8554,109.8554,109.8554,109.8554,39.0,1007.0,2019-02-28,LC,LCG19
2017-11-08,109.3061,109.3061,109.3061,109.3061,15.0,799.0,2019-02-28,LC,LCG19
2017-11-09,108.3333,108.3333,108.3333,108.3333,6.0,913.0,2019-02-28,LC,LCG19
2017-11-10,108.8641,108.8641,108.8641,108.8641,44.0,911.0,2019-02-28,LC,LCG19
2017-11-13,107.4271,107.4271,107.4271,107.4271,19.0,860.0,2019-02-28,LC,LCG19
2017-11-14,108.2758,108.2758,108.2758,108.2758,16.0,988.0,2019-02-28,LC,LCG19
2017-11-15,107.6261,107.6261,107.6261,107.6261,87.0,916.0,2019-02-28,LC,LCG19
2017-11-16,109.0252,109.0252,109.0252,109.0252,24.0,1006.0,2019-02-28,LC,LCG19
2017-11-17,109.047,109.047,109.047,109.047,49.0,880.0,2019-02-28,LC,LCG19
2017-11-20,110.3447,110.3447,110.3447,110.3447,61.0,1075.0,2019-02-28,LC,LCG19
2017-11-21,109.9033,109.9033,109.9033,109.9033,17.0,858.0,2019-02-28,LC,LCG19
2017-11-22,108.7823,108.7823,108.7823,108.7823,14.0,896.0,2019-02-28,LC,LCG19
2017-11-24,108.1949,108.1949,108.1949,108.1949,34.0,1087.0,2019-02-28,LC,LCG19
2017-11-27,108.7034,108.7034,108.7034,108.7034,90.0,1081.0,2019-02-28,LC,LCG19
2017-11-28,108.4751,108.4751,108.4751,108.4751,19.0,906.0,2019-02-28,LC,LCG19
2017-11-29,107.4337,107.4337,107.4337,107.4337,276.0,982.0,2019-02-28,LC,LCG19
2017-11-30,106.5205,106.5205,106.5205,106.5205,230.0,1287.0,2019-02-28,LC,LCG19
2017-12-01,105.8281,105.8281,105.8281,105.8281,105.0,1521.0,2019-02-28,LC,LCG19
2017-12-04,105.5212,105.5212,105.5212,105.5212,96.0,1496.0,2019-02-28,LC,LCG19
2017-12-05,105.4368,105.4368,105.4368,105.4368,98.0,1090.0,2019-02-28,LC,LCG19
2017-12-06,105.1099,105.1099,105.1099,105.1099,75.0,1219.0,2019-02-28,LC,LCG19
2017-12-07,103.8276,103.8276,103.8276,103.8276,67.0,1473.0,2019-02-28,LC,LCG19
2017-12-08,102.9762,102.9762,102.9762,102.9762,32.0,1653.0,2019-02-28,LC,LCG19
