,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-30,129.9061,129.9061,129.9061,129.9061,0.0,0.0,2017-04-28,LC,LCJ17
2015-11-02,131.2961,131.2961,131.2961,131.2961,0.0,0.0,2017-04-28,LC,LCJ17
2015-11-03,130.6921,130.6921,130.6921,130.6921,4.0,3.0,2017-04-28,LC,LCJ17
2015-11-04,132.6786,132.6786,132.6786,132.6786,0.0,4.0,2017-04-28,LC,LCJ17
2015-11-05,132.7051,132.7051,132.7051,132.7051,0.0,4.0,2017-04-28,LC,LCJ17
2015-11-06,132.7449,132.7449,132.7449,132.7449,3.0,7.0,2017-04-28,LC,LCJ17
2015-11-09,133.7803,133.7803,133.7803,133.7803,0.0,5.0,2017-04-28,LC,LCJ17
2015-11-10,135.8405,135.8405,135.8405,135.8405,0.0,5.0,2017-04-28,LC,LCJ17
2015-11-11,135.4737,135.4737,135.4737,135.4737,0.0,6.0,2017-04-28,LC,LCJ17
2015-11-12,134.4712,134.4712,134.4712,134.4712,0.0,6.0,2017-04-28,LC,LCJ17
2015-11-13,136.3807,136.3807,136.3807,136.3807,0.0,7.0,2017-04-28,LC,LCJ17
2015-11-16,133.9668,133.9668,133.9668,133.9668,0.0,5.0,2017-04-28,LC,LCJ17
2015-11-17,133.4309,133.4309,133.4309,133.4309,0.0,7.0,2017-04-28,LC,LCJ17
2015-11-18,133.9646,133.9646,133.9646,133.9646,39.0,40.0,2017-04-28,LC,LCJ17
2015-11-19,135.4784,135.4784,135.4784,135.4784,0.0,42.0,2017-04-28,LC,LCJ17
2015-11-20,133.1482,133.1482,133.1482,133.1482,41.0,91.0,2017-04-28,LC,LCJ17
2015-11-23,135.425,135.425,135.425,135.425,72.0,136.0,2017-04-28,LC,LCJ17
2015-11-24,134.0301,134.0301,134.0301,134.0301,19.0,140.0,2017-04-28,LC,LCJ17
2015-11-25,133.8022,133.8022,133.8022,133.8022,12.0,128.0,2017-04-28,LC,LCJ17
2015-11-27,133.8156,133.8156,133.8156,133.8156,1.0,121.0,2017-04-28,LC,LCJ17
2015-11-30,132.0492,132.0492,132.0492,132.0492,15.0,116.0,2017-04-28,LC,LCJ17
2015-12-01,132.5774,132.5774,132.5774,132.5774,24.0,119.0,2017-04-28,LC,LCJ17
2015-12-02,134.7517,134.7517,134.7517,134.7517,11.0,122.0,2017-04-28,LC,LCJ17
2015-12-03,132.4205,132.4205,132.4205,132.4205,2.0,157.0,2017-04-28,LC,LCJ17
2015-12-04,133.268,133.268,133.268,133.268,17.0,181.0,2017-04-28,LC,LCJ17
2015-12-07,132.2285,132.2285,132.2285,132.2285,5.0,194.0,2017-04-28,LC,LCJ17
2015-12-08,131.9244,131.9244,131.9244,131.9244,21.0,206.0,2017-04-28,LC,LCJ17
2015-12-09,132.7687,132.7687,132.7687,132.7687,41.0,219.0,2017-04-28,LC,LCJ17
2015-12-10,133.9902,133.9902,133.9902,133.9902,50.0,182.0,2017-04-28,LC,LCJ17
2015-12-11,133.6418,133.6418,133.6418,133.6418,18.0,220.0,2017-04-28,LC,LCJ17
2015-12-14,133.1874,133.1874,133.1874,133.1874,14.0,273.0,2017-04-28,LC,LCJ17
2015-12-15,134.8789,134.8789,134.8789,134.8789,12.0,289.0,2017-04-28,LC,LCJ17
2015-12-16,135.4589,135.4589,135.4589,135.4589,21.0,243.0,2017-04-28,LC,LCJ17
2015-12-17,135.784,135.784,135.784,135.784,14.0,233.0,2017-04-28,LC,LCJ17
2015-12-18,136.042,136.042,136.042,136.042,46.0,278.0,2017-04-28,LC,LCJ17
2015-12-21,138.3139,138.3139,138.3139,138.3139,68.0,331.0,2017-04-28,LC,LCJ17
2015-12-22,137.2212,137.2212,137.2212,137.2212,97.0,358.0,2017-04-28,LC,LCJ17
2015-12-23,136.59,136.59,136.59,136.59,178.0,587.0,2017-04-28,LC,LCJ17
2015-12-24,137.5734,137.5734,137.5734,137.5734,106.0,479.0,2017-04-28,LC,LCJ17
2015-12-28,139.1417,139.1417,139.1417,139.1417,26.0,562.0,2017-04-28,LC,LCJ17
2015-12-29,141.6045,141.6045,141.6045,141.6045,6.0,637.0,2017-04-28,LC,LCJ17
2015-12-30,141.2222,141.2222,141.2222,141.2222,45.0,662.0,2017-04-28,LC,LCJ17
2015-12-31,143.6795,143.6795,143.6795,143.6795,24.0,550.0,2017-04-28,LC,LCJ17
2016-01-04,141.6249,141.6249,141.6249,141.6249,43.0,598.0,2017-04-28,LC,LCJ17
2016-01-05,141.1434,141.1434,141.1434,141.1434,33.0,535.0,2017-04-28,LC,LCJ17
2016-01-06,138.5605,138.5605,138.5605,138.5605,71.0,688.0,2017-04-28,LC,LCJ17
2016-01-07,139.0316,139.0316,139.0316,139.0316,50.0,616.0,2017-04-28,LC,LCJ17
2016-01-08,137.7942,137.7942,137.7942,137.7942,31.0,819.0,2017-04-28,LC,LCJ17
2016-01-11,136.0167,136.0167,136.0167,136.0167,86.0,632.0,2017-04-28,LC,LCJ17
2016-01-12,133.8948,133.8948,133.8948,133.8948,51.0,910.0,2017-04-28,LC,LCJ17
2016-01-13,132.4353,132.4353,132.4353,132.4353,48.0,768.0,2017-04-28,LC,LCJ17
2016-01-14,134.5013,134.5013,134.5013,134.5013,23.0,948.0,2017-04-28,LC,LCJ17
2016-01-15,135.9001,135.9001,135.9001,135.9001,102.0,661.0,2017-04-28,LC,LCJ17
2016-01-19,137.7348,137.7348,137.7348,137.7348,19.0,940.0,2017-04-28,LC,LCJ17
2016-01-20,136.4263,136.4263,136.4263,136.4263,54.0,731.0,2017-04-28,LC,LCJ17
2016-01-21,137.8178,137.8178,137.8178,137.8178,71.0,887.0,2017-04-28,LC,LCJ17
2016-01-22,136.6463,136.6463,136.6463,136.6463,79.0,958.0,2017-04-28,LC,LCJ17
2016-01-25,137.3979,137.3979,137.3979,137.3979,30.0,827.0,2017-04-28,LC,LCJ17
2016-01-26,137.7277,137.7277,137.7277,137.7277,28.0,825.0,2017-04-28,LC,LCJ17
2016-01-27,138.2235,138.2235,138.2235,138.2235,131.0,962.0,2017-04-28,LC,LCJ17
2016-01-28,140.9465,140.9465,140.9465,140.9465,96.0,761.0,2017-04-28,LC,LCJ17
