,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-03-03,99.5182,99.5182,99.5182,99.5182,0.0,0.0,2018-06-29,LC,LCM18
2017-03-06,99.9959,99.9959,99.9959,99.9959,25.0,15.0,2018-06-29,LC,LCM18
2017-03-07,98.316,98.316,98.316,98.316,30.0,41.0,2018-06-29,LC,LCM18
2017-03-08,99.5744,99.5744,99.5744,99.5744,22.0,50.0,2018-06-29,LC,LCM18
2017-03-09,99.8632,99.8632,99.8632,99.8632,51.0,90.0,2018-06-29,LC,LCM18
2017-03-10,98.6149,98.6149,98.6149,98.6149,56.0,134.0,2018-06-29,LC,LCM18
2017-03-13,98.2993,98.2993,98.2993,98.2993,56.0,184.0,2018-06-29,LC,LCM18
2017-03-14,99.1545,99.1545,99.1545,99.1545,25.0,165.0,2018-06-29,LC,LCM18
2017-03-15,97.687,97.687,97.687,97.687,47.0,237.0,2018-06-29,LC,LCM18
2017-03-16,98.0777,98.0777,98.0777,98.0777,36.0,276.0,2018-06-29,LC,LCM18
2017-03-17,99.3429,99.3429,99.3429,99.3429,65.0,282.0,2018-06-29,LC,LCM18
2017-03-20,97.5845,97.5845,97.5845,97.5845,21.0,262.0,2018-06-29,LC,LCM18
2017-03-21,98.7848,98.7848,98.7848,98.7848,72.0,362.0,2018-06-29,LC,LCM18
2017-03-22,99.6047,99.6047,99.6047,99.6047,142.0,403.0,2018-06-29,LC,LCM18
2017-03-23,100.4912,100.4912,100.4912,100.4912,87.0,461.0,2018-06-29,LC,LCM18
2017-03-24,99.3556,99.3556,99.3556,99.3556,97.0,442.0,2018-06-29,LC,LCM18
2017-03-27,98.5111,98.5111,98.5111,98.5111,44.0,489.0,2018-06-29,LC,LCM18
2017-03-28,97.9496,97.9496,97.9496,97.9496,93.0,668.0,2018-06-29,LC,LCM18
2017-03-29,96.735,96.735,96.735,96.735,251.0,828.0,2018-06-29,LC,LCM18
2017-03-30,96.5996,96.5996,96.5996,96.5996,151.0,986.0,2018-06-29,LC,LCM18
2017-03-31,96.4257,96.4257,96.4257,96.4257,93.0,882.0,2018-06-29,LC,LCM18
2017-04-03,94.6225,94.6225,94.6225,94.6225,38.0,936.0,2018-06-29,LC,LCM18
2017-04-04,94.2724,94.2724,94.2724,94.2724,54.0,845.0,2018-06-29,LC,LCM18
2017-04-05,95.7902,95.7902,95.7902,95.7902,104.0,1045.0,2018-06-29,LC,LCM18
2017-04-06,94.7557,94.7557,94.7557,94.7557,321.0,928.0,2018-06-29,LC,LCM18
2017-04-07,95.2863,95.2863,95.2863,95.2863,246.0,1183.0,2018-06-29,LC,LCM18
2017-04-10,95.0004,95.0004,95.0004,95.0004,207.0,1573.0,2018-06-29,LC,LCM18
2017-04-11,96.0834,96.0834,96.0834,96.0834,124.0,1436.0,2018-06-29,LC,LCM18
2017-04-12,97.0154,97.0154,97.0154,97.0154,208.0,1474.0,2018-06-29,LC,LCM18
2017-04-13,96.1714,96.1714,96.1714,96.1714,150.0,1661.0,2018-06-29,LC,LCM18
2017-04-17,96.6523,96.6523,96.6523,96.6523,83.0,1678.0,2018-06-29,LC,LCM18
2017-04-18,98.3824,98.3824,98.3824,98.3824,170.0,1979.0,2018-06-29,LC,LCM18
2017-04-19,99.0416,99.0416,99.0416,99.0416,20.0,1636.0,2018-06-29,LC,LCM18
2017-04-20,101.1017,101.1017,101.1017,101.1017,211.0,2111.0,2018-06-29,LC,LCM18
2017-04-21,101.0208,101.0208,101.0208,101.0208,44.0,1609.0,2018-06-29,LC,LCM18
2017-04-24,102.132,102.132,102.132,102.132,96.0,2044.0,2018-06-29,LC,LCM18
2017-04-25,101.8869,101.8869,101.8869,101.8869,82.0,2342.0,2018-06-29,LC,LCM18
2017-04-26,101.4794,101.4794,101.4794,101.4794,809.0,2826.0,2018-06-29,LC,LCM18
2017-04-27,101.5707,101.5707,101.5707,101.5707,497.0,3144.0,2018-06-29,LC,LCM18
2017-04-28,101.8551,101.8551,101.8551,101.8551,428.0,2739.0,2018-06-29,LC,LCM18
2017-05-01,100.0115,100.0115,100.0115,100.0115,262.0,3278.0,2018-06-29,LC,LCM18
2017-05-02,99.3214,99.3214,99.3214,99.3214,396.0,3624.0,2018-06-29,LC,LCM18
2017-05-03,98.5765,98.5765,98.5765,98.5765,335.0,3419.0,2018-06-29,LC,LCM18
2017-05-04,100.5973,100.5973,100.5973,100.5973,493.0,3451.0,2018-06-29,LC,LCM18
2017-05-05,102.2169,102.2169,102.2169,102.2169,173.0,3046.0,2018-06-29,LC,LCM18
2017-05-08,103.7502,103.7502,103.7502,103.7502,316.0,3870.0,2018-06-29,LC,LCM18
2017-05-09,104.269,104.269,104.269,104.269,180.0,2814.0,2018-06-29,LC,LCM18
2017-05-10,104.7903,104.7903,104.7903,104.7903,197.0,3812.0,2018-06-29,LC,LCM18
2017-05-11,105.6286,105.6286,105.6286,105.6286,170.0,3803.0,2018-06-29,LC,LCM18
2017-05-12,106.9067,106.9067,106.9067,106.9067,148.0,3771.0,2018-06-29,LC,LCM18
2017-05-15,106.896,106.896,106.896,106.896,182.0,3508.0,2018-06-29,LC,LCM18
2017-05-16,108.6919,108.6919,108.6919,108.6919,51.0,3667.0,2018-06-29,LC,LCM18
2017-05-17,110.8657,110.8657,110.8657,110.8657,187.0,3687.0,2018-06-29,LC,LCM18
2017-05-18,112.1296,112.1296,112.1296,112.1296,147.0,3249.0,2018-06-29,LC,LCM18
2017-05-19,114.3049,114.3049,114.3049,114.3049,165.0,3278.0,2018-06-29,LC,LCM18
2017-05-22,112.0188,112.0188,112.0188,112.0188,185.0,3471.0,2018-06-29,LC,LCM18
2017-05-23,112.8813,112.8813,112.8813,112.8813,263.0,4379.0,2018-06-29,LC,LCM18
2017-05-24,110.872,110.872,110.872,110.872,454.0,3652.0,2018-06-29,LC,LCM18
2017-05-25,113.1671,113.1671,113.1671,113.1671,154.0,3933.0,2018-06-29,LC,LCM18
2017-05-26,113.4048,113.4048,113.4048,113.4048,153.0,3576.0,2018-06-29,LC,LCM18
2017-05-30,112.4068,112.4068,112.4068,112.4068,181.0,4510.0,2018-06-29,LC,LCM18
2017-05-31,111.5413,111.5413,111.5413,111.5413,586.0,4965.0,2018-06-29,LC,LCM18
2017-06-01,109.2659,109.2659,109.2659,109.2659,502.0,4850.0,2018-06-29,LC,LCM18
2017-06-02,109.7794,109.7794,109.7794,109.7794,662.0,3974.0,2018-06-29,LC,LCM18
2017-06-05,111.1736,111.1736,111.1736,111.1736,604.0,5160.0,2018-06-29,LC,LCM18
2017-06-06,113.3637,113.3637,113.3637,113.3637,611.0,5814.0,2018-06-29,LC,LCM18
2017-06-07,114.8488,114.8488,114.8488,114.8488,470.0,5996.0,2018-06-29,LC,LCM18
2017-06-08,112.5518,112.5518,112.5518,112.5518,369.0,5446.0,2018-06-29,LC,LCM18
2017-06-09,113.9925,113.9925,113.9925,113.9925,469.0,4705.0,2018-06-29,LC,LCM18
2017-06-12,112.8298,112.8298,112.8298,112.8298,444.0,6026.0,2018-06-29,LC,LCM18
2017-06-13,114.6125,114.6125,114.6125,114.6125,314.0,5514.0,2018-06-29,LC,LCM18
2017-06-14,115.0136,115.0136,115.0136,115.0136,674.0,5398.0,2018-06-29,LC,LCM18
2017-06-15,117.0033,117.0033,117.0033,117.0033,274.0,5181.0,2018-06-29,LC,LCM18
2017-06-16,115.0025,115.0025,115.0025,115.0025,175.0,5085.0,2018-06-29,LC,LCM18
2017-06-19,115.8305,115.8305,115.8305,115.8305,164.0,6557.0,2018-06-29,LC,LCM18
2017-06-20,116.7456,116.7456,116.7456,116.7456,268.0,6567.0,2018-06-29,LC,LCM18
2017-06-21,115.1228,115.1228,115.1228,115.1228,104.0,5536.0,2018-06-29,LC,LCM18
2017-06-22,114.3285,114.3285,114.3285,114.3285,420.0,5386.0,2018-06-29,LC,LCM18
2017-06-23,115.5175,115.5175,115.5175,115.5175,199.0,5587.0,2018-06-29,LC,LCM18
2017-06-26,113.9349,113.9349,113.9349,113.9349,229.0,5207.0,2018-06-29,LC,LCM18
2017-06-27,114.6983,114.6983,114.6983,114.6983,412.0,4578.0,2018-06-29,LC,LCM18
