,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-27,139.7422,139.7422,139.7422,139.7422,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-02,137.3107,137.3107,137.3107,137.3107,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-03,135.2098,135.2098,135.2098,135.2098,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-04,135.1828,135.1828,135.1828,135.1828,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-05,136.1832,136.1832,136.1832,136.1832,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-06,137.2454,137.2454,137.2454,137.2454,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-09,138.1238,138.1238,138.1238,138.1238,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-10,139.9332,139.9332,139.9332,139.9332,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-11,140.9687,140.9687,140.9687,140.9687,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-12,140.8136,140.8136,140.8136,140.8136,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-13,140.8277,140.8277,140.8277,140.8277,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-16,143.1795,143.1795,143.1795,143.1795,0.0,0.0,2016-08-31,LC,LCQ16
2015-03-17,144.7402,144.7402,144.7402,144.7402,4.0,4.0,2016-08-31,LC,LCQ16
2015-03-18,144.6244,144.6244,144.6244,144.6244,60.0,46.0,2016-08-31,LC,LCQ16
2015-03-19,146.6202,146.6202,146.6202,146.6202,11.0,69.0,2016-08-31,LC,LCQ16
2015-03-20,148.8928,148.8928,148.8928,148.8928,1.0,60.0,2016-08-31,LC,LCQ16
2015-03-23,147.5379,147.5379,147.5379,147.5379,20.0,79.0,2016-08-31,LC,LCQ16
2015-03-24,148.6739,148.6739,148.6739,148.6739,4.0,71.0,2016-08-31,LC,LCQ16
2015-03-25,149.9525,149.9525,149.9525,149.9525,0.0,82.0,2016-08-31,LC,LCQ16
2015-03-26,150.4024,150.4024,150.4024,150.4024,2.0,74.0,2016-08-31,LC,LCQ16
2015-03-27,153.26,153.26,153.26,153.26,15.0,81.0,2016-08-31,LC,LCQ16
2015-03-30,152.7696,152.7696,152.7696,152.7696,0.0,117.0,2016-08-31,LC,LCQ16
2015-03-31,155.1834,155.1834,155.1834,155.1834,13.0,88.0,2016-08-31,LC,LCQ16
2015-04-01,152.3746,152.3746,152.3746,152.3746,22.0,98.0,2016-08-31,LC,LCQ16
2015-04-02,151.1708,151.1708,151.1708,151.1708,1.0,142.0,2016-08-31,LC,LCQ16
2015-04-06,149.13,149.13,149.13,149.13,6.0,117.0,2016-08-31,LC,LCQ16
2015-04-07,151.1134,151.1134,151.1134,151.1134,2.0,103.0,2016-08-31,LC,LCQ16
2015-04-08,148.1516,148.1516,148.1516,148.1516,15.0,123.0,2016-08-31,LC,LCQ16
2015-04-09,146.9664,146.9664,146.9664,146.9664,7.0,124.0,2016-08-31,LC,LCQ16
2015-04-10,145.8495,145.8495,145.8495,145.8495,2.0,133.0,2016-08-31,LC,LCQ16
2015-04-13,143.5888,143.5888,143.5888,143.5888,2.0,138.0,2016-08-31,LC,LCQ16
2015-04-14,144.2924,144.2924,144.2924,144.2924,0.0,148.0,2016-08-31,LC,LCQ16
2015-04-15,142.9361,142.9361,142.9361,142.9361,9.0,141.0,2016-08-31,LC,LCQ16
2015-04-16,140.5205,140.5205,140.5205,140.5205,0.0,169.0,2016-08-31,LC,LCQ16
2015-04-17,140.3097,140.3097,140.3097,140.3097,7.0,122.0,2016-08-31,LC,LCQ16
2015-04-20,140.7587,140.7587,140.7587,140.7587,6.0,138.0,2016-08-31,LC,LCQ16
2015-04-21,140.5898,140.5898,140.5898,140.5898,7.0,134.0,2016-08-31,LC,LCQ16
2015-04-22,138.3404,138.3404,138.3404,138.3404,0.0,174.0,2016-08-31,LC,LCQ16
2015-04-23,135.7258,135.7258,135.7258,135.7258,6.0,165.0,2016-08-31,LC,LCQ16
2015-04-24,134.2735,134.2735,134.2735,134.2735,9.0,173.0,2016-08-31,LC,LCQ16
2015-04-27,135.482,135.482,135.482,135.482,5.0,175.0,2016-08-31,LC,LCQ16
2015-04-28,135.6988,135.6988,135.6988,135.6988,17.0,180.0,2016-08-31,LC,LCQ16
2015-04-29,137.2186,137.2186,137.2186,137.2186,4.0,221.0,2016-08-31,LC,LCQ16
2015-04-30,138.1654,138.1654,138.1654,138.1654,35.0,225.0,2016-08-31,LC,LCQ16
2015-05-01,136.8666,136.8666,136.8666,136.8666,19.0,194.0,2016-08-31,LC,LCQ16
2015-05-04,137.6878,137.6878,137.6878,137.6878,66.0,226.0,2016-08-31,LC,LCQ16
2015-05-05,140.3176,140.3176,140.3176,140.3176,60.0,264.0,2016-08-31,LC,LCQ16
2015-05-06,141.7909,141.7909,141.7909,141.7909,50.0,327.0,2016-08-31,LC,LCQ16
2015-05-07,140.8409,140.8409,140.8409,140.8409,26.0,295.0,2016-08-31,LC,LCQ16
2015-05-08,138.9255,138.9255,138.9255,138.9255,59.0,274.0,2016-08-31,LC,LCQ16
2015-05-11,139.12,139.12,139.12,139.12,57.0,429.0,2016-08-31,LC,LCQ16
2015-05-12,140.5668,140.5668,140.5668,140.5668,35.0,415.0,2016-08-31,LC,LCQ16
2015-05-13,141.4383,141.4383,141.4383,141.4383,39.0,443.0,2016-08-31,LC,LCQ16
2015-05-14,139.6703,139.6703,139.6703,139.6703,95.0,464.0,2016-08-31,LC,LCQ16
2015-05-15,142.2821,142.2821,142.2821,142.2821,33.0,465.0,2016-08-31,LC,LCQ16
2015-05-18,145.0566,145.0566,145.0566,145.0566,24.0,378.0,2016-08-31,LC,LCQ16
2015-05-19,146.6087,146.6087,146.6087,146.6087,19.0,401.0,2016-08-31,LC,LCQ16
2015-05-20,146.9019,146.9019,146.9019,146.9019,17.0,500.0,2016-08-31,LC,LCQ16
2015-05-21,144.7865,144.7865,144.7865,144.7865,21.0,552.0,2016-08-31,LC,LCQ16
2015-05-22,146.6832,146.6832,146.6832,146.6832,26.0,498.0,2016-08-31,LC,LCQ16
2015-05-26,149.2208,149.2208,149.2208,149.2208,29.0,469.0,2016-08-31,LC,LCQ16
2015-05-27,151.4591,151.4591,151.4591,151.4591,21.0,510.0,2016-08-31,LC,LCQ16
2015-05-28,153.216,153.216,153.216,153.216,66.0,457.0,2016-08-31,LC,LCQ16
2015-05-29,151.2089,151.2089,151.2089,151.2089,41.0,558.0,2016-08-31,LC,LCQ16
2015-06-01,150.4529,150.4529,150.4529,150.4529,26.0,578.0,2016-08-31,LC,LCQ16
2015-06-02,150.1971,150.1971,150.1971,150.1971,121.0,730.0,2016-08-31,LC,LCQ16
2015-06-03,148.7552,148.7552,148.7552,148.7552,45.0,733.0,2016-08-31,LC,LCQ16
2015-06-04,147.104,147.104,147.104,147.104,55.0,715.0,2016-08-31,LC,LCQ16
2015-06-05,147.56,147.56,147.56,147.56,16.0,571.0,2016-08-31,LC,LCQ16
