,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-23,106.165,106.165,106.165,106.165,0.0,0.0,2018-10-31,LC,LCV18
2017-06-26,106.6534,106.6534,106.6534,106.6534,0.0,0.0,2018-10-31,LC,LCV18
2017-06-27,107.336,107.336,107.336,107.336,0.0,0.0,2018-10-31,LC,LCV18
2017-06-28,108.3342,108.3342,108.3342,108.3342,0.0,0.0,2018-10-31,LC,LCV18
2017-06-29,107.8034,107.8034,107.8034,107.8034,1.0,1.0,2018-10-31,LC,LCV18
2017-06-30,108.9353,108.9353,108.9353,108.9353,0.0,1.0,2018-10-31,LC,LCV18
2017-07-03,108.5322,108.5322,108.5322,108.5322,0.0,1.0,2018-10-31,LC,LCV18
2017-07-05,106.85,106.85,106.85,106.85,0.0,1.0,2018-10-31,LC,LCV18
2017-07-06,108.036,108.036,108.036,108.036,0.0,1.0,2018-10-31,LC,LCV18
2017-07-07,107.7875,107.7875,107.7875,107.7875,0.0,1.0,2018-10-31,LC,LCV18
2017-07-10,109.5444,109.5444,109.5444,109.5444,0.0,1.0,2018-10-31,LC,LCV18
2017-07-11,109.7635,109.7635,109.7635,109.7635,242.0,161.0,2018-10-31,LC,LCV18
2017-07-12,109.7855,109.7855,109.7855,109.7855,71.0,225.0,2018-10-31,LC,LCV18
2017-07-13,109.6757,109.6757,109.6757,109.6757,14.0,267.0,2018-10-31,LC,LCV18
2017-07-14,108.7873,108.7873,108.7873,108.7873,54.0,320.0,2018-10-31,LC,LCV18
2017-07-17,106.9488,106.9488,106.9488,106.9488,26.0,254.0,2018-10-31,LC,LCV18
2017-07-18,105.9007,105.9007,105.9007,105.9007,10.0,329.0,2018-10-31,LC,LCV18
2017-07-19,105.5089,105.5089,105.5089,105.5089,73.0,306.0,2018-10-31,LC,LCV18
2017-07-20,105.5933,105.5933,105.5933,105.5933,39.0,321.0,2018-10-31,LC,LCV18
2017-07-21,105.2026,105.2026,105.2026,105.2026,42.0,457.0,2018-10-31,LC,LCV18
2017-07-24,107.0647,107.0647,107.0647,107.0647,17.0,314.0,2018-10-31,LC,LCV18
2017-07-25,107.0112,107.0112,107.0112,107.0112,13.0,394.0,2018-10-31,LC,LCV18
2017-07-26,106.5511,106.5511,106.5511,106.5511,43.0,372.0,2018-10-31,LC,LCV18
2017-07-27,107.0199,107.0199,107.0199,107.0199,11.0,383.0,2018-10-31,LC,LCV18
2017-07-28,107.2767,107.2767,107.2767,107.2767,106.0,547.0,2018-10-31,LC,LCV18
