,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-06-30,147.7125,147.7125,147.7125,147.7125,0.0,0.0,2016-12-30,LC,LCZ16
2015-07-01,145.8218,145.8218,145.8218,145.8218,0.0,0.0,2016-12-30,LC,LCZ16
2015-07-02,143.8824,143.8824,143.8824,143.8824,12.0,12.0,2016-12-30,LC,LCZ16
2015-07-06,141.0479,141.0479,141.0479,141.0479,0.0,9.0,2016-12-30,LC,LCZ16
2015-07-07,138.4526,138.4526,138.4526,138.4526,0.0,10.0,2016-12-30,LC,LCZ16
2015-07-08,139.311,139.311,139.311,139.311,2.0,10.0,2016-12-30,LC,LCZ16
2015-07-09,141.9858,141.9858,141.9858,141.9858,0.0,11.0,2016-12-30,LC,LCZ16
2015-07-10,144.5699,144.5699,144.5699,144.5699,10.0,17.0,2016-12-30,LC,LCZ16
2015-07-13,146.2758,146.2758,146.2758,146.2758,0.0,16.0,2016-12-30,LC,LCZ16
2015-07-14,143.5112,143.5112,143.5112,143.5112,1.0,15.0,2016-12-30,LC,LCZ16
2015-07-15,141.0285,141.0285,141.0285,141.0285,7.0,26.0,2016-12-30,LC,LCZ16
2015-07-16,141.4093,141.4093,141.4093,141.4093,3.0,24.0,2016-12-30,LC,LCZ16
2015-07-17,141.5224,141.5224,141.5224,141.5224,22.0,35.0,2016-12-30,LC,LCZ16
2015-07-20,142.5555,142.5555,142.5555,142.5555,4.0,41.0,2016-12-30,LC,LCZ16
2015-07-21,140.688,140.688,140.688,140.688,6.0,40.0,2016-12-30,LC,LCZ16
2015-07-22,141.3774,141.3774,141.3774,141.3774,8.0,46.0,2016-12-30,LC,LCZ16
2015-07-23,138.7054,138.7054,138.7054,138.7054,8.0,43.0,2016-12-30,LC,LCZ16
2015-07-24,139.2186,139.2186,139.2186,139.2186,10.0,47.0,2016-12-30,LC,LCZ16
2015-07-27,137.367,137.367,137.367,137.367,37.0,89.0,2016-12-30,LC,LCZ16
2015-07-28,140.0182,140.0182,140.0182,140.0182,5.0,97.0,2016-12-30,LC,LCZ16
2015-07-29,139.3321,139.3321,139.3321,139.3321,8.0,84.0,2016-12-30,LC,LCZ16
2015-07-30,137.5347,137.5347,137.5347,137.5347,0.0,94.0,2016-12-30,LC,LCZ16
2015-07-31,134.949,134.949,134.949,134.949,19.0,80.0,2016-12-30,LC,LCZ16
2015-08-03,133.3836,133.3836,133.3836,133.3836,7.0,88.0,2016-12-30,LC,LCZ16
2015-08-04,131.0094,131.0094,131.0094,131.0094,1.0,93.0,2016-12-30,LC,LCZ16
2015-08-05,129.8958,129.8958,129.8958,129.8958,12.0,109.0,2016-12-30,LC,LCZ16
2015-08-06,132.143,132.143,132.143,132.143,1.0,90.0,2016-12-30,LC,LCZ16
2015-08-07,129.8834,129.8834,129.8834,129.8834,4.0,118.0,2016-12-30,LC,LCZ16
2015-08-10,128.2339,128.2339,128.2339,128.2339,14.0,94.0,2016-12-30,LC,LCZ16
2015-08-11,130.1959,130.1959,130.1959,130.1959,17.0,146.0,2016-12-30,LC,LCZ16
2015-08-12,127.5659,127.5659,127.5659,127.5659,16.0,130.0,2016-12-30,LC,LCZ16
2015-08-13,128.714,128.714,128.714,128.714,0.0,114.0,2016-12-30,LC,LCZ16
