,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-08-14,57.7524,57.7524,57.7524,57.7524,0.0,0.0,2019-02-14,LH,LHG19
2017-08-15,57.0363,57.0363,57.0363,57.0363,0.0,0.0,2019-02-14,LH,LHG19
2017-08-16,56.1751,56.1751,56.1751,56.1751,0.0,0.0,2019-02-14,LH,LHG19
2017-08-17,57.5795,57.5795,57.5795,57.5795,0.0,0.0,2019-02-14,LH,LHG19
2017-08-18,57.9423,57.9423,57.9423,57.9423,0.0,0.0,2019-02-14,LH,LHG19
2017-08-21,58.7535,58.7535,58.7535,58.7535,0.0,0.0,2019-02-14,LH,LHG19
2017-08-22,58.542,58.542,58.542,58.542,0.0,0.0,2019-02-14,LH,LHG19
2017-08-23,59.7187,59.7187,59.7187,59.7187,0.0,0.0,2019-02-14,LH,LHG19
2017-08-24,59.1514,59.1514,59.1514,59.1514,0.0,0.0,2019-02-14,LH,LHG19
2017-08-25,58.1458,58.1458,58.1458,58.1458,0.0,0.0,2019-02-14,LH,LHG19
2017-08-28,57.4713,57.4713,57.4713,57.4713,0.0,0.0,2019-02-14,LH,LHG19
2017-08-29,56.1954,56.1954,56.1954,56.1954,0.0,0.0,2019-02-14,LH,LHG19
2017-08-30,55.5941,55.5941,55.5941,55.5941,0.0,0.0,2019-02-14,LH,LHG19
2017-08-31,56.4725,56.4725,56.4725,56.4725,0.0,0.0,2019-02-14,LH,LHG19
2017-09-01,55.9812,55.9812,55.9812,55.9812,0.0,0.0,2019-02-14,LH,LHG19
2017-09-05,57.6159,57.6159,57.6159,57.6159,0.0,0.0,2019-02-14,LH,LHG19
2017-09-06,57.9443,57.9443,57.9443,57.9443,0.0,0.0,2019-02-14,LH,LHG19
2017-09-07,59.6015,59.6015,59.6015,59.6015,0.0,0.0,2019-02-14,LH,LHG19
2017-09-08,57.9863,57.9863,57.9863,57.9863,0.0,0.0,2019-02-14,LH,LHG19
2017-09-11,58.3458,58.3458,58.3458,58.3458,0.0,0.0,2019-02-14,LH,LHG19
2017-09-12,58.8767,58.8767,58.8767,58.8767,0.0,0.0,2019-02-14,LH,LHG19
2017-09-13,59.5479,59.5479,59.5479,59.5479,0.0,0.0,2019-02-14,LH,LHG19
2017-09-14,61.0664,61.0664,61.0664,61.0664,4.0,5.0,2019-02-14,LH,LHG19
2017-09-15,62.0618,62.0618,62.0618,62.0618,2.0,5.0,2019-02-14,LH,LHG19
2017-09-18,62.037,62.037,62.037,62.037,2.0,7.0,2019-02-14,LH,LHG19
2017-09-19,61.5779,61.5779,61.5779,61.5779,0.0,6.0,2019-02-14,LH,LHG19
2017-09-20,60.5372,60.5372,60.5372,60.5372,7.0,12.0,2019-02-14,LH,LHG19
2017-09-21,60.6522,60.6522,60.6522,60.6522,8.0,18.0,2019-02-14,LH,LHG19
2017-09-22,61.3497,61.3497,61.3497,61.3497,0.0,14.0,2019-02-14,LH,LHG19
2017-09-25,62.8098,62.8098,62.8098,62.8098,0.0,16.0,2019-02-14,LH,LHG19
2017-09-26,64.3675,64.3675,64.3675,64.3675,2.0,19.0,2019-02-14,LH,LHG19
2017-09-27,64.0778,64.0778,64.0778,64.0778,2.0,15.0,2019-02-14,LH,LHG19
2017-09-28,63.091,63.091,63.091,63.091,1.0,21.0,2019-02-14,LH,LHG19
2017-09-29,64.7061,64.7061,64.7061,64.7061,2.0,15.0,2019-02-14,LH,LHG19
2017-10-02,64.7514,64.7514,64.7514,64.7514,0.0,14.0,2019-02-14,LH,LHG19
2017-10-03,63.7348,63.7348,63.7348,63.7348,0.0,19.0,2019-02-14,LH,LHG19
2017-10-04,62.4601,62.4601,62.4601,62.4601,0.0,16.0,2019-02-14,LH,LHG19
2017-10-05,62.3039,62.3039,62.3039,62.3039,0.0,15.0,2019-02-14,LH,LHG19
2017-10-06,64.0173,64.0173,64.0173,64.0173,0.0,19.0,2019-02-14,LH,LHG19
2017-10-09,63.1723,63.1723,63.1723,63.1723,0.0,20.0,2019-02-14,LH,LHG19
2017-10-10,62.4711,62.4711,62.4711,62.4711,0.0,16.0,2019-02-14,LH,LHG19
2017-10-11,63.4706,63.4706,63.4706,63.4706,0.0,16.0,2019-02-14,LH,LHG19
2017-10-12,62.1314,62.1314,62.1314,62.1314,0.0,20.0,2019-02-14,LH,LHG19
2017-10-13,61.5412,61.5412,61.5412,61.5412,3.0,17.0,2019-02-14,LH,LHG19
2017-10-16,62.3412,62.3412,62.3412,62.3412,6.0,20.0,2019-02-14,LH,LHG19
2017-10-17,62.0295,62.0295,62.0295,62.0295,5.0,24.0,2019-02-14,LH,LHG19
2017-10-18,62.4017,62.4017,62.4017,62.4017,0.0,28.0,2019-02-14,LH,LHG19
2017-10-19,63.2192,63.2192,63.2192,63.2192,0.0,28.0,2019-02-14,LH,LHG19
2017-10-20,64.3888,64.3888,64.3888,64.3888,0.0,20.0,2019-02-14,LH,LHG19
2017-10-23,65.6508,65.6508,65.6508,65.6508,0.0,22.0,2019-02-14,LH,LHG19
2017-10-24,67.2461,67.2461,67.2461,67.2461,0.0,19.0,2019-02-14,LH,LHG19
2017-10-25,67.2595,67.2595,67.2595,67.2595,0.0,22.0,2019-02-14,LH,LHG19
2017-10-26,69.2302,69.2302,69.2302,69.2302,0.0,20.0,2019-02-14,LH,LHG19
2017-10-27,68.9187,68.9187,68.9187,68.9187,0.0,23.0,2019-02-14,LH,LHG19
2017-10-30,68.133,68.133,68.133,68.133,4.0,23.0,2019-02-14,LH,LHG19
2017-10-31,66.3888,66.3888,66.3888,66.3888,0.0,29.0,2019-02-14,LH,LHG19
2017-11-01,67.4776,67.4776,67.4776,67.4776,0.0,27.0,2019-02-14,LH,LHG19
2017-11-02,66.1685,66.1685,66.1685,66.1685,3.0,21.0,2019-02-14,LH,LHG19
2017-11-03,67.8823,67.8823,67.8823,67.8823,0.0,23.0,2019-02-14,LH,LHG19
2017-11-06,67.9162,67.9162,67.9162,67.9162,6.0,30.0,2019-02-14,LH,LHG19
2017-11-07,68.8534,68.8534,68.8534,68.8534,0.0,26.0,2019-02-14,LH,LHG19
2017-11-08,69.177,69.177,69.177,69.177,0.0,27.0,2019-02-14,LH,LHG19
2017-11-09,70.3668,70.3668,70.3668,70.3668,3.0,31.0,2019-02-14,LH,LHG19
2017-11-10,70.9438,70.9438,70.9438,70.9438,1.0,35.0,2019-02-14,LH,LHG19
2017-11-13,69.3618,69.3618,69.3618,69.3618,0.0,35.0,2019-02-14,LH,LHG19
2017-11-14,69.9861,69.9861,69.9861,69.9861,1.0,29.0,2019-02-14,LH,LHG19
2017-11-15,71.0079,71.0079,71.0079,71.0079,1.0,32.0,2019-02-14,LH,LHG19
2017-11-16,71.5263,71.5263,71.5263,71.5263,0.0,30.0,2019-02-14,LH,LHG19
2017-11-17,72.3775,72.3775,72.3775,72.3775,0.0,28.0,2019-02-14,LH,LHG19
2017-11-20,70.3582,70.3582,70.3582,70.3582,3.0,39.0,2019-02-14,LH,LHG19
2017-11-21,70.1612,70.1612,70.1612,70.1612,3.0,36.0,2019-02-14,LH,LHG19
2017-11-22,68.6948,68.6948,68.6948,68.6948,2.0,33.0,2019-02-14,LH,LHG19
2017-11-24,69.945,69.945,69.945,69.945,2.0,45.0,2019-02-14,LH,LHG19
2017-11-27,71.183,71.183,71.183,71.183,14.0,36.0,2019-02-14,LH,LHG19
2017-11-28,69.5529,69.5529,69.5529,69.5529,0.0,44.0,2019-02-14,LH,LHG19
2017-11-29,69.7963,69.7963,69.7963,69.7963,0.0,43.0,2019-02-14,LH,LHG19
