,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-10-13,66.9643,66.9643,66.9643,66.9643,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-16,68.5112,68.5112,68.5112,68.5112,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-17,66.9971,66.9971,66.9971,66.9971,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-18,65.6773,65.6773,65.6773,65.6773,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-19,67.0762,67.0762,67.0762,67.0762,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-20,67.5726,67.5726,67.5726,67.5726,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-23,66.7347,66.7347,66.7347,66.7347,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-24,66.4611,66.4611,66.4611,66.4611,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-25,65.8164,65.8164,65.8164,65.8164,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-26,67.0669,67.0669,67.0669,67.0669,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-27,68.1266,68.1266,68.1266,68.1266,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-30,67.4794,67.4794,67.4794,67.4794,0.0,0.0,2019-04-12,LH,LHJ19
2017-10-31,67.6548,67.6548,67.6548,67.6548,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-01,68.5208,68.5208,68.5208,68.5208,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-02,67.678,67.678,67.678,67.678,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-03,68.6999,68.6999,68.6999,68.6999,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-06,70.754,70.754,70.754,70.754,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-07,69.6927,69.6927,69.6927,69.6927,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-08,68.1873,68.1873,68.1873,68.1873,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-09,66.5781,66.5781,66.5781,66.5781,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-10,67.3238,67.3238,67.3238,67.3238,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-13,66.388,66.388,66.388,66.388,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-14,66.5341,66.5341,66.5341,66.5341,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-15,66.8801,66.8801,66.8801,66.8801,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-16,64.9205,64.9205,64.9205,64.9205,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-17,65.9722,65.9722,65.9722,65.9722,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-20,67.3378,67.3378,67.3378,67.3378,0.0,0.0,2019-04-12,LH,LHJ19
2017-11-21,67.1425,67.1425,67.1425,67.1425,2.0,2.0,2019-04-12,LH,LHJ19
2017-11-22,65.9675,65.9675,65.9675,65.9675,2.0,2.0,2019-04-12,LH,LHJ19
2017-11-24,64.4898,64.4898,64.4898,64.4898,0.0,2.0,2019-04-12,LH,LHJ19
2017-11-27,65.3991,65.3991,65.3991,65.3991,0.0,2.0,2019-04-12,LH,LHJ19
2017-11-28,63.5875,63.5875,63.5875,63.5875,0.0,2.0,2019-04-12,LH,LHJ19
