,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-12-14,77.7176,77.7176,77.7176,77.7176,0.0,0.0,2019-05-14,LH,LHK19
2017-12-15,78.0829,78.0829,78.0829,78.0829,0.0,0.0,2019-05-14,LH,LHK19
2017-12-18,79.8866,79.8866,79.8866,79.8866,0.0,0.0,2019-05-14,LH,LHK19
2017-12-19,81.2846,81.2846,81.2846,81.2846,0.0,0.0,2019-05-14,LH,LHK19
2017-12-20,79.8702,79.8702,79.8702,79.8702,0.0,0.0,2019-05-14,LH,LHK19
2017-12-21,81.0044,81.0044,81.0044,81.0044,0.0,0.0,2019-05-14,LH,LHK19
2017-12-22,79.8379,79.8379,79.8379,79.8379,0.0,0.0,2019-05-14,LH,LHK19
2017-12-26,80.9636,80.9636,80.9636,80.9636,0.0,0.0,2019-05-14,LH,LHK19
2017-12-27,81.919,81.919,81.919,81.919,0.0,0.0,2019-05-14,LH,LHK19
2017-12-28,81.9108,81.9108,81.9108,81.9108,0.0,0.0,2019-05-14,LH,LHK19
2017-12-29,81.3538,81.3538,81.3538,81.3538,2.0,2.0,2019-05-14,LH,LHK19
2018-01-02,80.6298,80.6298,80.6298,80.6298,0.0,2.0,2019-05-14,LH,LHK19
2018-01-03,78.8076,78.8076,78.8076,78.8076,0.0,2.0,2019-05-14,LH,LHK19
2018-01-04,79.7533,79.7533,79.7533,79.7533,0.0,2.0,2019-05-14,LH,LHK19
2018-01-05,80.4472,80.4472,80.4472,80.4472,0.0,2.0,2019-05-14,LH,LHK19
2018-01-08,79.9082,79.9082,79.9082,79.9082,0.0,2.0,2019-05-14,LH,LHK19
2018-01-09,80.6114,80.6114,80.6114,80.6114,0.0,2.0,2019-05-14,LH,LHK19
2018-01-10,80.9983,80.9983,80.9983,80.9983,0.0,2.0,2019-05-14,LH,LHK19
2018-01-11,81.946,81.946,81.946,81.946,0.0,2.0,2019-05-14,LH,LHK19
2018-01-12,82.8064,82.8064,82.8064,82.8064,0.0,2.0,2019-05-14,LH,LHK19
2018-01-16,81.556,81.556,81.556,81.556,0.0,2.0,2019-05-14,LH,LHK19
2018-01-17,80.4387,80.4387,80.4387,80.4387,0.0,2.0,2019-05-14,LH,LHK19
2018-01-18,80.3743,80.3743,80.3743,80.3743,0.0,2.0,2019-05-14,LH,LHK19
2018-01-19,78.598,78.598,78.598,78.598,0.0,2.0,2019-05-14,LH,LHK19
2018-01-22,79.6512,79.6512,79.6512,79.6512,0.0,2.0,2019-05-14,LH,LHK19
2018-01-23,79.1653,79.1653,79.1653,79.1653,0.0,2.0,2019-05-14,LH,LHK19
2018-01-24,78.7061,78.7061,78.7061,78.7061,0.0,2.0,2019-05-14,LH,LHK19
2018-01-25,80.0284,80.0284,80.0284,80.0284,0.0,2.0,2019-05-14,LH,LHK19
2018-01-26,80.1404,80.1404,80.1404,80.1404,0.0,2.0,2019-05-14,LH,LHK19
2018-01-29,81.3345,81.3345,81.3345,81.3345,0.0,2.0,2019-05-14,LH,LHK19
2018-01-30,82.1316,82.1316,82.1316,82.1316,0.0,2.0,2019-05-14,LH,LHK19
2018-01-31,81.8688,81.8688,81.8688,81.8688,0.0,2.0,2019-05-14,LH,LHK19
2018-02-01,80.1577,80.1577,80.1577,80.1577,0.0,2.0,2019-05-14,LH,LHK19
2018-02-02,81.1036,81.1036,81.1036,81.1036,0.0,2.0,2019-05-14,LH,LHK19
2018-02-05,82.2796,82.2796,82.2796,82.2796,0.0,2.0,2019-05-14,LH,LHK19
2018-02-06,83.5632,83.5632,83.5632,83.5632,0.0,2.0,2019-05-14,LH,LHK19
2018-02-07,83.8724,83.8724,83.8724,83.8724,0.0,2.0,2019-05-14,LH,LHK19
2018-02-08,83.4363,83.4363,83.4363,83.4363,0.0,2.0,2019-05-14,LH,LHK19
2018-02-09,81.5089,81.5089,81.5089,81.5089,0.0,2.0,2019-05-14,LH,LHK19
2018-02-12,79.3245,79.3245,79.3245,79.3245,0.0,2.0,2019-05-14,LH,LHK19
2018-02-13,79.848,79.848,79.848,79.848,0.0,2.0,2019-05-14,LH,LHK19
2018-02-14,80.2233,80.2233,80.2233,80.2233,0.0,2.0,2019-05-14,LH,LHK19
2018-02-15,82.1888,82.1888,82.1888,82.1888,0.0,2.0,2019-05-14,LH,LHK19
2018-02-16,82.4107,82.4107,82.4107,82.4107,0.0,2.0,2019-05-14,LH,LHK19
2018-02-20,82.4025,82.4025,82.4025,82.4025,0.0,2.0,2019-05-14,LH,LHK19
2018-02-21,84.306,84.306,84.306,84.306,0.0,2.0,2019-05-14,LH,LHK19
2018-02-22,84.7022,84.7022,84.7022,84.7022,0.0,2.0,2019-05-14,LH,LHK19
2018-02-23,82.4322,82.4322,82.4322,82.4322,0.0,2.0,2019-05-14,LH,LHK19
2018-02-26,83.0422,83.0422,83.0422,83.0422,0.0,2.0,2019-05-14,LH,LHK19
2018-02-27,81.7634,81.7634,81.7634,81.7634,0.0,2.0,2019-05-14,LH,LHK19
2018-02-28,81.4118,81.4118,81.4118,81.4118,0.0,2.0,2019-05-14,LH,LHK19
2018-03-01,83.3168,83.3168,83.3168,83.3168,1.0,3.0,2019-05-14,LH,LHK19
2018-03-02,84.6665,84.6665,84.6665,84.6665,0.0,3.0,2019-05-14,LH,LHK19
2018-03-05,86.69,86.69,86.69,86.69,0.0,3.0,2019-05-14,LH,LHK19
2018-03-06,86.8027,86.8027,86.8027,86.8027,0.0,3.0,2019-05-14,LH,LHK19
2018-03-07,85.492,85.492,85.492,85.492,5.0,4.0,2019-05-14,LH,LHK19
2018-03-08,86.27,86.27,86.27,86.27,0.0,5.0,2019-05-14,LH,LHK19
2018-03-09,85.3297,85.3297,85.3297,85.3297,0.0,6.0,2019-05-14,LH,LHK19
2018-03-12,87.0875,87.0875,87.0875,87.0875,0.0,5.0,2019-05-14,LH,LHK19
2018-03-13,87.7407,87.7407,87.7407,87.7407,0.0,6.0,2019-05-14,LH,LHK19
2018-03-14,88.8726,88.8726,88.8726,88.8726,0.0,5.0,2019-05-14,LH,LHK19
2018-03-15,89.3081,89.3081,89.3081,89.3081,0.0,5.0,2019-05-14,LH,LHK19
2018-03-16,88.031,88.031,88.031,88.031,0.0,5.0,2019-05-14,LH,LHK19
2018-03-19,88.3303,88.3303,88.3303,88.3303,0.0,6.0,2019-05-14,LH,LHK19
2018-03-20,87.9063,87.9063,87.9063,87.9063,0.0,6.0,2019-05-14,LH,LHK19
2018-03-21,90.1127,90.1127,90.1127,90.1127,6.0,8.0,2019-05-14,LH,LHK19
2018-03-22,89.59,89.59,89.59,89.59,1.0,10.0,2019-05-14,LH,LHK19
2018-03-23,88.2372,88.2372,88.2372,88.2372,7.0,10.0,2019-05-14,LH,LHK19
2018-03-26,86.4901,86.4901,86.4901,86.4901,0.0,11.0,2019-05-14,LH,LHK19
2018-03-27,84.5787,84.5787,84.5787,84.5787,2.0,10.0,2019-05-14,LH,LHK19
2018-03-28,84.9847,84.9847,84.9847,84.9847,0.0,9.0,2019-05-14,LH,LHK19
2018-03-29,86.0045,86.0045,86.0045,86.0045,0.0,11.0,2019-05-14,LH,LHK19
2018-04-02,85.3681,85.3681,85.3681,85.3681,2.0,14.0,2019-05-14,LH,LHK19
2018-04-03,83.5071,83.5071,83.5071,83.5071,8.0,16.0,2019-05-14,LH,LHK19
2018-04-04,84.2086,84.2086,84.2086,84.2086,0.0,16.0,2019-05-14,LH,LHK19
2018-04-05,84.5875,84.5875,84.5875,84.5875,0.0,17.0,2019-05-14,LH,LHK19
2018-04-06,84.799,84.799,84.799,84.799,2.0,20.0,2019-05-14,LH,LHK19
2018-04-09,85.5368,85.5368,85.5368,85.5368,4.0,17.0,2019-05-14,LH,LHK19
2018-04-10,86.9139,86.9139,86.9139,86.9139,3.0,16.0,2019-05-14,LH,LHK19
2018-04-11,85.5667,85.5667,85.5667,85.5667,2.0,18.0,2019-05-14,LH,LHK19
2018-04-12,87.3208,87.3208,87.3208,87.3208,5.0,25.0,2019-05-14,LH,LHK19
2018-04-13,85.3299,85.3299,85.3299,85.3299,0.0,28.0,2019-05-14,LH,LHK19
2018-04-16,85.4323,85.4323,85.4323,85.4323,0.0,27.0,2019-05-14,LH,LHK19
2018-04-17,86.6882,86.6882,86.6882,86.6882,0.0,28.0,2019-05-14,LH,LHK19
2018-04-18,88.2919,88.2919,88.2919,88.2919,3.0,35.0,2019-05-14,LH,LHK19
2018-04-19,90.1813,90.1813,90.1813,90.1813,0.0,34.0,2019-05-14,LH,LHK19
2018-04-20,90.3707,90.3707,90.3707,90.3707,1.0,23.0,2019-05-14,LH,LHK19
2018-04-23,89.1778,89.1778,89.1778,89.1778,0.0,23.0,2019-05-14,LH,LHK19
2018-04-24,87.4567,87.4567,87.4567,87.4567,0.0,34.0,2019-05-14,LH,LHK19
2018-04-25,85.935,85.935,85.935,85.935,0.0,30.0,2019-05-14,LH,LHK19
2018-04-26,84.0616,84.0616,84.0616,84.0616,0.0,34.0,2019-05-14,LH,LHK19
2018-04-27,84.3894,84.3894,84.3894,84.3894,0.0,28.0,2019-05-14,LH,LHK19
