,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,70.0309,70.0309,70.0309,70.0309,0.0,0.0,2017-06-14,LH,LHM17
2015-12-15,70.241,70.241,70.241,70.241,2.0,2.0,2017-06-14,LH,LHM17
2015-12-16,69.7774,69.7774,69.7774,69.7774,0.0,2.0,2017-06-14,LH,LHM17
2015-12-17,70.7543,70.7543,70.7543,70.7543,0.0,2.0,2017-06-14,LH,LHM17
2015-12-18,69.3463,69.3463,69.3463,69.3463,0.0,2.0,2017-06-14,LH,LHM17
2015-12-21,70.5113,70.5113,70.5113,70.5113,0.0,2.0,2017-06-14,LH,LHM17
2015-12-22,70.7158,70.7158,70.7158,70.7158,0.0,2.0,2017-06-14,LH,LHM17
2015-12-23,69.7258,69.7258,69.7258,69.7258,0.0,2.0,2017-06-14,LH,LHM17
2015-12-24,69.0843,69.0843,69.0843,69.0843,0.0,2.0,2017-06-14,LH,LHM17
2015-12-28,69.7821,69.7821,69.7821,69.7821,0.0,2.0,2017-06-14,LH,LHM17
2015-12-29,70.2845,70.2845,70.2845,70.2845,0.0,2.0,2017-06-14,LH,LHM17
2015-12-30,69.2232,69.2232,69.2232,69.2232,0.0,2.0,2017-06-14,LH,LHM17
2015-12-31,69.1401,69.1401,69.1401,69.1401,0.0,2.0,2017-06-14,LH,LHM17
2016-01-04,68.6699,68.6699,68.6699,68.6699,0.0,2.0,2017-06-14,LH,LHM17
2016-01-05,67.4544,67.4544,67.4544,67.4544,0.0,2.0,2017-06-14,LH,LHM17
2016-01-06,67.3869,67.3869,67.3869,67.3869,0.0,2.0,2017-06-14,LH,LHM17
2016-01-07,67.7306,67.7306,67.7306,67.7306,0.0,2.0,2017-06-14,LH,LHM17
2016-01-08,67.4597,67.4597,67.4597,67.4597,0.0,2.0,2017-06-14,LH,LHM17
2016-01-11,68.1343,68.1343,68.1343,68.1343,0.0,2.0,2017-06-14,LH,LHM17
2016-01-12,67.8549,67.8549,67.8549,67.8549,0.0,2.0,2017-06-14,LH,LHM17
2016-01-13,67.1492,67.1492,67.1492,67.1492,0.0,2.0,2017-06-14,LH,LHM17
2016-01-14,67.2432,67.2432,67.2432,67.2432,0.0,2.0,2017-06-14,LH,LHM17
2016-01-15,67.956,67.956,67.956,67.956,0.0,2.0,2017-06-14,LH,LHM17
2016-01-19,66.9638,66.9638,66.9638,66.9638,0.0,2.0,2017-06-14,LH,LHM17
2016-01-20,67.5799,67.5799,67.5799,67.5799,0.0,2.0,2017-06-14,LH,LHM17
2016-01-21,66.7892,66.7892,66.7892,66.7892,0.0,2.0,2017-06-14,LH,LHM17
2016-01-22,65.587,65.587,65.587,65.587,2.0,4.0,2017-06-14,LH,LHM17
2016-01-25,65.5083,65.5083,65.5083,65.5083,0.0,4.0,2017-06-14,LH,LHM17
2016-01-26,64.5453,64.5453,64.5453,64.5453,0.0,4.0,2017-06-14,LH,LHM17
2016-01-27,63.235,63.235,63.235,63.235,0.0,4.0,2017-06-14,LH,LHM17
2016-01-28,63.2476,63.2476,63.2476,63.2476,0.0,4.0,2017-06-14,LH,LHM17
2016-01-29,62.4507,62.4507,62.4507,62.4507,0.0,4.0,2017-06-14,LH,LHM17
2016-02-01,61.5826,61.5826,61.5826,61.5826,0.0,4.0,2017-06-14,LH,LHM17
2016-02-02,62.1553,62.1553,62.1553,62.1553,0.0,4.0,2017-06-14,LH,LHM17
