,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-13,78.7779,78.7779,78.7779,78.7779,0.0,0.0,2016-07-15,LH,LHN16
2015-02-17,78.3289,78.3289,78.3289,78.3289,0.0,0.0,2016-07-15,LH,LHN16
2015-02-18,77.4125,77.4125,77.4125,77.4125,0.0,0.0,2016-07-15,LH,LHN16
2015-02-19,78.3337,78.3337,78.3337,78.3337,0.0,0.0,2016-07-15,LH,LHN16
2015-02-20,78.8037,78.8037,78.8037,78.8037,0.0,0.0,2016-07-15,LH,LHN16
2015-02-23,78.1733,78.1733,78.1733,78.1733,0.0,0.0,2016-07-15,LH,LHN16
2015-02-24,78.3766,78.3766,78.3766,78.3766,0.0,0.0,2016-07-15,LH,LHN16
2015-02-25,79.5914,79.5914,79.5914,79.5914,10.0,13.0,2016-07-15,LH,LHN16
2015-02-26,80.0371,80.0371,80.0371,80.0371,0.0,11.0,2016-07-15,LH,LHN16
2015-02-27,80.1011,80.1011,80.1011,80.1011,0.0,12.0,2016-07-15,LH,LHN16
2015-03-02,80.7499,80.7499,80.7499,80.7499,0.0,12.0,2016-07-15,LH,LHN16
2015-03-03,79.4983,79.4983,79.4983,79.4983,0.0,14.0,2016-07-15,LH,LHN16
2015-03-04,79.9355,79.9355,79.9355,79.9355,0.0,10.0,2016-07-15,LH,LHN16
2015-03-05,80.1194,80.1194,80.1194,80.1194,0.0,12.0,2016-07-15,LH,LHN16
2015-03-06,79.2461,79.2461,79.2461,79.2461,0.0,11.0,2016-07-15,LH,LHN16
2015-03-09,78.7627,78.7627,78.7627,78.7627,0.0,13.0,2016-07-15,LH,LHN16
2015-03-10,78.3295,78.3295,78.3295,78.3295,0.0,14.0,2016-07-15,LH,LHN16
2015-03-11,78.8543,78.8543,78.8543,78.8543,0.0,10.0,2016-07-15,LH,LHN16
2015-03-12,78.4127,78.4127,78.4127,78.4127,0.0,11.0,2016-07-15,LH,LHN16
2015-03-13,78.2872,78.2872,78.2872,78.2872,0.0,14.0,2016-07-15,LH,LHN16
2015-03-16,77.5356,77.5356,77.5356,77.5356,0.0,13.0,2016-07-15,LH,LHN16
2015-03-17,77.4271,77.4271,77.4271,77.4271,0.0,14.0,2016-07-15,LH,LHN16
2015-03-18,78.1627,78.1627,78.1627,78.1627,0.0,12.0,2016-07-15,LH,LHN16
2015-03-19,76.9668,76.9668,76.9668,76.9668,0.0,13.0,2016-07-15,LH,LHN16
2015-03-20,76.0432,76.0432,76.0432,76.0432,0.0,14.0,2016-07-15,LH,LHN16
2015-03-23,76.6363,76.6363,76.6363,76.6363,0.0,10.0,2016-07-15,LH,LHN16
2015-03-24,75.5251,75.5251,75.5251,75.5251,1.0,13.0,2016-07-15,LH,LHN16
2015-03-25,76.1142,76.1142,76.1142,76.1142,0.0,13.0,2016-07-15,LH,LHN16
2015-03-26,76.7764,76.7764,76.7764,76.7764,0.0,14.0,2016-07-15,LH,LHN16
2015-03-27,75.5864,75.5864,75.5864,75.5864,0.0,12.0,2016-07-15,LH,LHN16
2015-03-30,75.2765,75.2765,75.2765,75.2765,4.0,13.0,2016-07-15,LH,LHN16
2015-03-31,76.1045,76.1045,76.1045,76.1045,1.0,15.0,2016-07-15,LH,LHN16
2015-04-01,74.8944,74.8944,74.8944,74.8944,0.0,13.0,2016-07-15,LH,LHN16
2015-04-02,73.8234,73.8234,73.8234,73.8234,0.0,15.0,2016-07-15,LH,LHN16
2015-04-06,72.5241,72.5241,72.5241,72.5241,0.0,15.0,2016-07-15,LH,LHN16
2015-04-07,72.2775,72.2775,72.2775,72.2775,1.0,16.0,2016-07-15,LH,LHN16
2015-04-08,71.2439,71.2439,71.2439,71.2439,0.0,15.0,2016-07-15,LH,LHN16
2015-04-09,72.2057,72.2057,72.2057,72.2057,3.0,19.0,2016-07-15,LH,LHN16
2015-04-10,72.3284,72.3284,72.3284,72.3284,1.0,16.0,2016-07-15,LH,LHN16
2015-04-13,71.9089,71.9089,71.9089,71.9089,14.0,32.0,2016-07-15,LH,LHN16
2015-04-14,71.7004,71.7004,71.7004,71.7004,2.0,31.0,2016-07-15,LH,LHN16
2015-04-15,72.9552,72.9552,72.9552,72.9552,1.0,31.0,2016-07-15,LH,LHN16
2015-04-16,74.1808,74.1808,74.1808,74.1808,2.0,28.0,2016-07-15,LH,LHN16
2015-04-17,73.209,73.209,73.209,73.209,0.0,36.0,2016-07-15,LH,LHN16
