,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-04-13,75.562,75.562,75.562,75.562,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-16,76.8239,76.8239,76.8239,76.8239,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-17,75.4334,75.4334,75.4334,75.4334,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-18,73.7286,73.7286,73.7286,73.7286,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-19,75.5202,75.5202,75.5202,75.5202,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-20,76.6152,76.6152,76.6152,76.6152,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-23,76.6535,76.6535,76.6535,76.6535,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-24,76.9295,76.9295,76.9295,76.9295,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-25,77.4065,77.4065,77.4065,77.4065,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-26,78.9624,78.9624,78.9624,78.9624,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-27,78.8361,78.8361,78.8361,78.8361,0.0,0.0,2019-08-14,LH,LHQ19
2018-04-30,80.5153,80.5153,80.5153,80.5153,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-01,78.8164,78.8164,78.8164,78.8164,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-02,79.6203,79.6203,79.6203,79.6203,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-03,78.9356,78.9356,78.9356,78.9356,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-04,77.1517,77.1517,77.1517,77.1517,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-07,76.7737,76.7737,76.7737,76.7737,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-08,77.7641,77.7641,77.7641,77.7641,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-09,79.6149,79.6149,79.6149,79.6149,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-10,78.0544,78.0544,78.0544,78.0544,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-11,76.8289,76.8289,76.8289,76.8289,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-14,78.2579,78.2579,78.2579,78.2579,0.0,0.0,2019-08-14,LH,LHQ19
2018-05-15,79.7605,79.7605,79.7605,79.7605,3.0,2.0,2019-08-14,LH,LHQ19
2018-05-16,78.2451,78.2451,78.2451,78.2451,13.0,13.0,2019-08-14,LH,LHQ19
2018-05-17,76.6333,76.6333,76.6333,76.6333,1.0,11.0,2019-08-14,LH,LHQ19
2018-05-18,75.6371,75.6371,75.6371,75.6371,72.0,35.0,2019-08-14,LH,LHQ19
2018-05-21,74.1546,74.1546,74.1546,74.1546,6.0,39.0,2019-08-14,LH,LHQ19
2018-05-22,73.4575,73.4575,73.4575,73.4575,1.0,29.0,2019-08-14,LH,LHQ19
2018-05-23,73.0021,73.0021,73.0021,73.0021,3.0,34.0,2019-08-14,LH,LHQ19
2018-05-24,74.1701,74.1701,74.1701,74.1701,3.0,38.0,2019-08-14,LH,LHQ19
2018-05-25,72.8647,72.8647,72.8647,72.8647,7.0,46.0,2019-08-14,LH,LHQ19
2018-05-29,73.6589,73.6589,73.6589,73.6589,1.0,40.0,2019-08-14,LH,LHQ19
2018-05-30,72.031,72.031,72.031,72.031,0.0,38.0,2019-08-14,LH,LHQ19
2018-05-31,73.2555,73.2555,73.2555,73.2555,0.0,35.0,2019-08-14,LH,LHQ19
2018-06-01,74.4056,74.4056,74.4056,74.4056,4.0,47.0,2019-08-14,LH,LHQ19
2018-06-04,73.0142,73.0142,73.0142,73.0142,22.0,57.0,2019-08-14,LH,LHQ19
2018-06-05,72.4739,72.4739,72.4739,72.4739,8.0,58.0,2019-08-14,LH,LHQ19
2018-06-06,73.1696,73.1696,73.1696,73.1696,0.0,41.0,2019-08-14,LH,LHQ19
2018-06-07,71.5452,71.5452,71.5452,71.5452,5.0,42.0,2019-08-14,LH,LHQ19
2018-06-08,70.4434,70.4434,70.4434,70.4434,16.0,57.0,2019-08-14,LH,LHQ19
2018-06-11,71.817,71.817,71.817,71.817,6.0,54.0,2019-08-14,LH,LHQ19
2018-06-12,71.6734,71.6734,71.6734,71.6734,21.0,72.0,2019-08-14,LH,LHQ19
2018-06-13,71.6949,71.6949,71.6949,71.6949,2.0,62.0,2019-08-14,LH,LHQ19
2018-06-14,70.132,70.132,70.132,70.132,0.0,53.0,2019-08-14,LH,LHQ19
2018-06-15,70.9806,70.9806,70.9806,70.9806,24.0,72.0,2019-08-14,LH,LHQ19
2018-06-18,70.8315,70.8315,70.8315,70.8315,13.0,85.0,2019-08-14,LH,LHQ19
2018-06-19,69.429,69.429,69.429,69.429,9.0,85.0,2019-08-14,LH,LHQ19
2018-06-20,68.1932,68.1932,68.1932,68.1932,24.0,75.0,2019-08-14,LH,LHQ19
2018-06-21,68.4182,68.4182,68.4182,68.4182,21.0,89.0,2019-08-14,LH,LHQ19
2018-06-22,69.5539,69.5539,69.5539,69.5539,1.0,91.0,2019-08-14,LH,LHQ19
2018-06-25,70.3399,70.3399,70.3399,70.3399,23.0,98.0,2019-08-14,LH,LHQ19
2018-06-26,71.6764,71.6764,71.6764,71.6764,13.0,89.0,2019-08-14,LH,LHQ19
2018-06-27,71.6621,71.6621,71.6621,71.6621,24.0,97.0,2019-08-14,LH,LHQ19
2018-06-28,70.6087,70.6087,70.6087,70.6087,4.0,99.0,2019-08-14,LH,LHQ19
2018-06-29,69.5213,69.5213,69.5213,69.5213,45.0,91.0,2019-08-14,LH,LHQ19
2018-07-02,70.3556,70.3556,70.3556,70.3556,40.0,140.0,2019-08-14,LH,LHQ19
2018-07-03,68.9555,68.9555,68.9555,68.9555,12.0,150.0,2019-08-14,LH,LHQ19
2018-07-05,69.3623,69.3623,69.3623,69.3623,35.0,129.0,2019-08-14,LH,LHQ19
2018-07-06,70.8675,70.8675,70.8675,70.8675,7.0,160.0,2019-08-14,LH,LHQ19
2018-07-09,71.0305,71.0305,71.0305,71.0305,36.0,158.0,2019-08-14,LH,LHQ19
2018-07-10,71.1441,71.1441,71.1441,71.1441,73.0,175.0,2019-08-14,LH,LHQ19
2018-07-11,72.8942,72.8942,72.8942,72.8942,49.0,226.0,2019-08-14,LH,LHQ19
2018-07-12,71.2978,71.2978,71.2978,71.2978,47.0,183.0,2019-08-14,LH,LHQ19
2018-07-13,72.2175,72.2175,72.2175,72.2175,32.0,173.0,2019-08-14,LH,LHQ19
2018-07-16,73.5463,73.5463,73.5463,73.5463,8.0,185.0,2019-08-14,LH,LHQ19
2018-07-17,73.5831,73.5831,73.5831,73.5831,58.0,253.0,2019-08-14,LH,LHQ19
2018-07-18,74.2674,74.2674,74.2674,74.2674,31.0,229.0,2019-08-14,LH,LHQ19
2018-07-19,76.0795,76.0795,76.0795,76.0795,53.0,282.0,2019-08-14,LH,LHQ19
2018-07-20,74.2612,74.2612,74.2612,74.2612,32.0,290.0,2019-08-14,LH,LHQ19
2018-07-23,74.781,74.781,74.781,74.781,28.0,241.0,2019-08-14,LH,LHQ19
2018-07-24,75.9401,75.9401,75.9401,75.9401,37.0,334.0,2019-08-14,LH,LHQ19
2018-07-25,76.0844,76.0844,76.0844,76.0844,31.0,257.0,2019-08-14,LH,LHQ19
2018-07-26,77.6213,77.6213,77.6213,77.6213,69.0,310.0,2019-08-14,LH,LHQ19
2018-07-27,78.382,78.382,78.382,78.382,13.0,337.0,2019-08-14,LH,LHQ19
2018-07-30,77.1514,77.1514,77.1514,77.1514,7.0,276.0,2019-08-14,LH,LHQ19
2018-07-31,76.8737,76.8737,76.8737,76.8737,46.0,287.0,2019-08-14,LH,LHQ19
2018-08-01,78.2497,78.2497,78.2497,78.2497,64.0,348.0,2019-08-14,LH,LHQ19
2018-08-02,78.2106,78.2106,78.2106,78.2106,56.0,386.0,2019-08-14,LH,LHQ19
2018-08-03,78.1089,78.1089,78.1089,78.1089,191.0,447.0,2019-08-14,LH,LHQ19
2018-08-06,77.2263,77.2263,77.2263,77.2263,77.0,408.0,2019-08-14,LH,LHQ19
2018-08-07,75.4424,75.4424,75.4424,75.4424,41.0,434.0,2019-08-14,LH,LHQ19
2018-08-08,74.8238,74.8238,74.8238,74.8238,51.0,446.0,2019-08-14,LH,LHQ19
2018-08-09,73.3348,73.3348,73.3348,73.3348,122.0,410.0,2019-08-14,LH,LHQ19
2018-08-10,74.0975,74.0975,74.0975,74.0975,98.0,513.0,2019-08-14,LH,LHQ19
2018-08-13,74.9941,74.9941,74.9941,74.9941,59.0,515.0,2019-08-14,LH,LHQ19
2018-08-14,73.7867,73.7867,73.7867,73.7867,6.0,512.0,2019-08-14,LH,LHQ19
2018-08-15,72.7758,72.7758,72.7758,72.7758,119.0,517.0,2019-08-14,LH,LHQ19
2018-08-16,72.6666,72.6666,72.6666,72.6666,355.0,505.0,2019-08-14,LH,LHQ19
2018-08-17,71.5911,71.5911,71.5911,71.5911,165.0,700.0,2019-08-14,LH,LHQ19
2018-08-20,71.4264,71.4264,71.4264,71.4264,143.0,612.0,2019-08-14,LH,LHQ19
2018-08-21,73.0906,73.0906,73.0906,73.0906,272.0,654.0,2019-08-14,LH,LHQ19
2018-08-22,71.9212,71.9212,71.9212,71.9212,263.0,1061.0,2019-08-14,LH,LHQ19
2018-08-23,71.3314,71.3314,71.3314,71.3314,230.0,1064.0,2019-08-14,LH,LHQ19
2018-08-24,70.9747,70.9747,70.9747,70.9747,244.0,945.0,2019-08-14,LH,LHQ19
2018-08-27,71.358,71.358,71.358,71.358,406.0,1377.0,2019-08-14,LH,LHQ19
2018-08-28,69.5955,69.5955,69.5955,69.5955,121.0,1186.0,2019-08-14,LH,LHQ19
2018-08-29,69.4146,69.4146,69.4146,69.4146,231.0,1488.0,2019-08-14,LH,LHQ19
2018-08-30,71.0181,71.0181,71.0181,71.0181,228.0,1119.0,2019-08-14,LH,LHQ19
2018-08-31,70.1659,70.1659,70.1659,70.1659,210.0,1418.0,2019-08-14,LH,LHQ19
2018-09-04,71.3307,71.3307,71.3307,71.3307,307.0,1654.0,2019-08-14,LH,LHQ19
2018-09-05,72.1011,72.1011,72.1011,72.1011,335.0,1666.0,2019-08-14,LH,LHQ19
2018-09-06,70.5798,70.5798,70.5798,70.5798,801.0,2350.0,2019-08-14,LH,LHQ19
2018-09-07,71.2221,71.2221,71.2221,71.2221,374.0,2343.0,2019-08-14,LH,LHQ19
2018-09-10,72.2406,72.2406,72.2406,72.2406,270.0,2506.0,2019-08-14,LH,LHQ19
2018-09-11,71.5471,71.5471,71.5471,71.5471,289.0,1895.0,2019-08-14,LH,LHQ19
2018-09-12,72.9423,72.9423,72.9423,72.9423,323.0,1950.0,2019-08-14,LH,LHQ19
2018-09-13,72.1764,72.1764,72.1764,72.1764,639.0,2665.0,2019-08-14,LH,LHQ19
2018-09-14,70.5813,70.5813,70.5813,70.5813,255.0,2991.0,2019-08-14,LH,LHQ19
2018-09-17,70.6025,70.6025,70.6025,70.6025,294.0,2328.0,2019-08-14,LH,LHQ19
2018-09-18,70.2283,70.2283,70.2283,70.2283,408.0,3318.0,2019-08-14,LH,LHQ19
