,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-05-14,74.5188,74.5188,74.5188,74.5188,0.0,0.0,2016-10-18,LH,LHV16
2015-05-15,73.5053,73.5053,73.5053,73.5053,0.0,0.0,2016-10-18,LH,LHV16
2015-05-18,71.8808,71.8808,71.8808,71.8808,0.0,0.0,2016-10-18,LH,LHV16
2015-05-19,70.702,70.702,70.702,70.702,0.0,0.0,2016-10-18,LH,LHV16
2015-05-20,70.8293,70.8293,70.8293,70.8293,0.0,0.0,2016-10-18,LH,LHV16
2015-05-21,70.9922,70.9922,70.9922,70.9922,0.0,0.0,2016-10-18,LH,LHV16
2015-05-22,71.6382,71.6382,71.6382,71.6382,0.0,0.0,2016-10-18,LH,LHV16
2015-05-26,70.9505,70.9505,70.9505,70.9505,0.0,0.0,2016-10-18,LH,LHV16
2015-05-27,72.2631,72.2631,72.2631,72.2631,0.0,0.0,2016-10-18,LH,LHV16
2015-05-28,71.8729,71.8729,71.8729,71.8729,0.0,0.0,2016-10-18,LH,LHV16
2015-05-29,72.3113,72.3113,72.3113,72.3113,0.0,0.0,2016-10-18,LH,LHV16
2015-06-01,71.3929,71.3929,71.3929,71.3929,0.0,0.0,2016-10-18,LH,LHV16
2015-06-02,72.6351,72.6351,72.6351,72.6351,0.0,0.0,2016-10-18,LH,LHV16
2015-06-03,72.7949,72.7949,72.7949,72.7949,0.0,0.0,2016-10-18,LH,LHV16
2015-06-04,71.9068,71.9068,71.9068,71.9068,0.0,0.0,2016-10-18,LH,LHV16
2015-06-05,72.4749,72.4749,72.4749,72.4749,0.0,0.0,2016-10-18,LH,LHV16
2015-06-08,73.7722,73.7722,73.7722,73.7722,0.0,0.0,2016-10-18,LH,LHV16
2015-06-09,73.241,73.241,73.241,73.241,0.0,0.0,2016-10-18,LH,LHV16
2015-06-10,74.0979,74.0979,74.0979,74.0979,0.0,0.0,2016-10-18,LH,LHV16
2015-06-11,75.5132,75.5132,75.5132,75.5132,0.0,0.0,2016-10-18,LH,LHV16
2015-06-12,73.7991,73.7991,73.7991,73.7991,0.0,0.0,2016-10-18,LH,LHV16
2015-06-15,72.9578,72.9578,72.9578,72.9578,3.0,2.0,2016-10-18,LH,LHV16
2015-06-16,73.826,73.826,73.826,73.826,20.0,14.0,2016-10-18,LH,LHV16
2015-06-17,75.5535,75.5535,75.5535,75.5535,9.0,23.0,2016-10-18,LH,LHV16
2015-06-18,74.6846,74.6846,74.6846,74.6846,0.0,18.0,2016-10-18,LH,LHV16
2015-06-19,74.005,74.005,74.005,74.005,0.0,22.0,2016-10-18,LH,LHV16
2015-06-22,72.9319,72.9319,72.9319,72.9319,1.0,27.0,2016-10-18,LH,LHV16
2015-06-23,71.3274,71.3274,71.3274,71.3274,18.0,43.0,2016-10-18,LH,LHV16
2015-06-24,70.9708,70.9708,70.9708,70.9708,2.0,46.0,2016-10-18,LH,LHV16
2015-06-25,72.4967,72.4967,72.4967,72.4967,3.0,35.0,2016-10-18,LH,LHV16
2015-06-26,74.0844,74.0844,74.0844,74.0844,0.0,43.0,2016-10-18,LH,LHV16
2015-06-29,73.0472,73.0472,73.0472,73.0472,20.0,71.0,2016-10-18,LH,LHV16
2015-06-30,72.8646,72.8646,72.8646,72.8646,28.0,92.0,2016-10-18,LH,LHV16
2015-07-01,71.3927,71.3927,71.3927,71.3927,6.0,86.0,2016-10-18,LH,LHV16
2015-07-02,71.8496,71.8496,71.8496,71.8496,59.0,112.0,2016-10-18,LH,LHV16
2015-07-06,70.2905,70.2905,70.2905,70.2905,53.0,156.0,2016-10-18,LH,LHV16
2015-07-07,70.2343,70.2343,70.2343,70.2343,3.0,153.0,2016-10-18,LH,LHV16
2015-07-08,71.035,71.035,71.035,71.035,2.0,177.0,2016-10-18,LH,LHV16
2015-07-09,72.5338,72.5338,72.5338,72.5338,15.0,183.0,2016-10-18,LH,LHV16
2015-07-10,73.0996,73.0996,73.0996,73.0996,36.0,196.0,2016-10-18,LH,LHV16
2015-07-13,72.1054,72.1054,72.1054,72.1054,0.0,197.0,2016-10-18,LH,LHV16
2015-07-14,70.8868,70.8868,70.8868,70.8868,0.0,158.0,2016-10-18,LH,LHV16
2015-07-15,70.4969,70.4969,70.4969,70.4969,5.0,180.0,2016-10-18,LH,LHV16
2015-07-16,70.941,70.941,70.941,70.941,9.0,210.0,2016-10-18,LH,LHV16
2015-07-17,70.2174,70.2174,70.2174,70.2174,0.0,210.0,2016-10-18,LH,LHV16
2015-07-20,68.9886,68.9886,68.9886,68.9886,1.0,236.0,2016-10-18,LH,LHV16
2015-07-21,69.9061,69.9061,69.9061,69.9061,4.0,200.0,2016-10-18,LH,LHV16
2015-07-22,70.4024,70.4024,70.4024,70.4024,11.0,177.0,2016-10-18,LH,LHV16
2015-07-23,70.6206,70.6206,70.6206,70.6206,30.0,242.0,2016-10-18,LH,LHV16
2015-07-24,71.1644,71.1644,71.1644,71.1644,1.0,187.0,2016-10-18,LH,LHV16
2015-07-27,71.9259,71.9259,71.9259,71.9259,11.0,253.0,2016-10-18,LH,LHV16
2015-07-28,73.4363,73.4363,73.4363,73.4363,2.0,260.0,2016-10-18,LH,LHV16
2015-07-29,73.3922,73.3922,73.3922,73.3922,8.0,218.0,2016-10-18,LH,LHV16
2015-07-30,73.2528,73.2528,73.2528,73.2528,0.0,190.0,2016-10-18,LH,LHV16
2015-07-31,74.1685,74.1685,74.1685,74.1685,17.0,236.0,2016-10-18,LH,LHV16
2015-08-03,73.3897,73.3897,73.3897,73.3897,15.0,238.0,2016-10-18,LH,LHV16
2015-08-04,73.8961,73.8961,73.8961,73.8961,21.0,258.0,2016-10-18,LH,LHV16
2015-08-05,73.2163,73.2163,73.2163,73.2163,16.0,309.0,2016-10-18,LH,LHV16
2015-08-06,73.3993,73.3993,73.3993,73.3993,26.0,274.0,2016-10-18,LH,LHV16
2015-08-07,74.926,74.926,74.926,74.926,5.0,287.0,2016-10-18,LH,LHV16
2015-08-10,74.971,74.971,74.971,74.971,23.0,254.0,2016-10-18,LH,LHV16
2015-08-11,75.9006,75.9006,75.9006,75.9006,4.0,297.0,2016-10-18,LH,LHV16
2015-08-12,76.1283,76.1283,76.1283,76.1283,46.0,337.0,2016-10-18,LH,LHV16
2015-08-13,76.2044,76.2044,76.2044,76.2044,59.0,338.0,2016-10-18,LH,LHV16
2015-08-14,75.9301,75.9301,75.9301,75.9301,136.0,368.0,2016-10-18,LH,LHV16
2015-08-17,75.1252,75.1252,75.1252,75.1252,114.0,494.0,2016-10-18,LH,LHV16
2015-08-18,74.2988,74.2988,74.2988,74.2988,40.0,525.0,2016-10-18,LH,LHV16
2015-08-19,72.5008,72.5008,72.5008,72.5008,14.0,571.0,2016-10-18,LH,LHV16
2015-08-20,72.0368,72.0368,72.0368,72.0368,98.0,483.0,2016-10-18,LH,LHV16
2015-08-21,73.1894,73.1894,73.1894,73.1894,33.0,643.0,2016-10-18,LH,LHV16
2015-08-24,74.5068,74.5068,74.5068,74.5068,44.0,700.0,2016-10-18,LH,LHV16
2015-08-25,73.2551,73.2551,73.2551,73.2551,12.0,618.0,2016-10-18,LH,LHV16
2015-08-26,74.4272,74.4272,74.4272,74.4272,0.0,588.0,2016-10-18,LH,LHV16
2015-08-27,73.0131,73.0131,73.0131,73.0131,0.0,546.0,2016-10-18,LH,LHV16
2015-08-28,74.028,74.028,74.028,74.028,14.0,628.0,2016-10-18,LH,LHV16
2015-08-31,73.2507,73.2507,73.2507,73.2507,45.0,646.0,2016-10-18,LH,LHV16
2015-09-01,71.7784,71.7784,71.7784,71.7784,40.0,767.0,2016-10-18,LH,LHV16
2015-09-02,73.0991,73.0991,73.0991,73.0991,38.0,664.0,2016-10-18,LH,LHV16
2015-09-03,72.1927,72.1927,72.1927,72.1927,8.0,738.0,2016-10-18,LH,LHV16
2015-09-04,71.478,71.478,71.478,71.478,12.0,776.0,2016-10-18,LH,LHV16
2015-09-08,71.2636,71.2636,71.2636,71.2636,9.0,636.0,2016-10-18,LH,LHV16
2015-09-09,70.7933,70.7933,70.7933,70.7933,58.0,861.0,2016-10-18,LH,LHV16
2015-09-10,70.6871,70.6871,70.6871,70.6871,66.0,902.0,2016-10-18,LH,LHV16
2015-09-11,71.3728,71.3728,71.3728,71.3728,20.0,715.0,2016-10-18,LH,LHV16
2015-09-14,72.6432,72.6432,72.6432,72.6432,51.0,931.0,2016-10-18,LH,LHV16
2015-09-15,71.1758,71.1758,71.1758,71.1758,137.0,853.0,2016-10-18,LH,LHV16
2015-09-16,71.126,71.126,71.126,71.126,29.0,1002.0,2016-10-18,LH,LHV16
2015-09-17,72.2,72.2,72.2,72.2,97.0,1032.0,2016-10-18,LH,LHV16
2015-09-18,72.4599,72.4599,72.4599,72.4599,26.0,999.0,2016-10-18,LH,LHV16
2015-09-21,72.9961,72.9961,72.9961,72.9961,7.0,959.0,2016-10-18,LH,LHV16
2015-09-22,72.4486,72.4486,72.4486,72.4486,5.0,1164.0,2016-10-18,LH,LHV16
2015-09-23,72.8543,72.8543,72.8543,72.8543,52.0,846.0,2016-10-18,LH,LHV16
2015-09-24,74.1511,74.1511,74.1511,74.1511,34.0,1107.0,2016-10-18,LH,LHV16
2015-09-25,73.5801,73.5801,73.5801,73.5801,40.0,1135.0,2016-10-18,LH,LHV16
2015-09-28,73.7861,73.7861,73.7861,73.7861,1.0,1104.0,2016-10-18,LH,LHV16
2015-09-29,73.0409,73.0409,73.0409,73.0409,47.0,1222.0,2016-10-18,LH,LHV16
2015-09-30,74.0343,74.0343,74.0343,74.0343,55.0,1041.0,2016-10-18,LH,LHV16
2015-10-01,72.5758,72.5758,72.5758,72.5758,186.0,1124.0,2016-10-18,LH,LHV16
2015-10-02,73.0983,73.0983,73.0983,73.0983,244.0,1518.0,2016-10-18,LH,LHV16
2015-10-05,74.319,74.319,74.319,74.319,147.0,1569.0,2016-10-18,LH,LHV16
2015-10-06,73.4718,73.4718,73.4718,73.4718,263.0,1302.0,2016-10-18,LH,LHV16
2015-10-07,73.1191,73.1191,73.1191,73.1191,87.0,1759.0,2016-10-18,LH,LHV16
2015-10-08,72.0223,72.0223,72.0223,72.0223,111.0,1803.0,2016-10-18,LH,LHV16
2015-10-09,70.3586,70.3586,70.3586,70.3586,237.0,1584.0,2016-10-18,LH,LHV16
2015-10-12,70.3093,70.3093,70.3093,70.3093,121.0,1646.0,2016-10-18,LH,LHV16
2015-10-13,68.7625,68.7625,68.7625,68.7625,77.0,1632.0,2016-10-18,LH,LHV16
2015-10-14,69.9315,69.9315,69.9315,69.9315,125.0,1798.0,2016-10-18,LH,LHV16
2015-10-15,71.2252,71.2252,71.2252,71.2252,170.0,2016.0,2016-10-18,LH,LHV16
2015-10-16,69.8434,69.8434,69.8434,69.8434,85.0,1882.0,2016-10-18,LH,LHV16
2015-10-19,70.9679,70.9679,70.9679,70.9679,36.0,1496.0,2016-10-18,LH,LHV16
2015-10-20,72.4227,72.4227,72.4227,72.4227,73.0,1460.0,2016-10-18,LH,LHV16
2015-10-21,72.4806,72.4806,72.4806,72.4806,35.0,1818.0,2016-10-18,LH,LHV16
2015-10-22,73.7708,73.7708,73.7708,73.7708,43.0,2090.0,2016-10-18,LH,LHV16
2015-10-23,74.1028,74.1028,74.1028,74.1028,76.0,1708.0,2016-10-18,LH,LHV16
2015-10-26,74.6956,74.6956,74.6956,74.6956,40.0,1515.0,2016-10-18,LH,LHV16
2015-10-27,74.2848,74.2848,74.2848,74.2848,113.0,1980.0,2016-10-18,LH,LHV16
2015-10-28,73.8614,73.8614,73.8614,73.8614,223.0,1836.0,2016-10-18,LH,LHV16
2015-10-29,73.012,73.012,73.012,73.012,466.0,1888.0,2016-10-18,LH,LHV16
2015-10-30,72.3476,72.3476,72.3476,72.3476,261.0,2301.0,2016-10-18,LH,LHV16
2015-11-02,72.9843,72.9843,72.9843,72.9843,101.0,2357.0,2016-10-18,LH,LHV16
2015-11-03,71.7947,71.7947,71.7947,71.7947,342.0,2732.0,2016-10-18,LH,LHV16
2015-11-04,72.5485,72.5485,72.5485,72.5485,313.0,2617.0,2016-10-18,LH,LHV16
2015-11-05,71.7505,71.7505,71.7505,71.7505,307.0,2514.0,2016-10-18,LH,LHV16
2015-11-06,72.8985,72.8985,72.8985,72.8985,321.0,2370.0,2016-10-18,LH,LHV16
2015-11-09,72.9277,72.9277,72.9277,72.9277,435.0,2846.0,2016-10-18,LH,LHV16
2015-11-10,71.1774,71.1774,71.1774,71.1774,579.0,2326.0,2016-10-18,LH,LHV16
2015-11-11,69.4976,69.4976,69.4976,69.4976,700.0,3135.0,2016-10-18,LH,LHV16
2015-11-12,71.096,71.096,71.096,71.096,132.0,3088.0,2016-10-18,LH,LHV16
2015-11-13,72.7454,72.7454,72.7454,72.7454,533.0,3455.0,2016-10-18,LH,LHV16
2015-11-16,74.404,74.404,74.404,74.404,122.0,2509.0,2016-10-18,LH,LHV16
2015-11-17,73.2284,73.2284,73.2284,73.2284,178.0,3520.0,2016-10-18,LH,LHV16
2015-11-18,73.1845,73.1845,73.1845,73.1845,113.0,2906.0,2016-10-18,LH,LHV16
2015-11-19,72.7747,72.7747,72.7747,72.7747,96.0,3409.0,2016-10-18,LH,LHV16
2015-11-20,71.4284,71.4284,71.4284,71.4284,216.0,3405.0,2016-10-18,LH,LHV16
2015-11-23,70.1213,70.1213,70.1213,70.1213,82.0,3339.0,2016-10-18,LH,LHV16
2015-11-24,70.2826,70.2826,70.2826,70.2826,50.0,2756.0,2016-10-18,LH,LHV16
2015-11-25,69.0808,69.0808,69.0808,69.0808,114.0,3386.0,2016-10-18,LH,LHV16
2015-11-27,70.5729,70.5729,70.5729,70.5729,14.0,2856.0,2016-10-18,LH,LHV16
2015-11-30,70.0859,70.0859,70.0859,70.0859,89.0,3012.0,2016-10-18,LH,LHV16
2015-12-01,69.0486,69.0486,69.0486,69.0486,363.0,3034.0,2016-10-18,LH,LHV16
2015-12-02,68.006,68.006,68.006,68.006,417.0,3057.0,2016-10-18,LH,LHV16
2015-12-03,67.3667,67.3667,67.3667,67.3667,486.0,3984.0,2016-10-18,LH,LHV16
2015-12-04,68.2627,68.2627,68.2627,68.2627,176.0,3820.0,2016-10-18,LH,LHV16
2015-12-07,69.1501,69.1501,69.1501,69.1501,254.0,3834.0,2016-10-18,LH,LHV16
2015-12-08,68.0714,68.0714,68.0714,68.0714,642.0,3476.0,2016-10-18,LH,LHV16
2015-12-09,68.4186,68.4186,68.4186,68.4186,411.0,4684.0,2016-10-18,LH,LHV16
2015-12-10,67.0844,67.0844,67.0844,67.0844,373.0,3646.0,2016-10-18,LH,LHV16
2015-12-11,67.4467,67.4467,67.4467,67.4467,551.0,3930.0,2016-10-18,LH,LHV16
2015-12-14,66.9341,66.9341,66.9341,66.9341,475.0,4601.0,2016-10-18,LH,LHV16
2015-12-15,65.9368,65.9368,65.9368,65.9368,441.0,4177.0,2016-10-18,LH,LHV16
2015-12-16,66.0225,66.0225,66.0225,66.0225,222.0,3938.0,2016-10-18,LH,LHV16
2015-12-17,66.9402,66.9402,66.9402,66.9402,457.0,4975.0,2016-10-18,LH,LHV16
2015-12-18,67.8774,67.8774,67.8774,67.8774,409.0,5495.0,2016-10-18,LH,LHV16
2015-12-21,67.857,67.857,67.857,67.857,255.0,4994.0,2016-10-18,LH,LHV16
2015-12-22,68.4881,68.4881,68.4881,68.4881,272.0,5867.0,2016-10-18,LH,LHV16
2015-12-23,69.0634,69.0634,69.0634,69.0634,819.0,5709.0,2016-10-18,LH,LHV16
2015-12-24,69.6435,69.6435,69.6435,69.6435,468.0,5885.0,2016-10-18,LH,LHV16
2015-12-28,68.1671,68.1671,68.1671,68.1671,335.0,5752.0,2016-10-18,LH,LHV16
2015-12-29,68.4261,68.4261,68.4261,68.4261,255.0,4859.0,2016-10-18,LH,LHV16
2015-12-30,67.1534,67.1534,67.1534,67.1534,584.0,5079.0,2016-10-18,LH,LHV16
2015-12-31,67.6839,67.6839,67.6839,67.6839,273.0,5806.0,2016-10-18,LH,LHV16
2016-01-04,67.6704,67.6704,67.6704,67.6704,560.0,5540.0,2016-10-18,LH,LHV16
2016-01-05,66.7975,66.7975,66.7975,66.7975,500.0,5103.0,2016-10-18,LH,LHV16
2016-01-06,68.3338,68.3338,68.3338,68.3338,906.0,6288.0,2016-10-18,LH,LHV16
2016-01-07,69.2905,69.2905,69.2905,69.2905,554.0,5189.0,2016-10-18,LH,LHV16
2016-01-08,69.1935,69.1935,69.1935,69.1935,1015.0,5026.0,2016-10-18,LH,LHV16
2016-01-11,70.176,70.176,70.176,70.176,785.0,7518.0,2016-10-18,LH,LHV16
2016-01-12,71.8602,71.8602,71.8602,71.8602,1275.0,7729.0,2016-10-18,LH,LHV16
2016-01-13,72.1476,72.1476,72.1476,72.1476,1326.0,6772.0,2016-10-18,LH,LHV16
2016-01-14,71.7724,71.7724,71.7724,71.7724,866.0,6828.0,2016-10-18,LH,LHV16
2016-01-15,72.2102,72.2102,72.2102,72.2102,637.0,8918.0,2016-10-18,LH,LHV16
2016-01-19,71.3653,71.3653,71.3653,71.3653,602.0,8359.0,2016-10-18,LH,LHV16
2016-01-20,69.7667,69.7667,69.7667,69.7667,440.0,7297.0,2016-10-18,LH,LHV16
2016-01-21,70.2132,70.2132,70.2132,70.2132,806.0,10164.0,2016-10-18,LH,LHV16
2016-01-22,71.8211,71.8211,71.8211,71.8211,358.0,10166.0,2016-10-18,LH,LHV16
2016-01-25,71.9576,71.9576,71.9576,71.9576,667.0,7895.0,2016-10-18,LH,LHV16
2016-01-26,71.6914,71.6914,71.6914,71.6914,533.0,9744.0,2016-10-18,LH,LHV16
2016-01-27,73.3546,73.3546,73.3546,73.3546,861.0,10020.0,2016-10-18,LH,LHV16
2016-01-28,71.8435,71.8435,71.8435,71.8435,936.0,11918.0,2016-10-18,LH,LHV16
2016-01-29,71.5274,71.5274,71.5274,71.5274,1175.0,11291.0,2016-10-18,LH,LHV16
2016-02-01,72.2069,72.2069,72.2069,72.2069,1450.0,13117.0,2016-10-18,LH,LHV16
2016-02-02,73.095,73.095,73.095,73.095,2086.0,12699.0,2016-10-18,LH,LHV16
2016-02-03,74.111,74.111,74.111,74.111,1492.0,10034.0,2016-10-18,LH,LHV16
2016-02-04,74.1406,74.1406,74.1406,74.1406,1093.0,12040.0,2016-10-18,LH,LHV16
2016-02-05,75.2008,75.2008,75.2008,75.2008,2358.0,15833.0,2016-10-18,LH,LHV16
2016-02-08,75.5693,75.5693,75.5693,75.5693,1792.0,17204.0,2016-10-18,LH,LHV16
2016-02-09,77.0958,77.0958,77.0958,77.0958,1332.0,16592.0,2016-10-18,LH,LHV16
2016-02-10,75.4845,75.4845,75.4845,75.4845,1637.0,19057.0,2016-10-18,LH,LHV16
2016-02-11,76.6772,76.6772,76.6772,76.6772,1731.0,17331.0,2016-10-18,LH,LHV16
2016-02-12,76.1021,76.1021,76.1021,76.1021,1264.0,17242.0,2016-10-18,LH,LHV16
2016-02-16,76.8479,76.8479,76.8479,76.8479,819.0,16173.0,2016-10-18,LH,LHV16
2016-02-17,77.2782,77.2782,77.2782,77.2782,756.0,20620.0,2016-10-18,LH,LHV16
2016-02-18,75.6863,75.6863,75.6863,75.6863,1385.0,16412.0,2016-10-18,LH,LHV16
2016-02-19,77.2681,77.2681,77.2681,77.2681,972.0,18361.0,2016-10-18,LH,LHV16
2016-02-22,76.2559,76.2559,76.2559,76.2559,2375.0,18905.0,2016-10-18,LH,LHV16
2016-02-23,74.441,74.441,74.441,74.441,1414.0,17137.0,2016-10-18,LH,LHV16
2016-02-24,74.374,74.374,74.374,74.374,1373.0,17630.0,2016-10-18,LH,LHV16
2016-02-25,72.9683,72.9683,72.9683,72.9683,1369.0,20748.0,2016-10-18,LH,LHV16
2016-02-26,73.2237,73.2237,73.2237,73.2237,960.0,22328.0,2016-10-18,LH,LHV16
2016-02-29,71.9203,71.9203,71.9203,71.9203,830.0,23567.0,2016-10-18,LH,LHV16
2016-03-01,70.4603,70.4603,70.4603,70.4603,1426.0,18310.0,2016-10-18,LH,LHV16
2016-03-02,70.2771,70.2771,70.2771,70.2771,1609.0,20022.0,2016-10-18,LH,LHV16
2016-03-03,70.7128,70.7128,70.7128,70.7128,1650.0,16061.0,2016-10-18,LH,LHV16
2016-03-04,70.8472,70.8472,70.8472,70.8472,1058.0,17755.0,2016-10-18,LH,LHV16
2016-03-07,69.5082,69.5082,69.5082,69.5082,1632.0,19983.0,2016-10-18,LH,LHV16
2016-03-08,70.0017,70.0017,70.0017,70.0017,1644.0,21720.0,2016-10-18,LH,LHV16
2016-03-09,68.9657,68.9657,68.9657,68.9657,3095.0,19197.0,2016-10-18,LH,LHV16
2016-03-10,69.2967,69.2967,69.2967,69.2967,2250.0,24123.0,2016-10-18,LH,LHV16
2016-03-11,70.0382,70.0382,70.0382,70.0382,2459.0,23489.0,2016-10-18,LH,LHV16
2016-03-14,71.1938,71.1938,71.1938,71.1938,1174.0,23934.0,2016-10-18,LH,LHV16
2016-03-15,72.219,72.219,72.219,72.219,2109.0,24129.0,2016-10-18,LH,LHV16
2016-03-16,73.4178,73.4178,73.4178,73.4178,1443.0,26261.0,2016-10-18,LH,LHV16
2016-03-17,72.9332,72.9332,72.9332,72.9332,3529.0,24213.0,2016-10-18,LH,LHV16
2016-03-18,74.246,74.246,74.246,74.246,1896.0,30027.0,2016-10-18,LH,LHV16
