,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-14,54.8418,54.8418,54.8418,54.8418,0.0,0.0,2019-12-13,LH,LHZ19
2018-06-15,56.1141,56.1141,56.1141,56.1141,3.0,3.0,2019-12-13,LH,LHZ19
2018-06-18,55.7886,55.7886,55.7886,55.7886,0.0,3.0,2019-12-13,LH,LHZ19
2018-06-19,55.8053,55.8053,55.8053,55.8053,1.0,4.0,2019-12-13,LH,LHZ19
2018-06-20,54.812,54.812,54.812,54.812,2.0,5.0,2019-12-13,LH,LHZ19
2018-06-21,54.2584,54.2584,54.2584,54.2584,0.0,5.0,2019-12-13,LH,LHZ19
2018-06-22,52.8314,52.8314,52.8314,52.8314,0.0,5.0,2019-12-13,LH,LHZ19
2018-06-25,53.5922,53.5922,53.5922,53.5922,1.0,6.0,2019-12-13,LH,LHZ19
2018-06-26,52.172,52.172,52.172,52.172,0.0,6.0,2019-12-13,LH,LHZ19
2018-06-27,51.9998,51.9998,51.9998,51.9998,0.0,5.0,2019-12-13,LH,LHZ19
2018-06-28,52.4054,52.4054,52.4054,52.4054,0.0,5.0,2019-12-13,LH,LHZ19
2018-06-29,50.8332,50.8332,50.8332,50.8332,1.0,6.0,2019-12-13,LH,LHZ19
2018-07-02,50.5638,50.5638,50.5638,50.5638,0.0,5.0,2019-12-13,LH,LHZ19
2018-07-03,49.7902,49.7902,49.7902,49.7902,0.0,5.0,2019-12-13,LH,LHZ19
2018-07-05,50.6914,50.6914,50.6914,50.6914,0.0,6.0,2019-12-13,LH,LHZ19
2018-07-06,49.3531,49.3531,49.3531,49.3531,1.0,5.0,2019-12-13,LH,LHZ19
2018-07-09,49.3778,49.3778,49.3778,49.3778,0.0,5.0,2019-12-13,LH,LHZ19
2018-07-10,50.7703,50.7703,50.7703,50.7703,0.0,5.0,2019-12-13,LH,LHZ19
2018-07-11,50.9886,50.9886,50.9886,50.9886,1.0,6.0,2019-12-13,LH,LHZ19
2018-07-12,50.6572,50.6572,50.6572,50.6572,1.0,6.0,2019-12-13,LH,LHZ19
2018-07-13,50.6369,50.6369,50.6369,50.6369,0.0,7.0,2019-12-13,LH,LHZ19
2018-07-16,51.4673,51.4673,51.4673,51.4673,2.0,6.0,2019-12-13,LH,LHZ19
