,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-06-01,1848.6133,1848.6133,1848.6133,1848.6133,0.0,0.0,2017-01-31,LR,LRF17
2015-06-02,1855.4532,1855.4532,1855.4532,1855.4532,0.0,0.0,2017-01-31,LR,LRF17
2015-06-03,1843.2072,1843.2072,1843.2072,1843.2072,0.0,0.0,2017-01-31,LR,LRF17
2015-06-04,1862.7452,1862.7452,1862.7452,1862.7452,0.0,0.0,2017-01-31,LR,LRF17
2015-06-05,1825.304,1825.304,1825.304,1825.304,0.0,0.0,2017-01-31,LR,LRF17
2015-06-08,1818.5504,1818.5504,1818.5504,1818.5504,0.0,0.0,2017-01-31,LR,LRF17
2015-06-09,1805.4568,1805.4568,1805.4568,1805.4568,0.0,0.0,2017-01-31,LR,LRF17
2015-06-10,1820.8032,1820.8032,1820.8032,1820.8032,0.0,0.0,2017-01-31,LR,LRF17
2015-06-11,1818.072,1818.072,1818.072,1818.072,0.0,0.0,2017-01-31,LR,LRF17
2015-06-12,1777.529,1777.529,1777.529,1777.529,0.0,0.0,2017-01-31,LR,LRF17
2015-06-15,1793.8823,1793.8823,1793.8823,1793.8823,0.0,0.0,2017-01-31,LR,LRF17
2015-06-16,1786.7068,1786.7068,1786.7068,1786.7068,0.0,0.0,2017-01-31,LR,LRF17
2015-06-17,1820.4756,1820.4756,1820.4756,1820.4756,0.0,0.0,2017-01-31,LR,LRF17
2015-06-18,1780.7892,1780.7892,1780.7892,1780.7892,0.0,0.0,2017-01-31,LR,LRF17
2015-06-19,1788.2685,1788.2685,1788.2685,1788.2685,0.0,0.0,2017-01-31,LR,LRF17
2015-06-22,1785.7649,1785.7649,1785.7649,1785.7649,0.0,0.0,2017-01-31,LR,LRF17
2015-06-23,1804.5154,1804.5154,1804.5154,1804.5154,0.0,0.0,2017-01-31,LR,LRF17
2015-06-24,1796.5755,1796.5755,1796.5755,1796.5755,0.0,0.0,2017-01-31,LR,LRF17
2015-06-25,1825.5004,1825.5004,1825.5004,1825.5004,0.0,0.0,2017-01-31,LR,LRF17
2015-06-26,1828.4212,1828.4212,1828.4212,1828.4212,0.0,0.0,2017-01-31,LR,LRF17
2015-06-29,1803.0061,1803.0061,1803.0061,1803.0061,0.0,0.0,2017-01-31,LR,LRF17
2015-06-30,1808.2348,1808.2348,1808.2348,1808.2348,0.0,0.0,2017-01-31,LR,LRF17
2015-07-01,1788.7059,1788.7059,1788.7059,1788.7059,0.0,0.0,2017-01-31,LR,LRF17
2015-07-02,1773.6808,1773.6808,1773.6808,1773.6808,0.0,0.0,2017-01-31,LR,LRF17
2015-07-03,1786.9834,1786.9834,1786.9834,1786.9834,0.0,0.0,2017-01-31,LR,LRF17
2015-07-06,1772.8662,1772.8662,1772.8662,1772.8662,0.0,0.0,2017-01-31,LR,LRF17
2015-07-07,1773.2208,1773.2208,1773.2208,1773.2208,0.0,0.0,2017-01-31,LR,LRF17
2015-07-08,1786.3426,1786.3426,1786.3426,1786.3426,0.0,0.0,2017-01-31,LR,LRF17
2015-07-09,1792.0589,1792.0589,1792.0589,1792.0589,0.0,0.0,2017-01-31,LR,LRF17
2015-07-10,1811.9508,1811.9508,1811.9508,1811.9508,0.0,0.0,2017-01-31,LR,LRF17
2015-07-13,1776.4366,1776.4366,1776.4366,1776.4366,0.0,0.0,2017-01-31,LR,LRF17
2015-07-14,1786.9176,1786.9176,1786.9176,1786.9176,0.0,0.0,2017-01-31,LR,LRF17
2015-07-15,1791.5636,1791.5636,1791.5636,1791.5636,0.0,0.0,2017-01-31,LR,LRF17
2015-07-16,1828.1115,1828.1115,1828.1115,1828.1115,0.0,0.0,2017-01-31,LR,LRF17
2015-07-17,1848.0379,1848.0379,1848.0379,1848.0379,0.0,0.0,2017-01-31,LR,LRF17
2015-07-20,1809.7835,1809.7835,1809.7835,1809.7835,0.0,0.0,2017-01-31,LR,LRF17
2015-07-21,1815.3938,1815.3938,1815.3938,1815.3938,0.0,0.0,2017-01-31,LR,LRF17
2015-07-22,1789.9783,1789.9783,1789.9783,1789.9783,0.0,0.0,2017-01-31,LR,LRF17
2015-07-23,1815.754,1815.754,1815.754,1815.754,0.0,0.0,2017-01-31,LR,LRF17
2015-07-24,1785.9756,1785.9756,1785.9756,1785.9756,0.0,0.0,2017-01-31,LR,LRF17
2015-07-27,1755.7926,1755.7926,1755.7926,1755.7926,0.0,0.0,2017-01-31,LR,LRF17
2015-07-28,1790.5573,1790.5573,1790.5573,1790.5573,32.0,23.0,2017-01-31,LR,LRF17
2015-07-29,1759.7597,1759.7597,1759.7597,1759.7597,0.0,31.0,2017-01-31,LR,LRF17
2015-07-30,1754.4804,1754.4804,1754.4804,1754.4804,42.0,75.0,2017-01-31,LR,LRF17
2015-07-31,1743.6026,1743.6026,1743.6026,1743.6026,24.0,62.0,2017-01-31,LR,LRF17
2015-08-03,1781.4388,1781.4388,1781.4388,1781.4388,0.0,71.0,2017-01-31,LR,LRF17
2015-08-04,1754.5391,1754.5391,1754.5391,1754.5391,22.0,66.0,2017-01-31,LR,LRF17
2015-08-05,1790.6826,1790.6826,1790.6826,1790.6826,0.0,86.0,2017-01-31,LR,LRF17
2015-08-06,1805.3662,1805.3662,1805.3662,1805.3662,4.0,68.0,2017-01-31,LR,LRF17
2015-08-07,1822.3366,1822.3366,1822.3366,1822.3366,1.0,68.0,2017-01-31,LR,LRF17
2015-08-10,1805.2066,1805.2066,1805.2066,1805.2066,6.0,90.0,2017-01-31,LR,LRF17
2015-08-11,1806.8313,1806.8313,1806.8313,1806.8313,0.0,80.0,2017-01-31,LR,LRF17
2015-08-12,1769.2492,1769.2492,1769.2492,1769.2492,0.0,86.0,2017-01-31,LR,LRF17
2015-08-13,1807.2881,1807.2881,1807.2881,1807.2881,0.0,83.0,2017-01-31,LR,LRF17
2015-08-14,1815.0594,1815.0594,1815.0594,1815.0594,0.0,96.0,2017-01-31,LR,LRF17
2015-08-17,1854.2647,1854.2647,1854.2647,1854.2647,0.0,79.0,2017-01-31,LR,LRF17
2015-08-18,1856.3044,1856.3044,1856.3044,1856.3044,1.0,91.0,2017-01-31,LR,LRF17
2015-08-19,1855.005,1855.005,1855.005,1855.005,0.0,94.0,2017-01-31,LR,LRF17
2015-08-20,1890.9921,1890.9921,1890.9921,1890.9921,18.0,77.0,2017-01-31,LR,LRF17
2015-08-21,1905.5527,1905.5527,1905.5527,1905.5527,48.0,165.0,2017-01-31,LR,LRF17
2015-08-24,1897.9305,1897.9305,1897.9305,1897.9305,67.0,237.0,2017-01-31,LR,LRF17
2015-08-25,1896.7917,1896.7917,1896.7917,1896.7917,21.0,215.0,2017-01-31,LR,LRF17
2015-08-26,1883.8935,1883.8935,1883.8935,1883.8935,59.0,261.0,2017-01-31,LR,LRF17
2015-08-27,1855.4467,1855.4467,1855.4467,1855.4467,1.0,319.0,2017-01-31,LR,LRF17
2015-08-28,1894.4111,1894.4111,1894.4111,1894.4111,46.0,337.0,2017-01-31,LR,LRF17
2015-09-01,1850.4608,1850.4608,1850.4608,1850.4608,11.0,307.0,2017-01-31,LR,LRF17
2015-09-02,1835.8422,1835.8422,1835.8422,1835.8422,76.0,412.0,2017-01-31,LR,LRF17
2015-09-03,1842.6348,1842.6348,1842.6348,1842.6348,68.0,411.0,2017-01-31,LR,LRF17
2015-09-04,1866.9576,1866.9576,1866.9576,1866.9576,43.0,457.0,2017-01-31,LR,LRF17
2015-09-07,1833.1657,1833.1657,1833.1657,1833.1657,18.0,391.0,2017-01-31,LR,LRF17
2015-09-08,1845.6312,1845.6312,1845.6312,1845.6312,0.0,518.0,2017-01-31,LR,LRF17
2015-09-09,1875.1613,1875.1613,1875.1613,1875.1613,5.0,516.0,2017-01-31,LR,LRF17
2015-09-10,1834.8453,1834.8453,1834.8453,1834.8453,57.0,439.0,2017-01-31,LR,LRF17
2015-09-11,1862.1845,1862.1845,1862.1845,1862.1845,9.0,470.0,2017-01-31,LR,LRF17
2015-09-14,1824.1959,1824.1959,1824.1959,1824.1959,6.0,532.0,2017-01-31,LR,LRF17
2015-09-15,1854.4776,1854.4776,1854.4776,1854.4776,0.0,554.0,2017-01-31,LR,LRF17
2015-09-16,1887.3019,1887.3019,1887.3019,1887.3019,1.0,439.0,2017-01-31,LR,LRF17
2015-09-17,1915.234,1915.234,1915.234,1915.234,13.0,443.0,2017-01-31,LR,LRF17
2015-09-18,1881.9089,1881.9089,1881.9089,1881.9089,28.0,683.0,2017-01-31,LR,LRF17
2015-09-21,1872.4994,1872.4994,1872.4994,1872.4994,4.0,676.0,2017-01-31,LR,LRF17
2015-09-22,1851.1529,1851.1529,1851.1529,1851.1529,4.0,546.0,2017-01-31,LR,LRF17
2015-09-23,1872.4412,1872.4412,1872.4412,1872.4412,0.0,505.0,2017-01-31,LR,LRF17
2015-09-24,1915.1329,1915.1329,1915.1329,1915.1329,0.0,616.0,2017-01-31,LR,LRF17
2015-09-25,1949.6053,1949.6053,1949.6053,1949.6053,0.0,633.0,2017-01-31,LR,LRF17
2015-09-28,1936.348,1936.348,1936.348,1936.348,1.0,501.0,2017-01-31,LR,LRF17
2015-09-29,1912.1436,1912.1436,1912.1436,1912.1436,3.0,531.0,2017-01-31,LR,LRF17
2015-09-30,1915.3942,1915.3942,1915.3942,1915.3942,0.0,695.0,2017-01-31,LR,LRF17
2015-10-01,1905.2426,1905.2426,1905.2426,1905.2426,0.0,543.0,2017-01-31,LR,LRF17
2015-10-02,1894.7638,1894.7638,1894.7638,1894.7638,0.0,648.0,2017-01-31,LR,LRF17
2015-10-05,1935.1223,1935.1223,1935.1223,1935.1223,9.0,674.0,2017-01-31,LR,LRF17
2015-10-06,1909.7722,1909.7722,1909.7722,1909.7722,0.0,621.0,2017-01-31,LR,LRF17
2015-10-07,1874.2504,1874.2504,1874.2504,1874.2504,2.0,532.0,2017-01-31,LR,LRF17
