,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-26,1721.3371,1721.3371,1721.3371,1721.3371,0.0,0.0,2018-09-26,LR,LRH20
2018-07-27,1705.1565,1705.1565,1705.1565,1705.1565,0.0,0.0,2018-09-26,LR,LRH20
2018-07-30,1692.5383,1692.5383,1692.5383,1692.5383,0.0,0.0,2018-09-26,LR,LRH20
2018-07-31,1719.4497,1719.4497,1719.4497,1719.4497,0.0,0.0,2018-09-26,LR,LRH20
2018-08-01,1686.4363,1686.4363,1686.4363,1686.4363,0.0,0.0,2018-09-26,LR,LRH20
2018-08-02,1682.3889,1682.3889,1682.3889,1682.3889,0.0,0.0,2018-09-26,LR,LRH20
2018-08-03,1645.3763,1645.3763,1645.3763,1645.3763,0.0,0.0,2018-09-26,LR,LRH20
2018-08-06,1620.3666,1620.3666,1620.3666,1620.3666,1.0,1.0,2018-09-26,LR,LRH20
2018-08-07,1615.6675,1615.6675,1615.6675,1615.6675,0.0,1.0,2018-09-26,LR,LRH20
2018-08-08,1587.7165,1587.7165,1587.7165,1587.7165,0.0,1.0,2018-09-26,LR,LRH20
2018-08-09,1566.7586,1566.7586,1566.7586,1566.7586,0.0,1.0,2018-09-26,LR,LRH20
2018-08-10,1571.9289,1571.9289,1571.9289,1571.9289,0.0,1.0,2018-09-26,LR,LRH20
2018-08-13,1542.3766,1542.3766,1542.3766,1542.3766,0.0,1.0,2018-09-26,LR,LRH20
2018-08-14,1535.7444,1535.7444,1535.7444,1535.7444,0.0,1.0,2018-09-26,LR,LRH20
2018-08-15,1564.9235,1564.9235,1564.9235,1564.9235,0.0,1.0,2018-09-26,LR,LRH20
2018-08-16,1535.3464,1535.3464,1535.3464,1535.3464,0.0,1.0,2018-09-26,LR,LRH20
2018-08-17,1502.3365,1502.3365,1502.3365,1502.3365,0.0,1.0,2018-09-26,LR,LRH20
2018-08-20,1490.3178,1490.3178,1490.3178,1490.3178,0.0,1.0,2018-09-26,LR,LRH20
2018-08-21,1490.1688,1490.1688,1490.1688,1490.1688,0.0,1.0,2018-09-26,LR,LRH20
2018-08-22,1471.6907,1471.6907,1471.6907,1471.6907,0.0,1.0,2018-09-26,LR,LRH20
2018-08-23,1473.8982,1473.8982,1473.8982,1473.8982,0.0,1.0,2018-09-26,LR,LRH20
2018-08-24,1489.8163,1489.8163,1489.8163,1489.8163,8.0,10.0,2018-09-26,LR,LRH20
2018-08-28,1512.9085,1512.9085,1512.9085,1512.9085,0.0,9.0,2018-09-26,LR,LRH20
2018-08-29,1523.6502,1523.6502,1523.6502,1523.6502,2.0,9.0,2018-09-26,LR,LRH20
2018-08-30,1517.0985,1517.0985,1517.0985,1517.0985,0.0,10.0,2018-09-26,LR,LRH20
2018-08-31,1502.6861,1502.6861,1502.6861,1502.6861,0.0,11.0,2018-09-26,LR,LRH20
2018-09-03,1475.6378,1475.6378,1475.6378,1475.6378,2.0,15.0,2018-09-26,LR,LRH20
2018-09-04,1471.3585,1471.3585,1471.3585,1471.3585,0.0,10.0,2018-09-26,LR,LRH20
2018-09-05,1486.8078,1486.8078,1486.8078,1486.8078,0.0,12.0,2018-09-26,LR,LRH20
2018-09-06,1491.2682,1491.2682,1491.2682,1491.2682,0.0,13.0,2018-09-26,LR,LRH20
2018-09-07,1493.9525,1493.9525,1493.9525,1493.9525,4.0,15.0,2018-09-26,LR,LRH20
2018-09-10,1511.133,1511.133,1511.133,1511.133,0.0,14.0,2018-09-26,LR,LRH20
2018-09-11,1501.0084,1501.0084,1501.0084,1501.0084,7.0,21.0,2018-09-26,LR,LRH20
2018-09-12,1504.1605,1504.1605,1504.1605,1504.1605,0.0,23.0,2018-09-26,LR,LRH20
2018-09-13,1495.7372,1495.7372,1495.7372,1495.7372,29.0,46.0,2018-09-26,LR,LRH20
2018-09-14,1488.1089,1488.1089,1488.1089,1488.1089,24.0,76.0,2018-09-26,LR,LRH20
2018-09-17,1474.7159,1474.7159,1474.7159,1474.7159,31.0,95.0,2018-09-26,LR,LRH20
2018-09-18,1496.6892,1496.6892,1496.6892,1496.6892,1.0,88.0,2018-09-26,LR,LRH20
2018-09-19,1526.7727,1526.7727,1526.7727,1526.7727,4.0,94.0,2018-09-26,LR,LRH20
2018-09-20,1526.0093,1526.0093,1526.0093,1526.0093,0.0,83.0,2018-09-26,LR,LRH20
2018-09-21,1494.8787,1494.8787,1494.8787,1494.8787,2.0,114.0,2018-09-26,LR,LRH20
2018-09-24,1504.5954,1504.5954,1504.5954,1504.5954,8.0,86.0,2018-09-26,LR,LRH20
2018-09-25,1475.1053,1475.1053,1475.1053,1475.1053,0.0,110.0,2018-09-26,LR,LRH20
2018-09-26,1449.4385,1449.4385,1449.4385,1449.4385,0.0,108.0,2018-09-26,LR,LRH20
2018-09-27,1468.861,1468.861,1468.861,1468.861,13.0,126.0,2018-09-26,LR,LRH20
2018-09-28,1438.8962,1438.8962,1438.8962,1438.8962,0.0,122.0,2018-09-26,LR,LRH20
2018-10-01,1408.8233,1408.8233,1408.8233,1408.8233,0.0,99.0,2018-09-26,LR,LRH20
2018-10-02,1394.8759,1394.8759,1394.8759,1394.8759,0.0,126.0,2018-09-26,LR,LRH20
2018-10-03,1374.6502,1374.6502,1374.6502,1374.6502,0.0,128.0,2018-09-26,LR,LRH20
2018-10-04,1379.5989,1379.5989,1379.5989,1379.5989,2.0,100.0,2018-09-26,LR,LRH20
2018-10-05,1399.0512,1399.0512,1399.0512,1399.0512,0.0,90.0,2018-09-26,LR,LRH20
2018-10-08,1396.6728,1396.6728,1396.6728,1396.6728,0.0,125.0,2018-09-26,LR,LRH20
2018-10-09,1379.9127,1379.9127,1379.9127,1379.9127,0.0,103.0,2018-09-26,LR,LRH20
2018-10-10,1388.6062,1388.6062,1388.6062,1388.6062,0.0,125.0,2018-09-26,LR,LRH20
2018-10-11,1363.0558,1363.0558,1363.0558,1363.0558,0.0,121.0,2018-09-26,LR,LRH20
2018-10-12,1335.6584,1335.6584,1335.6584,1335.6584,0.0,89.0,2018-09-26,LR,LRH20
2018-10-15,1337.3948,1337.3948,1337.3948,1337.3948,4.0,108.0,2018-09-26,LR,LRH20
2018-10-16,1313.3217,1313.3217,1313.3217,1313.3217,0.0,111.0,2018-09-26,LR,LRH20
2018-10-17,1297.6932,1297.6932,1297.6932,1297.6932,0.0,104.0,2018-09-26,LR,LRH20
2018-10-18,1284.5865,1284.5865,1284.5865,1284.5865,0.0,89.0,2018-09-26,LR,LRH20
2018-10-19,1257.2248,1257.2248,1257.2248,1257.2248,0.0,122.0,2018-09-26,LR,LRH20
2018-10-22,1267.9112,1267.9112,1267.9112,1267.9112,0.0,123.0,2018-09-26,LR,LRH20
2018-10-23,1272.8561,1272.8561,1272.8561,1272.8561,0.0,88.0,2018-09-26,LR,LRH20
2018-10-24,1254.6543,1254.6543,1254.6543,1254.6543,0.0,92.0,2018-09-26,LR,LRH20
2018-10-25,1250.0121,1250.0121,1250.0121,1250.0121,1.0,111.0,2018-09-26,LR,LRH20
2018-10-26,1246.0121,1246.0121,1246.0121,1246.0121,0.0,125.0,2018-09-26,LR,LRH20
2018-10-29,1265.9483,1265.9483,1265.9483,1265.9483,12.0,124.0,2018-09-26,LR,LRH20
2018-10-30,1243.9208,1243.9208,1243.9208,1243.9208,0.0,113.0,2018-09-26,LR,LRH20
2018-10-31,1237.7012,1237.7012,1237.7012,1237.7012,0.0,140.0,2018-09-26,LR,LRH20
2018-11-01,1225.3242,1225.3242,1225.3242,1225.3242,0.0,137.0,2018-09-26,LR,LRH20
2018-11-02,1227.7748,1227.7748,1227.7748,1227.7748,0.0,127.0,2018-09-26,LR,LRH20
2018-11-05,1252.3303,1252.3303,1252.3303,1252.3303,2.0,104.0,2018-09-26,LR,LRH20
2018-11-06,1265.7302,1265.7302,1265.7302,1265.7302,2.0,107.0,2018-09-26,LR,LRH20
2018-11-07,1244.3394,1244.3394,1244.3394,1244.3394,0.0,118.0,2018-09-26,LR,LRH20
2018-11-08,1223.8078,1223.8078,1223.8078,1223.8078,5.0,108.0,2018-09-26,LR,LRH20
2018-11-09,1215.853,1215.853,1215.853,1215.853,9.0,150.0,2018-09-26,LR,LRH20
2018-11-12,1228.6195,1228.6195,1228.6195,1228.6195,15.0,147.0,2018-09-26,LR,LRH20
