,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-01,1744.5151,1744.5151,1744.5151,1744.5151,0.0,0.0,2017-05-31,LR,LRK17
2015-10-02,1776.7886,1776.7886,1776.7886,1776.7886,0.0,0.0,2017-05-31,LR,LRK17
2015-10-05,1742.8519,1742.8519,1742.8519,1742.8519,0.0,0.0,2017-05-31,LR,LRK17
2015-10-06,1702.2435,1702.2435,1702.2435,1702.2435,0.0,0.0,2017-05-31,LR,LRK17
2015-10-07,1687.7744,1687.7744,1687.7744,1687.7744,0.0,0.0,2017-05-31,LR,LRK17
2015-10-08,1710.053,1710.053,1710.053,1710.053,0.0,0.0,2017-05-31,LR,LRK17
2015-10-09,1723.2204,1723.2204,1723.2204,1723.2204,0.0,0.0,2017-05-31,LR,LRK17
2015-10-12,1705.8159,1705.8159,1705.8159,1705.8159,0.0,0.0,2017-05-31,LR,LRK17
2015-10-13,1665.2175,1665.2175,1665.2175,1665.2175,0.0,0.0,2017-05-31,LR,LRK17
2015-10-14,1697.5227,1697.5227,1697.5227,1697.5227,0.0,0.0,2017-05-31,LR,LRK17
2015-10-15,1712.2911,1712.2911,1712.2911,1712.2911,0.0,0.0,2017-05-31,LR,LRK17
2015-10-16,1673.9358,1673.9358,1673.9358,1673.9358,0.0,0.0,2017-05-31,LR,LRK17
2015-10-19,1677.1163,1677.1163,1677.1163,1677.1163,0.0,0.0,2017-05-31,LR,LRK17
2015-10-20,1683.4893,1683.4893,1683.4893,1683.4893,0.0,0.0,2017-05-31,LR,LRK17
2015-10-21,1689.5499,1689.5499,1689.5499,1689.5499,0.0,0.0,2017-05-31,LR,LRK17
2015-10-22,1684.8192,1684.8192,1684.8192,1684.8192,16.0,17.0,2017-05-31,LR,LRK17
2015-10-23,1692.4009,1692.4009,1692.4009,1692.4009,0.0,14.0,2017-05-31,LR,LRK17
2015-10-26,1695.4472,1695.4472,1695.4472,1695.4472,0.0,15.0,2017-05-31,LR,LRK17
2015-10-27,1670.3546,1670.3546,1670.3546,1670.3546,1.0,17.0,2017-05-31,LR,LRK17
2015-10-28,1631.9364,1631.9364,1631.9364,1631.9364,4.0,15.0,2017-05-31,LR,LRK17
2015-10-29,1610.0685,1610.0685,1610.0685,1610.0685,0.0,15.0,2017-05-31,LR,LRK17
2015-10-30,1644.685,1644.685,1644.685,1644.685,3.0,14.0,2017-05-31,LR,LRK17
2015-11-02,1658.1714,1658.1714,1658.1714,1658.1714,0.0,18.0,2017-05-31,LR,LRK17
2015-11-03,1682.0491,1682.0491,1682.0491,1682.0491,0.0,18.0,2017-05-31,LR,LRK17
2015-11-04,1663.3784,1663.3784,1663.3784,1663.3784,0.0,14.0,2017-05-31,LR,LRK17
2015-11-05,1688.1627,1688.1627,1688.1627,1688.1627,0.0,15.0,2017-05-31,LR,LRK17
2015-11-06,1707.5766,1707.5766,1707.5766,1707.5766,0.0,13.0,2017-05-31,LR,LRK17
