,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-01,1696.4295,1696.4295,1696.4295,1696.4295,0.0,0.0,2017-07-31,LR,LRN17
2015-12-02,1718.3134,1718.3134,1718.3134,1718.3134,0.0,0.0,2017-07-31,LR,LRN17
2015-12-03,1717.6261,1717.6261,1717.6261,1717.6261,0.0,0.0,2017-07-31,LR,LRN17
2015-12-04,1725.5272,1725.5272,1725.5272,1725.5272,0.0,0.0,2017-07-31,LR,LRN17
2015-12-07,1758.8299,1758.8299,1758.8299,1758.8299,0.0,0.0,2017-07-31,LR,LRN17
2015-12-08,1729.2816,1729.2816,1729.2816,1729.2816,0.0,0.0,2017-07-31,LR,LRN17
2015-12-09,1747.2661,1747.2661,1747.2661,1747.2661,0.0,0.0,2017-07-31,LR,LRN17
2015-12-10,1734.1616,1734.1616,1734.1616,1734.1616,0.0,0.0,2017-07-31,LR,LRN17
2015-12-11,1745.0868,1745.0868,1745.0868,1745.0868,0.0,0.0,2017-07-31,LR,LRN17
2015-12-14,1754.5103,1754.5103,1754.5103,1754.5103,0.0,0.0,2017-07-31,LR,LRN17
2015-12-15,1785.0388,1785.0388,1785.0388,1785.0388,0.0,0.0,2017-07-31,LR,LRN17
2015-12-16,1770.7585,1770.7585,1770.7585,1770.7585,0.0,0.0,2017-07-31,LR,LRN17
2015-12-17,1797.8511,1797.8511,1797.8511,1797.8511,0.0,0.0,2017-07-31,LR,LRN17
2015-12-18,1787.064,1787.064,1787.064,1787.064,8.0,6.0,2017-07-31,LR,LRN17
2015-12-21,1770.4443,1770.4443,1770.4443,1770.4443,0.0,9.0,2017-07-31,LR,LRN17
2015-12-22,1770.9754,1770.9754,1770.9754,1770.9754,0.0,9.0,2017-07-31,LR,LRN17
2015-12-23,1757.516,1757.516,1757.516,1757.516,0.0,9.0,2017-07-31,LR,LRN17
2015-12-24,1752.9465,1752.9465,1752.9465,1752.9465,0.0,8.0,2017-07-31,LR,LRN17
2015-12-29,1734.8912,1734.8912,1734.8912,1734.8912,0.0,9.0,2017-07-31,LR,LRN17
2015-12-30,1709.3883,1709.3883,1709.3883,1709.3883,0.0,8.0,2017-07-31,LR,LRN17
2015-12-31,1702.0379,1702.0379,1702.0379,1702.0379,0.0,10.0,2017-07-31,LR,LRN17
2016-01-04,1706.6334,1706.6334,1706.6334,1706.6334,0.0,9.0,2017-07-31,LR,LRN17
2016-01-05,1707.6574,1707.6574,1707.6574,1707.6574,0.0,8.0,2017-07-31,LR,LRN17
2016-01-06,1724.2217,1724.2217,1724.2217,1724.2217,0.0,7.0,2017-07-31,LR,LRN17
2016-01-07,1716.98,1716.98,1716.98,1716.98,0.0,8.0,2017-07-31,LR,LRN17
2016-01-08,1737.4121,1737.4121,1737.4121,1737.4121,0.0,7.0,2017-07-31,LR,LRN17
2016-01-11,1745.7517,1745.7517,1745.7517,1745.7517,2.0,9.0,2017-07-31,LR,LRN17
2016-01-12,1708.3926,1708.3926,1708.3926,1708.3926,0.0,8.0,2017-07-31,LR,LRN17
