,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-02-01,1812.9482,1812.9482,1812.9482,1812.9482,0.0,0.0,2019-09-24,LR,LRU19
2018-02-02,1815.8489,1815.8489,1815.8489,1815.8489,0.0,0.0,2019-09-24,LR,LRU19
2018-02-05,1786.7953,1786.7953,1786.7953,1786.7953,0.0,0.0,2019-09-24,LR,LRU19
2018-02-06,1793.4064,1793.4064,1793.4064,1793.4064,0.0,0.0,2019-09-24,LR,LRU19
2018-02-07,1767.0433,1767.0433,1767.0433,1767.0433,0.0,0.0,2019-09-24,LR,LRU19
2018-02-08,1784.3603,1784.3603,1784.3603,1784.3603,0.0,0.0,2019-09-24,LR,LRU19
2018-02-09,1768.3011,1768.3011,1768.3011,1768.3011,0.0,0.0,2019-09-24,LR,LRU19
2018-02-12,1736.2949,1736.2949,1736.2949,1736.2949,0.0,0.0,2019-09-24,LR,LRU19
2018-02-13,1738.8993,1738.8993,1738.8993,1738.8993,0.0,0.0,2019-09-24,LR,LRU19
2018-02-14,1704.1213,1704.1213,1704.1213,1704.1213,0.0,0.0,2019-09-24,LR,LRU19
2018-02-15,1681.7973,1681.7973,1681.7973,1681.7973,0.0,0.0,2019-09-24,LR,LRU19
2018-02-16,1656.9067,1656.9067,1656.9067,1656.9067,0.0,0.0,2019-09-24,LR,LRU19
2018-02-19,1687.2281,1687.2281,1687.2281,1687.2281,0.0,0.0,2019-09-24,LR,LRU19
2018-02-20,1681.3228,1681.3228,1681.3228,1681.3228,0.0,0.0,2019-09-24,LR,LRU19
2018-02-21,1692.2514,1692.2514,1692.2514,1692.2514,0.0,0.0,2019-09-24,LR,LRU19
2018-02-22,1724.7426,1724.7426,1724.7426,1724.7426,0.0,0.0,2019-09-24,LR,LRU19
2018-02-23,1756.6503,1756.6503,1756.6503,1756.6503,0.0,0.0,2019-09-24,LR,LRU19
2018-02-26,1722.9226,1722.9226,1722.9226,1722.9226,0.0,0.0,2019-09-24,LR,LRU19
2018-02-27,1714.308,1714.308,1714.308,1714.308,0.0,0.0,2019-09-24,LR,LRU19
2018-02-28,1707.6222,1707.6222,1707.6222,1707.6222,0.0,0.0,2019-09-24,LR,LRU19
2018-03-01,1673.4698,1673.4698,1673.4698,1673.4698,0.0,0.0,2019-09-24,LR,LRU19
2018-03-02,1658.5759,1658.5759,1658.5759,1658.5759,0.0,0.0,2019-09-24,LR,LRU19
2018-03-05,1636.5168,1636.5168,1636.5168,1636.5168,3.0,3.0,2019-09-24,LR,LRU19
2018-03-06,1666.956,1666.956,1666.956,1666.956,0.0,9.0,2019-09-24,LR,LRU19
2018-03-07,1687.6263,1687.6263,1687.6263,1687.6263,15.0,26.0,2019-09-24,LR,LRU19
2018-03-08,1704.8401,1704.8401,1704.8401,1704.8401,0.0,23.0,2019-09-24,LR,LRU19
2018-03-09,1711.3185,1711.3185,1711.3185,1711.3185,0.0,26.0,2019-09-24,LR,LRU19
2018-03-12,1691.6383,1691.6383,1691.6383,1691.6383,1.0,27.0,2019-09-24,LR,LRU19
2018-03-13,1704.3256,1704.3256,1704.3256,1704.3256,0.0,23.0,2019-09-24,LR,LRU19
2018-03-14,1715.915,1715.915,1715.915,1715.915,0.0,21.0,2019-09-24,LR,LRU19
2018-03-15,1741.6537,1741.6537,1741.6537,1741.6537,8.0,30.0,2019-09-24,LR,LRU19
2018-03-16,1742.8729,1742.8729,1742.8729,1742.8729,0.0,28.0,2019-09-24,LR,LRU19
2018-03-19,1730.3242,1730.3242,1730.3242,1730.3242,0.0,25.0,2019-09-24,LR,LRU19
2018-03-20,1707.3109,1707.3109,1707.3109,1707.3109,0.0,34.0,2019-09-24,LR,LRU19
2018-03-21,1690.75,1690.75,1690.75,1690.75,0.0,29.0,2019-09-24,LR,LRU19
2018-03-22,1682.1272,1682.1272,1682.1272,1682.1272,5.0,40.0,2019-09-24,LR,LRU19
2018-03-23,1690.706,1690.706,1690.706,1690.706,2.0,30.0,2019-09-24,LR,LRU19
2018-03-26,1674.8134,1674.8134,1674.8134,1674.8134,2.0,31.0,2019-09-24,LR,LRU19
2018-03-27,1683.3549,1683.3549,1683.3549,1683.3549,0.0,43.0,2019-09-24,LR,LRU19
2018-03-28,1693.6234,1693.6234,1693.6234,1693.6234,0.0,33.0,2019-09-24,LR,LRU19
