,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-03-02,2172.4924,2172.4924,2172.4924,2172.4924,0.0,0.0,2018-11-30,LR,LRX18
2017-03-03,2197.6933,2197.6933,2197.6933,2197.6933,0.0,0.0,2018-11-30,LR,LRX18
2017-03-06,2177.9141,2177.9141,2177.9141,2177.9141,0.0,0.0,2018-11-30,LR,LRX18
2017-03-10,2160.7086,2160.7086,2160.7086,2160.7086,0.0,0.0,2018-11-30,LR,LRX18
2017-03-16,2133.9158,2133.9158,2133.9158,2133.9158,0.0,0.0,2018-11-30,LR,LRX18
2017-03-20,2108.0954,2108.0954,2108.0954,2108.0954,0.0,0.0,2018-11-30,LR,LRX18
2017-03-21,2068.8848,2068.8848,2068.8848,2068.8848,0.0,0.0,2018-11-30,LR,LRX18
2017-03-22,2096.6079,2096.6079,2096.6079,2096.6079,0.0,0.0,2018-11-30,LR,LRX18
2017-03-27,2072.4969,2072.4969,2072.4969,2072.4969,0.0,0.0,2018-11-30,LR,LRX18
2017-03-31,2072.9114,2072.9114,2072.9114,2072.9114,0.0,0.0,2018-11-30,LR,LRX18
2017-04-03,2078.5083,2078.5083,2078.5083,2078.5083,0.0,0.0,2018-11-30,LR,LRX18
2017-04-04,2047.3307,2047.3307,2047.3307,2047.3307,0.0,0.0,2018-11-30,LR,LRX18
2017-04-05,2017.4397,2017.4397,2017.4397,2017.4397,0.0,0.0,2018-11-30,LR,LRX18
2017-04-06,2045.8856,2045.8856,2045.8856,2045.8856,0.0,0.0,2018-11-30,LR,LRX18
2017-04-07,2064.7077,2064.7077,2064.7077,2064.7077,0.0,0.0,2018-11-30,LR,LRX18
2017-04-10,2095.0589,2095.0589,2095.0589,2095.0589,0.0,0.0,2018-11-30,LR,LRX18
2017-04-11,2064.8901,2064.8901,2064.8901,2064.8901,0.0,0.0,2018-11-30,LR,LRX18
2017-04-12,2053.9462,2053.9462,2053.9462,2053.9462,0.0,0.0,2018-11-30,LR,LRX18
2017-04-13,2095.4359,2095.4359,2095.4359,2095.4359,0.0,0.0,2018-11-30,LR,LRX18
2017-04-18,2071.7575,2071.7575,2071.7575,2071.7575,0.0,0.0,2018-11-30,LR,LRX18
2017-04-19,2080.2517,2080.2517,2080.2517,2080.2517,0.0,0.0,2018-11-30,LR,LRX18
2017-04-20,2040.9349,2040.9349,2040.9349,2040.9349,0.0,0.0,2018-11-30,LR,LRX18
2017-04-21,2055.4255,2055.4255,2055.4255,2055.4255,0.0,0.0,2018-11-30,LR,LRX18
2017-04-24,2080.0906,2080.0906,2080.0906,2080.0906,0.0,0.0,2018-11-30,LR,LRX18
2017-04-25,2067.194,2067.194,2067.194,2067.194,0.0,0.0,2018-11-30,LR,LRX18
2017-04-26,2071.1217,2071.1217,2071.1217,2071.1217,0.0,0.0,2018-11-30,LR,LRX18
