,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-07-18,488.6794,488.6794,488.6794,488.6794,0.0,0.0,2018-02-13,LS,LSH18
2016-07-19,485.2586,485.2586,485.2586,485.2586,0.0,0.0,2018-02-13,LS,LSH18
2016-07-20,476.2328,476.2328,476.2328,476.2328,0.0,0.0,2018-02-13,LS,LSH18
2016-07-21,482.1381,482.1381,482.1381,482.1381,0.0,0.0,2018-02-13,LS,LSH18
2016-07-22,491.4916,491.4916,491.4916,491.4916,0.0,0.0,2018-02-13,LS,LSH18
2016-07-25,496.2591,496.2591,496.2591,496.2591,0.0,0.0,2018-02-13,LS,LSH18
2016-07-26,493.6289,493.6289,493.6289,493.6289,0.0,0.0,2018-02-13,LS,LSH18
2016-07-27,499.5524,499.5524,499.5524,499.5524,123.0,133.0,2018-02-13,LS,LSH18
2016-07-28,508.1947,508.1947,508.1947,508.1947,0.0,114.0,2018-02-13,LS,LSH18
2016-07-29,516.0717,516.0717,516.0717,516.0717,1.0,110.0,2018-02-13,LS,LSH18
2016-08-01,518.5488,518.5488,518.5488,518.5488,106.0,100.0,2018-02-13,LS,LSH18
2016-08-02,526.5345,526.5345,526.5345,526.5345,0.0,131.0,2018-02-13,LS,LSH18
2016-08-03,527.4823,527.4823,527.4823,527.4823,1.0,104.0,2018-02-13,LS,LSH18
2016-08-04,516.2469,516.2469,516.2469,516.2469,0.0,119.0,2018-02-13,LS,LSH18
2016-08-05,508.2967,508.2967,508.2967,508.2967,0.0,130.0,2018-02-13,LS,LSH18
2016-08-08,514.2946,514.2946,514.2946,514.2946,0.0,103.0,2018-02-13,LS,LSH18
2016-08-09,503.4944,503.4944,503.4944,503.4944,0.0,116.0,2018-02-13,LS,LSH18
2016-08-10,512.4063,512.4063,512.4063,512.4063,14.0,121.0,2018-02-13,LS,LSH18
2016-08-11,521.5784,521.5784,521.5784,521.5784,0.0,106.0,2018-02-13,LS,LSH18
2016-08-12,520.7439,520.7439,520.7439,520.7439,0.0,107.0,2018-02-13,LS,LSH18
2016-08-15,519.0775,519.0775,519.0775,519.0775,19.0,117.0,2018-02-13,LS,LSH18
2016-08-16,513.9905,513.9905,513.9905,513.9905,0.0,117.0,2018-02-13,LS,LSH18
2016-08-17,518.1024,518.1024,518.1024,518.1024,0.0,127.0,2018-02-13,LS,LSH18
2016-08-18,527.0656,527.0656,527.0656,527.0656,0.0,161.0,2018-02-13,LS,LSH18
2016-08-19,524.114,524.114,524.114,524.114,0.0,121.0,2018-02-13,LS,LSH18
2016-08-22,524.7953,524.7953,524.7953,524.7953,0.0,148.0,2018-02-13,LS,LSH18
2016-08-23,517.0808,517.0808,517.0808,517.0808,0.0,148.0,2018-02-13,LS,LSH18
2016-08-24,516.7706,516.7706,516.7706,516.7706,0.0,130.0,2018-02-13,LS,LSH18
2016-08-25,523.2819,523.2819,523.2819,523.2819,0.0,127.0,2018-02-13,LS,LSH18
2016-08-26,527.7298,527.7298,527.7298,527.7298,0.0,127.0,2018-02-13,LS,LSH18
2016-08-30,521.8192,521.8192,521.8192,521.8192,0.0,123.0,2018-02-13,LS,LSH18
2016-08-31,520.3581,520.3581,520.3581,520.3581,28.0,164.0,2018-02-13,LS,LSH18
2016-09-01,517.9124,517.9124,517.9124,517.9124,6.0,137.0,2018-02-13,LS,LSH18
2016-09-02,524.8006,524.8006,524.8006,524.8006,0.0,198.0,2018-02-13,LS,LSH18
2016-09-05,514.9343,514.9343,514.9343,514.9343,0.0,154.0,2018-02-13,LS,LSH18
2016-09-06,523.7397,523.7397,523.7397,523.7397,0.0,166.0,2018-02-13,LS,LSH18
2016-09-07,526.6726,526.6726,526.6726,526.6726,0.0,156.0,2018-02-13,LS,LSH18
2016-09-08,529.2006,529.2006,529.2006,529.2006,0.0,137.0,2018-02-13,LS,LSH18
2016-09-09,524.5436,524.5436,524.5436,524.5436,0.0,173.0,2018-02-13,LS,LSH18
2016-09-12,535.1918,535.1918,535.1918,535.1918,0.0,197.0,2018-02-13,LS,LSH18
2016-09-13,538.1354,538.1354,538.1354,538.1354,13.0,162.0,2018-02-13,LS,LSH18
2016-09-14,529.31,529.31,529.31,529.31,29.0,175.0,2018-02-13,LS,LSH18
2016-09-15,539.5786,539.5786,539.5786,539.5786,0.0,202.0,2018-02-13,LS,LSH18
2016-09-16,527.8697,527.8697,527.8697,527.8697,17.0,224.0,2018-02-13,LS,LSH18
2016-09-19,529.1894,529.1894,529.1894,529.1894,0.0,190.0,2018-02-13,LS,LSH18
2016-09-20,525.3263,525.3263,525.3263,525.3263,58.0,220.0,2018-02-13,LS,LSH18
2016-09-21,533.8366,533.8366,533.8366,533.8366,59.0,341.0,2018-02-13,LS,LSH18
2016-09-22,526.3629,526.3629,526.3629,526.3629,90.0,296.0,2018-02-13,LS,LSH18
2016-09-23,521.573,521.573,521.573,521.573,0.0,328.0,2018-02-13,LS,LSH18
2016-09-26,520.4255,520.4255,520.4255,520.4255,5.0,392.0,2018-02-13,LS,LSH18
2016-09-27,517.5111,517.5111,517.5111,517.5111,92.0,369.0,2018-02-13,LS,LSH18
2016-09-28,515.4928,515.4928,515.4928,515.4928,89.0,423.0,2018-02-13,LS,LSH18
2016-09-29,504.1004,504.1004,504.1004,504.1004,15.0,406.0,2018-02-13,LS,LSH18
2016-09-30,499.4627,499.4627,499.4627,499.4627,93.0,513.0,2018-02-13,LS,LSH18
2016-10-03,508.0535,508.0535,508.0535,508.0535,172.0,699.0,2018-02-13,LS,LSH18
2016-10-04,499.6198,499.6198,499.6198,499.6198,1.0,640.0,2018-02-13,LS,LSH18
2016-10-05,500.3193,500.3193,500.3193,500.3193,23.0,630.0,2018-02-13,LS,LSH18
2016-10-06,508.6746,508.6746,508.6746,508.6746,0.0,776.0,2018-02-13,LS,LSH18
2016-10-07,501.4006,501.4006,501.4006,501.4006,0.0,729.0,2018-02-13,LS,LSH18
2016-10-10,490.5202,490.5202,490.5202,490.5202,0.0,743.0,2018-02-13,LS,LSH18
2016-10-11,483.4567,483.4567,483.4567,483.4567,3.0,657.0,2018-02-13,LS,LSH18
2016-10-12,492.304,492.304,492.304,492.304,33.0,697.0,2018-02-13,LS,LSH18
2016-10-13,493.7809,493.7809,493.7809,493.7809,25.0,793.0,2018-02-13,LS,LSH18
2016-10-14,488.7443,488.7443,488.7443,488.7443,0.0,559.0,2018-02-13,LS,LSH18
2016-10-17,488.4511,488.4511,488.4511,488.4511,6.0,584.0,2018-02-13,LS,LSH18
2016-10-18,492.896,492.896,492.896,492.896,0.0,637.0,2018-02-13,LS,LSH18
2016-10-19,501.0288,501.0288,501.0288,501.0288,2.0,545.0,2018-02-13,LS,LSH18
2016-10-20,511.9011,511.9011,511.9011,511.9011,13.0,571.0,2018-02-13,LS,LSH18
2016-10-21,506.6285,506.6285,506.6285,506.6285,17.0,796.0,2018-02-13,LS,LSH18
2016-10-24,498.1678,498.1678,498.1678,498.1678,307.0,798.0,2018-02-13,LS,LSH18
2016-10-25,499.7619,499.7619,499.7619,499.7619,25.0,696.0,2018-02-13,LS,LSH18
2016-10-26,502.0608,502.0608,502.0608,502.0608,0.0,703.0,2018-02-13,LS,LSH18
2016-10-27,511.4493,511.4493,511.4493,511.4493,89.0,766.0,2018-02-13,LS,LSH18
2016-10-28,504.2379,504.2379,504.2379,504.2379,35.0,773.0,2018-02-13,LS,LSH18
2016-10-31,514.0201,514.0201,514.0201,514.0201,27.0,718.0,2018-02-13,LS,LSH18
2016-11-01,506.8752,506.8752,506.8752,506.8752,5.0,636.0,2018-02-13,LS,LSH18
2016-11-02,503.0229,503.0229,503.0229,503.0229,38.0,874.0,2018-02-13,LS,LSH18
2016-11-03,511.9767,511.9767,511.9767,511.9767,0.0,767.0,2018-02-13,LS,LSH18
2016-11-04,511.9767,511.9767,511.9767,511.9767,26.0,646.0,2018-02-13,LS,LSH18
2016-11-07,507.9833,507.9833,507.9833,507.9833,104.0,817.0,2018-02-13,LS,LSH18
2016-11-08,501.9383,501.9383,501.9383,501.9383,43.0,734.0,2018-02-13,LS,LSH18
2016-11-09,492.7528,492.7528,492.7528,492.7528,0.0,782.0,2018-02-13,LS,LSH18
2016-11-10,484.8688,484.8688,484.8688,484.8688,12.0,663.0,2018-02-13,LS,LSH18
2016-11-11,475.3169,475.3169,475.3169,475.3169,8.0,700.0,2018-02-13,LS,LSH18
2016-11-14,473.7484,473.7484,473.7484,473.7484,0.0,969.0,2018-02-13,LS,LSH18
2016-11-15,470.1005,470.1005,470.1005,470.1005,116.0,699.0,2018-02-13,LS,LSH18
2016-11-16,473.6263,473.6263,473.6263,473.6263,62.0,815.0,2018-02-13,LS,LSH18
2016-11-17,482.7199,482.7199,482.7199,482.7199,20.0,782.0,2018-02-13,LS,LSH18
2016-11-18,493.0501,493.0501,493.0501,493.0501,29.0,804.0,2018-02-13,LS,LSH18
2016-11-21,493.7404,493.7404,493.7404,493.7404,0.0,838.0,2018-02-13,LS,LSH18
2016-11-22,483.6187,483.6187,483.6187,483.6187,97.0,842.0,2018-02-13,LS,LSH18
2016-11-23,490.6795,490.6795,490.6795,490.6795,20.0,955.0,2018-02-13,LS,LSH18
2016-11-24,500.8856,500.8856,500.8856,500.8856,0.0,776.0,2018-02-13,LS,LSH18
2016-11-25,506.0948,506.0948,506.0948,506.0948,2.0,965.0,2018-02-13,LS,LSH18
2016-11-28,495.4668,495.4668,495.4668,495.4668,0.0,1097.0,2018-02-13,LS,LSH18
2016-11-29,495.665,495.665,495.665,495.665,214.0,806.0,2018-02-13,LS,LSH18
2016-11-30,494.3763,494.3763,494.3763,494.3763,28.0,1125.0,2018-02-13,LS,LSH18
2016-12-01,497.5403,497.5403,497.5403,497.5403,172.0,1297.0,2018-02-13,LS,LSH18
2016-12-02,491.9181,491.9181,491.9181,491.9181,386.0,1158.0,2018-02-13,LS,LSH18
2016-12-05,501.3629,501.3629,501.3629,501.3629,48.0,1495.0,2018-02-13,LS,LSH18
2016-12-06,496.4997,496.4997,496.4997,496.4997,228.0,1683.0,2018-02-13,LS,LSH18
2016-12-07,488.2578,488.2578,488.2578,488.2578,476.0,1504.0,2018-02-13,LS,LSH18
2016-12-08,492.8474,492.8474,492.8474,492.8474,88.0,2032.0,2018-02-13,LS,LSH18
2016-12-09,487.7711,487.7711,487.7711,487.7711,673.0,2612.0,2018-02-13,LS,LSH18
2016-12-12,477.5767,477.5767,477.5767,477.5767,170.0,2125.0,2018-02-13,LS,LSH18
2016-12-13,483.5464,483.5464,483.5464,483.5464,85.0,2567.0,2018-02-13,LS,LSH18
2016-12-14,486.3993,486.3993,486.3993,486.3993,250.0,2621.0,2018-02-13,LS,LSH18
2016-12-15,483.2863,483.2863,483.2863,483.2863,64.0,2564.0,2018-02-13,LS,LSH18
2016-12-16,489.5207,489.5207,489.5207,489.5207,138.0,2169.0,2018-02-13,LS,LSH18
2016-12-19,492.8984,492.8984,492.8984,492.8984,114.0,2155.0,2018-02-13,LS,LSH18
2016-12-20,500.5876,500.5876,500.5876,500.5876,148.0,3182.0,2018-02-13,LS,LSH18
2016-12-21,504.2919,504.2919,504.2919,504.2919,90.0,2532.0,2018-02-13,LS,LSH18
2016-12-22,494.7104,494.7104,494.7104,494.7104,115.0,3281.0,2018-02-13,LS,LSH18
2016-12-23,493.1273,493.1273,493.1273,493.1273,0.0,2590.0,2018-02-13,LS,LSH18
2016-12-28,487.9495,487.9495,487.9495,487.9495,3.0,2934.0,2018-02-13,LS,LSH18
