,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-16,513.5998,513.5998,513.5998,513.5998,0.0,0.0,2018-04-13,LS,LSK18
2016-09-19,512.1104,512.1104,512.1104,512.1104,0.0,0.0,2018-04-13,LS,LSK18
2016-09-20,515.2855,515.2855,515.2855,515.2855,20.0,26.0,2018-04-13,LS,LSK18
2016-09-21,515.2855,515.2855,515.2855,515.2855,180.0,240.0,2018-04-13,LS,LSK18
2016-09-22,507.7623,507.7623,507.7623,507.7623,99.0,269.0,2018-04-13,LS,LSK18
2016-09-23,501.1614,501.1614,501.1614,501.1614,4.0,335.0,2018-04-13,LS,LSK18
2016-09-26,500.9108,500.9108,500.9108,500.9108,0.0,384.0,2018-04-13,LS,LSK18
2016-09-27,493.9481,493.9481,493.9481,493.9481,56.0,386.0,2018-04-13,LS,LSK18
2016-09-28,502.9874,502.9874,502.9874,502.9874,53.0,466.0,2018-04-13,LS,LSK18
2016-09-29,510.7334,510.7334,510.7334,510.7334,29.0,448.0,2018-04-13,LS,LSK18
2016-09-30,499.8037,499.8037,499.8037,499.8037,24.0,414.0,2018-04-13,LS,LSK18
2016-10-03,506.651,506.651,506.651,506.651,0.0,419.0,2018-04-13,LS,LSK18
2016-10-04,504.4724,504.4724,504.4724,504.4724,0.0,391.0,2018-04-13,LS,LSK18
2016-10-05,499.5286,499.5286,499.5286,499.5286,9.0,409.0,2018-04-13,LS,LSK18
2016-10-06,501.8764,501.8764,501.8764,501.8764,0.0,373.0,2018-04-13,LS,LSK18
2016-10-07,510.0068,510.0068,510.0068,510.0068,0.0,451.0,2018-04-13,LS,LSK18
2016-10-10,507.6608,507.6608,507.6608,507.6608,0.0,538.0,2018-04-13,LS,LSK18
2016-10-11,507.1024,507.1024,507.1024,507.1024,3.0,478.0,2018-04-13,LS,LSK18
2016-10-12,505.429,505.429,505.429,505.429,0.0,455.0,2018-04-13,LS,LSK18
2016-10-13,503.8116,503.8116,503.8116,503.8116,0.0,428.0,2018-04-13,LS,LSK18
2016-10-14,513.2329,513.2329,513.2329,513.2329,0.0,446.0,2018-04-13,LS,LSK18
2016-10-17,509.7429,509.7429,509.7429,509.7429,39.0,452.0,2018-04-13,LS,LSK18
2016-10-18,504.9513,504.9513,504.9513,504.9513,24.0,525.0,2018-04-13,LS,LSK18
2016-10-19,502.6285,502.6285,502.6285,502.6285,26.0,532.0,2018-04-13,LS,LSK18
2016-10-20,509.7658,509.7658,509.7658,509.7658,0.0,407.0,2018-04-13,LS,LSK18
2016-10-21,501.6095,501.6095,501.6095,501.6095,0.0,502.0,2018-04-13,LS,LSK18
2016-10-24,501.1581,501.1581,501.1581,501.1581,133.0,544.0,2018-04-13,LS,LSK18
2016-10-25,508.8759,508.8759,508.8759,508.8759,9.0,589.0,2018-04-13,LS,LSK18
2016-10-26,503.1256,503.1256,503.1256,503.1256,0.0,404.0,2018-04-13,LS,LSK18
2016-10-27,494.7234,494.7234,494.7234,494.7234,20.0,493.0,2018-04-13,LS,LSK18
2016-10-28,488.6878,488.6878,488.6878,488.6878,82.0,681.0,2018-04-13,LS,LSK18
2016-10-31,483.8009,483.8009,483.8009,483.8009,14.0,517.0,2018-04-13,LS,LSK18
2016-11-01,477.4147,477.4147,477.4147,477.4147,0.0,619.0,2018-04-13,LS,LSK18
2016-11-02,473.7863,473.7863,473.7863,473.7863,13.0,631.0,2018-04-13,LS,LSK18
2016-11-03,477.0554,477.0554,477.0554,477.0554,0.0,697.0,2018-04-13,LS,LSK18
2016-11-04,481.9214,481.9214,481.9214,481.9214,22.0,714.0,2018-04-13,LS,LSK18
