,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-16,404.633,404.633,404.633,404.633,0.0,0.0,2017-07-14,LS,LSQ17
2015-11-17,406.2515,406.2515,406.2515,406.2515,5.0,6.0,2017-07-14,LS,LSQ17
2015-11-18,405.2359,405.2359,405.2359,405.2359,89.0,89.0,2017-07-14,LS,LSQ17
2015-11-19,401.1835,401.1835,401.1835,401.1835,1.0,79.0,2017-07-14,LS,LSQ17
2015-11-20,400.0602,400.0602,400.0602,400.0602,0.0,74.0,2017-07-14,LS,LSQ17
2015-11-23,398.1399,398.1399,398.1399,398.1399,0.0,82.0,2017-07-14,LS,LSQ17
2015-11-24,395.7511,395.7511,395.7511,395.7511,0.0,92.0,2017-07-14,LS,LSQ17
2015-11-25,387.4403,387.4403,387.4403,387.4403,17.0,66.0,2017-07-14,LS,LSQ17
2015-11-26,391.5084,391.5084,391.5084,391.5084,0.0,81.0,2017-07-14,LS,LSQ17
2015-11-27,398.5947,398.5947,398.5947,398.5947,18.0,83.0,2017-07-14,LS,LSQ17
2015-11-30,404.4939,404.4939,404.4939,404.4939,0.0,68.0,2017-07-14,LS,LSQ17
2015-12-01,404.8984,404.8984,404.8984,404.8984,4.0,69.0,2017-07-14,LS,LSQ17
2015-12-02,397.7317,397.7317,397.7317,397.7317,18.0,77.0,2017-07-14,LS,LSQ17
2015-12-03,391.2487,391.2487,391.2487,391.2487,9.0,114.0,2017-07-14,LS,LSQ17
2015-12-04,391.9529,391.9529,391.9529,391.9529,0.0,100.0,2017-07-14,LS,LSQ17
2015-12-07,388.151,388.151,388.151,388.151,6.0,97.0,2017-07-14,LS,LSQ17
2015-12-08,384.5412,384.5412,384.5412,384.5412,43.0,111.0,2017-07-14,LS,LSQ17
2015-12-09,389.8863,389.8863,389.8863,389.8863,9.0,142.0,2017-07-14,LS,LSQ17
2015-12-10,388.8726,388.8726,388.8726,388.8726,55.0,197.0,2017-07-14,LS,LSQ17
2015-12-11,396.5334,396.5334,396.5334,396.5334,4.0,158.0,2017-07-14,LS,LSQ17
2015-12-14,403.5124,403.5124,403.5124,403.5124,15.0,205.0,2017-07-14,LS,LSQ17
2015-12-15,412.9142,412.9142,412.9142,412.9142,0.0,190.0,2017-07-14,LS,LSQ17
2015-12-16,417.4975,417.4975,417.4975,417.4975,7.0,201.0,2017-07-14,LS,LSQ17
2015-12-17,411.1933,411.1933,411.1933,411.1933,2.0,195.0,2017-07-14,LS,LSQ17
2015-12-18,419.9517,419.9517,419.9517,419.9517,2.0,153.0,2017-07-14,LS,LSQ17
2015-12-21,416.97,416.97,416.97,416.97,0.0,153.0,2017-07-14,LS,LSQ17
2015-12-22,419.3884,419.3884,419.3884,419.3884,0.0,173.0,2017-07-14,LS,LSQ17
2015-12-23,410.6232,410.6232,410.6232,410.6232,0.0,160.0,2017-07-14,LS,LSQ17
2015-12-24,413.0459,413.0459,413.0459,413.0459,0.0,151.0,2017-07-14,LS,LSQ17
2015-12-29,413.2937,413.2937,413.2937,413.2937,0.0,188.0,2017-07-14,LS,LSQ17
2015-12-30,420.2784,420.2784,420.2784,420.2784,0.0,153.0,2017-07-14,LS,LSQ17
2015-12-31,410.4439,410.4439,410.4439,410.4439,0.0,188.0,2017-07-14,LS,LSQ17
2016-01-04,415.4513,415.4513,415.4513,415.4513,13.0,205.0,2017-07-14,LS,LSQ17
2016-01-05,423.3033,423.3033,423.3033,423.3033,28.0,248.0,2017-07-14,LS,LSQ17
2016-01-06,416.6151,416.6151,416.6151,416.6151,12.0,258.0,2017-07-14,LS,LSQ17
2016-01-07,424.1142,424.1142,424.1142,424.1142,29.0,202.0,2017-07-14,LS,LSQ17
2016-01-08,428.5674,428.5674,428.5674,428.5674,72.0,320.0,2017-07-14,LS,LSQ17
2016-01-11,418.9675,418.9675,418.9675,418.9675,49.0,314.0,2017-07-14,LS,LSQ17
2016-01-12,422.2773,422.2773,422.2773,422.2773,18.0,402.0,2017-07-14,LS,LSQ17
2016-01-13,418.519,418.519,418.519,418.519,7.0,315.0,2017-07-14,LS,LSQ17
2016-01-14,411.9901,411.9901,411.9901,411.9901,10.0,390.0,2017-07-14,LS,LSQ17
2016-01-15,410.1361,410.1361,410.1361,410.1361,23.0,360.0,2017-07-14,LS,LSQ17
2016-01-18,412.802,412.802,412.802,412.802,0.0,390.0,2017-07-14,LS,LSQ17
