,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-02-14,485.5017,485.5017,485.5017,485.5017,0.0,0.0,2018-09-14,LS,LSV18
2017-02-15,477.3453,477.3453,477.3453,477.3453,0.0,0.0,2018-09-14,LS,LSV18
2017-02-16,483.2166,483.2166,483.2166,483.2166,0.0,0.0,2018-09-14,LS,LSV18
2017-02-17,481.6703,481.6703,481.6703,481.6703,0.0,0.0,2018-09-14,LS,LSV18
2017-02-20,475.9866,475.9866,475.9866,475.9866,0.0,0.0,2018-09-14,LS,LSV18
2017-02-21,465.5625,465.5625,465.5625,465.5625,0.0,0.0,2018-09-14,LS,LSV18
2017-02-22,473.1512,473.1512,473.1512,473.1512,0.0,0.0,2018-09-14,LS,LSV18
2017-02-23,465.4388,465.4388,465.4388,465.4388,0.0,0.0,2018-09-14,LS,LSV18
2017-02-24,463.8563,463.8563,463.8563,463.8563,0.0,0.0,2018-09-14,LS,LSV18
2017-02-27,468.4021,468.4021,468.4021,468.4021,0.0,0.0,2018-09-14,LS,LSV18
2017-02-28,466.6222,466.6222,466.6222,466.6222,0.0,0.0,2018-09-14,LS,LSV18
2017-03-01,472.8283,472.8283,472.8283,472.8283,0.0,0.0,2018-09-14,LS,LSV18
2017-03-02,468.1,468.1,468.1,468.1,1.0,1.0,2018-09-14,LS,LSV18
2017-03-03,458.6444,458.6444,458.6444,458.6444,1.0,1.0,2018-09-14,LS,LSV18
2017-03-06,461.1669,461.1669,461.1669,461.1669,42.0,42.0,2018-09-14,LS,LSV18
2017-03-07,462.0431,462.0431,462.0431,462.0431,10.0,45.0,2018-09-14,LS,LSV18
2017-03-08,470.7295,470.7295,470.7295,470.7295,9.0,58.0,2018-09-14,LS,LSV18
2017-03-09,475.8134,475.8134,475.8134,475.8134,32.0,95.0,2018-09-14,LS,LSV18
2017-03-10,476.6699,476.6699,476.6699,476.6699,24.0,92.0,2018-09-14,LS,LSV18
2017-03-13,475.6212,475.6212,475.6212,475.6212,0.0,101.0,2018-09-14,LS,LSV18
2017-03-14,481.3287,481.3287,481.3287,481.3287,75.0,174.0,2018-09-14,LS,LSV18
2017-03-15,476.371,476.371,476.371,476.371,50.0,215.0,2018-09-14,LS,LSV18
2017-03-16,480.4202,480.4202,480.4202,480.4202,8.0,232.0,2018-09-14,LS,LSV18
2017-03-17,479.1711,479.1711,479.1711,479.1711,20.0,212.0,2018-09-14,LS,LSV18
2017-03-20,468.5335,468.5335,468.5335,468.5335,0.0,276.0,2018-09-14,LS,LSV18
2017-03-21,460.3342,460.3342,460.3342,460.3342,38.0,324.0,2018-09-14,LS,LSV18
2017-03-22,456.3293,456.3293,456.3293,456.3293,36.0,375.0,2018-09-14,LS,LSV18
2017-03-23,449.028,449.028,449.028,449.028,3.0,299.0,2018-09-14,LS,LSV18
2017-03-24,449.3423,449.3423,449.3423,449.3423,6.0,370.0,2018-09-14,LS,LSV18
2017-03-27,443.8603,443.8603,443.8603,443.8603,0.0,356.0,2018-09-14,LS,LSV18
2017-03-28,443.9491,443.9491,443.9491,443.9491,13.0,373.0,2018-09-14,LS,LSV18
2017-03-29,436.9347,436.9347,436.9347,436.9347,22.0,375.0,2018-09-14,LS,LSV18
2017-03-30,431.2109,431.2109,431.2109,431.2109,8.0,302.0,2018-09-14,LS,LSV18
2017-03-31,438.1103,438.1103,438.1103,438.1103,0.0,408.0,2018-09-14,LS,LSV18
2017-04-03,445.9087,445.9087,445.9087,445.9087,6.0,299.0,2018-09-14,LS,LSV18
2017-04-04,452.9095,452.9095,452.9095,452.9095,101.0,482.0,2018-09-14,LS,LSV18
2017-04-05,444.576,444.576,444.576,444.576,150.0,653.0,2018-09-14,LS,LSV18
2017-04-06,443.6424,443.6424,443.6424,443.6424,0.0,637.0,2018-09-14,LS,LSV18
2017-04-07,449.7647,449.7647,449.7647,449.7647,0.0,631.0,2018-09-14,LS,LSV18
2017-04-10,444.3675,444.3675,444.3675,444.3675,1.0,492.0,2018-09-14,LS,LSV18
2017-04-11,453.0327,453.0327,453.0327,453.0327,45.0,571.0,2018-09-14,LS,LSV18
2017-04-12,458.605,458.605,458.605,458.605,4.0,700.0,2018-09-14,LS,LSV18
2017-04-13,449.1577,449.1577,449.1577,449.1577,0.0,581.0,2018-09-14,LS,LSV18
2017-04-18,444.711,444.711,444.711,444.711,2.0,595.0,2018-09-14,LS,LSV18
2017-04-19,450.7146,450.7146,450.7146,450.7146,0.0,512.0,2018-09-14,LS,LSV18
2017-04-20,455.6274,455.6274,455.6274,455.6274,0.0,631.0,2018-09-14,LS,LSV18
2017-04-21,455.4451,455.4451,455.4451,455.4451,0.0,488.0,2018-09-14,LS,LSV18
2017-04-24,454.3976,454.3976,454.3976,454.3976,0.0,577.0,2018-09-14,LS,LSV18
2017-04-25,463.0766,463.0766,463.0766,463.0766,0.0,512.0,2018-09-14,LS,LSV18
2017-04-26,461.178,461.178,461.178,461.178,70.0,571.0,2018-09-14,LS,LSV18
2017-04-27,467.035,467.035,467.035,467.035,2.0,539.0,2018-09-14,LS,LSV18
2017-04-28,465.4938,465.4938,465.4938,465.4938,5.0,697.0,2018-09-14,LS,LSV18
2017-05-02,465.7265,465.7265,465.7265,465.7265,0.0,637.0,2018-09-14,LS,LSV18
2017-05-03,464.3293,464.3293,464.3293,464.3293,0.0,651.0,2018-09-14,LS,LSV18
2017-05-04,457.5037,457.5037,457.5037,457.5037,3.0,539.0,2018-09-14,LS,LSV18
2017-05-05,450.3666,450.3666,450.3666,450.3666,7.0,757.0,2018-09-14,LS,LSV18
2017-05-08,456.6717,456.6717,456.6717,456.6717,7.0,600.0,2018-09-14,LS,LSV18
2017-05-09,463.2934,463.2934,463.2934,463.2934,0.0,683.0,2018-09-14,LS,LSV18
2017-05-10,463.8957,463.8957,463.8957,463.8957,0.0,807.0,2018-09-14,LS,LSV18
2017-05-11,466.6327,466.6327,466.6327,466.6327,1.0,746.0,2018-09-14,LS,LSV18
2017-05-12,471.439,471.439,471.439,471.439,0.0,567.0,2018-09-14,LS,LSV18
2017-05-15,469.8361,469.8361,469.8361,469.8361,0.0,822.0,2018-09-14,LS,LSV18
2017-05-16,471.9973,471.9973,471.9973,471.9973,0.0,580.0,2018-09-14,LS,LSV18
2017-05-17,478.8413,478.8413,478.8413,478.8413,38.0,835.0,2018-09-14,LS,LSV18
2017-05-18,474.1965,474.1965,474.1965,474.1965,79.0,929.0,2018-09-14,LS,LSV18
2017-05-19,475.9984,475.9984,475.9984,475.9984,66.0,710.0,2018-09-14,LS,LSV18
2017-05-22,470.5244,470.5244,470.5244,470.5244,0.0,902.0,2018-09-14,LS,LSV18
2017-05-23,478.7586,478.7586,478.7586,478.7586,10.0,762.0,2018-09-14,LS,LSV18
2017-05-24,469.2313,469.2313,469.2313,469.2313,0.0,806.0,2018-09-14,LS,LSV18
2017-05-25,479.0382,479.0382,479.0382,479.0382,0.0,992.0,2018-09-14,LS,LSV18
2017-05-26,469.4574,469.4574,469.4574,469.4574,0.0,966.0,2018-09-14,LS,LSV18
2017-05-30,469.0818,469.0818,469.0818,469.0818,33.0,1103.0,2018-09-14,LS,LSV18
