,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-04-16,404.557,404.557,404.557,404.557,2.0,1.0,2016-11-15,LS,LSZ16
2015-04-17,399.6619,399.6619,399.6619,399.6619,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-20,406.1764,406.1764,406.1764,406.1764,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-21,410.0351,410.0351,410.0351,410.0351,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-22,407.4109,407.4109,407.4109,407.4109,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-23,409.9776,409.9776,409.9776,409.9776,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-24,410.3466,410.3466,410.3466,410.3466,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-27,416.3377,416.3377,416.3377,416.3377,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-28,421.0007,421.0007,421.0007,421.0007,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-29,414.9383,414.9383,414.9383,414.9383,0.0,1.0,2016-11-15,LS,LSZ16
2015-04-30,417.7599,417.7599,417.7599,417.7599,1.0,2.0,2016-11-15,LS,LSZ16
2015-05-01,422.6059,422.6059,422.6059,422.6059,0.0,2.0,2016-11-15,LS,LSZ16
2015-05-05,429.8325,429.8325,429.8325,429.8325,40.0,39.0,2016-11-15,LS,LSZ16
2015-05-06,421.9666,421.9666,421.9666,421.9666,3.0,41.0,2016-11-15,LS,LSZ16
2015-05-07,415.3839,415.3839,415.3839,415.3839,2.0,34.0,2016-11-15,LS,LSZ16
2015-05-08,408.7378,408.7378,408.7378,408.7378,0.0,34.0,2016-11-15,LS,LSZ16
2015-05-11,410.291,410.291,410.291,410.291,0.0,32.0,2016-11-15,LS,LSZ16
2015-05-12,411.4398,411.4398,411.4398,411.4398,0.0,44.0,2016-11-15,LS,LSZ16
2015-05-13,409.794,409.794,409.794,409.794,2.0,37.0,2016-11-15,LS,LSZ16
2015-05-14,406.5566,406.5566,406.5566,406.5566,1.0,40.0,2016-11-15,LS,LSZ16
2015-05-15,411.3133,411.3133,411.3133,411.3133,1.0,37.0,2016-11-15,LS,LSZ16
2015-05-18,408.9688,408.9688,408.9688,408.9688,0.0,46.0,2016-11-15,LS,LSZ16
2015-05-19,411.6271,411.6271,411.6271,411.6271,0.0,37.0,2016-11-15,LS,LSZ16
2015-05-20,415.0848,415.0848,415.0848,415.0848,1.0,52.0,2016-11-15,LS,LSZ16
2015-05-21,420.2319,420.2319,420.2319,420.2319,0.0,36.0,2016-11-15,LS,LSZ16
2015-05-22,412.6257,412.6257,412.6257,412.6257,14.0,50.0,2016-11-15,LS,LSZ16
2015-05-26,403.1353,403.1353,403.1353,403.1353,10.0,54.0,2016-11-15,LS,LSZ16
2015-05-27,408.8598,408.8598,408.8598,408.8598,0.0,72.0,2016-11-15,LS,LSZ16
2015-05-28,408.8189,408.8189,408.8189,408.8189,1.0,78.0,2016-11-15,LS,LSZ16
2015-05-29,407.8786,407.8786,407.8786,407.8786,0.0,68.0,2016-11-15,LS,LSZ16
2015-06-01,401.3525,401.3525,401.3525,401.3525,0.0,72.0,2016-11-15,LS,LSZ16
2015-06-02,404.1218,404.1218,404.1218,404.1218,0.0,55.0,2016-11-15,LS,LSZ16
2015-06-03,412.0022,412.0022,412.0022,412.0022,4.0,69.0,2016-11-15,LS,LSZ16
2015-06-04,420.2422,420.2422,420.2422,420.2422,2.0,64.0,2016-11-15,LS,LSZ16
2015-06-05,422.1333,422.1333,422.1333,422.1333,1.0,72.0,2016-11-15,LS,LSZ16
2015-06-08,424.0751,424.0751,424.0751,424.0751,0.0,57.0,2016-11-15,LS,LSZ16
2015-06-09,426.3227,426.3227,426.3227,426.3227,3.0,60.0,2016-11-15,LS,LSZ16
2015-06-10,426.1948,426.1948,426.1948,426.1948,0.0,53.0,2016-11-15,LS,LSZ16
2015-06-11,431.5222,431.5222,431.5222,431.5222,36.0,110.0,2016-11-15,LS,LSZ16
2015-06-12,436.1395,436.1395,436.1395,436.1395,14.0,107.0,2016-11-15,LS,LSZ16
2015-06-15,427.3295,427.3295,427.3295,427.3295,52.0,135.0,2016-11-15,LS,LSZ16
2015-06-16,419.723,419.723,419.723,419.723,10.0,158.0,2016-11-15,LS,LSZ16
2015-06-17,428.1594,428.1594,428.1594,428.1594,8.0,144.0,2016-11-15,LS,LSZ16
2015-06-18,427.4743,427.4743,427.4743,427.4743,2.0,148.0,2016-11-15,LS,LSZ16
2015-06-19,429.4834,429.4834,429.4834,429.4834,12.0,186.0,2016-11-15,LS,LSZ16
2015-06-22,434.7231,434.7231,434.7231,434.7231,30.0,162.0,2016-11-15,LS,LSZ16
2015-06-23,429.1152,429.1152,429.1152,429.1152,4.0,161.0,2016-11-15,LS,LSZ16
2015-06-24,431.2179,431.2179,431.2179,431.2179,1.0,186.0,2016-11-15,LS,LSZ16
2015-06-25,433.1153,433.1153,433.1153,433.1153,76.0,331.0,2016-11-15,LS,LSZ16
2015-06-26,424.4097,424.4097,424.4097,424.4097,6.0,296.0,2016-11-15,LS,LSZ16
2015-06-29,429.1631,429.1631,429.1631,429.1631,9.0,283.0,2016-11-15,LS,LSZ16
2015-06-30,438.9909,438.9909,438.9909,438.9909,2.0,244.0,2016-11-15,LS,LSZ16
2015-07-01,436.357,436.357,436.357,436.357,19.0,346.0,2016-11-15,LS,LSZ16
2015-07-02,440.4151,440.4151,440.4151,440.4151,2.0,313.0,2016-11-15,LS,LSZ16
2015-07-03,435.7907,435.7907,435.7907,435.7907,0.0,289.0,2016-11-15,LS,LSZ16
2015-07-06,439.2334,439.2334,439.2334,439.2334,5.0,243.0,2016-11-15,LS,LSZ16
2015-07-07,429.5703,429.5703,429.5703,429.5703,3.0,332.0,2016-11-15,LS,LSZ16
2015-07-08,426.6492,426.6492,426.6492,426.6492,22.0,359.0,2016-11-15,LS,LSZ16
2015-07-09,432.7076,432.7076,432.7076,432.7076,11.0,292.0,2016-11-15,LS,LSZ16
2015-07-10,429.5488,429.5488,429.5488,429.5488,3.0,281.0,2016-11-15,LS,LSZ16
2015-07-13,439.2136,439.2136,439.2136,439.2136,7.0,330.0,2016-11-15,LS,LSZ16
2015-07-14,435.1289,435.1289,435.1289,435.1289,6.0,378.0,2016-11-15,LS,LSZ16
2015-07-15,436.6083,436.6083,436.6083,436.6083,0.0,320.0,2016-11-15,LS,LSZ16
2015-07-16,431.2817,431.2817,431.2817,431.2817,8.0,360.0,2016-11-15,LS,LSZ16
2015-07-17,436.4571,436.4571,436.4571,436.4571,25.0,305.0,2016-11-15,LS,LSZ16
2015-07-20,433.2273,433.2273,433.2273,433.2273,21.0,324.0,2016-11-15,LS,LSZ16
2015-07-21,430.498,430.498,430.498,430.498,1.0,331.0,2016-11-15,LS,LSZ16
