,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-19,0.7189,0.7189,0.7189,0.7189,0.0,0.0,2019-03-18,NE,NEH19
2017-09-20,0.7252,0.7252,0.7252,0.7252,0.0,0.0,2019-03-18,NE,NEH19
2017-09-21,0.7225,0.7225,0.7225,0.7225,0.0,0.0,2019-03-18,NE,NEH19
2017-09-22,0.7153,0.7153,0.7153,0.7153,0.0,0.0,2019-03-18,NE,NEH19
2017-09-25,0.7199,0.7199,0.7199,0.7199,0.0,0.0,2019-03-18,NE,NEH19
2017-09-26,0.7249,0.7249,0.7249,0.7249,0.0,0.0,2019-03-18,NE,NEH19
2017-09-27,0.7324,0.7324,0.7324,0.7324,0.0,0.0,2019-03-18,NE,NEH19
2017-09-28,0.727,0.727,0.727,0.727,0.0,0.0,2019-03-18,NE,NEH19
2017-09-29,0.7261,0.7261,0.7261,0.7261,0.0,0.0,2019-03-18,NE,NEH19
2017-10-02,0.7245,0.7245,0.7245,0.7245,0.0,0.0,2019-03-18,NE,NEH19
2017-10-03,0.7263,0.7263,0.7263,0.7263,0.0,0.0,2019-03-18,NE,NEH19
2017-10-04,0.734,0.734,0.734,0.734,0.0,0.0,2019-03-18,NE,NEH19
2017-10-05,0.7275,0.7275,0.7275,0.7275,0.0,0.0,2019-03-18,NE,NEH19
2017-10-06,0.7272,0.7272,0.7272,0.7272,0.0,0.0,2019-03-18,NE,NEH19
2017-10-09,0.726,0.726,0.726,0.726,0.0,0.0,2019-03-18,NE,NEH19
2017-10-10,0.7261,0.7261,0.7261,0.7261,0.0,0.0,2019-03-18,NE,NEH19
2017-10-11,0.7303,0.7303,0.7303,0.7303,0.0,0.0,2019-03-18,NE,NEH19
2017-10-12,0.7353,0.7353,0.7353,0.7353,0.0,0.0,2019-03-18,NE,NEH19
2017-10-13,0.7321,0.7321,0.7321,0.7321,0.0,0.0,2019-03-18,NE,NEH19
2017-10-16,0.7284,0.7284,0.7284,0.7284,0.0,0.0,2019-03-18,NE,NEH19
2017-10-17,0.7332,0.7332,0.7332,0.7332,0.0,0.0,2019-03-18,NE,NEH19
2017-10-18,0.7395,0.7395,0.7395,0.7395,0.0,0.0,2019-03-18,NE,NEH19
2017-10-19,0.7354,0.7354,0.7354,0.7354,0.0,0.0,2019-03-18,NE,NEH19
2017-10-20,0.7325,0.7325,0.7325,0.7325,0.0,0.0,2019-03-18,NE,NEH19
2017-10-23,0.726,0.726,0.726,0.726,0.0,0.0,2019-03-18,NE,NEH19
2017-10-24,0.719,0.719,0.719,0.719,0.0,0.0,2019-03-18,NE,NEH19
2017-10-25,0.7245,0.7245,0.7245,0.7245,0.0,0.0,2019-03-18,NE,NEH19
2017-10-26,0.7186,0.7186,0.7186,0.7186,0.0,0.0,2019-03-18,NE,NEH19
2017-10-27,0.7111,0.7111,0.7111,0.7111,0.0,0.0,2019-03-18,NE,NEH19
2017-10-30,0.7133,0.7133,0.7133,0.7133,0.0,0.0,2019-03-18,NE,NEH19
2017-10-31,0.7061,0.7061,0.7061,0.7061,0.0,0.0,2019-03-18,NE,NEH19
2017-11-01,0.702,0.702,0.702,0.702,0.0,0.0,2019-03-18,NE,NEH19
2017-11-02,0.7064,0.7064,0.7064,0.7064,0.0,0.0,2019-03-18,NE,NEH19
2017-11-03,0.7029,0.7029,0.7029,0.7029,0.0,0.0,2019-03-18,NE,NEH19
2017-11-06,0.6983,0.6983,0.6983,0.6983,0.0,0.0,2019-03-18,NE,NEH19
2017-11-07,0.6967,0.6967,0.6967,0.6967,0.0,0.0,2019-03-18,NE,NEH19
2017-11-08,0.6994,0.6994,0.6994,0.6994,0.0,0.0,2019-03-18,NE,NEH19
2017-11-09,0.6999,0.6999,0.6999,0.6999,0.0,0.0,2019-03-18,NE,NEH19
2017-11-10,0.7012,0.7012,0.7012,0.7012,0.0,0.0,2019-03-18,NE,NEH19
2017-11-13,0.7048,0.7048,0.7048,0.7048,0.0,0.0,2019-03-18,NE,NEH19
2017-11-14,0.7116,0.7116,0.7116,0.7116,0.0,0.0,2019-03-18,NE,NEH19
2017-11-15,0.7103,0.7103,0.7103,0.7103,0.0,0.0,2019-03-18,NE,NEH19
2017-11-16,0.7168,0.7168,0.7168,0.7168,0.0,0.0,2019-03-18,NE,NEH19
2017-11-17,0.7141,0.7141,0.7141,0.7141,0.0,0.0,2019-03-18,NE,NEH19
2017-11-20,0.7183,0.7183,0.7183,0.7183,0.0,0.0,2019-03-18,NE,NEH19
2017-11-21,0.7253,0.7253,0.7253,0.7253,0.0,0.0,2019-03-18,NE,NEH19
2017-11-22,0.7305,0.7305,0.7305,0.7305,0.0,0.0,2019-03-18,NE,NEH19
2017-11-24,0.7356,0.7356,0.7356,0.7356,0.0,0.0,2019-03-18,NE,NEH19
2017-11-27,0.7298,0.7298,0.7298,0.7298,0.0,0.0,2019-03-18,NE,NEH19
2017-11-28,0.7237,0.7237,0.7237,0.7237,0.0,0.0,2019-03-18,NE,NEH19
2017-11-29,0.7299,0.7299,0.7299,0.7299,0.0,0.0,2019-03-18,NE,NEH19
2017-11-30,0.7289,0.7289,0.7289,0.7289,0.0,0.0,2019-03-18,NE,NEH19
2017-12-01,0.7349,0.7349,0.7349,0.7349,0.0,0.0,2019-03-18,NE,NEH19
2017-12-04,0.7405,0.7405,0.7405,0.7405,0.0,0.0,2019-03-18,NE,NEH19
2017-12-05,0.7426,0.7426,0.7426,0.7426,0.0,0.0,2019-03-18,NE,NEH19
2017-12-06,0.7399,0.7399,0.7399,0.7399,0.0,0.0,2019-03-18,NE,NEH19
2017-12-07,0.7412,0.7412,0.7412,0.7412,0.0,0.0,2019-03-18,NE,NEH19
2017-12-08,0.7402,0.7402,0.7402,0.7402,0.0,0.0,2019-03-18,NE,NEH19
2017-12-11,0.7328,0.7328,0.7328,0.7328,0.0,0.0,2019-03-18,NE,NEH19
2017-12-12,0.7351,0.7351,0.7351,0.7351,0.0,0.0,2019-03-18,NE,NEH19
2017-12-13,0.7352,0.7352,0.7352,0.7352,0.0,0.0,2019-03-18,NE,NEH19
2017-12-14,0.7351,0.7351,0.7351,0.7351,0.0,0.0,2019-03-18,NE,NEH19
2017-12-15,0.7308,0.7308,0.7308,0.7308,0.0,0.0,2019-03-18,NE,NEH19
2017-12-18,0.7278,0.7278,0.7278,0.7278,0.0,0.0,2019-03-18,NE,NEH19
2017-12-19,0.733,0.733,0.733,0.733,0.0,0.0,2019-03-18,NE,NEH19
2017-12-20,0.7374,0.7374,0.7374,0.7374,0.0,0.0,2019-03-18,NE,NEH19
2017-12-21,0.7392,0.7392,0.7392,0.7392,0.0,0.0,2019-03-18,NE,NEH19
2017-12-22,0.7402,0.7402,0.7402,0.7402,0.0,0.0,2019-03-18,NE,NEH19
2017-12-26,0.7371,0.7371,0.7371,0.7371,0.0,0.0,2019-03-18,NE,NEH19
2017-12-27,0.742,0.742,0.742,0.742,0.0,0.0,2019-03-18,NE,NEH19
2017-12-28,0.7349,0.7349,0.7349,0.7349,0.0,0.0,2019-03-18,NE,NEH19
2017-12-29,0.7305,0.7305,0.7305,0.7305,0.0,0.0,2019-03-18,NE,NEH19
2018-01-02,0.7363,0.7363,0.7363,0.7363,0.0,0.0,2019-03-18,NE,NEH19
2018-01-03,0.7406,0.7406,0.7406,0.7406,0.0,0.0,2019-03-18,NE,NEH19
2018-01-04,0.738,0.738,0.738,0.738,0.0,0.0,2019-03-18,NE,NEH19
2018-01-05,0.7423,0.7423,0.7423,0.7423,0.0,0.0,2019-03-18,NE,NEH19
2018-01-08,0.7362,0.7362,0.7362,0.7362,0.0,0.0,2019-03-18,NE,NEH19
2018-01-09,0.7308,0.7308,0.7308,0.7308,0.0,0.0,2019-03-18,NE,NEH19
2018-01-10,0.7355,0.7355,0.7355,0.7355,0.0,0.0,2019-03-18,NE,NEH19
2018-01-11,0.7281,0.7281,0.7281,0.7281,0.0,0.0,2019-03-18,NE,NEH19
2018-01-12,0.7358,0.7358,0.7358,0.7358,0.0,0.0,2019-03-18,NE,NEH19
2018-01-16,0.7383,0.7383,0.7383,0.7383,0.0,0.0,2019-03-18,NE,NEH19
2018-01-17,0.7452,0.7452,0.7452,0.7452,0.0,0.0,2019-03-18,NE,NEH19
2018-01-18,0.7518,0.7518,0.7518,0.7518,0.0,0.0,2019-03-18,NE,NEH19
2018-01-19,0.7444,0.7444,0.7444,0.7444,0.0,0.0,2019-03-18,NE,NEH19
2018-01-22,0.7398,0.7398,0.7398,0.7398,0.0,0.0,2019-03-18,NE,NEH19
2018-01-23,0.7388,0.7388,0.7388,0.7388,0.0,0.0,2019-03-18,NE,NEH19
2018-01-24,0.7337,0.7337,0.7337,0.7337,0.0,0.0,2019-03-18,NE,NEH19
2018-01-25,0.7348,0.7348,0.7348,0.7348,0.0,0.0,2019-03-18,NE,NEH19
2018-01-26,0.7286,0.7286,0.7286,0.7286,0.0,0.0,2019-03-18,NE,NEH19
2018-01-29,0.7271,0.7271,0.7271,0.7271,0.0,0.0,2019-03-18,NE,NEH19
2018-01-30,0.7312,0.7312,0.7312,0.7312,0.0,0.0,2019-03-18,NE,NEH19
2018-01-31,0.7337,0.7337,0.7337,0.7337,0.0,0.0,2019-03-18,NE,NEH19
2018-02-01,0.7291,0.7291,0.7291,0.7291,0.0,0.0,2019-03-18,NE,NEH19
2018-02-02,0.7276,0.7276,0.7276,0.7276,0.0,0.0,2019-03-18,NE,NEH19
2018-02-05,0.7296,0.7296,0.7296,0.7296,0.0,0.0,2019-03-18,NE,NEH19
2018-02-06,0.7286,0.7286,0.7286,0.7286,0.0,0.0,2019-03-18,NE,NEH19
2018-02-07,0.7239,0.7239,0.7239,0.7239,0.0,0.0,2019-03-18,NE,NEH19
2018-02-08,0.718,0.718,0.718,0.718,0.0,0.0,2019-03-18,NE,NEH19
2018-02-09,0.7147,0.7147,0.7147,0.7147,0.0,0.0,2019-03-18,NE,NEH19
2018-02-12,0.7084,0.7084,0.7084,0.7084,0.0,0.0,2019-03-18,NE,NEH19
2018-02-13,0.7027,0.7027,0.7027,0.7027,0.0,0.0,2019-03-18,NE,NEH19
2018-02-14,0.7075,0.7075,0.7075,0.7075,0.0,0.0,2019-03-18,NE,NEH19
2018-02-15,0.7134,0.7134,0.7134,0.7134,0.0,0.0,2019-03-18,NE,NEH19
2018-02-16,0.7156,0.7156,0.7156,0.7156,0.0,0.0,2019-03-18,NE,NEH19
2018-02-20,0.7112,0.7112,0.7112,0.7112,0.0,0.0,2019-03-18,NE,NEH19
2018-02-21,0.7066,0.7066,0.7066,0.7066,0.0,0.0,2019-03-18,NE,NEH19
2018-02-22,0.6997,0.6997,0.6997,0.6997,0.0,0.0,2019-03-18,NE,NEH19
