,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-20,0.6756,0.6756,0.6756,0.6756,0.0,0.0,2018-06-18,NE,NEM18
2016-12-21,0.6699,0.6699,0.6699,0.6699,0.0,0.0,2018-06-18,NE,NEM18
2016-12-22,0.6636,0.6636,0.6636,0.6636,0.0,0.0,2018-06-18,NE,NEM18
2016-12-23,0.6643,0.6643,0.6643,0.6643,0.0,0.0,2018-06-18,NE,NEM18
2016-12-27,0.6579,0.6579,0.6579,0.6579,0.0,0.0,2018-06-18,NE,NEM18
2016-12-28,0.6518,0.6518,0.6518,0.6518,0.0,0.0,2018-06-18,NE,NEM18
2016-12-29,0.651,0.651,0.651,0.651,0.0,0.0,2018-06-18,NE,NEM18
2016-12-30,0.6512,0.6512,0.6512,0.6512,0.0,0.0,2018-06-18,NE,NEM18
2017-01-03,0.6539,0.6539,0.6539,0.6539,0.0,0.0,2018-06-18,NE,NEM18
2017-01-04,0.6542,0.6542,0.6542,0.6542,0.0,0.0,2018-06-18,NE,NEM18
2017-01-05,0.6537,0.6537,0.6537,0.6537,0.0,0.0,2018-06-18,NE,NEM18
2017-01-06,0.6477,0.6477,0.6477,0.6477,0.0,0.0,2018-06-18,NE,NEM18
2017-01-09,0.6426,0.6426,0.6426,0.6426,0.0,0.0,2018-06-18,NE,NEM18
2017-01-10,0.6424,0.6424,0.6424,0.6424,0.0,0.0,2018-06-18,NE,NEM18
2017-01-11,0.6451,0.6451,0.6451,0.6451,0.0,0.0,2018-06-18,NE,NEM18
2017-01-12,0.6439,0.6439,0.6439,0.6439,0.0,0.0,2018-06-18,NE,NEM18
2017-01-13,0.6453,0.6453,0.6453,0.6453,0.0,0.0,2018-06-18,NE,NEM18
2017-01-17,0.6392,0.6392,0.6392,0.6392,0.0,0.0,2018-06-18,NE,NEM18
2017-01-18,0.6398,0.6398,0.6398,0.6398,0.0,0.0,2018-06-18,NE,NEM18
2017-01-19,0.6341,0.6341,0.6341,0.6341,0.0,0.0,2018-06-18,NE,NEM18
2017-01-20,0.6299,0.6299,0.6299,0.6299,0.0,0.0,2018-06-18,NE,NEM18
2017-01-23,0.6294,0.6294,0.6294,0.6294,0.0,0.0,2018-06-18,NE,NEM18
2017-01-24,0.6257,0.6257,0.6257,0.6257,0.0,0.0,2018-06-18,NE,NEM18
2017-01-25,0.6314,0.6314,0.6314,0.6314,0.0,0.0,2018-06-18,NE,NEM18
2017-01-26,0.6309,0.6309,0.6309,0.6309,0.0,0.0,2018-06-18,NE,NEM18
2017-01-27,0.6251,0.6251,0.6251,0.6251,0.0,0.0,2018-06-18,NE,NEM18
2017-01-30,0.6315,0.6315,0.6315,0.6315,0.0,0.0,2018-06-18,NE,NEM18
2017-01-31,0.6327,0.6327,0.6327,0.6327,0.0,0.0,2018-06-18,NE,NEM18
2017-02-01,0.6373,0.6373,0.6373,0.6373,0.0,0.0,2018-06-18,NE,NEM18
2017-02-02,0.6314,0.6314,0.6314,0.6314,0.0,0.0,2018-06-18,NE,NEM18
2017-02-03,0.6303,0.6303,0.6303,0.6303,0.0,0.0,2018-06-18,NE,NEM18
2017-02-06,0.6266,0.6266,0.6266,0.6266,0.0,0.0,2018-06-18,NE,NEM18
2017-02-07,0.627,0.627,0.627,0.627,0.0,0.0,2018-06-18,NE,NEM18
2017-02-08,0.6288,0.6288,0.6288,0.6288,0.0,0.0,2018-06-18,NE,NEM18
2017-02-09,0.6226,0.6226,0.6226,0.6226,0.0,0.0,2018-06-18,NE,NEM18
2017-02-10,0.6224,0.6224,0.6224,0.6224,0.0,0.0,2018-06-18,NE,NEM18
2017-02-13,0.6247,0.6247,0.6247,0.6247,0.0,0.0,2018-06-18,NE,NEM18
2017-02-14,0.6283,0.6283,0.6283,0.6283,0.0,0.0,2018-06-18,NE,NEM18
2017-02-15,0.6254,0.6254,0.6254,0.6254,0.0,0.0,2018-06-18,NE,NEM18
2017-02-16,0.6213,0.6213,0.6213,0.6213,0.0,0.0,2018-06-18,NE,NEM18
2017-02-17,0.6209,0.6209,0.6209,0.6209,0.0,0.0,2018-06-18,NE,NEM18
2017-02-21,0.6171,0.6171,0.6171,0.6171,0.0,0.0,2018-06-18,NE,NEM18
2017-02-22,0.6161,0.6161,0.6161,0.6161,0.0,0.0,2018-06-18,NE,NEM18
2017-02-23,0.6102,0.6102,0.6102,0.6102,0.0,0.0,2018-06-18,NE,NEM18
2017-02-24,0.6163,0.6163,0.6163,0.6163,0.0,0.0,2018-06-18,NE,NEM18
2017-02-27,0.6114,0.6114,0.6114,0.6114,0.0,0.0,2018-06-18,NE,NEM18
