,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-03-20,0.7262,0.7262,0.7262,0.7262,0.0,0.0,2019-09-16,NE,NEU19
2018-03-21,0.719,0.719,0.719,0.719,0.0,0.0,2019-09-16,NE,NEU19
2018-03-22,0.7235,0.7235,0.7235,0.7235,0.0,0.0,2019-09-16,NE,NEU19
2018-03-23,0.7231,0.7231,0.7231,0.7231,0.0,0.0,2019-09-16,NE,NEU19
2018-03-26,0.7157,0.7157,0.7157,0.7157,0.0,0.0,2019-09-16,NE,NEU19
2018-03-27,0.72,0.72,0.72,0.72,0.0,0.0,2019-09-16,NE,NEU19
2018-03-28,0.7212,0.7212,0.7212,0.7212,0.0,0.0,2019-09-16,NE,NEU19
2018-03-29,0.7154,0.7154,0.7154,0.7154,0.0,0.0,2019-09-16,NE,NEU19
2018-04-02,0.7158,0.7158,0.7158,0.7158,0.0,0.0,2019-09-16,NE,NEU19
2018-04-03,0.7091,0.7091,0.7091,0.7091,0.0,0.0,2019-09-16,NE,NEU19
2018-04-04,0.7067,0.7067,0.7067,0.7067,0.0,0.0,2019-09-16,NE,NEU19
2018-04-05,0.7097,0.7097,0.7097,0.7097,0.0,0.0,2019-09-16,NE,NEU19
2018-04-06,0.7032,0.7032,0.7032,0.7032,0.0,0.0,2019-09-16,NE,NEU19
2018-04-09,0.6981,0.6981,0.6981,0.6981,0.0,0.0,2019-09-16,NE,NEU19
2018-04-10,0.7028,0.7028,0.7028,0.7028,0.0,0.0,2019-09-16,NE,NEU19
2018-04-11,0.6998,0.6998,0.6998,0.6998,0.0,0.0,2019-09-16,NE,NEU19
2018-04-12,0.7073,0.7073,0.7073,0.7073,0.0,0.0,2019-09-16,NE,NEU19
2018-04-13,0.7144,0.7144,0.7144,0.7144,0.0,0.0,2019-09-16,NE,NEU19
2018-04-16,0.7195,0.7195,0.7195,0.7195,0.0,0.0,2019-09-16,NE,NEU19
2018-04-17,0.7214,0.7214,0.7214,0.7214,0.0,0.0,2019-09-16,NE,NEU19
2018-04-18,0.7252,0.7252,0.7252,0.7252,0.0,0.0,2019-09-16,NE,NEU19
2018-04-19,0.721,0.721,0.721,0.721,0.0,0.0,2019-09-16,NE,NEU19
2018-04-20,0.7252,0.7252,0.7252,0.7252,0.0,0.0,2019-09-16,NE,NEU19
2018-04-23,0.7271,0.7271,0.7271,0.7271,0.0,0.0,2019-09-16,NE,NEU19
2018-04-24,0.7322,0.7322,0.7322,0.7322,0.0,0.0,2019-09-16,NE,NEU19
2018-04-25,0.7339,0.7339,0.7339,0.7339,0.0,0.0,2019-09-16,NE,NEU19
2018-04-26,0.7317,0.7317,0.7317,0.7317,0.0,0.0,2019-09-16,NE,NEU19
2018-04-27,0.7316,0.7316,0.7316,0.7316,0.0,0.0,2019-09-16,NE,NEU19
2018-04-30,0.7242,0.7242,0.7242,0.7242,0.0,0.0,2019-09-16,NE,NEU19
2018-05-01,0.7254,0.7254,0.7254,0.7254,0.0,0.0,2019-09-16,NE,NEU19
2018-05-02,0.719,0.719,0.719,0.719,0.0,0.0,2019-09-16,NE,NEU19
2018-05-03,0.7171,0.7171,0.7171,0.7171,0.0,0.0,2019-09-16,NE,NEU19
2018-05-04,0.7236,0.7236,0.7236,0.7236,0.0,0.0,2019-09-16,NE,NEU19
2018-05-07,0.7311,0.7311,0.7311,0.7311,0.0,0.0,2019-09-16,NE,NEU19
2018-05-08,0.7326,0.7326,0.7326,0.7326,0.0,0.0,2019-09-16,NE,NEU19
2018-05-09,0.7329,0.7329,0.7329,0.7329,0.0,0.0,2019-09-16,NE,NEU19
2018-05-10,0.7297,0.7297,0.7297,0.7297,0.0,0.0,2019-09-16,NE,NEU19
2018-05-11,0.7279,0.7279,0.7279,0.7279,0.0,0.0,2019-09-16,NE,NEU19
2018-05-14,0.7318,0.7318,0.7318,0.7318,0.0,0.0,2019-09-16,NE,NEU19
2018-05-15,0.7391,0.7391,0.7391,0.7391,0.0,0.0,2019-09-16,NE,NEU19
2018-05-16,0.7316,0.7316,0.7316,0.7316,0.0,0.0,2019-09-16,NE,NEU19
2018-05-17,0.736,0.736,0.736,0.736,0.0,0.0,2019-09-16,NE,NEU19
2018-05-18,0.7328,0.7328,0.7328,0.7328,0.0,0.0,2019-09-16,NE,NEU19
2018-05-21,0.733,0.733,0.733,0.733,0.0,0.0,2019-09-16,NE,NEU19
2018-05-22,0.7376,0.7376,0.7376,0.7376,0.0,0.0,2019-09-16,NE,NEU19
2018-05-23,0.7439,0.7439,0.7439,0.7439,0.0,0.0,2019-09-16,NE,NEU19
2018-05-24,0.7455,0.7455,0.7455,0.7455,0.0,0.0,2019-09-16,NE,NEU19
2018-05-25,0.7533,0.7533,0.7533,0.7533,0.0,0.0,2019-09-16,NE,NEU19
2018-05-29,0.7537,0.7537,0.7537,0.7537,0.0,0.0,2019-09-16,NE,NEU19
2018-05-30,0.7548,0.7548,0.7548,0.7548,0.0,0.0,2019-09-16,NE,NEU19
2018-05-31,0.7494,0.7494,0.7494,0.7494,0.0,0.0,2019-09-16,NE,NEU19
2018-06-01,0.7452,0.7452,0.7452,0.7452,0.0,0.0,2019-09-16,NE,NEU19
2018-06-04,0.7424,0.7424,0.7424,0.7424,0.0,0.0,2019-09-16,NE,NEU19
2018-06-05,0.7475,0.7475,0.7475,0.7475,0.0,0.0,2019-09-16,NE,NEU19
