,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-20,0.7079,0.7079,0.7079,0.7079,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-21,0.7022,0.7022,0.7022,0.7022,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-22,0.6948,0.6948,0.6948,0.6948,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-23,0.7022,0.7022,0.7022,0.7022,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-26,0.704,0.704,0.704,0.704,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-27,0.6991,0.6991,0.6991,0.6991,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-28,0.7004,0.7004,0.7004,0.7004,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-29,0.703,0.703,0.703,0.703,0.0,0.0,2018-12-17,NE,NEZ18
2017-06-30,0.706,0.706,0.706,0.706,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-03,0.7006,0.7006,0.7006,0.7006,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-05,0.7052,0.7052,0.7052,0.7052,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-06,0.712,0.712,0.712,0.712,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-07,0.7074,0.7074,0.7074,0.7074,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-10,0.7021,0.7021,0.7021,0.7021,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-11,0.7046,0.7046,0.7046,0.7046,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-12,0.7005,0.7005,0.7005,0.7005,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-13,0.6951,0.6951,0.6951,0.6951,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-14,0.6945,0.6945,0.6945,0.6945,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-17,0.6917,0.6917,0.6917,0.6917,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-18,0.6946,0.6946,0.6946,0.6946,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-19,0.6936,0.6936,0.6936,0.6936,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-20,0.693,0.693,0.693,0.693,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-21,0.692,0.692,0.692,0.692,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-24,0.6884,0.6884,0.6884,0.6884,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-25,0.6833,0.6833,0.6833,0.6833,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-26,0.684,0.684,0.684,0.684,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-27,0.6777,0.6777,0.6777,0.6777,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-28,0.6772,0.6772,0.6772,0.6772,0.0,0.0,2018-12-17,NE,NEZ18
2017-07-31,0.6819,0.6819,0.6819,0.6819,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-01,0.6792,0.6792,0.6792,0.6792,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-02,0.6809,0.6809,0.6809,0.6809,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-03,0.6786,0.6786,0.6786,0.6786,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-04,0.677,0.677,0.677,0.677,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-07,0.6834,0.6834,0.6834,0.6834,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-08,0.6769,0.6769,0.6769,0.6769,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-09,0.6787,0.6787,0.6787,0.6787,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-10,0.6801,0.6801,0.6801,0.6801,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-11,0.6808,0.6808,0.6808,0.6808,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-14,0.6872,0.6872,0.6872,0.6872,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-15,0.6907,0.6907,0.6907,0.6907,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-16,0.6945,0.6945,0.6945,0.6945,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-17,0.6981,0.6981,0.6981,0.6981,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-18,0.692,0.692,0.692,0.692,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-21,0.6908,0.6908,0.6908,0.6908,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-22,0.6929,0.6929,0.6929,0.6929,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-23,0.6939,0.6939,0.6939,0.6939,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-24,0.6869,0.6869,0.6869,0.6869,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-25,0.6915,0.6915,0.6915,0.6915,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-28,0.6983,0.6983,0.6983,0.6983,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-29,0.6949,0.6949,0.6949,0.6949,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-30,0.69,0.69,0.69,0.69,0.0,0.0,2018-12-17,NE,NEZ18
2017-08-31,0.6968,0.6968,0.6968,0.6968,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-01,0.6915,0.6915,0.6915,0.6915,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-05,0.697,0.697,0.697,0.697,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-06,0.7022,0.7022,0.7022,0.7022,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-07,0.6976,0.6976,0.6976,0.6976,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-08,0.695,0.695,0.695,0.695,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-11,0.7023,0.7023,0.7023,0.7023,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-12,0.7086,0.7086,0.7086,0.7086,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-13,0.7066,0.7066,0.7066,0.7066,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-14,0.7006,0.7006,0.7006,0.7006,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-15,0.7049,0.7049,0.7049,0.7049,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-18,0.6996,0.6996,0.6996,0.6996,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-19,0.693,0.693,0.693,0.693,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-20,0.6922,0.6922,0.6922,0.6922,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-21,0.689,0.689,0.689,0.689,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-22,0.6892,0.6892,0.6892,0.6892,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-25,0.6923,0.6923,0.6923,0.6923,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-26,0.6866,0.6866,0.6866,0.6866,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-27,0.6928,0.6928,0.6928,0.6928,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-28,0.6952,0.6952,0.6952,0.6952,0.0,0.0,2018-12-17,NE,NEZ18
2017-09-29,0.6987,0.6987,0.6987,0.6987,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-02,0.7055,0.7055,0.7055,0.7055,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-03,0.7012,0.7012,0.7012,0.7012,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-04,0.7085,0.7085,0.7085,0.7085,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-05,0.7072,0.7072,0.7072,0.7072,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-06,0.7113,0.7113,0.7113,0.7113,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-09,0.7174,0.7174,0.7174,0.7174,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-10,0.7216,0.7216,0.7216,0.7216,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-11,0.7251,0.7251,0.7251,0.7251,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-12,0.7191,0.7191,0.7191,0.7191,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-13,0.7159,0.7159,0.7159,0.7159,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-16,0.7136,0.7136,0.7136,0.7136,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-17,0.7172,0.7172,0.7172,0.7172,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-18,0.7219,0.7219,0.7219,0.7219,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-19,0.7194,0.7194,0.7194,0.7194,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-20,0.7208,0.7208,0.7208,0.7208,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-23,0.7179,0.7179,0.7179,0.7179,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-24,0.7207,0.7207,0.7207,0.7207,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-25,0.7145,0.7145,0.7145,0.7145,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-26,0.7109,0.7109,0.7109,0.7109,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-27,0.712,0.712,0.712,0.712,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-30,0.7092,0.7092,0.7092,0.7092,0.0,0.0,2018-12-17,NE,NEZ18
2017-10-31,0.7108,0.7108,0.7108,0.7108,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-01,0.7073,0.7073,0.7073,0.7073,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-02,0.7099,0.7099,0.7099,0.7099,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-03,0.71,0.71,0.71,0.71,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-06,0.7128,0.7128,0.7128,0.7128,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-07,0.7059,0.7059,0.7059,0.7059,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-08,0.7082,0.7082,0.7082,0.7082,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-09,0.7149,0.7149,0.7149,0.7149,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-10,0.7205,0.7205,0.7205,0.7205,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-13,0.7207,0.7207,0.7207,0.7207,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-14,0.7216,0.7216,0.7216,0.7216,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-15,0.7293,0.7293,0.7293,0.7293,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-16,0.7251,0.7251,0.7251,0.7251,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-17,0.7218,0.7218,0.7218,0.7218,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-20,0.7217,0.7217,0.7217,0.7217,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-21,0.7234,0.7234,0.7234,0.7234,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-22,0.7288,0.7288,0.7288,0.7288,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-24,0.7292,0.7292,0.7292,0.7292,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-27,0.7277,0.7277,0.7277,0.7277,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-28,0.7203,0.7203,0.7203,0.7203,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-29,0.7251,0.7251,0.7251,0.7251,0.0,0.0,2018-12-17,NE,NEZ18
2017-11-30,0.725,0.725,0.725,0.725,0.0,0.0,2018-12-17,NE,NEZ18
2017-12-01,0.7293,0.7293,0.7293,0.7293,0.0,0.0,2018-12-17,NE,NEZ18
2017-12-04,0.727,0.727,0.727,0.727,0.0,0.0,2018-12-17,NE,NEZ18
2017-12-05,0.7317,0.7317,0.7317,0.7317,0.0,0.0,2018-12-17,NE,NEZ18
2017-12-06,0.7269,0.7269,0.7269,0.7269,0.0,0.0,2018-12-17,NE,NEZ18
