,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-09,16909.1457,16909.1457,16909.1457,16909.1457,0.0,0.0,2017-03-09,NK,NKH17
2016-03-10,16804.309,16804.309,16804.309,16804.309,0.0,0.0,2017-03-09,NK,NKH17
2016-03-11,16649.7094,16649.7094,16649.7094,16649.7094,0.0,0.0,2017-03-09,NK,NKH17
2016-03-14,16443.253,16443.253,16443.253,16443.253,0.0,0.0,2017-03-09,NK,NKH17
2016-03-15,16143.9858,16143.9858,16143.9858,16143.9858,0.0,0.0,2017-03-09,NK,NKH17
2016-03-16,16037.4355,16037.4355,16037.4355,16037.4355,0.0,0.0,2017-03-09,NK,NKH17
2016-03-17,15949.2296,15949.2296,15949.2296,15949.2296,0.0,0.0,2017-03-09,NK,NKH17
2016-03-18,15936.4702,15936.4702,15936.4702,15936.4702,0.0,0.0,2017-03-09,NK,NKH17
2016-03-21,16288.6662,16288.6662,16288.6662,16288.6662,0.0,0.0,2017-03-09,NK,NKH17
2016-03-22,16658.4189,16658.4189,16658.4189,16658.4189,0.0,0.0,2017-03-09,NK,NKH17
2016-03-23,16355.2357,16355.2357,16355.2357,16355.2357,0.0,0.0,2017-03-09,NK,NKH17
2016-03-24,16317.6187,16317.6187,16317.6187,16317.6187,0.0,0.0,2017-03-09,NK,NKH17
2016-03-28,15875.4112,15875.4112,15875.4112,15875.4112,0.0,0.0,2017-03-09,NK,NKH17
2016-03-29,15599.179,15599.179,15599.179,15599.179,0.0,0.0,2017-03-09,NK,NKH17
2016-03-30,15363.6314,15363.6314,15363.6314,15363.6314,0.0,0.0,2017-03-09,NK,NKH17
2016-03-31,15600.2313,15600.2313,15600.2313,15600.2313,0.0,0.0,2017-03-09,NK,NKH17
2016-04-01,15760.9137,15760.9137,15760.9137,15760.9137,0.0,0.0,2017-03-09,NK,NKH17
2016-04-04,15381.0757,15381.0757,15381.0757,15381.0757,0.0,0.0,2017-03-09,NK,NKH17
2016-04-05,15027.311,15027.311,15027.311,15027.311,0.0,0.0,2017-03-09,NK,NKH17
2016-04-06,14907.0925,14907.0925,14907.0925,14907.0925,0.0,0.0,2017-03-09,NK,NKH17
