,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-07,22405.6895,22405.6895,22405.6895,22405.6895,0.0,0.0,2019-06-13,NK,NKM19
2018-06-08,22555.8076,22555.8076,22555.8076,22555.8076,0.0,0.0,2019-06-13,NK,NKM19
2018-06-11,22140.7807,22140.7807,22140.7807,22140.7807,0.0,0.0,2019-06-13,NK,NKM19
2018-06-12,21795.3845,21795.3845,21795.3845,21795.3845,0.0,0.0,2019-06-13,NK,NKM19
2018-06-13,21815.0003,21815.0003,21815.0003,21815.0003,0.0,0.0,2019-06-13,NK,NKM19
2018-06-14,21830.2708,21830.2708,21830.2708,21830.2708,0.0,0.0,2019-06-13,NK,NKM19
2018-06-15,21502.8167,21502.8167,21502.8167,21502.8167,0.0,0.0,2019-06-13,NK,NKM19
2018-06-18,21730.7466,21730.7466,21730.7466,21730.7466,0.0,0.0,2019-06-13,NK,NKM19
2018-06-19,21772.035,21772.035,21772.035,21772.035,0.0,0.0,2019-06-13,NK,NKM19
2018-06-20,22052.8943,22052.8943,22052.8943,22052.8943,0.0,0.0,2019-06-13,NK,NKM19
2018-06-21,22454.257,22454.257,22454.257,22454.257,0.0,0.0,2019-06-13,NK,NKM19
2018-06-22,22263.3958,22263.3958,22263.3958,22263.3958,0.0,0.0,2019-06-13,NK,NKM19
2018-06-25,22730.9271,22730.9271,22730.9271,22730.9271,0.0,0.0,2019-06-13,NK,NKM19
2018-06-26,22815.0315,22815.0315,22815.0315,22815.0315,0.0,0.0,2019-06-13,NK,NKM19
2018-06-27,23223.4206,23223.4206,23223.4206,23223.4206,0.0,0.0,2019-06-13,NK,NKM19
2018-06-28,22993.5087,22993.5087,22993.5087,22993.5087,0.0,0.0,2019-06-13,NK,NKM19
2018-06-29,23290.125,23290.125,23290.125,23290.125,0.0,0.0,2019-06-13,NK,NKM19
2018-07-02,23571.9355,23571.9355,23571.9355,23571.9355,0.0,0.0,2019-06-13,NK,NKM19
2018-07-03,24099.9469,24099.9469,24099.9469,24099.9469,0.0,0.0,2019-06-13,NK,NKM19
2018-07-05,23974.6272,23974.6272,23974.6272,23974.6272,0.0,0.0,2019-06-13,NK,NKM19
2018-07-06,23626.9951,23626.9951,23626.9951,23626.9951,0.0,0.0,2019-06-13,NK,NKM19
2018-07-09,23678.9745,23678.9745,23678.9745,23678.9745,0.0,0.0,2019-06-13,NK,NKM19
