,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-09-09,18085.5432,18085.5432,18085.5432,18085.5432,0.0,0.0,2016-09-08,NK,NKU16
2015-09-10,17781.7061,17781.7061,17781.7061,17781.7061,0.0,0.0,2016-09-08,NK,NKU16
2015-09-11,18178.2381,18178.2381,18178.2381,18178.2381,0.0,0.0,2016-09-08,NK,NKU16
2015-09-14,18018.2696,18018.2696,18018.2696,18018.2696,0.0,0.0,2016-09-08,NK,NKU16
2015-09-15,17823.6723,17823.6723,17823.6723,17823.6723,0.0,0.0,2016-09-08,NK,NKU16
2015-09-16,17417.2926,17417.2926,17417.2926,17417.2926,0.0,0.0,2016-09-08,NK,NKU16
2015-09-17,17220.4772,17220.4772,17220.4772,17220.4772,0.0,0.0,2016-09-08,NK,NKU16
2015-09-18,16984.5567,16984.5567,16984.5567,16984.5567,0.0,0.0,2016-09-08,NK,NKU16
2015-09-21,17293.6756,17293.6756,17293.6756,17293.6756,0.0,0.0,2016-09-08,NK,NKU16
2015-09-22,17490.8235,17490.8235,17490.8235,17490.8235,0.0,0.0,2016-09-08,NK,NKU16
2015-09-23,17422.6093,17422.6093,17422.6093,17422.6093,0.0,0.0,2016-09-08,NK,NKU16
2015-09-24,17919.1537,17919.1537,17919.1537,17919.1537,0.0,0.0,2016-09-08,NK,NKU16
2015-09-25,17571.5221,17571.5221,17571.5221,17571.5221,0.0,0.0,2016-09-08,NK,NKU16
2015-09-28,17518.8075,17518.8075,17518.8075,17518.8075,0.0,0.0,2016-09-08,NK,NKU16
2015-09-29,17217.484,17217.484,17217.484,17217.484,0.0,0.0,2016-09-08,NK,NKU16
2015-09-30,17506.7377,17506.7377,17506.7377,17506.7377,0.0,0.0,2016-09-08,NK,NKU16
2015-10-01,17461.2202,17461.2202,17461.2202,17461.2202,0.0,0.0,2016-09-08,NK,NKU16
2015-10-02,17167.8717,17167.8717,17167.8717,17167.8717,0.0,0.0,2016-09-08,NK,NKU16
2015-10-05,17243.4103,17243.4103,17243.4103,17243.4103,0.0,0.0,2016-09-08,NK,NKU16
2015-10-06,17362.3898,17362.3898,17362.3898,17362.3898,0.0,0.0,2016-09-08,NK,NKU16
2015-10-07,17525.5963,17525.5963,17525.5963,17525.5963,0.0,0.0,2016-09-08,NK,NKU16
2015-10-08,17052.4052,17052.4052,17052.4052,17052.4052,0.0,0.0,2016-09-08,NK,NKU16
2015-10-09,17362.759,17362.759,17362.759,17362.759,0.0,0.0,2016-09-08,NK,NKU16
2015-10-12,16963.4155,16963.4155,16963.4155,16963.4155,0.0,0.0,2016-09-08,NK,NKU16
2015-10-13,17039.7509,17039.7509,17039.7509,17039.7509,0.0,0.0,2016-09-08,NK,NKU16
2015-10-14,16954.5521,16954.5521,16954.5521,16954.5521,0.0,0.0,2016-09-08,NK,NKU16
2015-10-15,17161.3976,17161.3976,17161.3976,17161.3976,0.0,0.0,2016-09-08,NK,NKU16
2015-10-16,17266.0821,17266.0821,17266.0821,17266.0821,0.0,0.0,2016-09-08,NK,NKU16
2015-10-19,17799.604,17799.604,17799.604,17799.604,0.0,0.0,2016-09-08,NK,NKU16
2015-10-20,17367.0736,17367.0736,17367.0736,17367.0736,0.0,0.0,2016-09-08,NK,NKU16
2015-10-21,17182.9826,17182.9826,17182.9826,17182.9826,0.0,0.0,2016-09-08,NK,NKU16
2015-10-22,16679.5212,16679.5212,16679.5212,16679.5212,0.0,0.0,2016-09-08,NK,NKU16
2015-10-23,16696.2007,16696.2007,16696.2007,16696.2007,0.0,0.0,2016-09-08,NK,NKU16
2015-10-26,17076.8741,17076.8741,17076.8741,17076.8741,0.0,0.0,2016-09-08,NK,NKU16
2015-10-27,17590.888,17590.888,17590.888,17590.888,0.0,0.0,2016-09-08,NK,NKU16
2015-10-28,17335.8201,17335.8201,17335.8201,17335.8201,0.0,0.0,2016-09-08,NK,NKU16
2015-10-29,17543.8499,17543.8499,17543.8499,17543.8499,0.0,0.0,2016-09-08,NK,NKU16
2015-10-30,17487.7096,17487.7096,17487.7096,17487.7096,0.0,0.0,2016-09-08,NK,NKU16
2015-11-02,17743.0302,17743.0302,17743.0302,17743.0302,0.0,0.0,2016-09-08,NK,NKU16
2015-11-03,18312.5815,18312.5815,18312.5815,18312.5815,0.0,0.0,2016-09-08,NK,NKU16
2015-11-04,18578.1139,18578.1139,18578.1139,18578.1139,0.0,0.0,2016-09-08,NK,NKU16
2015-11-05,19102.0167,19102.0167,19102.0167,19102.0167,0.0,0.0,2016-09-08,NK,NKU16
2015-11-06,19459.2244,19459.2244,19459.2244,19459.2244,0.0,0.0,2016-09-08,NK,NKU16
2015-11-09,18910.4743,18910.4743,18910.4743,18910.4743,0.0,0.0,2016-09-08,NK,NKU16
2015-11-10,18904.8012,18904.8012,18904.8012,18904.8012,0.0,0.0,2016-09-08,NK,NKU16
2015-11-11,18982.3109,18982.3109,18982.3109,18982.3109,0.0,0.0,2016-09-08,NK,NKU16
2015-11-12,19544.1873,19544.1873,19544.1873,19544.1873,0.0,0.0,2016-09-08,NK,NKU16
2015-11-13,19720.085,19720.085,19720.085,19720.085,0.0,0.0,2016-09-08,NK,NKU16
2015-11-16,20307.7435,20307.7435,20307.7435,20307.7435,0.0,0.0,2016-09-08,NK,NKU16
2015-11-17,20912.9143,20912.9143,20912.9143,20912.9143,0.0,0.0,2016-09-08,NK,NKU16
2015-11-18,20772.7978,20772.7978,20772.7978,20772.7978,0.0,0.0,2016-09-08,NK,NKU16
2015-11-19,20274.2507,20274.2507,20274.2507,20274.2507,0.0,0.0,2016-09-08,NK,NKU16
2015-11-20,19743.0653,19743.0653,19743.0653,19743.0653,0.0,0.0,2016-09-08,NK,NKU16
2015-11-23,19581.1722,19581.1722,19581.1722,19581.1722,0.0,0.0,2016-09-08,NK,NKU16
2015-11-24,19203.2556,19203.2556,19203.2556,19203.2556,0.0,0.0,2016-09-08,NK,NKU16
2015-11-25,18671.3254,18671.3254,18671.3254,18671.3254,0.0,0.0,2016-09-08,NK,NKU16
2015-11-27,18704.9338,18704.9338,18704.9338,18704.9338,0.0,0.0,2016-09-08,NK,NKU16
2015-11-30,18162.4907,18162.4907,18162.4907,18162.4907,0.0,0.0,2016-09-08,NK,NKU16
2015-12-01,18302.3419,18302.3419,18302.3419,18302.3419,0.0,0.0,2016-09-08,NK,NKU16
2015-12-02,17967.409,17967.409,17967.409,17967.409,0.0,0.0,2016-09-08,NK,NKU16
2015-12-03,18071.62,18071.62,18071.62,18071.62,0.0,0.0,2016-09-08,NK,NKU16
2015-12-04,18608.3471,18608.3471,18608.3471,18608.3471,0.0,0.0,2016-09-08,NK,NKU16
2015-12-07,18262.2318,18262.2318,18262.2318,18262.2318,0.0,0.0,2016-09-08,NK,NKU16
2015-12-08,17915.2494,17915.2494,17915.2494,17915.2494,0.0,0.0,2016-09-08,NK,NKU16
2015-12-09,18384.6289,18384.6289,18384.6289,18384.6289,0.0,0.0,2016-09-08,NK,NKU16
2015-12-10,17908.467,17908.467,17908.467,17908.467,0.0,0.0,2016-09-08,NK,NKU16
2015-12-11,17380.1672,17380.1672,17380.1672,17380.1672,0.0,0.0,2016-09-08,NK,NKU16
2015-12-14,16905.6886,16905.6886,16905.6886,16905.6886,0.0,0.0,2016-09-08,NK,NKU16
2015-12-15,16525.3106,16525.3106,16525.3106,16525.3106,0.0,0.0,2016-09-08,NK,NKU16
2015-12-16,16997.9345,16997.9345,16997.9345,16997.9345,0.0,0.0,2016-09-08,NK,NKU16
2015-12-17,17495.974,17495.974,17495.974,17495.974,0.0,0.0,2016-09-08,NK,NKU16
2015-12-18,17459.2325,17459.2325,17459.2325,17459.2325,0.0,0.0,2016-09-08,NK,NKU16
2015-12-21,17953.3288,17953.3288,17953.3288,17953.3288,0.0,0.0,2016-09-08,NK,NKU16
2015-12-22,17459.6123,17459.6123,17459.6123,17459.6123,0.0,0.0,2016-09-08,NK,NKU16
2015-12-23,16900.9047,16900.9047,16900.9047,16900.9047,0.0,0.0,2016-09-08,NK,NKU16
2015-12-24,16480.0722,16480.0722,16480.0722,16480.0722,0.0,0.0,2016-09-08,NK,NKU16
2015-12-28,17009.0825,17009.0825,17009.0825,17009.0825,0.0,0.0,2016-09-08,NK,NKU16
2015-12-29,17143.4543,17143.4543,17143.4543,17143.4543,0.0,0.0,2016-09-08,NK,NKU16
2015-12-30,16941.1615,16941.1615,16941.1615,16941.1615,0.0,0.0,2016-09-08,NK,NKU16
2015-12-31,16583.703,16583.703,16583.703,16583.703,0.0,0.0,2016-09-08,NK,NKU16
2016-01-04,16383.0402,16383.0402,16383.0402,16383.0402,0.0,0.0,2016-09-08,NK,NKU16
2016-01-05,16428.9127,16428.9127,16428.9127,16428.9127,0.0,0.0,2016-09-08,NK,NKU16
2016-01-06,16400.9835,16400.9835,16400.9835,16400.9835,0.0,0.0,2016-09-08,NK,NKU16
2016-01-07,16748.6844,16748.6844,16748.6844,16748.6844,0.0,0.0,2016-09-08,NK,NKU16
2016-01-08,16698.4383,16698.4383,16698.4383,16698.4383,0.0,0.0,2016-09-08,NK,NKU16
2016-01-11,16524.7745,16524.7745,16524.7745,16524.7745,0.0,0.0,2016-09-08,NK,NKU16
2016-01-12,16706.547,16706.547,16706.547,16706.547,0.0,0.0,2016-09-08,NK,NKU16
2016-01-13,16571.224,16571.224,16571.224,16571.224,0.0,0.0,2016-09-08,NK,NKU16
2016-01-14,16438.6542,16438.6542,16438.6542,16438.6542,0.0,0.0,2016-09-08,NK,NKU16
2016-01-15,16065.4967,16065.4967,16065.4967,16065.4967,0.0,0.0,2016-09-08,NK,NKU16
2016-01-19,15610.8431,15610.8431,15610.8431,15610.8431,0.0,0.0,2016-09-08,NK,NKU16
2016-01-20,16118.1955,16118.1955,16118.1955,16118.1955,0.0,0.0,2016-09-08,NK,NKU16
2016-01-21,16584.0113,16584.0113,16584.0113,16584.0113,0.0,0.0,2016-09-08,NK,NKU16
2016-01-22,16209.2126,16209.2126,16209.2126,16209.2126,0.0,0.0,2016-09-08,NK,NKU16
2016-01-25,16596.6128,16596.6128,16596.6128,16596.6128,0.0,0.0,2016-09-08,NK,NKU16
2016-01-26,16492.0541,16492.0541,16492.0541,16492.0541,0.0,0.0,2016-09-08,NK,NKU16
2016-01-27,16673.4667,16673.4667,16673.4667,16673.4667,0.0,0.0,2016-09-08,NK,NKU16
2016-01-28,16885.2197,16885.2197,16885.2197,16885.2197,0.0,0.0,2016-09-08,NK,NKU16
2016-01-29,17192.5307,17192.5307,17192.5307,17192.5307,0.0,0.0,2016-09-08,NK,NKU16
2016-02-01,16951.8353,16951.8353,16951.8353,16951.8353,0.0,0.0,2016-09-08,NK,NKU16
2016-02-02,17463.7807,17463.7807,17463.7807,17463.7807,0.0,0.0,2016-09-08,NK,NKU16
2016-02-03,17629.6866,17629.6866,17629.6866,17629.6866,0.0,0.0,2016-09-08,NK,NKU16
2016-02-04,17229.4927,17229.4927,17229.4927,17229.4927,0.0,0.0,2016-09-08,NK,NKU16
2016-02-05,16984.8339,16984.8339,16984.8339,16984.8339,0.0,0.0,2016-09-08,NK,NKU16
2016-02-08,17051.0748,17051.0748,17051.0748,17051.0748,0.0,0.0,2016-09-08,NK,NKU16
2016-02-09,17253.9826,17253.9826,17253.9826,17253.9826,0.0,0.0,2016-09-08,NK,NKU16
2016-02-10,17666.3528,17666.3528,17666.3528,17666.3528,0.0,0.0,2016-09-08,NK,NKU16
2016-02-11,17535.6218,17535.6218,17535.6218,17535.6218,0.0,0.0,2016-09-08,NK,NKU16
2016-02-12,17014.8138,17014.8138,17014.8138,17014.8138,0.0,0.0,2016-09-08,NK,NKU16
