,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-07,18564.245,18564.245,18564.245,18564.245,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-08,18807.4366,18807.4366,18807.4366,18807.4366,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-09,18694.592,18694.592,18694.592,18694.592,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-12,18485.2126,18485.2126,18485.2126,18485.2126,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-13,18721.8233,18721.8233,18721.8233,18721.8233,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-14,18920.2746,18920.2746,18920.2746,18920.2746,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-15,18837.0254,18837.0254,18837.0254,18837.0254,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-16,18821.9558,18821.9558,18821.9558,18821.9558,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-19,18933.0053,18933.0053,18933.0053,18933.0053,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-20,18997.3775,18997.3775,18997.3775,18997.3775,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-21,18843.4987,18843.4987,18843.4987,18843.4987,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-22,18615.4924,18615.4924,18615.4924,18615.4924,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-23,18451.6761,18451.6761,18451.6761,18451.6761,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-27,18665.7155,18665.7155,18665.7155,18665.7155,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-28,18934.5018,18934.5018,18934.5018,18934.5018,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-29,18764.0913,18764.0913,18764.0913,18764.0913,0.0,0.0,2017-12-08,NK,NKZ17
2016-12-30,18940.4738,18940.4738,18940.4738,18940.4738,0.0,0.0,2017-12-08,NK,NKZ17
2017-01-03,19061.6928,19061.6928,19061.6928,19061.6928,0.0,0.0,2017-12-08,NK,NKZ17
